"strain","variable","mean","median","sd","q5","q95","rhat","ess_bulk","ess_tail"
"SGTF","log_lambda1",-1.615068671835,-1.527805,0.863515197076402,-3.145478,-0.38174425,1.00552631041058,866.514418437096,1259.70459131874
"SGTF","log_lambda_I",-0.6641220029455,-0.528926,0.666215234010687,-1.9011195,0.17218825,0.999110144511815,788.02909546667,833.57673997189
"SGTF","log_r",-0.790701500758,-0.76733,0.799854242906618,-2.151784,0.44553695,1.0006077549336,918.487200893467,960.223532804117
"SGTF","log_d",-0.32249384005,-0.3121375,0.102166171268621,-0.5074911,-0.17095705,1.00466877585715,891.304659564766,1078.45391014148
"SGTF","m",1.4933264465,1.506705,0.337115674528641,0.9096644,2.018207,1.00638750861125,781.173023572727,741.203136191016
"SGTF","log_kappa",1.33274552075,1.30118,0.561946215472163,0.46792315,2.359237,0.999947349495501,797.208920470699,819.879442495998
"SGTF","log_sigma_z",-0.748039329764,-0.7205505,0.790433466178019,-2.134606,0.4835124,1.0065362893343,1305.56028193848,1203.25882851198
"SGTF","mean_gen",3.00486345,3.001575,0.0933367312814234,2.8538035,3.1572,1.00122563752272,2201.26142545283,1337.53019968378
"SGTF","sd_gen",1.814160735,1.81608,0.113301326396434,1.629533,1.9992705,0.999305505800201,1635.72537362549,1303.52215572513
"non-SGTF","log_lambda1",-1.7078161509,-1.675975,0.963033312436231,-3.327899,-0.21650295,1.01079085565367,714.485425547096,1237.61620275892
"non-SGTF","log_lambda_I",-0.6046664116915,-0.519289,0.56131551154023,-1.6684715,0.19497135,1.00670560197082,603.16064728737,925.479685579656
"non-SGTF","log_r",-1.138310645735,-1.10975,0.688531560318235,-2.30336,-0.05325566,1.00351676550102,789.794991552788,1120.59494076603
"non-SGTF","log_d",-0.426612156,-0.4172915,0.098178519691815,-0.6101925,-0.28238795,1.00642443267494,875.640254953225,1170.40085908479
"non-SGTF","m",2.039148987,2.076235,0.572441956347259,1.013056,2.9478985,1.00632650250132,672.294485780048,699.504092140138
"non-SGTF","log_kappa",0.78589308161,0.6959975,0.680917146441485,-0.17954355,2.037313,1.00515903682668,686.977624772621,637.031419552744
"non-SGTF","log_sigma_z",-1.0025519281005,-0.942418,0.712028734901972,-2.2419265,0.088356075,1.00261574543553,1066.6772466198,968.188297033968
"non-SGTF","mean_gen",3.758766635,3.757025,0.0727505059878453,3.644644,3.8811805,0.999451002677693,2387.05655265305,1676.90009165014
"non-SGTF","sd_gen",2.098629015,2.106835,0.119998234968176,1.887269,2.281188,1.00431039933447,1093.36063426001,1371.86952685028
