"model","strain","parameter","value"
"Mechanistic","SGTF","lambda1",0.154651667112952
"Mechanistic","SGTF","lambda_I",0.306174523921143
"Mechanistic","SGTF","r",1.97633476408629
"Mechanistic","SGTF","d",0.704094287981678
"Mechanistic","SGTF","m",1.2262
"Mechanistic","SGTF","kappa",3.1156257036077
"Mechanistic","SGTF","sigma_z",0.720383190152238
"Mechanistic","SGTF","lambda1",0.139421996358661
"Mechanistic","SGTF","lambda_I",0.248567708933866
"Mechanistic","SGTF","r",1.56062284313674
"Mechanistic","SGTF","d",0.761219900738118
"Mechanistic","SGTF","m",1.25823
"Mechanistic","SGTF","kappa",3.03414599678207
"Mechanistic","SGTF","sigma_z",0.0997877349010713
"Mechanistic","SGTF","lambda1",0.0340222689379898
"Mechanistic","SGTF","lambda_I",0.132602413505112
"Mechanistic","SGTF","r",1.50528613040383
"Mechanistic","SGTF","d",0.766462887482249
"Mechanistic","SGTF","m",1.19951
"Mechanistic","SGTF","kappa",4.3900911940349
"Mechanistic","SGTF","sigma_z",0.948261093085135
"Mechanistic","SGTF","lambda1",0.036747319307406
"Mechanistic","SGTF","lambda_I",0.213625670259397
"Mechanistic","SGTF","r",1.65326645393242
"Mechanistic","SGTF","d",0.852308268589255
"Mechanistic","SGTF","m",1.12994
"Mechanistic","SGTF","kappa",3.99678384916718
"Mechanistic","SGTF","sigma_z",0.0948052965975244
"Mechanistic","SGTF","lambda1",0.891392885292267
"Mechanistic","SGTF","lambda_I",0.101156141545953
"Mechanistic","SGTF","r",1.40354895939734
"Mechanistic","SGTF","d",0.616197345921135
"Mechanistic","SGTF","m",2.04063
"Mechanistic","SGTF","kappa",3.32925980998211
"Mechanistic","SGTF","sigma_z",0.0702798605409509
"Mechanistic","SGTF","lambda1",1.32309541140953
"Mechanistic","SGTF","lambda_I",0.0782661563458946
"Mechanistic","SGTF","r",2.08267682204635
"Mechanistic","SGTF","d",0.565111060441155
"Mechanistic","SGTF","m",1.88654
"Mechanistic","SGTF","kappa",3.26287921377033
"Mechanistic","SGTF","sigma_z",0.171970900434875
"Mechanistic","SGTF","lambda1",0.0713519931943203
"Mechanistic","SGTF","lambda_I",0.619273662373969
"Mechanistic","SGTF","r",0.0871686962916249
"Mechanistic","SGTF","d",0.778247252518071
"Mechanistic","SGTF","m",0.994925
"Mechanistic","SGTF","kappa",4.17122601086215
"Mechanistic","SGTF","sigma_z",0.434116216836209
"Mechanistic","SGTF","lambda1",0.166361857271279
"Mechanistic","SGTF","lambda_I",0.556689302440166
"Mechanistic","SGTF","r",0.912069486930952
"Mechanistic","SGTF","d",0.734498004636657
"Mechanistic","SGTF","m",1.15328
"Mechanistic","SGTF","kappa",3.38491907792433
"Mechanistic","SGTF","sigma_z",0.533324085105451
"Mechanistic","SGTF","lambda1",0.0826293776554148
"Mechanistic","SGTF","lambda_I",0.9308045121142
"Mechanistic","SGTF","r",0.319793437317952
"Mechanistic","SGTF","d",0.733330347428894
"Mechanistic","SGTF","m",0.82266
"Mechanistic","SGTF","kappa",2.37491583746058
"Mechanistic","SGTF","sigma_z",0.362659826922826
"Mechanistic","SGTF","lambda1",0.117536071619982
"Mechanistic","SGTF","lambda_I",0.957012237743673
"Mechanistic","SGTF","r",0.436218506271176
"Mechanistic","SGTF","d",0.694677201211625
"Mechanistic","SGTF","m",0.83906
"Mechanistic","SGTF","kappa",2.10823056313646
"Mechanistic","SGTF","sigma_z",0.631174442882553
"Mechanistic","SGTF","lambda1",0.263039780917842
"Mechanistic","SGTF","lambda_I",0.310972747269842
"Mechanistic","SGTF","r",0.633528051507512
"Mechanistic","SGTF","d",0.782191252440931
"Mechanistic","SGTF","m",1.74357
"Mechanistic","SGTF","kappa",3.42629670478314
"Mechanistic","SGTF","sigma_z",0.670267092843681
"Mechanistic","SGTF","lambda1",0.368380465960908
"Mechanistic","SGTF","lambda_I",0.32802022857989
"Mechanistic","SGTF","r",0.541189924403185
"Mechanistic","SGTF","d",0.760938301473921
"Mechanistic","SGTF","m",1.6734
"Mechanistic","SGTF","kappa",2.73245370892228
"Mechanistic","SGTF","sigma_z",0.274753760171367
"Mechanistic","SGTF","lambda1",0.259367319500485
