# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 06:06:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c276ad9bc2.json
# init = /tmp/RtmpC8O1hA/init-b41c21c10ba67_4.json
# random
#   seed = 152002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0001_rep001_accurate_weak/prior_sensitivity_obspair_FAST-202605290706-4-4582d3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0001_rep001_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605290706-4-5784e7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0473183
# Diagonal elements of inverse mass matrix:
# 0.119532, 0.103406, 0.131504, 0.082368, 0.322039, 0.0837953, 0.156805
-548.821,0.999563,0.0473183,6,63,0,551.158,-2.49039,-2.94981,-1.00204,-0.0803651,1.88956,-0.98327,-1.55876,4.96698,2.42083,3.3675e-05,5.17571e-05,7.90994e-05,0.000120102,0.000181009,0.000270522,0.000400512,0.0005868,0.000849927,0.0012158,0.00171605,0.00238795,0.00327365,0.0044187,0.00586959,0.00767059,0.00985985,0.0124651,0.0154993,0.018957,0.0228114,0.0269682,0.0312992,0.0356466,0.0398314,0.0436647,0.0469625,0.049561,0.051331,0.0521899,0.0521082,0.0511109,0.0492727,0.0467089,0.0435627,0.0399926,0.0361589,0.0322134,0.0282913,0.0245051,0.020943,0.0176677,0.0147182,0.0121126,0.00985137,0.00792151,0.00630002,0.00495761,0.00386168,0.00297872,0.0022762,0.00172383,0.00129438,0.000964021,0.000712427,0.000522629,0.000380725,0.000275519,0.000198139,0.000141648,0.000100696,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.4437,-10.8438,-5.13797,-14.6111,-0,-4.38483,-12.5009,-7.93116,-15.122,-25.2917,-27.7133,-26.6728,-25.7848,-12.5249,-24.4672,-45.0683,-38.603,-41.3401,-23.6355,-29.7376,-36.1246,-30.6382,-9.40066,-19.3144,-19.919,-30.9183,-7.1304,-11.1266,-34.7935,-20.1801,-16.8747,-17.654,-0,-4.83817,-5.0672,-10.6137,-0,-5.81626,-6.08525,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,4,0,9,5,4,4,4,8,16,13,7,9,12,12,15,9,9,6,7,5,5,2,10,4,1,5,0,2,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
-549.945,0.993475,0.0473183,6,63,0,551.041,-3.21452,-2.91724,-1.18982,0.174714,1.77016,-1.05889,-1.68215,4.92219,2.31443,1.62357e-05,2.72534e-05,4.52261e-05,7.41061e-05,0.000119757,0.000190648,0.000298666,0.000459985,0.000695905,0.00103352,0.00150601,0.0021525,0.0030171,0.00414725,0.00559122,0.00739477,0.00959737,0.012228,0.0153011,0.018813,0.0227393,0.0269839,0.0314177,0.0358829,0.0401996,0.0441772,0.047627,0.0503774,0.052288,0.0532625,0.0532579,0.0522877,0.0504199,0.0477686,0.0444826,0.0407305,0.0366866,0.0325178,0.0283739,0.0243804,0.0206354,0.0172087,0.014143,0.0114575,0.00915126,0.00720774,0.00559936,0.00429137,0.00324547,0.00242268,0.00178558,0.00129975,0.000934718,0.000664351,0.000466843,0.000324465,0.000223132,0.000151891,0.000102389,6.83775e-05,4.52571e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.6069,-10.9706,-5.18656,-14.7209,-0,-4.40403,-12.5395,-7.94642,-15.1346,-25.2876,-27.6831,-26.62,-25.7112,-12.4782,-24.3548,-44.8232,-38.3629,-41.0553,-23.4609,-29.5099,-35.8484,-30.4139,-9.33797,-19.2047,-19.8321,-30.8337,-7.12457,-11.1419,-34.9267,-20.3117,-17.0341,-17.8764,-0,-4.9326,-5.1851,-10.9023,-0,-6.02288,-6.32801,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,2,1,3,3,9,9,11,8,5,13,10,5,7,8,8,10,18,12,8,9,5,2,6,6,2,1,3,2,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0
-551.06,0.999137,0.0473183,6,63,0,552.988,-4.06082,-3.20594,-1.7704,-0.139737,1.64992,-0.641685,-1.23473,4.87779,2.36809,2.87038e-05,4.38701e-05,6.6852e-05,0.000101496,0.000153385,0.000230494,0.000343996,0.000509199,0.000746513,0.00108234,0.00154966,0.00218811,0.00304326,0.00416503,0.00560509,0.00741326,0.00963334,0.0122985,0.015427,0.0190177,0.0230481,0.0274123,0.0319699,0.0365506,0.0409612,0.0449972,0.048457,0.0511586,0.052957,0.0537588,0.0535324,0.05231,0.0501833,0.0472906,0.0438012,0.0398982,0.0357628,0.0315619,0.0274398,0.0235127,0.0198674,0.0165617,0.0136271,0.0110728,0.00888958,0.00705516,0.00553819,0.00430233,0.00330946,0.00252215,0.00190539,0.00142769,0.00106158,0.000783718,0.000574734,0.000418867,0.000303511,0.000218745,0.000156867,0.000111969,7.95748e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.5897,-10.9621,-5.18408,-14.7135,-0,-4.39827,-12.5149,-7.92477,-15.0807,-25.1774,-27.5437,-26.4725,-25.561,-12.4046,-24.2166,-44.5924,-38.1976,-40.9255,-23.4198,-29.5057,-35.9049,-30.5144,-9.38428,-19.3285,-19.9851,-31.1022,-7.19152,-11.2506,-35.2681,-20.5033,-17.1828,-18.0131,-0,-4.954,-5.19609,-10.8972,-0,-5.98265,-6.26307,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,3,0,7,2,6,5,6,1,8,9,12,13,15,9,16,8,13,9,5,11,5,5,1,4,2,4,4,4,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0
-551.658,0.997335,0.0473183,6,111,0,557.017,-2.6599,-0.812766,-0.0341669,-0.684046,2.13803,-0.388713,-1.60649,5.37305,2.95546,9.71914e-05,0.000125258,0.00016149,0.0002083,0.000268835,0.000347216,0.000448854,0.000580885,0.000752765,0.000977085,0.00127067,0.00165611,0.00216372,0.00283408,0.00372091,0.00489392,0.00644021,0.00846273,0.011073,0.0143767,0.0184522,0.0232761,0.0287114,0.0344953,0.0402585,0.0455785,0.0500511,0.0533586,0.0553143,0.055874,0.0551207,0.0532311,0.0504367,0.0469875,0.0431246,0.0390607,0.0349713,0.0309917,0.0272186,0.0237156,0.0205186,0.0176421,0.0150847,0.0128341,0.0108706,0.00917048,0.00770808,0.00645742,0.0053933,0.00449201,0.00373176,0.00309281,0.00255759,0.0021106,0.00173831,0.001429,0.00117256,0.00096036,0.000785067,0.000640465,0.000521332,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.2719,-11.7321,-5.59379,-15.9593,-0,-4.77208,-13.5097,-8.48429,-15.9703,-26.3223,-28.4037,-26.9355,-25.6995,-12.3533,-23.9577,-43.9608,-37.6314,-40.3852,-23.1858,-29.3311,-35.8444,-30.5787,-9.43099,-19.4558,-20.1194,-31.2663,-7.20771,-11.2249,-34.9778,-20.1873,-16.7763,-17.4226,-0,-4.69177,-4.86549,-10.0851,-0,-5.40545,-5.59088,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,2,3,2,4,0,5,2,6,11,9,8,12,12,16,9,9,9,10,6,9,5,3,10,4,4,5,4,1,3,3,2,0,1,0,1,1,1,0,2,0,0,0,0,0,0
-552.025,0.999592,0.0473183,6,63,0,554.129,-2.68796,-0.408634,0.167973,-0.417395,1.69387,-0.875604,-1.02081,4.92766,2.61127,7.72602e-05,0.00010687,0.000147667,0.000203766,0.000280726,0.000386002,0.000529522,0.000724376,0.000987638,0.00134126,0.00181302,0.00243732,0.00325574,0.00431699,0.00567589,0.007391,0.00952059,0.0121166,0.0152171,0.0188373,0.0229608,0.0274898,0.0322638,0.0370663,0.0416444,0.0457358,0.0490999,0.0515464,0.0529548,0.0532824,0.0525627,0.0508928,0.0484174,0.0453097,0.0417529,0.0379257,0.03399,0.0300842,0.0263189,0.0227767,0.0195134,0.0165616,0.0139342,0.0116289,0.00963202,0.00792227,0.00647363,0.00525786,0.00424635,0.00341144,0.00272728,0.00217038,0.00171985,0.00135741,0.00106736,0.000836355,0.000653184,0.000508537,0.000394746,0.000305542,0.000235841,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.4547,-10.8904,-5.17153,-14.7225,-0,-4.41318,-12.556,-7.94384,-15.0959,-25.1576,-27.4705,-26.3604,-25.4287,-12.3395,-24.1112,-44.4791,-38.1981,-41.0501,-23.566,-29.7803,-36.3347,-30.9423,-9.52796,-19.6328,-20.2901,-31.5338,-7.27494,-11.3461,-35.4299,-20.5034,-17.0936,-17.8171,-0,-4.83808,-5.04002,-10.4961,-0,-5.68062,-5.90445,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,3,2,1,4,4,11,6,7,12,3,7,13,10,16,10,13,7,10,7,9,7,4,2,3,4,4,2,3,2,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0
-549.346,0.999925,0.0473183,6,63,0,552.447,-2.24923,-1.34811,-0.0161631,-0.472051,2.53234,-0.516642,-1.2766,5.11874,2.54137,5.19005e-05,7.0871e-05,9.67659e-05,0.000132105,0.000180318,0.00024607,0.000335699,0.000457791,0.000623958,0.000849832,0.00115635,0.00157134,0.00213133,0.00288349,0.0038872,0.00521461,0.00694903,0.00917991,0.0119934,0.0154581,0.019608,0.0244061,0.0297316,0.0353696,0.0410189,0.0463204,0.0509044,0.0544448,0.0567066,0.0575745,0.0570589,0.0552803,0.052441,0.0487904,0.0445924,0.0400984,0.0355282,0.0310597,0.0268259,0.0229168,0.0193845,0.0162509,0.0135143,0.0111569,0.00914997,0.00745922,0.00604785,0.00487924,0.00391863,0.0031341,0.0024971,0.0019826,0.00156901,0.00123797,0.000974039,0.00076437,0.000598348,0.000467278,0.000364082,0.000283035,0.000219532,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.302,-11.6975,-5.55007,-15.7689,-0,-4.69074,-13.2702,-8.33924,-15.7273,-25.9904,-28.1244,-26.7352,-25.5498,-12.2887,-23.8225,-43.6585,-37.3082,-39.9654,-22.9094,-28.9534,-35.3768,-30.2022,-9.33057,-19.2985,-20.0246,-31.2466,-7.23677,-11.3277,-35.4895,-20.598,-17.216,-17.9828,-0,-4.8983,-5.10805,-10.6455,-0,-5.76541,-5.99263,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,4,5,3,3,9,10,5,6,11,9,15,10,12,9,19,9,13,6,4,6,5,5,3,2,5,1,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
