# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 06:17:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2774dbecf.json
# init = /tmp/RtmpC8O1hA/init-b41c270bc5f50_2.json
# random
#   seed = 152003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0002_rep001_accurate_moderate/prior_sensitivity_obspair_FAST-202605290717-2-5ff448.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0002_rep001_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605290717-2-8968ce.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.143398
# Diagonal elements of inverse mass matrix:
# 0.0576006, 0.0633334, 0.0357917, 0.0146596, 0.0431107, 0.0188037, 0.0541431
-548.21,0.997945,0.143398,5,31,0,550.862,-2.48354,-2.5434,-1.3302,-0.371549,2.92537,-0.181508,-1.55637,5.03355,2.39475,4.383e-05,6.18694e-05,8.73245e-05,0.000123232,0.000173857,0.000245172,0.0003455,0.000486357,0.000683511,0.000958223,0.00133855,0.00186051,0.00256863,0.00351563,0.0047606,0.0063656,0.00839053,0.0108866,0.0138888,0.0174088,0.021428,0.0258664,0.0305986,0.0354556,0.0402305,0.0446907,0.0485947,0.0517147,0.0538623,0.0549127,0.0548208,0.0536237,0.051431,0.0484064,0.0447461,0.0406584,0.0363461,0.0319929,0.0277541,0.0237507,0.0200684,0.016759,0.0138449,0.0113252,0.00918096,0.00738212,0.0058919,0.00467105,0.00368073,0.00288442,0.0022491,0.00174575,0.00134942,0.00103911,0.000797354,0.000609873,0.000465076,0.000353664,0.000268231,0.000202925,0.000153148,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.9288,-11.3011,-5.34738,-15.1705,-0,-4.52022,-12.83,-8.10156,-15.3722,-25.5837,-27.8944,-26.7158,-25.705,-12.432,-24.1939,-44.4302,-37.9772,-40.6281,-23.2295,-29.2576,-35.6102,-30.2812,-9.32025,-19.2153,-19.888,-30.9802,-7.16874,-11.2204,-35.1775,-20.4441,-17.1193,-17.9229,-0,-4.90869,-5.13418,-10.7327,-0,-5.84843,-6.09722,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,3,1,1,2,0,5,7,8,3,8,9,7,13,10,17,8,13,5,11,11,9,7,4,4,5,3,2,4,1,1,2,2,1,1,1,3,1,0,0,1,0,0,0,0,0
-548.035,0.996852,0.143398,4,31,0,553.487,-1.01912,-2.1548,-1.4357,-0.551325,3.41735,-0.0010494,-1.34781,4.63112,2.43809,0.00011191,0.000149449,0.000199647,0.000266821,0.000356782,0.000477368,0.000639145,0.000856336,0.00114798,0.00153928,0.00206292,0.00276,0.00368007,0.00487956,0.00641855,0.00835583,0.0107426,0.0136156,0.0169903,0.0208549,0.0251669,0.0297912,0.0345532,0.0392461,0.0436424,0.0475097,0.0506287,0.0528156,0.0539433,0.0539591,0.052892,0.0508458,0.0479804,0.044488,0.0405718,0.0364279,0.032233,0.028136,0.0242534,0.0206679,0.0174302,0.014563,0.0120667,0.00992501,0.00811066,0.00659028,0.0053281,0.00428864,0.0034385,0.00274733,0.00218829,0.00173815,0.00137713,0.00108858,0.00085866,0.000675957,0.000531124,0.000416562,0.000326121,0.000254847,0.00019877,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.2096,-10.6454,-5.04856,-14.3544,-0,-4.29654,-12.2253,-7.74034,-14.7289,-24.5948,-26.922,-25.9032,-25.0538,-12.1873,-23.8659,-44.1142,-37.9577,-40.8734,-23.516,-29.7896,-36.4436,-31.1254,-9.61405,-19.8745,-20.6086,-32.1363,-7.43839,-11.6375,-36.446,-21.1464,-17.6692,-18.4508,-0,-5.02216,-5.23476,-10.9036,-0,-5.89713,-6.12464,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,3,2,2,3,4,5,4,8,5,7,6,14,9,15,7,8,12,7,11,5,7,7,6,9,4,6,6,1,3,2,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0
-549.256,0.977862,0.143398,3,15,0,555.589,-1.13403,-2.32619,-1.54611,-0.519439,2.97128,-0.00173678,-0.890506,4.48092,2.42503,0.000105191,0.000141719,0.000190968,0.000257389,0.000347007,0.000467969,0.000631285,0.0008518,0.00114941,0.00155047,0.00208931,0.0028093,0.00376304,0.00501093,0.00661765,0.0086467,0.0111533,0.0141769,0.0177332,0.0218083,0.0263549,0.0312113,0.0361747,0.0410103,0.0454658,0.0492893,0.0522521,0.0541735,0.0549451,0.0545454,0.0530418,0.0505748,0.0473343,0.0435331,0.0393854,0.0350905,0.0308209,0.0267161,0.0228796,0.0193798,0.0162534,0.0135109,0.0111426,0.00912523,0.0074268,0.00601131,0.00484191,0.00388309,0.0031021,0.00246958,0.00195989,0.00155097,0.0012242,0.000963983,0.000757406,0.000593872,0.000464738,0.000362999,0.00028301,0.000220239,0.000171065,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.1651,-10.5923,-5.01801,-14.2517,-0,-4.25614,-12.097,-7.65093,-14.5444,-24.2688,-26.5552,-25.5514,-24.7264,-12.0402,-23.6134,-43.7334,-37.7185,-40.7221,-23.4934,-29.843,-36.6063,-31.3423,-9.70308,-20.0989,-20.8774,-32.6024,-7.55502,-11.8306,-37.0751,-21.5213,-17.9879,-18.7868,-0,-5.11411,-5.33045,-11.1022,-0,-6.00371,-6.23487,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,6,2,11,6,5,5,8,6,10,11,16,11,10,13,8,12,5,8,3,12,6,3,3,5,2,1,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
-549.533,0.988274,0.143398,5,31,0,552.011,-2.67958,-1.89059,-1.22138,-0.194871,3.45864,-0.192403,-0.712379,5.14101,2.19382,1.27426e-05,1.92179e-05,2.89755e-05,4.36682e-05,6.57683e-05,9.89572e-05,0.000148683,0.000222933,0.000333274,0.00049617,0.000734543,0.00107943,0.00157147,0.0022619,0.00321255,0.0044944,0.00618441,0.00836016,0.0110927,0.0144378,0.0184262,0.0230207,0.0281288,0.0335977,0.0392133,0.0447066,0.0497689,0.0540765,0.0573261,0.0592766,0.0597881,0.058846,0.0565596,0.0531377,0.0488509,0.0439925,0.0388477,0.0336704,0.0286703,0.0240057,0.0197836,0.0160628,0.0128616,0.0101664,0.00794103,0.00613557,0.00469372,0.00355843,0.00267574,0.00199715,0.0014807,0.00109116,0.000799683,0.000583149,0.000423318,0.000306021,0.000220384,0.000158156,0.000113131,8.06781e-05,5.737e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.9115,-12.1831,-5.74069,-16.2148,-0,-4.78428,-13.5044,-8.47582,-15.9759,-26.3995,-28.5677,-27.1464,-25.9099,-12.4305,-24.0029,-43.7603,-37.167,-39.5576,-22.5356,-28.3283,-34.4695,-29.3487,-9.05695,-18.7424,-19.4886,-30.5202,-7.10379,-11.1884,-35.3061,-20.6562,-17.414,-18.3547,-0,-5.09365,-5.36153,-11.2769,-0,-6.21603,-6.51524,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,3,3,2,3,7,8,9,10,9,10,15,12,12,7,15,12,10,13,4,4,5,7,4,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-548.674,0.997238,0.143398,4,31,0,553.066,-2.52257,-2.01635,-1.2682,-0.146482,3.45662,-0.199891,-1.12771,5.06694,2.14875,1.12398e-05,1.72936e-05,2.65951e-05,4.08707e-05,6.27441e-05,9.61791e-05,0.000147113,0.000224332,0.000340631,0.000514249,0.000770489,0.00114333,0.0016767,0.00242496,0.00345222,0.00483001,0.00663311,0.00893329,0.0117915,0.0152489,0.0193179,0.0239462,0.0290289,0.0344057,0.0398632,0.0451431,0.0499574,0.0540109,0.0570315,0.0588045,0.0592057,0.0582221,0.055952,0.0525857,0.0483729,0.0435892,0.0385073,0.0333746,0.0283998,0.0237447,0.0195217,0.0157956,0.0125899,0.00989465,0.00767549,0.00588276,0.00445924,0.00334632,0.00248828,0.00183496,0.00134306,0.000976365,0.00070544,0.000506861,0.000362344,0.000257843,0.00018271,0.000128972,9.07165e-05,6.35984e-05,4.44498e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.7819,-12.0439,-5.66874,-15.9987,-0,-4.71797,-13.3211,-8.36649,-15.7869,-26.1236,-28.3157,-26.9563,-25.7784,-12.3917,-23.9727,-43.7785,-37.234,-39.6695,-22.6139,-28.4349,-34.5991,-29.4531,-9.08645,-18.7977,-19.5415,-30.5997,-7.12275,-11.2212,-35.4261,-20.7401,-17.4994,-18.463,-0,-5.13573,-5.41278,-11.3998,-0,-6.30073,-6.61281,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,2,7,2,4,5,5,7,13,12,6,13,15,17,10,10,11,10,11,8,3,4,7,2,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
-551.677,0.924557,0.143398,5,31,0,557.509,-2.39143,-4.32118,-0.919277,-0.513578,2.82408,0.275435,-1.08758,4.77079,2.40696,7.73985e-05,0.000104397,0.000140817,0.000189946,0.000256224,0.000345641,0.000466281,0.000629049,0.00084864,0.00114482,0.00154401,0.00208129,0.00280229,0.0037648,0.00503871,0.00670342,0.00884155,0.0115288,0.0148197,0.0187319,0.0232309,0.0282104,0.0334949,0.0388458,0.0439779,0.0485827,0.052361,0.0550605,0.0565119,0.0566505,0.0555166,0.0532418,0.050026,0.0461117,0.0417553,0.0372012,0.032661,0.0283016,0.0242409,0.0205512,0.0172667,0.0143924,0.0119126,0.00979881,0.00801551,0.00652424,0.00528671,0.00426659,0.00343065,0.00274923,0.00219637,0.0017497,0.0013902,0.00110186,0.000871321,0.000687528,0.000541387,0.000425465,0.00033372,0.000261258,0.000204137,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.7546,-11.1641,-5.2906,-15.0154,-0,-4.46291,-12.6354,-7.95505,-15.0491,-24.9764,-27.1709,-25.9852,-24.9926,-12.098,-23.5967,-43.4898,-37.3529,-40.192,-23.1286,-29.3291,-35.9425,-30.7669,-9.52779,-19.7485,-20.5294,-32.0835,-7.43943,-11.6545,-36.5308,-21.2053,-17.7207,-18.502,-0,-5.03223,-5.24256,-10.9139,-0,-5.89643,-6.12095,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,4,5,1,7,5,10,8,14,14,9,12,12,10,11,17,12,4,7,3,8,2,2,3,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0
