# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 06:40:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22618ad4b.json
# init = /tmp/RtmpC8O1hA/init-b41c27153b447_1.json
# random
#   seed = 152006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0005_rep001_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605290740-1-6f2fce.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0005_rep001_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605290740-1-18cca0.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.105048
# Diagonal elements of inverse mass matrix:
# 0.0945356, 0.0695025, 0.0354849, 0.0178909, 0.0577065, 0.0327473, 0.028061
-553.386,0.993664,0.105048,4,15,0,554.07,-0.909296,-2.97183,-1.0517,0.115968,5.06773,-0.47667,-1.00994,5.16853,2.19662,1.46187e-05,2.48398e-05,4.18236e-05,6.96415e-05,0.000114441,0.000185208,0.000294618,0.000459879,0.000703424,0.00105329,0.00154301,0.00221083,0.00309823,0.00424763,0.00569943,0.00748838,0.00963977,0.0121655,0.0150605,0.0183003,0.0218392,0.0256026,0.0294942,0.0333998,0.0371922,0.0407375,0.0439022,0.0465611,0.0486045,0.0499452,0.0505246,0.0503168,0.0493316,0.047614,0.0452412,0.0423172,0.0389642,0.0353145,0.0315015,0.0276522,0.0238815,0.0202874,0.016948,0.01392,0.0112383,0.00891765,0.00695436,0.00533011,0.00401559,0.00297444,0.00216704,0.0015536,0.00109668,0.00076275,0.000523083,0.000353994,0.000236605,0.000156326,0.000102185,6.61396e-05,4.24233e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.5539,-10.9228,-5.16739,-14.6832,-0,-4.40915,-12.587,-8.00168,-15.2962,-25.6554,-28.1885,-27.1936,-26.3332,-12.8024,-25.0063,-46.0048,-39.3125,-41.9556,-23.8824,-29.8942,-36.1103,-30.4463,-9.28724,-18.9754,-19.4707,-30.0911,-6.91544,-10.7642,-33.6119,-19.4888,-16.3104,-17.0977,-0,-4.71972,-4.96839,-10.4688,-0,-5.8177,-6.13439,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,4,3,2,5,10,7,9,11,9,8,9,11,6,12,8,7,4,6,7,8,12,3,8,6,7,2,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
-554.787,0.998494,0.105048,4,15,0,555.99,-0.241993,-3.41856,-1.03325,0.129996,4.51534,-0.372567,-0.930224,4.46821,2.09837,1.27632e-05,2.21632e-05,3.82409e-05,6.54301e-05,0.000110751,0.000184957,0.000303877,0.000489776,0.000772433,0.00118957,0.00178631,0.00261353,0.00372501,0.0051736,0.00700653,0.00926025,0.0119551,0.0150904,0.0186404,0.0225518,0.0267437,0.0310928,0.0354543,0.0396683,0.0435686,0.0469924,0.0497901,0.0518352,0.0530319,0.0533232,0.0526953,0.0511795,0.0488513,0.0458243,0.0422409,0.0382607,0.0340489,0.0297647,0.025553,0.0215379,0.0178177,0.0144631,0.0115168,0.00899495,0.00689049,0.0051777,0.0038175,0.00276295,0.00196418,0.00137257,0.000943657,0.000638923,0.00042647,0.000280933,0.000182834,0.000117683,7.49912e-05,4.73546e-05,2.9659e-05,1.84394e-05,1.13881e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.1854,-10.5284,-4.96091,-14.0461,-0,-4.1937,-11.9473,-7.58388,-14.4858,-24.2955,-26.7161,-25.8176,-25.0674,-12.2311,-23.9995,-44.3953,-38.1792,-41.0394,-23.5458,-29.7242,-36.2277,-30.8294,-9.4931,-19.58,-20.2797,-31.6299,-7.334,-11.5138,-36.2481,-21.1808,-17.8558,-18.8444,-0,-5.26339,-5.56816,-11.7829,-0,-6.59107,-6.96575,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,1,4,2,5,9,6,7,11,7,7,10,6,9,15,13,5,13,13,5,10,6,5,9,1,1,3,3,2,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
-553.616,0.994325,0.105048,5,31,0,558.13,-0.482505,-3.39536,-1.02912,0.0943903,4.51225,-0.509571,-0.994478,4.65852,2.16895,1.91235e-05,3.22578e-05,5.39825e-05,8.94538e-05,0.000146472,0.00023646,0.000375529,0.000585479,0.000894513,0.0013374,0.00195485,0.00279202,0.00389597,0.00531233,0.00708127,0.00923309,0.0117838,0.014731,0.0180509,0.0216967,0.0255978,0.0296493,0.0337258,0.0376885,0.0413912,0.0446895,0.0474483,0.0495508,0.0509055,0.0514527,0.051169,0.0500695,0.0482073,0.0456695,0.0425707,0.0390443,0.0352324,0.0312772,0.0273122,0.0234565,0.0198092,0.0164473,0.0134238,0.0107688,0.00849086,0.00658036,0.00501334,0.00375573,0.00276766,0.00200719,0.00143343,0.00100871,0.000699973,0.000479364,0.00032425,0.000216817,0.000143441,9.39682e-05,6.10046e-05,3.9278e-05,2.50987e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.0956,-10.4755,-4.9503,-14.0549,-0,-4.2178,-12.0437,-7.66119,-14.661,-24.6282,-27.1159,-26.2272,-25.4775,-12.4321,-24.3849,-45.0713,-38.7112,-41.5393,-23.781,-29.9434,-36.3869,-30.8632,-9.46977,-19.4584,-20.0747,-31.1838,-7.20084,-11.2578,-35.2945,-20.538,-17.2429,-18.1244,-0,-5.02367,-5.29565,-11.1689,-0,-6.21102,-6.54768,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,2,8,8,7,12,8,12,6,9,13,9,12,5,10,8,9,7,5,4,5,9,5,4,3,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-553.514,0.998972,0.105048,5,31,0,556.693,-1.11653,-1.78028,-1.68814,-0.824388,3.00124,0.775919,-0.614748,4.6887,2.84503,0.000224791,0.000280502,0.000350208,0.000437529,0.000547085,0.000684797,0.00085832,0.00107763,0.00135587,0.00171058,0.00216552,0.00275322,0.00351844,0.00452122,0.00583719,0.00755322,0.00976022,0.0125443,0.0159763,0.0201004,0.0249233,0.0302301,0.035753,0.0411813,0.0461767,0.050393,0.0535058,0.0552684,0.0555872,0.0545489,0.0523626,0.0492888,0.0455964,0.0415405,0.0373467,0.0331993,0.029235,0.0255433,0.0221737,0.0191452,0.0164556,0.0140894,0.0120233,0.0102306,0.00868285,0.00735253,0.0062133,0.00524087,0.00441315,0.00371038,0.00311501,0.00261162,0.00218677,0.00182874,0.00152743,0.00127414,0.00106142,0.000882903,0.000733176,0.000607655,0.000502465,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.2995,-10.7979,-5.14351,-14.6573,-0,-4.37849,-12.4099,-7.81403,-14.7678,-24.4924,-26.649,-25.5182,-24.6022,-11.9516,-23.4237,-43.4333,-37.5674,-40.7212,-23.5965,-30.1006,-37.0551,-31.8109,-9.86253,-20.4314,-21.1943,-33.0064,-7.61769,-11.8671,-36.9638,-21.3117,-17.6836,-18.3295,-0,-4.91271,-5.08106,-10.5025,-0,-5.59662,-5.77152,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,3,1,2,2,0,5,10,10,11,7,12,6,9,12,13,11,15,10,6,9,6,5,5,4,2,2,4,2,2,2,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0
-554.358,0.98796,0.105048,5,63,0,557.73,-1.07924,-4.36523,-0.785738,-0.158244,3.8185,-0.648416,-0.870127,4.852,2.25302,4.20995e-05,6.3702e-05,9.60576e-05,0.000144228,0.000215415,0.000319681,0.000470783,0.000687044,0.000992156,0.00141571,0.00199323,0.00276549,0.00377692,0.00507293,0.00669628,0.00868272,0.0110561,0.0138238,0.0169723,0.0204648,0.0242395,0.0282034,0.0322397,0.0362126,0.0399742,0.0433738,0.046267,0.0485264,0.0500511,0.0507741,0.0506675,0.0497447,0.0480582,0.0456947,0.0427681,0.0394098,0.03576,0.0319579,0.028134,0.0244037,0.0208623,0.0175825,0.0146136,0.011983,0.00969842,0.00775128,0.00612089,0.00477827,0.00368976,0.00282009,0.00213467,0.00160129,0.00119109,0.000879047,0.000644046,0.000468701,0.000338978,0.000243753,0.000174352,0.000124101,8.79342e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.1577,-10.5677,-5.0062,-14.2393,-0,-4.28136,-12.2285,-7.7781,-14.8791,-24.9782,-27.4764,-26.5468,-25.7562,-12.5516,-24.5866,-45.3847,-38.9312,-41.7252,-23.8598,-30.0085,-36.4241,-30.8577,-9.45589,-19.4024,-19.9856,-30.99,-7.14155,-11.1391,-34.8283,-20.2043,-16.9032,-17.6971,-0,-4.8599,-5.09605,-10.6874,-0,-5.87099,-6.14944,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,6,3,4,2,7,5,5,6,11,9,10,11,10,10,10,5,9,9,6,6,12,7,3,6,3,4,5,3,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
-550.796,0.986644,0.105048,5,31,0,562.287,-2.60873,-2.08358,-1.30879,-0.603583,3.02336,0.0057373,-0.341955,5.36395,2.73323,9.09117e-05,0.000119608,0.000157403,0.000207213,0.0002729,0.000359599,0.000474145,0.000625645,0.000826241,0.00109208,0.00144451,0.0019114,0.00252841,0.00333984,0.0043986,0.00576485,0.0075031,0.0096775,0.0123456,0.0155513,0.0193168,0.0235848,0.0282457,0.0331356,0.0380385,0.0426972,0.046834,0.0501827,0.0525264,0.0537316,0.0537654,0.0526903,0.0506431,0.0478074,0.044388,0.0405903,0.0366045,0.0325949,0.0286941,0.0250014,0.021584,0.018481,0.0157085,0.013265,0.0111366,0.0093011,0.00773195,0.00640055,0.00527831,0.00433782,0.00355367,0.00290286,0.0023649,0.00192186,0.00155819,0.00126057,0.00101766,0.000819885,0.000659228,0.000528989,0.000423608,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.9603,-11.4037,-5.42647,-15.4679,-0,-4.63795,-13.1834,-8.32722,-15.7871,-26.2301,-28.5345,-27.2572,-26.1532,-12.6145,-24.4892,-44.8813,-38.3037,-40.9326,-23.385,-29.4332,-35.7954,-30.4058,-9.34436,-19.2254,-19.8455,-30.8124,-7.10213,-11.0665,-34.5222,-19.9551,-16.6142,-17.2905,-0,-4.67762,-4.86239,-10.1027,-0,-5.44038,-5.63977,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,1,1,1,3,2,2,5,8,3,13,5,12,7,8,20,11,15,10,12,8,7,7,6,5,6,5,1,2,2,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
