# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 06:47:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25cc74194.json
# init = /tmp/RtmpC8O1hA/init-b41c221dbdd5d_4.json
# random
#   seed = 152007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0006_rep001_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605290747-4-22bfad.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0006_rep001_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605290747-4-7d8e1a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.121526
# Diagonal elements of inverse mass matrix:
# 0.0321423, 0.0443815, 0.00794574, 0.0049456, 0.0102308, 0.00639297, 0.00684857
-548.923,0.996554,0.121526,5,31,0,556.376,-1.05381,-2.15443,-0.955038,-0.774648,4.063,0.148827,-0.93568,5.16359,2.66852,0.000148983,0.00018826,0.000238112,0.00030152,0.000382377,0.000485819,0.000618676,0.000790132,0.00101263,0.00130316,0.00168485,0.00218886,0.00285605,0.00373781,0.00489526,0.00639625,0.00830985,0.0106986,0.0136086,0.0170597,0.0210354,0.0254522,0.0301738,0.0350149,0.0397511,0.0441355,0.0479193,0.0508762,0.0528286,0.0536709,0.053383,0.052029,0.0497418,0.046701,0.0431101,0.0391767,0.0350954,0.0310349,0.0271302,0.0234791,0.0201437,0.0171546,0.014518,0.0122223,0.0102444,0.00855475,0.00712141,0.00591238,0.0048973,0.00404836,0.00334063,0.00275223,0.00226415,0.00186006,0.00152603,0.00125029,0.00102291,0.000835574,0.000681346,0.00055446,0.000450142,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.7166,-11.1785,-5.31949,-15.1561,-0,-4.53764,-12.8912,-8.14207,-15.4462,-25.6967,-28.0062,-26.8159,-25.8009,-12.482,-24.3059,-44.6754,-38.2291,-40.9484,-23.4421,-29.5595,-36.0109,-30.6399,-9.43199,-19.438,-20.0981,-31.2538,-7.21422,-11.2549,-35.1438,-20.3274,-16.9295,-17.618,-0,-4.76127,-4.94465,-10.2614,-0,-5.50944,-5.7016,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,3,1,2,3,4,5,6,4,8,5,11,9,12,14,10,7,13,9,4,7,7,11,5,5,3,2,3,4,2,3,1,3,0,0,1,1,1,2,2,0,0,0,0,1,0,0
-551.505,0.994293,0.121526,4,31,0,554.345,-0.520267,-1.8874,-0.927739,-0.888891,3.78256,0.112474,-0.864284,4.94327,2.83774,0.000206042,0.000254477,0.000314706,0.000389815,0.00048381,0.000601945,0.000751198,0.00094095,0.00118397,0.00149784,0.00190682,0.00244426,0.00315507,0.00409731,0.00534181,0.00696843,0.00905877,0.0116857,0.014901,0.0187235,0.0231286,0.0279734,0.0330564,0.0381275,0.0429073,0.0471102,0.0504739,0.0527892,0.0539286,0.0538626,0.0526599,0.0504685,0.0474882,0.0439417,0.0400502,0.0360146,0.0320041,0.0281494,0.0245424,0.0212393,0.0182671,0.0156301,0.0133168,0.0113059,0.00957057,0.00808171,0.00681034,0.00572881,0.00481166,0.00403589,0.00338108,0.00282933,0.00236505,0.0019748,0.00164699,0.00137174,0.00114063,0.000946551,0.000783515,0.000646522,0.000531412,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.5175,-10.9948,-5.23219,-14.8991,-0,-4.44939,-12.619,-7.95596,-15.0667,-25.0355,-27.2763,-26.1345,-25.1897,-12.2211,-23.8904,-44.1217,-37.9612,-40.8985,-23.5512,-29.8641,-36.5673,-31.2489,-9.65287,-19.943,-20.6513,-32.132,-7.41471,-11.5557,-36.0239,-20.7928,-17.2749,-17.9297,-0,-4.81815,-4.98931,-10.3245,-0,-5.51253,-5.68956,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,3,3,3,5,2,10,10,9,15,8,11,13,15,10,6,6,9,10,12,7,4,1,3,3,3,1,2,2,1,1,0,2,1,1,0,1,0,0,0,0,1,0,0,0
-550.333,0.993716,0.121526,4,15,0,552.948,-0.545854,-1.50075,-1.03466,-0.74269,3.84558,0.167421,-0.81703,4.72183,2.59303,8.63738e-05,0.000110157,0.000140692,0.000180025,0.000230902,0.000297056,0.000383646,0.000497921,0.000650252,0.000855723,0.00113649,0.00152508,0.00206832,0.00283113,0.00389854,0.00537433,0.00737511,0.0100197,0.0134147,0.0176372,0.0227187,0.0284753,0.0346444,0.0408957,0.046852,0.0521181,0.0563182,0.0591404,0.0603845,0.0600003,0.0580974,0.0549166,0.0507767,0.046019,0.0409651,0.0358897,0.0310069,0.0264675,0.0223626,0.0187334,0.0155831,0.0128884,0.0106104,0.00870241,0.00711596,0.00580443,0.00472509,0.00384,0.00311629,0.00252591,0.0020452,0.00165438,0.00133704,0.0010796,0.000870908,0.000701785,0.000564731,0.000453629,0.000363509,0.000290346,0.000230899,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.362,-11.7342,-5.54715,-15.6784,-0,-4.6032,-12.9342,-8.07549,-15.1383,-24.911,-26.901,-25.5738,-24.4861,-11.817,-23.0139,-42.4176,-36.4913,-39.3877,-22.7651,-29.0194,-35.7638,-30.787,-9.5851,-19.9638,-20.8413,-32.6865,-7.60073,-11.9323,-37.4541,-21.7571,-18.1837,-18.9766,-0,-5.14913,-5.35487,-11.1246,-0,-5.98115,-6.19226,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,5,6,9,8,7,9,8,10,15,12,8,11,13,15,10,13,3,9,5,4,2,2,3,1,0,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
-548.609,0.999947,0.121526,5,31,0,551.618,-0.986162,-1.61043,-1.17497,-0.675347,4.14948,0.294143,-0.871401,4.98914,2.52345,6.81158e-05,8.82241e-05,0.00011441,0.000148606,0.000193426,0.000252447,0.000330641,0.000435022,0.000575666,0.000767221,0.00103108,0.00139811,0.00191149,0.00262884,0.00362278,0.00497922,0.00679297,0.00916034,0.0121689,0.015885,0.0203412,0.0254392,0.031012,0.0368258,0.0425904,0.047976,0.0526388,0.0562514,0.0585438,0.0593477,0.0586354,0.0565265,0.0532554,0.0491186,0.0444267,0.0394708,0.034503,0.0297241,0.0252798,0.021262,0.0177146,0.0146433,0.0120266,0.00982568,0.00799343,0.00648039,0.00523888,0.0042253,0.00340113,0.00273312,0.00219312,0.00175754,0.00140682,0.00112485,0.000898424,0.000716778,0.000571163,0.000454493,0.000361046,0.000286211,0.000226287,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.5197,-11.8824,-5.62051,-15.9074,-0,-4.69287,-13.2266,-8.28476,-15.5804,-25.7003,-27.7871,-26.4124,-25.249,-12.1482,-23.5544,-43.1689,-36.8938,-39.5408,-22.6913,-28.7305,-35.1919,-30.1352,-9.34175,-19.3932,-20.2003,-31.6422,-7.3555,-11.5525,-36.3003,-21.1189,-17.6825,-18.491,-0,-5.03898,-5.25165,-10.9333,-0,-5.90231,-6.12243,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,3,3,2,6,10,7,11,8,7,12,12,16,11,9,11,15,14,3,7,7,7,5,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-550.709,0.995916,0.121526,4,31,0,553.247,-1.67399,-2.2759,-1.34851,-0.64832,4.00598,0.472512,-0.681094,5.30939,2.6022,0.000103849,0.000135086,0.000175797,0.000228914,0.00029831,0.000389132,0.000508266,0.000664979,0.00087183,0.0011459,0.00151033,0.00199586,0.00264192,0.00349667,0.00461578,0.00605997,0.00789087,0.010165,0.0129259,0.016195,0.0199633,0.0241595,0.0286678,0.0333312,0.0379602,0.0423424,0.0462551,0.0494797,0.0518204,0.0531317,0.0533468,0.0524894,0.0506605,0.0480117,0.044722,0.040982,0.0369807,0.0328952,0.0288794,0.0250571,0.0215166,0.0183114,0.0154644,0.0129749,0.0108255,0.00898905,0.00743326,0.00612456,0.00503021,0.0041197,0.00336541,0.00274287,0.00223077,0.00181072,0.00146707,0.00118657,0.000958077,0.000772304,0.000621517,0.000499316,0.000400424,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.8725,-11.3119,-5.37827,-15.3182,-0,-4.58881,-13.0456,-8.24611,-15.6554,-26.0615,-28.4159,-27.2101,-26.1697,-12.6479,-24.5887,-45.0929,-38.4796,-41.0897,-23.4475,-29.4714,-35.7913,-30.3631,-9.32187,-19.1677,-19.7841,-30.7299,-7.08925,-11.0598,-34.5504,-20.0012,-16.6769,-17.379,-0,-4.71175,-4.90179,-10.1909,-0,-5.49198,-5.69421,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,2,3,2,2,5,6,2,4,10,10,14,11,12,11,12,14,15,6,11,4,5,2,5,3,4,2,2,5,3,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1
-552.425,0.990738,0.121526,5,31,0,556.254,-1.65953,-2.62812,-0.975806,-0.314859,4.02819,-0.0879931,-0.772701,5.02004,2.18947,2.93312e-05,4.22599e-05,6.08896e-05,8.77335e-05,0.000126407,0.000182102,0.000262242,0.000377382,0.000542365,0.000777739,0.00111131,0.00157958,0.00222864,0.00311408,0.00429938,0.00585239,0.00783969,0.010319,0.0133299,0.0168847,0.0209599,0.0254791,0.0303178,0.0353065,0.0402379,0.0448802,0.048993,0.0523473,0.0547472,0.0560507,0.0561869,0.0551647,0.0530691,0.0500479,0.046293,0.0420198,0.0374484,0.0327875,0.0282211,0.0238983,0.0199287,0.0163813,0.0132876,0.010648,0.00843935,0.00662297,0.00515179,0.00397601,0.00304722,0.00232098,0.00175813,0.00132527,0.000994623,0.000743554,0.000553902,0.000411305,0.000304529,0.000224867,0.000165631,0.000121714,8.92414e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.2127,-11.5436,-5.44928,-15.4227,-0,-4.57377,-12.9532,-8.16269,-15.4606,-25.6893,-27.9682,-26.7495,-25.7036,-12.415,-24.1286,-44.2478,-37.7654,-40.341,-23.0326,-28.9743,-35.2339,-29.9477,-9.21829,-19.0177,-19.7088,-30.7594,-7.13537,-11.2018,-35.2404,-20.5581,-17.2837,-18.1695,-0,-5.01721,-5.26841,-11.055,-0,-6.06576,-6.34351,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,5,4,9,8,7,4,14,9,14,9,11,16,14,10,11,9,8,4,5,5,3,2,1,2,2,1,2,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0
