# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 06:51:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c230e110d8.json
# init = /tmp/RtmpC8O1hA/init-b41c2ffceeab_4.json
# random
#   seed = 152008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0007_rep001_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605290751-4-89f687.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0007_rep001_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605290751-4-4fb8fc.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0801349
# Diagonal elements of inverse mass matrix:
# 0.108725, 0.0758563, 0.106789, 0.0463461, 0.156787, 0.191588, 0.440516
-550.302,0.995439,0.0801349,6,63,0,555.518,-0.967627,-1.24506,-1.78906,-0.256445,3.58645,-0.550633,0.360819,5.04122,2.65234,5.33168e-05,7.74517e-05,0.000112097,0.000161508,0.000231436,0.000329511,0.00046565,0.000652461,0.000905591,0.00124398,0.00168996,0.0022692,0.00301046,0.00394541,0.00510905,0.00654195,0.00829709,0.0104562,0.0131636,0.016697,0.0220048,0.0272991,0.0323916,0.0371744,0.0415568,0.0454283,0.0486609,0.0511243,0.0527043,0.0533203,0.0529417,0.0515981,0.0493816,0.0464391,0.0429543,0.0391243,0.0351369,0.0311535,0.0273001,0.0236666,0.0203107,0.017264,0.0145386,0.0121327,0.0100346,0.008226,0.00668454,0.00538517,0.00430173,0.00340793,0.00267824,0.00208855,0.00161666,0.00124258,0.000948681,0.000719734,0.000542805,0.000407095,0.000303724,0.000225488,0.000166617,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.6113,-11.0704,-5.27674,-15.0886,-0,-4.56056,-12.9909,-8.18505,-15.266,-25.2063,-27.4389,-26.3371,-25.4455,-12.3665,-24.183,-44.6024,-38.2598,-41.0401,-23.5085,-29.6427,-36.0981,-30.6961,-9.44286,-19.4461,-20.091,-31.2195,-7.20173,-11.2311,-35.0695,-20.2957,-16.9238,-17.6474,-0,-4.80045,-5.00796,-10.4482,-0,-5.68165,-5.9226,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,2,2,1,7,7,8,7,6,14,6,11,14,7,13,4,11,8,10,6,7,7,11,5,2,4,3,1,1,2,1,0,0,0,3,0,0,0,0,1,0,0,0,0
-552.521,0.996484,0.0801349,5,63,0,557.589,0.503657,-1.67992,-1.6643,-0.355456,5.91003,1.86654,-0.56183,4.78943,2.38245,3.78379e-05,5.39352e-05,7.70144e-05,0.000110246,0.000158395,0.000228798,0.000333161,0.000491025,0.000734469,0.0011025,0.00163334,0.00236462,0.00333414,0.00458021,0.0061416,0.00805705,0.0103643,0.0130983,0.0162884,0.0199527,0.0240889,0.0283892,0.0326785,0.0368246,0.0407161,0.0442518,0.0473344,0.0498678,0.0517545,0.0528954,0.0531889,0.052531,0.0508199,0.0480258,0.0444238,0.0403512,0.0360623,0.0317426,0.0275273,0.0235142,0.0197735,0.016355,0.0132925,0.0106085,0.00831578,0.00641616,0.00489072,0.00369548,0.00277437,0.00207247,0.00154193,0.00114336,0.000845391,0.000623505,0.000458821,0.000336936,0.000246947,0.000180647,0.000131891,9.60947e-05,6.9849e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.4071,-10.772,-5.09267,-14.4636,-0,-4.33527,-12.3519,-7.82878,-14.904,-24.9322,-27.3683,-26.4127,-25.6091,-12.4714,-24.4041,-44.9757,-38.4962,-41.1521,-23.4712,-29.4635,-35.7536,-30.3602,-9.34194,-19.2608,-19.9351,-31.0509,-7.18515,-11.2505,-35.3107,-20.5661,-17.2822,-18.1844,-0,-5.04894,-5.32042,-11.2013,-0,-6.17901,-6.47472,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,3,2,5,3,3,4,5,7,6,9,9,13,10,9,13,5,13,10,11,3,11,7,6,2,3,9,9,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-549.877,0.965628,0.0801349,6,63,0,555.323,-2.93946,-2.32576,-0.914427,-0.730112,2.28259,0.761521,-0.668438,4.94569,2.87708,0.000151627,0.000193064,0.000245871,0.000313195,0.000399072,0.000508692,0.000648738,0.000827857,0.00105728,0.00135166,0.00173027,0.00221868,0.00285106,0.00367349,0.00474818,0.00615747,0.00800481,0.0104089,0.0134892,0.0173406,0.0220009,0.0273851,0.03328,0.0393414,0.0451182,0.05011,0.0538737,0.0561339,0.0568153,0.0560141,0.0539516,0.0509209,0.0472326,0.0431714,0.0389723,0.0348134,0.0308202,0.0270749,0.0236254,0.020494,0.0176852,0.0151904,0.0129931,0.0110718,0.00940223,0.00795947,0.00671877,0.00565646,0.00475046,0.00398051,0.00332828,0.0027774,0.00231336,0.00192343,0.00159651,0.00132296,0.00109448,0.000903954,0.000745288,0.000613323,0.000503696,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.7201,-11.2132,-5.34999,-15.2703,-0,-4.56509,-12.9176,-8.10941,-15.2667,-25.1843,-27.2224,-25.8838,-24.7877,-11.9741,-23.3689,-43.2002,-37.2833,-40.3501,-23.3573,-29.7748,-36.6321,-31.4258,-9.73471,-20.1465,-20.8775,-32.4823,-7.49087,-11.6629,-36.3153,-20.9355,-17.3733,-18.0134,-0,-4.83339,-5.00285,-10.3499,-0,-5.52635,-5.7053,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1,4,4,2,4,5,7,8,7,8,7,9,12,12,10,8,8,15,5,6,11,6,7,4,2,4,4,3,3,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-548.823,0.971738,0.0801349,5,31,0,551.923,-2.52269,-2.85182,-0.967906,-0.635893,3.47513,1.01297,-0.441144,5.2351,2.56432,8.78882e-05,0.000114589,0.000149428,0.000194902,0.000254289,0.000331897,0.000433409,0.00056634,0.000740687,0.000969817,0.00127176,0.00167101,0.00220107,0.00290715,0.00384826,0.00509779,0.00674247,0.00887782,0.0115977,0.0149756,0.0190392,0.0237388,0.0289412,0.0344372,0.0399578,0.045192,0.049806,0.0534716,0.0559171,0.0569934,0.056689,0.0550997,0.0524007,0.0488253,0.0446426,0.0401308,0.0355454,0.0310911,0.0269098,0.0230855,0.0196567,0.0166298,0.0139907,0.011713,0.00976374,0.00810747,0.00670879,0.00553396,0.00455179,0.00373411,0.00305591,0.00249528,0.00203326,0.00165354,0.00134224,0.00108761,0.000879758,0.000710417,0.000572688,0.000460849,0.000370171,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.2376,-11.6812,-5.56014,-15.8368,-0,-4.7242,-13.3708,-8.40266,-15.845,-26.1845,-28.3399,-26.9489,-25.7594,-12.3873,-23.997,-43.9291,-37.4905,-40.1075,-22.9614,-28.9861,-35.386,-30.1951,-9.3272,-19.2937,-20.0217,-31.2375,-7.23053,-11.3056,-35.364,-20.4828,-17.0774,-17.7882,-0,-4.81497,-5.00434,-10.3937,-0,-5.59025,-5.79068,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,1,4,5,4,6,7,8,10,7,9,10,10,9,10,13,13,14,5,3,4,12,4,4,6,1,1,1,2,1,2,2,0,0,1,2,1,0,1,0,0,0,0,0,0
-550.382,0.993503,0.0801349,6,63,0,552.907,-2.19122,-2.6313,-2.40075,-0.0594423,3.48224,0.129965,-0.393679,4.84115,2.12334,1.1179e-05,1.79004e-05,2.8654e-05,4.58415e-05,7.32632e-05,0.000116876,0.000185871,0.00029408,0.000461556,0.000715989,0.00109346,0.00163824,0.00240168,0.00344016,0.0048124,0.00657578,0.00878165,0.0114699,0.014663,0.0183608,0.022537,0.0270783,0.0318413,0.0366575,0.0413405,0.045694,0.0495203,0.0526282,0.0548441,0.0560255,0.0560813,0.0549934,0.0528307,0.0497425,0.0459314,0.0416193,0.0370216,0.0323336,0.0277244,0.0233348,0.0192759,0.0156273,0.0124367,0.00972066,0.00746806,0.00564554,0.00420471,0.00308952,0.00224268,0.00161042,0.00114536,0.000807705,0.000565318,0.000393035,0.000271634,0.000186735,0.000127758,8.70305e-05,5.90539e-05,3.99267e-05,2.69055e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.0632,-11.3445,-5.33656,-15.0731,-0,-4.46803,-12.6673,-7.99507,-15.1704,-25.2632,-27.5759,-26.4491,-25.4873,-12.3432,-24.043,-44.1675,-37.7424,-40.3473,-23.0476,-29.0054,-35.288,-30.009,-9.24182,-19.0752,-19.7775,-30.8848,-7.17089,-11.2734,-35.5401,-20.7937,-17.5484,-18.534,-0,-5.17689,-5.47155,-11.5595,-0,-6.43126,-6.77203,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,2,2,4,1,7,10,8,7,7,15,15,5,10,9,10,15,8,11,7,5,6,9,4,5,4,1,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
-550.297,0.998709,0.0801349,5,31,0,552.507,-3.12007,-2.47472,-1.99671,-0.11034,3.93073,0.102886,-0.508883,5.36613,2.17111,1.11668e-05,1.74695e-05,2.73225e-05,4.27129e-05,6.6716e-05,0.000104052,0.000161865,0.000250735,0.000385851,0.000588158,0.000885235,0.00131171,0.00190916,0.00272532,0.00381262,0.00522562,0.00701739,0.00923453,0.0119114,0.0150643,0.018686,0.0227164,0.027063,0.0316033,0.0361892,0.0406532,0.0448145,0.0484864,0.0514839,0.0536357,0.0548011,0.0548929,0.0538991,0.0518908,0.0490089,0.0454364,0.0413712,0.0370075,0.0325253,0.0280852,0.0238244,0.0198541,0.0162564,0.0130829,0.0103553,0.00806829,0.00619466,0.00469232,0.00351099,0.00259823,0.00190385,0.00138281,0.0009965,0.000713098,0.000507106,0.000358594,0.000252293,0.00017669,0.000123226,8.56111e-05,5.92686e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.5222,-11.8103,-5.56944,-15.7625,-0,-4.68481,-13.2908,-8.39086,-15.9199,-26.4927,-28.8767,-27.6359,-26.5519,-12.8107,-24.8418,-45.3971,-38.5643,-40.9576,-23.2324,-29.0237,-35.0477,-29.5861,-9.04726,-18.5487,-19.111,-29.6697,-6.85147,-10.7175,-33.6334,-19.5967,-16.4771,-17.3458,-0,-4.81981,-5.08407,-10.7237,-0,-5.95293,-6.26388,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,2,2,5,4,3,10,8,7,3,12,9,9,8,12,13,14,15,6,9,7,5,8,8,2,2,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
