# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 07:12:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24ee2b5ab.json
# init = /tmp/RtmpC8O1hA/init-b41c21002403b_2.json
# random
#   seed = 152011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0010_rep001_manuscript_default/prior_sensitivity_obspair_FAST-202605290812-2-66a2d0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0010_rep001_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605290812-2-9a12b5.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0605168
# Diagonal elements of inverse mass matrix:
# 0.0751854, 0.0875756, 0.197535, 0.0796998, 0.385259, 0.12716, 0.313359
-552.77,0.992273,0.0605168,6,63,0,555.317,-1.38313,-0.987832,-1.53741,0.25391,0.87312,-1.20807,-2.44469,4.66222,2.40268,2.3719e-05,3.92193e-05,6.38612e-05,0.000102321,0.000161209,0.000249628,0.000379778,0.00056758,0.000833277,0.00120196,0.00170399,0.0023752,0.00325694,0.00439578,0.00584296,0.00765337,0.00988419,0.012593,0.0158353,0.0196621,0.0241162,0.0289893,0.0340464,0.0390365,0.0437067,0.0478172,0.0511572,0.053559,0.0549106,0.055163,0.0543327,0.052498,0.0497897,0.0463774,0.0424532,0.0382144,0.0338488,0.0295219,0.0253694,0.0214936,0.0179635,0.0148175,0.0120685,0.00970927,0.00771807,0.00606348,0.00470877,0.00361515,0.00274425,0.00205988,0.001529,0.00112243,0.000814938,0.000585255,0.000415781,0.000292238,0.000203246,0.000139892,9.53069e-05,6.42848e-05,4.29377e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.4539,-10.8542,-5.14252,-14.6178,-0,-4.37462,-12.4365,-7.85813,-14.8995,-24.7858,-27.0402,-25.9461,-25.042,-12.1615,-23.7828,-43.9046,-37.7266,-40.5645,-23.301,-29.4698,-35.9994,-30.7094,-9.47806,-19.5872,-20.3151,-31.7036,-7.34842,-11.52,-36.1747,-21.0597,-17.6686,-18.5387,-0,-5.10547,-5.35833,-11.2452,-0,-6.18511,-6.48314,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,2,2,7,5,7,10,10,10,11,9,14,9,13,11,14,15,6,6,7,1,6,5,5,1,1,0,3,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
-548.642,0.992646,0.0605168,6,63,0,554.939,-1.96658,-1.97444,-2.56038,-0.337666,3.168,0.0594485,0.0464449,4.95046,2.44723,4.30367e-05,6.15071e-05,8.79098e-05,0.000125648,0.000179569,0.000256544,0.000366235,0.000522028,0.000742068,0.00105019,0.00147646,0.00205719,0.0028343,0.00385415,0.0051662,0.00682133,0.00887052,0.0113642,0.0143536,0.0178977,0.0220849,0.0266757,0.0314722,0.0362841,0.0409194,0.0451815,0.0488723,0.0517994,0.0537897,0.0547106,0.054496,0.0531688,0.0508451,0.0477127,0.0439936,0.0399091,0.0356567,0.0314015,0.0272748,0.0233768,0.0197796,0.0165299,0.0136517,0.0111495,0.00901155,0.00721392,0.00572443,0.0045065,0.00352236,0.00273548,0.00211214,0.0016224,0.00124041,0.000944361,0.000716222,0.000541303,0.000407795,0.000306306,0.000229439,0.000171413,0.000127741,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.7319,-11.1172,-5.26562,-14.9631,-0,-4.47729,-12.7313,-8.04616,-15.2514,-25.368,-27.6692,-26.531,-25.5692,-12.3883,-24.1484,-44.4057,-37.9947,-40.6798,-23.277,-29.3428,-35.7477,-30.4256,-9.37113,-19.3269,-20.0029,-31.1481,-7.20359,-11.268,-35.3079,-20.5129,-17.1756,-17.9854,-0,-4.93174,-5.16301,-10.8045,-0,-5.90145,-6.16005,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,4,0,1,4,8,4,5,8,6,11,6,12,13,8,15,15,10,9,8,7,9,2,4,4,4,3,2,2,3,4,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
-549.094,0.964705,0.0605168,6,63,0,552.602,-1.25935,-3.06333,-1.01936,0.263367,5.12179,-0.518074,-1.89898,5.31601,2.10763,7.45001e-06,1.35535e-05,2.43188e-05,4.29305e-05,7.43854e-05,0.000126233,0.000209431,0.000339246,0.000536068,0.000825989,0.00124099,0.00181852,0.0026004,0.00363084,0.00495371,0.00660897,0.00862861,0.0110323,0.0138234,0.0169853,0.0204796,0.0242404,0.0281787,0.0321842,0.0361308,0.0398815,0.0432965,0.0462404,0.0485911,0.0502467,0.0511331,0.0512094,0.0504715,0.0489525,0.0467213,0.043877,0.0405418,0.0368513,0.0329461,0.0289633,0.0250291,0.021254,0.0177281,0.0145188,0.0116703,0.00920353,0.00711912,0.00540012,0.00401642,0.0029291,0.00209483,0.0014696,0.00101173,0.000683867,0.000454163,0.000296561,0.000190566,0.000120616,7.52672e-05,4.63526e-05,2.81989e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.9042,-11.2366,-5.30762,-15.058,-0,-4.50693,-12.8442,-8.15081,-15.5533,-26.0381,-28.5535,-27.4902,-26.5649,-12.8874,-25.1175,-46.1085,-39.3161,-41.8714,-23.7866,-29.7183,-35.8362,-30.1691,-9.19067,-18.7582,-19.2325,-29.7078,-6.82576,-10.6252,-33.1894,-19.256,-16.1304,-16.9292,-0,-4.68817,-4.94497,-10.4427,-0,-5.83306,-6.16828,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,3,3,4,2,6,7,9,7,11,7,9,7,10,9,6,11,8,7,8,8,12,7,3,8,5,6,1,1,2,0,1,3,2,0,0,0,2,0,0,0,0,0,0,0,0
-550.48,0.997018,0.0605168,6,63,0,552.479,-1.90579,-2.12656,-2.54387,0.825263,2.97867,-0.472721,-0.245369,4.861,2.12506,1.37734e-06,3.46597e-06,8.29173e-06,1.87694e-05,4.00889e-05,8.07366e-05,0.000153521,0.000276423,0.000473129,0.00077319,0.00121176,0.00182897,0.00266881,0.00377769,0.00520253,0.0069885,0.00917656,0.0118011,0.0148879,0.0184533,0.0225049,0.0268978,0.0314775,0.0360809,0.0405378,0.0446757,0.0483246,0.0513228,0.0535249,0.0548103,0.0550937,0.0543366,0.0525579,0.0498408,0.0463319,0.0422288,0.0377571,0.033141,0.0285764,0.0242163,0.0201673,0.0164967,0.0132412,0.0104149,0.00801474,0.00602387,0.00441381,0.00314697,0.00217928,0.00146324,0.000951042,0.000597537,0.000362512,0.000212193,0.000119786,6.52127e-05,3.42508e-05,1.7368e-05,8.51239e-06,4.03821e-06,1.85731e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.8522,-11.1573,-5.25861,-14.8905,-0,-4.43957,-12.6216,-7.98502,-15.1761,-25.31,-27.6679,-26.5759,-25.6442,-12.4333,-24.2385,-44.5443,-38.0589,-40.6543,-23.1898,-29.1256,-35.3501,-29.9892,-9.21578,-18.9879,-19.6595,-30.6629,-7.11035,-11.1622,-35.1332,-20.523,-17.2977,-18.2581,-0,-5.11203,-5.42302,-11.5226,-0,-6.5271,-6.95795,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,5,4,7,3,4,3,7,8,10,10,8,12,6,11,20,5,9,5,10,10,8,3,1,6,2,3,1,1,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0
-547.663,0.982613,0.0605168,6,63,0,553.743,-1.83106,-3.66008,-1.17097,-0.354714,3.51748,-0.123083,-0.848001,4.97144,2.29706,4.76914e-05,6.77075e-05,9.61092e-05,0.00013639,0.000193474,0.000274272,0.00038842,0.000549222,0.000774774,0.0010892,0.00152377,0.0021176,0.00291748,0.00397657,0.0053515,0.007098,0.00926504,0.0118879,0.0149811,0.0185318,0.022495,0.0267808,0.0312629,0.0357828,0.0401583,0.0441942,0.0476956,0.0504831,0.0524093,0.0533731,0.0533314,0.0523027,0.0503627,0.0476341,0.044273,0.0404544,0.0363582,0.0321574,0.0280069,0.0240359,0.0203428,0.0169941,0.0140258,0.0114478,0.00924917,0.00740419,0.00587808,0.00463168,0.00362507,0.00282012,0.00218201,0.00168004,0.00128784,0.00098325,0.00074797,0.000567099,0.000428652,0.000323088,0.00024288,0.000182131,0.000136255,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.6741,-11.0547,-5.23038,-14.8438,-0,-4.43223,-12.6029,-7.97654,-15.1779,-25.3405,-27.7226,-26.6423,-25.7194,-12.4766,-24.3433,-44.7917,-38.3327,-41.0263,-23.4498,-29.5071,-35.8621,-30.4421,-9.35214,-19.2455,-19.886,-30.934,-7.15061,-11.1846,-35.0553,-20.3745,-17.0674,-17.8798,-0,-4.90571,-5.13652,-10.7497,-0,-5.87098,-6.12751,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,4,1,4,0,3,3,4,4,6,4,14,13,7,5,9,9,11,10,12,13,6,9,7,6,6,3,5,5,3,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
-547.934,0.9842,0.0605168,6,63,0,549.653,-1.3117,-2.08118,-1.67316,0.15025,4.59864,0.0200216,-1.46555,4.8829,2.01432,4.55007e-06,8.10498e-06,1.44041e-05,2.55059e-05,4.49119e-05,7.84231e-05,0.000135308,0.000229705,0.000382031,0.00062011,0.000979733,0.00150451,0.00224497,0.00325673,0.00459782,0.00632489,0.00848843,0.0111271,0.0142621,0.0178913,0.0219861,0.0264506,0.0311559,0.0359449,0.0406389,0.0450467,0.0489731,0.0522295,0.0546435,0.0560714,0.0564118,0.0556219,0.053732,0.0508518,0.0471599,0.0428762,0.0382304,0.0334369,0.0286821,0.0241206,0.0198746,0.016034,0.0126569,0.00977072,0.00737412,0.00544117,0.00392687,0.00277404,0.00192038,0.0013046,0.000871133,0.000572709,0.000371327,0.000237821,0.000150681,9.45719e-05,5.8867e-05,3.63776e-05,2.23373e-05,1.36393e-05,8.2869e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.1981,-11.4541,-5.38217,-15.1898,-0,-4.49837,-12.7505,-8.04688,-15.2694,-25.4273,-27.75,-26.6061,-25.6242,-12.4002,-24.1319,-44.2816,-37.79,-40.3358,-23.0006,-28.8918,-35.085,-29.7884,-9.16264,-18.8966,-19.5847,-30.5829,-7.10297,-11.1741,-35.2648,-20.6652,-17.4782,-18.5135,-0,-5.21376,-5.53991,-11.7749,-0,-6.64186,-7.04572,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,4,2,3,3,5,5,8,7,9,12,10,15,10,13,16,5,13,8,5,9,7,5,7,2,2,2,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
