# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 07:24:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26ce1b91.json
# init = /tmp/RtmpC8O1hA/init-b41c264ceb83d_3.json
# random
#   seed = 252002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0011_rep002_accurate_weak/prior_sensitivity_obspair_FAST-202605290824-3-284586.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0011_rep002_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605290824-3-444740.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0808909
# Diagonal elements of inverse mass matrix:
# 0.110311, 0.108676, 0.185078, 0.0448298, 0.111689, 0.0981607, 0.222409
-525.748,0.994399,0.0808909,6,63,0,527.574,-1.606,-2.76245,-1.3514,-0.319564,3.76226,0.206052,-0.333459,4.72818,2.1795,3.1858e-05,4.5828e-05,6.59329e-05,9.48752e-05,0.000136553,0.000196589,0.000283088,0.000407699,0.000587042,0.000844496,0.00121215,0.00173241,0.00245869,0.00345451,0.00479074,0.00654095,0.0087745,0.0115478,0.0148943,0.0188147,0.0232691,0.0281406,0.0332643,0.0384346,0.0434164,0.0479607,0.0518204,0.0547697,0.0566248,0.0572686,0.0566704,0.0548926,0.0520777,0.0484228,0.044153,0.0395011,0.0346914,0.0299263,0.0253761,0.0211711,0.017398,0.014101,0.0112874,0.00893564,0.00700518,0.00544501,0.00420078,0.00321973,0.00245365,0.00186039,0.00140425,0.0010557,0.000790808,0.000590456,0.000439558,0.000326336,0.000241671,0.000178553,0.000131629,9.68332e-05,7.109e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.71536,-6.35824,-0,-0,-5.34107,-5.02967,-0,-4.46126,-16.8271,-7.94623,-15.0425,-14.2822,-27.2262,-29.3292,-40.7799,-21.2616,-32.5597,-29.0462,-25.8418,-25.74,-40.1871,-26.1214,-47.2803,-24.2223,-43.6813,-25.8514,-13.4451,-14.0361,-25.7176,-23.1307,-20.257,-0,-8.96814,-9.43541,-14.8833,-5.21306,-5.47248,-0,-0,-0,-6.56825,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,4,2,6,7,8,10,10,7,12,6,12,11,19,8,9,4,11,6,7,5,5,4,4,6,1,1,0,1,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0
-526.875,0.999408,0.0808909,6,63,0,528.028,-1.57198,-2.07828,-2.26717,-0.26766,4.52177,1.2084,-1.11148,4.77703,2.12061,2.21513e-05,3.24929e-05,4.76749e-05,6.99766e-05,0.000102767,0.000151046,0.000222271,0.00032765,0.00048417,0.000717495,0.00106446,0.00157192,0.00229344,0.00328739,0.00461548,0.00634103,0.0085259,0.0112256,0.0144811,0.0183072,0.022679,0.0274606,0.0324755,0.0375268,0.0424136,0.0469377,0.0509045,0.0541219,0.0564001,0.0575545,0.0574255,0.0559566,0.0532966,0.0497159,0.0454865,0.040849,0.0360112,0.031153,0.0264317,0.021985,0.0179306,0.0143575,0.0113128,0.00879504,0.0067629,0.00515349,0.0038975,0.00292871,0.00218854,0.0016275,0.00120508,0.000888886,0.000653389,0.000478778,0.000349827,0.000254934,0.000185329,0.000134422,9.72897e-05,7.02711e-05,5.06556e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.84528,-6.45546,-0,-0,-5.37834,-5.06071,-0,-4.48956,-16.9396,-8.00092,-15.1453,-14.38,-27.4181,-29.5443,-41.0837,-21.4125,-32.7558,-29.1652,-25.8776,-25.6952,-40.0017,-25.9486,-46.9101,-24.0114,-43.2647,-25.583,-13.2957,-13.8754,-25.4323,-22.9044,-20.1062,-0,-8.96363,-9.46714,-14.9889,-5.26808,-5.54742,-0,-0,-0,-6.72121,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,2,10,5,11,7,9,9,13,4,8,6,9,14,14,7,6,14,12,3,2,4,4,9,1,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
-529.049,0.983687,0.0808909,6,63,0,532.362,-3.16828,-1.7495,-0.184758,0.17526,2.21927,-1.05428,-0.607837,4.61465,2.07473,6.08018e-06,1.05393e-05,1.81291e-05,3.09132e-05,5.21922e-05,8.71408e-05,0.000143691,0.0002337,0.000374401,0.000590086,0.000913842,0.00138909,0.00207046,0.0030236,0.00432319,0.00604891,0.00827898,0.0110814,0.0145039,0.0185627,0.0232334,0.0284164,0.0339462,0.0395939,0.0450788,0.0500903,0.0543183,0.0574873,0.0593896,0.0599094,0.0590352,0.0568575,0.0535528,0.0493592,0.0445478,0.0393941,0.0341548,0.0290498,0.0242523,0.0198846,0.0160202,0.0126892,0.00988652,0.00758102,0.00572423,0.00425841,0.00312288,0.00225884,0.00161241,0.00113652,0.000791452,0.000544838,0.000370973,0.00024997,0.000166776,0.000110232,7.22152e-05,4.69145e-05,3.02376e-05,1.93439e-05,1.22881e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.99785,-6.57911,-0,-0,-5.44376,-5.10788,-0,-4.50248,-16.9334,-7.9732,-15.0487,-14.2432,-27.0638,-29.0617,-40.2915,-20.9575,-32.0418,-28.5619,-25.4127,-25.3343,-39.6147,-25.8049,-46.8334,-24.069,-43.5567,-25.8731,-13.5074,-14.155,-26.0347,-23.5069,-20.6695,-0,-9.23317,-9.76422,-15.4891,-5.45886,-5.769,-0,-0,-0,-7.14164,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,2,1,3,5,11,7,10,6,4,14,5,7,12,6,10,16,13,10,8,12,13,5,2,1,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-525.487,0.994169,0.0808909,6,63,0,532.373,-1.67665,-1.85675,-1.42084,0.17752,4.59691,-0.157586,-0.630258,5.14008,2.03244,2.96591e-06,5.34065e-06,9.57657e-06,1.70712e-05,3.01863e-05,5.28093e-05,9.11366e-05,0.000154688,0.000257512,0.000419498,0.00066764,0.00103708,0.00157172,0.00232408,0.00335427,0.00472761,0.00651097,0.00876771,0.0115516,0.0148999,0.0188277,0.0232729,0.028132,0.0332594,0.0384714,0.0435525,0.0482655,0.0523644,0.0556104,0.057792,0.0587479,0.058392,0.0567343,0.0538891,0.0500623,0.0455181,0.0405384,0.0353875,0.030291,0.0254286,0.0209333,0.0168947,0.013364,0.0103579,0.00786478,0.00585026,0.00426406,0.00304663,0.00213526,0.00146925,0.000993607,0.000661185,0.000433483,0.000280366,0.000179119,0.000113176,7.08052e-05,4.39071e-05,2.70135e-05,1.65034e-05,1.00194e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.31176,-6.87134,-0,-0,-5.69752,-5.35434,-0,-4.73668,-17.8437,-8.4128,-15.8897,-15.0419,-28.5668,-30.6308,-42.3519,-21.9365,-33.3414,-29.4953,-26.0045,-25.6581,-39.683,-25.5652,-45.91,-23.3666,-41.9228,-24.7172,-12.822,-13.3656,-24.4783,-22.0313,-19.3321,-0,-8.63038,-9.14001,-14.5361,-5.14127,-5.45753,-0,-0,-0,-6.91417,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,2,3,2,5,2,13,5,6,7,8,9,13,12,9,12,5,19,13,5,10,5,3,2,6,4,5,2,2,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0
-527.803,0.988256,0.0808909,5,63,0,530.148,-1.04386,-2.31862,-0.763701,-0.667256,4.05534,0.181584,-0.192193,5.01511,2.50347,9.8521e-05,0.000127605,0.000165376,0.0002145,0.000278505,0.000362092,0.000471573,0.000615498,0.000805553,0.00105784,0.00139463,0.00184663,0.00245544,0.00327567,0.00437556,0.00583509,0.00774052,0.0101752,0.013207,0.016874,0.0211711,0.0259969,0.0311884,0.0365255,0.0417424,0.0465475,0.0506481,0.0537804,0.0557419,0.0564217,0.0558167,0.0540256,0.0512254,0.0476407,0.0435154,0.0390897,0.0345816,0.0301738,0.0260061,0.0221738,0.0187309,0.0156971,0.0130662,0.0108143,0.00890737,0.00730668,0.00597268,0.0048675,0.00395641,0.00320842,0.00259649,0.00209737,0.00169133,0.00136174,0.00109472,0.000878759,0.000704334,0.000563625,0.000450229,0.000358926,0.000285472,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.57512,-6.29439,-0,-0,-5.43172,-5.14387,-0,-4.5878,-17.308,-8.16396,-15.4205,-14.5991,-27.7417,-29.7877,-41.2911,-21.471,-32.8114,-29.2285,-25.9832,-25.8741,-40.3996,-26.2647,-47.5443,-24.3525,-43.885,-25.9352,-13.4577,-14.0031,-25.546,-22.8531,-19.8879,-0,-8.67545,-9.05377,-14.1626,-4.91897,-5.12056,-0,-0,-0,-5.9536,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,3,2,7,6,3,9,11,6,14,10,10,8,6,14,11,4,8,15,6,5,10,4,2,2,3,2,2,2,1,2,0,0,1,2,0,1,1,0,0,0,0,0,0
-527.723,0.998537,0.0808909,6,63,0,530.266,-2.22528,-2.36557,-2.4246,0.522037,3.33823,-0.199219,-0.119452,4.76872,1.99929,1.03414e-06,2.32229e-06,5.13781e-06,1.11392e-05,2.35216e-05,4.80646e-05,9.44936e-05,0.000177961,0.000320349,0.000551114,0.00090756,0.00143449,0.00218325,0.00321015,0.00457406,0.00633322,0.00854118,0.0112422,0.0144671,0.0182295,0.0225254,0.0272181,0.0321485,0.0371384,0.041995,0.0465175,0.0505047,0.0537621,0.0561121,0.0574055,0.0575376,0.0564671,0.0542342,0.050969,0.0468821,0.042233,0.0372886,0.0322866,0.0274184,0.0228269,0.0186137,0.0148469,0.0115661,0.00878553,0.00649655,0.00466973,0.00325889,0.00220623,0.00144829,0.00092197,0.000569491,0.000341676,0.0001994,0.000113391,6.29543e-05,3.41949e-05,1.82092e-05,9.52574e-06,4.90472e-06,2.49005e-06,1.24848e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.00475,-6.54695,-0,-0,-5.38735,-5.06195,-0,-4.48808,-16.9435,-8.00943,-15.1724,-14.4155,-27.4991,-29.6379,-41.2127,-21.4755,-32.8426,-29.2319,-25.9236,-25.7185,-39.9744,-25.8669,-46.6311,-23.8123,-42.8417,-25.3164,-13.1563,-13.7324,-25.1758,-22.6789,-19.9193,-0,-8.91936,-9.4693,-15.1095,-5.36665,-5.72637,-0,-0,-0,-7.47077,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,4,4,9,5,12,3,14,11,7,10,13,7,11,7,8,8,12,9,3,7,6,3,4,7,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
