# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 07:36:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25f50032d.json
# init = /tmp/RtmpC8O1hA/init-b41c2475d3b1d_4.json
# random
#   seed = 252003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0012_rep002_accurate_moderate/prior_sensitivity_obspair_FAST-202605290836-4-9f9a7f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0012_rep002_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605290836-4-187a8f.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.110804
# Diagonal elements of inverse mass matrix:
# 0.109321, 0.0840179, 0.0246574, 0.0172433, 0.0417788, 0.0275984, 0.0501975
-527.421,0.99754,0.110804,5,31,0,530.349,-2.09865,-3.00503,-1.38549,0.0909266,3.63508,-0.288428,-0.636604,4.89921,2.03372,5.71167e-06,9.81042e-06,1.68028e-05,2.86655e-05,4.86393e-05,8.19323e-05,0.000136703,0.000225336,0.000365934,0.000583862,0.000913041,0.00139666,0.00208693,0.00304366,0.00433125,0.00601418,0.00815101,0.0107873,0.013948,0.0176306,0.0218,0.026367,0.0312022,0.03614,0.0409862,0.0455281,0.0495478,0.052837,0.0552135,0.0565378,0.0567292,0.0557768,0.0537427,0.050755,0.0469916,0.0426598,0.0379768,0.0331531,0.0283796,0.0238189,0.0195991,0.0158106,0.0125057,0.00970112,0.00738384,0.00551758,0.00405093,0.00292476,0.00207872,0.00145593,0.00100601,0.000686547,0.000463248,0.000309372,0.00020469,0.000134292,8.74372e-05,5.65401e-05,3.63346e-05,2.3219e-05,1.47622e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.99873,-6.57367,-0,-0,-5.4419,-5.11364,-0,-4.52939,-17.0897,-8.07624,-15.3034,-14.5426,-27.7381,-29.8832,-41.5288,-21.626,-33.053,-29.4054,-26.0689,-25.8556,-40.1725,-25.9776,-46.7767,-23.846,-42.809,-25.236,-13.0831,-13.6265,-24.9346,-22.4237,-19.6613,-0,-8.76315,-9.27103,-14.7254,-5.19982,-5.50881,-0,-0,-0,-6.90176,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,4,4,6,6,12,5,7,7,12,13,13,19,7,9,8,11,9,5,5,8,3,4,1,0,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
-526.318,0.994744,0.110804,5,31,0,529.615,-2.89028,-3.00869,-1.3912,-0.0941284,3.38994,0.111818,-0.784903,4.77721,1.97711,7.48844e-06,1.18032e-05,1.86027e-05,2.93154e-05,4.61857e-05,7.27317e-05,0.000114443,0.000179817,0.000281845,0.000439976,0.000682475,0.00104879,0.00159139,0.00237634,0.00348219,0.0049964,0.00700893,0.00960251,0.0128401,0.0167509,0.0213175,0.026451,0.0319985,0.0377483,0.0434405,0.0487831,0.0534725,0.0572157,0.0597592,0.060921,0.0606218,0.0588996,0.0559003,0.0518493,0.0470193,0.0417011,0.0361807,0.0307192,0.0255364,0.0207992,0.016615,0.0130333,0.0100536,0.00763776,0.00572329,0.00423645,0.00310193,0.00224943,0.00161735,0.0011541,0.00081799,0.000576282,0.000403805,0.000281572,0.000195473,0.000135157,9.31094e-05,6.39264e-05,4.37531e-05,2.9859e-05,2.03215e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.28978,-6.86011,-0,-0,-5.66009,-5.29904,-0,-4.64573,-17.4207,-8.17861,-15.3929,-14.5298,-27.5365,-29.4913,-40.7727,-21.1426,-32.2145,-28.6093,-25.3569,-25.1836,-39.2434,-25.4873,-46.147,-23.6753,-42.8008,-25.4178,-13.2769,-13.9315,-25.6735,-23.237,-20.4873,-0,-9.19964,-9.7493,-15.4896,-5.46403,-5.77573,-0,-0,-0,-7.10866,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,1,3,9,3,13,12,11,8,5,13,13,17,9,9,10,13,8,11,2,5,5,3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-526.417,0.99691,0.110804,5,31,0,529.196,-1.82616,-2.97415,-0.953316,-0.325265,3.63127,-0.0875594,-1.37881,4.91435,2.18612,3.31921e-05,4.76317e-05,6.83503e-05,9.8073e-05,0.000140699,0.000201793,0.000289268,0.000414303,0.000592536,0.000845513,0.00120229,0.00170091,0.00238932,0.00332519,0.00457408,0.00620553,0.00828681,0.0108746,0.0140051,0.017684,0.0218781,0.026501,0.0314171,0.0364451,0.0413673,0.0459433,0.0499283,0.0530946,0.0552542,0.0562803,0.0561229,0.0548126,0.0524538,0.0492095,0.0452822,0.0408938,0.0362669,0.031608,0.0270942,0.0228642,0.0190149,0.0156017,0.0126443,0.0101336,0.0080401,0.00632191,0.00493111,0.00381885,0.00293868,0.00224855,0.00171178,0.00129722,0.000979046,0.00073618,0.000551702,0.000412185,0.000307081,0.000228182,0.000169141,0.000125088,9.23049e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.72353,-6.37659,-0,-0,-5.38735,-5.08231,-0,-4.52133,-17.0733,-8.07019,-15.2891,-14.5223,-27.6832,-29.8075,-41.4084,-21.5624,-32.9688,-29.3568,-26.0623,-25.8967,-40.323,-26.1345,-47.1652,-24.0933,-43.3278,-25.5742,-13.2674,-13.8174,-25.2591,-22.6691,-19.8127,-0,-8.7411,-9.1838,-14.4699,-5.06373,-5.31219,-0,-0,-0,-6.37022,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,2,7,8,9,4,8,7,10,10,13,10,10,10,5,11,9,7,6,10,6,9,3,1,5,2,2,2,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0
-528.081,0.996823,0.110804,5,31,0,530.297,-2.52387,-2.22501,-0.824223,-0.491317,3.00343,-0.0438642,-0.554608,5.05304,2.45873,5.17658e-05,7.03301e-05,9.55692e-05,0.000129896,0.000176607,0.000240204,0.000326857,0.000445015,0.000606267,0.000826482,0.00112732,0.00153807,0.00209779,0.00285729,0.00388033,0.00524321,0.00703155,0.00933367,0.0122301,0.0157798,0.0200051,0.0248541,0.0302,0.0358352,0.0414768,0.0467855,0.0514013,0.0549913,0.0573013,0.0581942,0.0576639,0.0558229,0.0528735,0.0490732,0.0446996,0.0400214,0.0352763,0.0306573,0.0263074,0.0223208,0.0187492,0.0156097,0.0128939,0.0105767,0.00862233,0.00699046,0.00563957,0.00452965,0.00362366,0.00288841,0.00229475,0.00181761,0.00143568,0.00113109,0.000888992,0.000697137,0.00054552,0.000426002,0.000332002,0.000258229,0.000200444,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.78792,-6.47723,-0,-0,-5.55183,-5.25082,-0,-4.67413,-17.6154,-8.29805,-15.6471,-14.7789,-27.9993,-29.9594,-41.3741,-21.4353,-32.649,-29.0058,-25.7349,-25.5957,-39.9437,-25.9701,-47.0376,-24.1155,-43.5091,-25.7467,-13.3782,-13.9395,-25.4653,-22.8134,-19.883,-0,-8.702,-9.09821,-14.2602,-4.96321,-5.17795,-0,-0,-0,-6.07713,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,2,3,2,8,2,6,9,8,10,12,10,15,13,6,3,11,8,16,9,9,5,5,0,4,5,4,5,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
-525.985,0.999794,0.110804,5,31,0,529.692,-1.77098,-1.88859,-0.987689,-0.372436,3.31749,-0.115064,-0.595897,4.777,2.26593,3.05531e-05,4.31446e-05,6.09365e-05,8.60856e-05,0.000121649,0.000171964,0.000243181,0.000344027,0.000486842,0.000689002,0.000974739,0.00137733,0.00194144,0.00272508,0.00380054,0.00525324,0.00717778,0.00967049,0.0128185,0.016686,0.0212998,0.0265818,0.0323718,0.0384252,0.044421,0.0499853,0.0547279,0.058292,0.0604082,0.0609379,0.0598934,0.0574254,0.053787,0.0492883,0.0442533,0.0389864,0.0337492,0.0287479,0.0241292,0.0199833,0.0163513,0.0132355,0.0106107,0.00843392,0.00665306,0.00521308,0.0040605,0.00314605,0.00242605,0.00186294,0.00142512,0.00108646,0.000825701,0.000625747,0.000472977,0.000356642,0.000268313,0.000201429,0.000150907,0.000112829,8.41884e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.93334,-6.58761,-0,-0,-5.57261,-5.24891,-0,-4.63868,-17.4275,-8.18637,-15.3962,-14.5101,-27.4437,-29.3314,-40.4826,-20.9722,-31.9592,-28.4229,-25.2597,-25.1811,-39.4126,-25.7154,-46.7636,-24.0806,-43.6496,-25.9563,-13.5552,-14.1968,-26.0703,-23.4771,-20.5673,-0,-9.09179,-9.55099,-15.038,-5.25658,-5.50645,-0,-0,-0,-6.5535,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,5,1,5,11,4,7,9,10,19,11,11,21,10,11,10,10,7,5,4,6,4,2,1,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
-526.766,0.994526,0.110804,5,63,0,529.251,-1.36631,-2.04736,-1.19352,-0.327461,3.4609,-0.199306,-0.50065,4.68523,2.27099,3.63899e-05,5.21781e-05,7.48111e-05,0.000107247,0.00015371,0.000220212,0.000315271,0.000450863,0.000643654,0.000916465,0.00129988,0.00183374,0.0025681,0.00356319,0.00488773,0.00661542,0.00881927,0.0115641,0.0148978,0.0188423,0.023386,0.0284045,0.0337178,0.0390956,0.0442696,0.0489514,0.0528575,0.0557377,0.0574055,0.057764,0.0568188,0.0546751,0.0515177,0.0475813,0.04312,0.038381,0.0335868,0.0289228,0.024532,0.0205142,0.0169287,0.0137993,0.011122,0.00887207,0.00701112,0.00549365,0.0042718,0.00329893,0.00253195,0.00193255,0.00146773,0.00110973,0.000835677,0.000627007,0.000468883,0.000349574,0.000259898,0.000192726,0.000142567,0.000105218,7.74777e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.64548,-6.3014,-0,-0,-5.32103,-5.01835,-0,-4.45985,-16.8262,-7.9433,-15.0225,-14.2448,-27.1178,-29.1757,-40.5269,-21.1185,-32.3417,-28.871,-25.7185,-25.6625,-40.1504,-26.1571,-47.4533,-24.3625,-44.0128,-26.0815,-13.5745,-14.1725,-25.9544,-23.3198,-20.3937,-0,-8.99765,-9.44969,-14.8808,-5.20416,-5.45572,-0,-0,-0,-6.52404,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,1,2,2,5,3,8,5,16,5,13,8,16,6,13,10,9,13,11,10,6,6,4,8,1,1,2,4,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
