# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 07:41:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c273a63eb1.json
# init = /tmp/RtmpC8O1hA/init-b41c24ebb21d1_1.json
# random
#   seed = 252004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0013_rep002_accurate_strong/prior_sensitivity_obspair_FAST-202605290841-1-151768.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0013_rep002_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605290841-1-947dbd.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.209014
# Diagonal elements of inverse mass matrix:
# 0.0487333, 0.034278, 0.00783464, 0.00630608, 0.0112202, 0.00602525, 0.00626851
-527.049,0.981518,0.209014,4,15,0,530.155,-1.51282,-1.91769,-1.37114,-0.541771,3.24236,-0.00775568,-1.10607,4.87932,2.50149,8.09482e-05,0.000108405,0.00014523,0.000194657,0.000261063,0.000350384,0.000470685,0.000632939,0.000852056,0.0011482,0.00154834,0.00208783,0.00281167,0.00377474,0.00504061,0.00667836,0.00875738,0.0113404,0.0144753,0.0181865,0.0224675,0.0272138,0.0322666,0.0374158,0.0424087,0.0469669,0.0508098,0.0536856,0.055406,0.0558747,0.0551011,0.0531927,0.0503303,0.0467369,0.0426487,0.0382934,0.0338734,0.0295565,0.025471,0.0217052,0.0183114,0.015311,0.0127016,0.0104639,0.0085678,0.0069776,0.00565558,0.00456476,0.00367055,0.00294162,0.00235033,0.00187277,0.00148852,0.0011804,0.000934065,0.000737662,0.000581448,0.000457472,0.000359276,0.000281639,0.000220358,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.47057,-6.17163,-0,-0,-5.29023,-5.00888,-0,-4.47938,-16.9412,-8.01415,-15.1827,-14.4161,-27.4698,-29.571,-41.0852,-21.4082,-32.7763,-29.2461,-26.0376,-25.9618,-40.5802,-26.4045,-47.8264,-24.5058,-44.1666,-26.0998,-13.5405,-14.0858,-25.6915,-22.9812,-20.0012,-0,-8.73206,-9.11965,-14.2792,-4.96505,-5.17511,-0,-0,-0,-6.0532,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,4,2,5,4,8,9,5,4,14,6,6,8,16,5,7,11,13,14,5,13,5,5,6,4,4,2,2,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0
-528.973,0.980116,0.209014,4,15,0,533.27,-1.28162,-1.78515,-1.24554,-0.623547,3.2159,-0.0988021,-1.15177,4.8719,2.59689,0.000109532,0.00014347,0.000188024,0.000246581,0.000323649,0.000425243,0.000559429,0.000737037,0.000972633,0.00128576,0.00170245,0.00225684,0.00299261,0.00396364,0.0052333,0.00687172,0.00895082,0.0115372,0.0146836,0.0184196,0.0227434,0.0275409,0.0326385,0.0378077,0.0427774,0.0472546,0.0509542,0.053633,0.0551242,0.0553607,0.0543808,0.0523145,0.049356,0.0457331,0.0416795,0.0374136,0.0331246,0.0289642,0.0250449,0.0214414,0.0181951,0.0153208,0.0128129,0.0106516,0.0088087,0.00725126,0.00594514,0.00485692,0.00395535,0.00321205,0.0026018,0.00210266,0.0016957,0.00136485,0.00109657,0.000879501,0.000704221,0.000562934,0.000449225,0.000357839,0.000284487,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.37569,-6.09379,-0,-0,-5.25271,-4.98034,-0,-4.46218,-16.8841,-7.98868,-15.1339,-14.3683,-27.3781,-29.4772,-40.9727,-21.3654,-32.7451,-29.2559,-26.0835,-26.045,-40.7644,-26.5543,-48.1391,-24.6795,-44.4885,-26.2858,-13.6299,-14.1668,-25.8096,-23.0546,-20.033,-0,-8.71461,-9.08408,-14.196,-4.92658,-5.12518,-0,-0,-0,-5.95155,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,4,0,5,3,5,7,9,4,10,7,11,20,12,8,13,8,14,4,3,9,3,1,4,6,1,2,4,2,3,4,1,1,1,2,0,0,1,0,0,0,0,0,1
-527.33,0.996064,0.209014,5,31,0,532.672,-1.14219,-1.89019,-1.16833,-0.44095,3.94982,0.16399,-1.11644,4.6914,2.22368,4.07233e-05,5.62681e-05,7.77925e-05,0.000107636,0.000149087,0.000206791,0.000287348,0.000400194,0.000558864,0.000782748,0.00109933,0.00154667,0.00217544,0.00304985,0.00424652,0.00585087,0.00795077,0.0106274,0.013944,0.0179336,0.0225871,0.0277971,0.0333896,0.0391278,0.0447241,0.0498596,0.0542095,0.0574747,0.0594179,0.0599003,0.058909,0.0565593,0.0530695,0.0487192,0.0438092,0.0386302,0.0334415,0.0284559,0.0238328,0.0196758,0.0160367,0.0129242,0.0103147,0.00816364,0.00641543,0.00501128,0.00389445,0.00301331,0.00232276,0.00178462,0.00136723,0.0010448,0.000796602,0.000606113,0.000460304,0.000348956,0.000264099,0.000199551,0.000150532,0.00011336,8.52115e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.81305,-6.47165,-0,-0,-5.46165,-5.14116,-0,-4.54432,-17.0908,-8.04216,-15.1615,-14.3313,-27.1961,-29.1683,-40.3942,-20.9898,-32.0639,-28.5641,-25.4084,-25.3357,-39.6447,-25.8522,-46.9784,-24.1734,-43.7908,-26.0298,-13.5918,-14.2376,-26.1568,-23.5702,-20.6644,-0,-9.14837,-9.61613,-15.1471,-5.29606,-5.5482,-0,-0,-0,-6.59497,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,3,3,4,9,5,10,7,8,8,9,19,8,13,9,12,8,5,10,8,9,3,6,6,2,1,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0
-526.023,0.992496,0.209014,4,15,0,530.123,-2.00307,-1.97626,-1.19276,-0.472057,3.2303,0.0376091,-0.986118,4.96537,2.41172,4.94437e-05,6.75942e-05,9.24338e-05,0.000126448,0.000173061,0.000237002,0.000324813,0.00044556,0.000611817,0.000840982,0.00115696,0.00159212,0.00218927,0.00300298,0.00409971,0.00555587,0.0074533,0.00987209,0.0128807,0.0165247,0.0208148,0.0256783,0.030977,0.0365053,0.0419966,0.0471388,0.051601,0.0550705,0.0572987,0.0581414,0.0575808,0.0557195,0.0527523,0.0489304,0.0445264,0.0398068,0.0350105,0.0303353,0.0259308,0.0218977,0.0182926,0.015135,0.012417,0.0101116,0.00818046,0.00658003,0.00526574,0.00419485,0.00332821,0.002631,0.00207299,0.00162844,0.00127571,0.000996863,0.000777142,0.000604522,0.000469269,0.000363552,0.000281105,0.000216936,0.000167088,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.76196,-6.44269,-0,-0,-5.49684,-5.1929,-0,-4.61804,-17.4081,-8.2058,-15.4884,-14.6484,-27.7961,-29.7927,-41.2122,-21.3826,-32.6064,-28.9914,-25.7353,-25.6039,-39.9639,-25.9868,-47.0744,-24.1389,-43.5634,-25.7897,-13.4084,-13.9818,-25.5663,-22.9282,-20.0063,-0,-8.77738,-9.18815,-14.418,-5.02372,-5.24653,-0,-0,-0,-6.17876,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,2,1,3,4,5,6,12,6,12,17,16,7,12,9,7,8,8,9,7,8,7,8,4,3,2,6,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
-525.595,0.99086,0.209014,5,47,0,527.781,-1.44971,-1.89925,-1.18219,-0.344261,3.68924,-0.0374494,-1.03354,4.7593,2.21129,2.93555e-05,4.18735e-05,5.97461e-05,8.52773e-05,0.000121772,0.000173977,0.000248705,0.000355727,0.000508987,0.000728203,0.0010408,0.00148394,0.0021063,0.00296877,0.00414369,0.00571172,0.00775633,0.0103557,0.0135727,0.0174436,0.0219677,0.0270521,0.0325396,0.0382102,0.0437893,0.0489654,0.0534146,0.0568332,0.058976,0.0596925,0.0589529,0.0568514,0.0535854,0.0494191,0.0446449,0.0395504,0.0343957,0.0293973,0.0247205,0.0204775,0.0167304,0.0134992,0.0107703,0.00850753,0.00666092,0.00517461,0.0039925,0.00306194,0.00233585,0.00177363,0.00134115,0.00101038,0.000758666,0.000567961,0.000424038,0.000315798,0.000234646,0.000173971,0.000128721,9.50504e-05,7.00482e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.86777,-6.51305,-0,-0,-5.48617,-5.16524,-0,-4.57022,-17.1988,-8.09757,-15.2727,-14.44,-27.4024,-29.3819,-40.6688,-21.1165,-32.2264,-28.6763,-25.4756,-25.3669,-39.6342,-25.8058,-46.8237,-24.0593,-43.5262,-25.8414,-13.4793,-14.1074,-25.9009,-23.3306,-20.4526,-0,-9.06192,-9.53361,-15.0345,-5.26399,-5.52334,-0,-0,-0,-6.61423,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,6,4,4,5,6,6,9,13,11,15,10,11,11,17,12,6,9,5,6,9,4,3,3,2,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-525.86,0.996722,0.209014,4,31,0,527.546,-1.27478,-1.46721,-1.36679,-0.525928,3.80496,0.0721066,-1.12727,4.91882,2.4273,4.5845e-05,6.17753e-05,8.33166e-05,0.000112504,0.000152154,0.000206194,0.000280151,0.000381859,0.000522505,0.000718087,0.000991342,0.00137403,0.0019092,0.00265293,0.00367475,0.00505638,0.00688819,0.00926329,0.0122694,0.0159787,0.0204374,0.0255516,0.0311608,0.0370375,0.0428928,0.0483918,0.0531773,0.0569051,0.0592889,0.0601483,0.0594462,0.0572968,0.053936,0.0496714,0.0448296,0.0397172,0.0345974,0.0296775,0.0251066,0.0209784,0.0173386,0.0141944,0.0115253,0.00929243,0.00744734,0.00593825,0.00471443,0.00372896,0.00294006,0.00231164,0.00181311,0.00141903,0.00110845,0.000864317,0.000672854,0.000522994,0.000405901,0.000314549,0.000243371,0.000187976,0.000144906,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.91645,-6.59001,-0,-0,-5.60627,-5.2871,-0,-4.6817,-17.6026,-8.273,-15.5615,-14.6682,-27.7487,-29.6624,-40.9377,-21.199,-32.2754,-28.6637,-25.428,-25.2985,-39.5176,-25.7356,-46.7193,-24.0186,-43.4684,-25.8078,-13.4559,-14.0695,-25.7924,-23.1856,-20.2741,-0,-8.92642,-9.35711,-14.6997,-5.12634,-5.35713,-0,-0,-0,-6.31271,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,2,3,2,5,2,11,7,16,9,10,14,11,9,8,12,11,9,3,12,9,6,3,4,6,0,2,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
