# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 07:45:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26dc4ec21.json
# init = /tmp/RtmpC8O1hA/init-b41c295cce01_4.json
# random
#   seed = 252005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0014_rep002_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605290845-4-0f8cb7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0014_rep002_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605290845-4-12b120.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.042956
# Diagonal elements of inverse mass matrix:
# 0.0673517, 0.0775184, 0.141786, 0.0952621, 0.194813, 0.202191, 0.308626
-528.743,0.9917,0.042956,6,127,0,531.678,-1.85959,-2.15398,-2.14252,0.887528,4.93245,0.337038,-0.645904,4.93451,1.80452,3.81114e-08,1.26763e-07,4.16493e-07,1.3375e-06,4.12668e-06,1.19517e-05,3.17346e-05,7.61203e-05,0.000164724,0.000324466,0.000589492,0.00100111,0.00160787,0.00246553,0.0036367,0.00518917,0.00719229,0.00970988,0.0127895,0.0164494,0.0206676,0.0253296,0.0302805,0.0353407,0.0403222,0.0450402,0.0493168,0.0529809,0.0558665,0.0578136,0.0586736,0.0583237,0.0566957,0.0538218,0.0498782,0.0451756,0.0400646,0.0348342,0.0296847,0.0247539,0.0201448,0.0159402,0.0122078,0.00899917,0.00634516,0.00425002,0.00268586,0.00159191,0.000881205,0.000454874,0.000219304,9.91962e-05,4.23755e-05,1.72291e-05,6.71943e-06,2.532e-06,9.27618e-07,3.32123e-07,1.16699e-07,4.03744e-08,1.37896e-08,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.43625,-6.90664,-0,-0,-5.61668,-5.26118,-0,-4.63461,-17.4365,-8.21494,-15.5168,-14.7031,-27.978,-30.0845,-41.7411,-21.7014,-33.1044,-29.3782,-25.9631,-25.6548,-39.7007,-25.5757,-45.9209,-23.3766,-41.9744,-24.7776,-12.869,-13.4286,-24.6199,-22.1926,-19.524,-0,-8.81136,-9.42125,-15.1802,-5.46083,-5.91975,-0,-0,-0,-8.42505,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,5,6,3,14,12,11,13,9,10,14,8,11,14,14,6,8,5,0,6,5,3,3,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
-528.783,0.997099,0.042956,6,63,0,532.481,-1.47789,-1.81327,-2.43617,0.69644,3.63659,-0.261557,-0.193439,4.69802,2.08169,1.01218e-06,2.51286e-06,6.03108e-06,1.38854e-05,3.04526e-05,6.32947e-05,0.000124366,0.000231051,0.000406852,0.000681653,0.0010916,0.00167865,0.00248979,0.00357591,0.0049903,0.00678679,0.00901776,0.0117324,0.0149758,0.018791,0.0232249,0.0280447,0.0330425,0.03802,0.0427834,0.0471431,0.0509165,0.0539314,0.0560325,0.0570904,0.0570148,0.0557707,0.053396,0.0500139,0.045831,0.0411145,0.0361497,0.0311939,0.0264452,0.022035,0.018039,0.0144945,0.0114132,0.00879031,0.00660814,0.00483812,0.00344226,0.00237506,0.00158618,0.00102378,0.000637877,0.000383413,0.000222307,0.000124395,6.7244e-05,3.51685e-05,1.78287e-05,8.78002e-06,4.21012e-06,1.97045e-06,9.02282e-07,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.82011,-6.38976,-0,-0,-5.30026,-4.99278,-0,-4.44541,-16.8053,-7.94875,-15.0501,-14.2958,-27.2797,-29.4268,-40.9709,-21.382,-32.7532,-29.2004,-25.9364,-25.7681,-40.1022,-25.9786,-46.8803,-23.9636,-43.1591,-25.5312,-13.2803,-13.8701,-25.4288,-22.8908,-20.0761,-0,-8.94597,-9.46821,-15.0584,-5.33123,-5.67163,-0,-0,-0,-7.35737,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,3,4,6,8,7,10,5,5,10,10,14,9,11,12,7,11,12,9,10,6,2,7,4,3,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-528.456,0.999787,0.042956,6,127,0,531.343,-1.303,-1.25255,-1.31206,0.694687,3.49807,-0.910189,0.0646726,4.82172,2.2252,3.80193e-06,7.79315e-06,1.5416e-05,2.94028e-05,5.40582e-05,9.58464e-05,0.000164044,0.000271419,0.00043488,0.000676053,0.00102174,0.00150424,0.00216158,0.00303779,0.00418349,0.00565706,0.00752697,0.00987582,0.0128089,0.0164787,0.0211765,0.0264658,0.0320623,0.0377081,0.0431466,0.0481222,0.0523887,0.0557216,0.0579344,0.0588969,0.0585518,0.0569265,0.0541358,0.0503733,0.0458906,0.0409672,0.0358778,0.0308635,0.0261124,0.0217527,0.0178566,0.0144507,0.0115291,0.00906515,0.00702053,0.00535102,0.0040104,0.00295273,0.00213377,0.00151211,0.00105,0.000713929,0.00047503,0.000309152,0.000196718,0.000122358,7.43843e-05,4.41971e-05,2.56702e-05,1.4578e-05,8.09774e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.88625,-6.49947,-0,-0,-5.47661,-5.17485,-0,-4.61767,-17.4305,-8.21137,-15.4194,-14.5276,-27.5206,-29.5009,-40.861,-21.2381,-32.4397,-28.8739,-25.636,-25.4877,-39.7298,-25.794,-46.6602,-23.9063,-43.1409,-25.5599,-13.3105,-13.9127,-25.5174,-22.9681,-20.1269,-0,-8.92577,-9.40664,-14.8768,-5.23047,-5.51886,-0,-0,-0,-6.85897,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,7,3,5,5,8,11,17,7,8,9,10,12,12,14,13,3,9,7,8,6,4,4,4,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-528.913,0.972201,0.042956,6,127,0,532.859,-1.34775,-1.2446,-1.44468,0.950274,3.74796,-0.898015,-0.174409,4.9739,2.22419,2.71382e-06,5.98251e-06,1.25344e-05,2.49852e-05,4.74719e-05,8.61934e-05,0.000150003,0.000251022,0.00040525,0.000633145,0.00096015,0.00141716,0.00204096,0.00287461,0.00396796,0.00537835,0.00717169,0.00942462,0.0122289,0.0157007,0.0200039,0.0248972,0.0301586,0.0355643,0.0408829,0.0458763,0.0503073,0.0539501,0.0566051,0.0581145,0.0583799,0.0573761,0.0551607,0.0518742,0.0477288,0.0429868,0.0379296,0.0328253,0.0279002,0.0233224,0.0191964,0.0155708,0.0124511,0.00981438,0.00762158,0.00582612,0.00437919,0.00323261,0.00234043,0.00165974,0.00115136,0.000780277,0.000515952,0.000332493,0.000208592,0.000127273,7.54619e-05,4.34482e-05,2.42793e-05,1.31631e-05,6.92241e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.94842,-6.5591,-0,-0,-5.5295,-5.22537,-0,-4.66443,-17.6158,-8.3081,-15.6473,-14.772,-28.0103,-30.0277,-41.5616,-21.5726,-32.8857,-29.197,-25.8449,-25.6081,-39.771,-25.7232,-46.3601,-23.6715,-42.5911,-25.1749,-13.0881,-13.6662,-25.0538,-22.5501,-19.7652,-0,-8.7719,-9.24781,-14.6303,-5.1454,-5.43089,-0,-0,-0,-6.76681,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,4,4,4,3,6,8,5,10,4,9,10,11,9,15,7,10,12,6,7,11,9,8,5,5,2,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-527.562,0.97743,0.042956,7,127,0,533.463,-1.32657,-1.51759,-1.699,-0.61803,4.02382,1.50884,-1.29959,4.7981,2.43611,6.54516e-05,8.58855e-05,0.000112776,0.000148222,0.000195041,0.000257057,0.000339507,0.000449669,0.000597838,0.000798918,0.00107513,0.00146037,0.00200433,0.00277123,0.00383732,0.00528923,0.00722145,0.00973175,0.0129132,0.0168402,0.0215487,0.0269096,0.0327204,0.0387243,0.0446283,0.0501123,0.0548359,0.0584446,0.0605818,0.0609538,0.0595662,0.0567272,0.0527999,0.0481286,0.0430261,0.0377699,0.032601,0.0277203,0.0232769,0.0193536,0.0159692,0.0130981,0.0106916,0.00869283,0.0070443,0.00569222,0.00458832,0.00369047,0.00296257,0.00237408,0.00189947,0.00151751,0.00121071,0.000964692,0.000767706,0.000610192,0.000484389,0.000384018,0.000304009,0.00024028,0.000189551,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.83532,-6.52907,-0,-0,-5.56298,-5.24208,-0,-4.63236,-17.398,-8.16797,-15.3498,-14.4611,-27.3581,-29.2616,-40.422,-20.9544,-31.9375,-28.3968,-25.2338,-25.1788,-39.4893,-25.8255,-47.0599,-24.271,-44.0433,-26.21,-13.6936,-14.3424,-26.3221,-23.6693,-20.6855,-0,-9.07659,-9.49051,-14.8666,-5.16866,-5.38424,-0,-0,-0,-6.26618,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,1,2,2,6,5,14,9,9,13,14,9,12,8,10,8,16,9,7,3,5,7,3,7,3,5,0,3,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0
-535.553,0.988035,0.042956,7,127,0,539.761,-2.21729,-3.76901,-0.947321,0.844534,2.18786,-1.19037,0.648359,4.4321,2.0924,2.57338e-06,5.62114e-06,1.18449e-05,2.40575e-05,4.70724e-05,8.87213e-05,0.000161119,0.000282086,0.000476556,0.000777724,0.00122765,0.00187699,0.00278368,0.00401036,0.00562067,0.00767463,0.0102236,0.0133056,0.0169412,0.0211313,0.0258631,0.0309143,0.036089,0.0411683,0.0459171,0.0500989,0.0534939,0.0559174,0.0572357,0.0573798,0.0563519,0.0542253,0.0511371,0.0472731,0.0428497,0.038093,0.03322,0.0284234,0.0238618,0.0196545,0.0158814,0.0125859,0.00977922,0.00744718,0.00555609,0.00405936,0.00290321,0.00203172,0.00139079,0.000930964,0.00060921,0.000389648,0.000243548,0.000148753,8.87786e-05,5.17758e-05,2.95101e-05,1.64404e-05,8.95484e-06,4.77014e-06,2.48592e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.70266,-6.27809,-0,-0,-5.1813,-4.86984,-0,-4.31957,-16.312,-7.714,-14.6197,-13.9061,-26.5741,-28.7108,-40.0519,-20.9563,-32.2101,-28.8388,-25.7452,-25.7226,-40.2659,-26.2315,-47.5719,-24.4145,-44.1008,-26.1418,-13.6184,-14.2422,-26.1483,-23.5767,-20.713,-0,-9.25499,-9.79984,-15.5786,-5.50673,-5.84194,-0,-0,-0,-7.40335,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,3,3,2,4,4,2,4,9,11,8,15,17,10,9,11,16,17,8,6,8,2,6,4,5,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
