# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 08:08:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c222661262.json
# init = /tmp/RtmpC8O1hA/init-b41c25d81b7d3_3.json
# random
#   seed = 252008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0017_rep002_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605290908-3-a39551.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0017_rep002_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605290908-3-90f2c0.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0546486
# Diagonal elements of inverse mass matrix:
# 0.102544, 0.0891951, 0.149667, 0.0719091, 0.0870131, 0.31995, 0.306333
-527.51,0.991701,0.0546486,6,63,0,530.164,-1.68395,-3.52718,-1.33527,0.271048,4.75371,0.158784,-0.927656,4.94966,1.8174,1.34447e-06,2.58514e-06,4.96343e-06,9.50546e-06,1.81245e-05,3.43082e-05,6.41958e-05,0.000118071,0.000212114,0.000370096,0.000624721,0.0010185,0.00160401,0.00244337,0.00360625,0.00516606,0.00719351,0.00974772,0.0128654,0.0165502,0.0207644,0.0254193,0.0303822,0.0354839,0.0405293,0.0453082,0.0496063,0.0532165,0.0559498,0.0576489,0.0582034,0.0575646,0.0557587,0.0528899,0.0491287,0.0446879,0.0397971,0.0346826,0.0295546,0.024599,0.0199717,0.0157941,0.0121497,0.00908128,0.00659146,0.00464615,0.00318297,0.00212253,0.00138057,0.000878016,0.000547399,0.000335399,0.000202439,0.000120619,7.10758e-05,4.14843e-05,2.40143e-05,1.38024e-05,7.88373e-06,4.47849e-06,2.5318e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.3782,-6.88943,-0,-0,-5.62509,-5.26565,-0,-4.63072,-17.4128,-8.20271,-15.4981,-14.689,-27.9512,-30.0481,-41.6745,-21.6599,-33.04,-29.3339,-25.9497,-25.6805,-39.8134,-25.6936,-46.1875,-23.5163,-42.1864,-24.8644,-12.8958,-13.4461,-24.6506,-22.2303,-19.5672,-0,-8.82091,-9.40308,-15.0659,-5.37172,-5.74994,-0,-0,-0,-7.51033,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,7,7,8,7,9,13,5,10,8,10,15,10,10,11,13,12,5,4,4,5,6,3,5,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-528.182,0.993997,0.0546486,6,63,0,531.012,-1.12576,-0.811937,-1.45509,-0.584645,4.3552,0.642118,0.366751,5.06384,2.5567,4.09004e-05,5.41404e-05,7.17088e-05,9.50537e-05,0.000126134,0.000167623,0.000223202,0.000298018,0.000399383,0.000537826,0.000728578,0.000993343,0.00136211,0.00187488,0.00258322,0.00355129,0.00485731,0.00660172,0.00894604,0.0122503,0.0179491,0.0240251,0.0303415,0.0367952,0.0432477,0.0494878,0.0552175,0.0600326,0.0634046,0.0647411,0.0636652,0.0603887,0.0556329,0.0501528,0.0444758,0.0389148,0.0336481,0.0287776,0.0243596,0.0204211,0.0169673,0.0139856,0.0114483,0.00931627,0.00754389,0.00608336,0.00488836,0.00391627,0.00312928,0.00249468,0.00198467,0.00157599,0.00124932,0.000988795,0.000781419,0.000616639,0.000485908,0.000382329,0.000300351,0.000235497,0.000184099,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.22442,-6.91443,-0,-0,-5.95872,-5.64044,-0,-5.02043,-18.8662,-8.8044,-16.0809,-14.9146,-27.9619,-29.7215,-40.8305,-21.0422,-31.8612,-28.1287,-24.824,-24.6362,-38.5577,-25.2626,-46.2237,-23.9414,-43.5793,-25.971,-13.5672,-14.1926,-26.0038,-23.3471,-20.3823,-0,-8.93983,-9.35199,-14.6611,-5.1022,-5.3209,-0,-0,-0,-6.2223,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,0,2,5,5,9,7,4,12,7,12,11,14,22,19,8,11,3,10,3,4,4,2,4,0,1,2,3,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0
-525.764,0.999566,0.0546486,6,63,0,529.816,-0.82251,-2.32654,-1.13523,-0.40455,4.89166,1.18865,-0.459465,4.84558,2.0998,3.01478e-05,4.21462e-05,5.89529e-05,8.25267e-05,0.000115656,0.000162343,0.000228394,0.000322376,0.000457189,0.000652625,0.00093858,0.00135672,0.00195999,0.00281157,0.00398317,0.00555231,0.00759785,0.0101932,0.0133959,0.0172317,0.0216771,0.0266132,0.0318631,0.0372119,0.0424263,0.0472687,0.0515059,0.0549165,0.0572999,0.0584864,0.0583578,0.0568969,0.0542388,0.0506144,0.0462759,0.0414701,0.0364288,0.0313639,0.0264637,0.0218891,0.0177677,0.0141839,0.0111685,0.00870038,0.00672198,0.00516016,0.00394088,0.00299698,0.00227103,0.00171565,0.00129262,0.000971573,0.000728703,0.000545478,0.000407587,0.000304039,0.00022643,0.000168364,0.000124987,9.26298e-05,6.85239e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.97114,-6.60269,-0,-0,-5.52568,-5.19354,-0,-4.58603,-17.2512,-8.12201,-15.326,-14.5054,-27.5704,-29.6202,-41.0798,-21.3633,-32.6267,-29.0194,-25.7351,-25.5506,-39.7763,-25.7986,-46.6297,-23.8682,-43.0239,-25.4623,-13.2496,-13.8484,-25.4239,-22.9306,-20.1519,-0,-8.98931,-9.48878,-15.0071,-5.26679,-5.53635,-0,-0,-0,-6.65109,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,5,5,1,10,11,6,7,11,10,12,11,10,12,6,9,11,13,9,6,3,7,7,2,2,0,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0
-526.61,0.997807,0.0546486,6,63,0,528.936,-0.278284,-2.89124,-0.714725,-0.451268,4.59011,0.60413,-0.612851,4.73974,2.12192,4.11939e-05,5.67134e-05,7.81185e-05,0.000107676,0.000148559,0.000205233,0.000284041,0.000394085,0.000548567,0.000766781,0.00107674,0.00151784,0.00214237,0.00301516,0.00421151,0.00581345,0.00790407,0.010559,0.0138345,0.0177525,0.022285,0.027334,0.0327365,0.0382723,0.0436789,0.0486719,0.0529659,0.0562974,0.0584489,0.0592734,0.0587182,0.0568379,0.0537853,0.0497837,0.0450965,0.0400003,0.0347629,0.029625,0.0247854,0.0203901,0.0165266,0.0132264,0.0104747,0.00822473,0.00641351,0.00497305,0.00383825,0.00295091,0.00226122,0.00172777,0.00131685,0.00100141,0.000759992,0.000575695,0.000435325,0.000328625,0.00024766,0.000186321,0.000139915,0.000104853,7.83961e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.83382,-6.49047,-0,-0,-5.46993,-5.14758,-0,-4.55078,-17.1224,-8.06246,-15.2154,-14.3985,-27.3541,-29.3673,-40.7016,-21.1586,-32.3192,-28.7711,-25.5564,-25.4303,-39.6901,-25.808,-46.7641,-24.0005,-43.3853,-25.7509,-13.4368,-14.0765,-25.8825,-23.3562,-20.5139,-0,-9.11759,-9.60122,-15.148,-5.30372,-5.56274,-0,-0,-0,-6.63251,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,2,5,2,3,7,7,9,10,7,9,8,8,10,15,15,12,8,13,10,5,8,3,5,2,2,0,3,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
-527.974,0.99636,0.0546486,6,63,0,530.625,-1.69626,-3.2926,-0.973704,0.244928,4.55243,-0.00171192,-1.47952,4.84125,1.74514,1.16693e-06,2.20462e-06,4.15839e-06,7.82367e-06,1.4661e-05,2.73062e-05,5.04003e-05,9.18408e-05,0.000164501,0.000288335,0.000492647,0.000818197,0.00131874,0.00206145,0.00312559,0.00459856,0.00656888,0.00911584,0.0122967,0.0161331,0.0205993,0.0256117,0.0310286,0.0366556,0.0422561,0.0475659,0.0523107,0.0562259,0.0590776,0.0606836,0.0609341,0.0598068,0.0573735,0.0537925,0.0492888,0.0441272,0.0385866,0.032938,0.0274272,0.0222609,0.0175971,0.0135394,0.0101357,0.00738254,0.00523427,0.00361588,0.00243716,0.00160553,0.00103582,0.000655823,0.00040835,0.000250548,0.000151761,9.08986e-05,5.39161e-05,3.17097e-05,1.85118e-05,1.07371e-05,6.19232e-06,3.5533e-06,2.02988e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.61572,-7.10841,-0,-0,-5.76813,-5.38201,-0,-4.69774,-17.5937,-8.25377,-15.53,-14.6588,-27.7828,-29.7557,-41.1321,-21.3195,-32.4561,-28.7838,-25.4601,-25.2187,-39.1715,-25.3497,-45.7308,-23.381,-42.1408,-24.9654,-13.0194,-13.6525,-25.1735,-22.8295,-20.2001,-0,-9.18338,-9.81727,-15.7576,-5.62242,-6.01692,-0,-0,-0,-7.80339,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,4,3,8,3,7,9,7,10,9,15,12,19,8,12,10,10,9,6,5,8,8,5,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-528.38,0.978443,0.0546486,6,63,0,530.983,-0.811099,-1.17372,-1.39098,-0.242076,5.15682,1.41139,0.0307075,4.79967,2.06179,7.71723e-06,1.14431e-05,1.69798e-05,2.52219e-05,3.75244e-05,5.59634e-05,8.37771e-05,0.000126159,0.000191768,0.00029539,0.000460352,0.000718988,0.00111347,0.00169746,0.00253813,0.00371912,0.00534443,0.00754305,0.0104741,0.0143406,0.0194732,0.0252744,0.0314414,0.0377342,0.0439463,0.0498808,0.0553283,0.0600472,0.0637391,0.0660153,0.0663545,0.0641698,0.0595152,0.0534643,0.0469598,0.0405307,0.0344456,0.0288327,0.0237491,0.0192191,0.015254,0.0118612,0.00904235,0.00677876,0.00501724,0.00367871,0.00267829,0.00193918,0.00139774,0.00100369,0.000718405,0.000512756,0.000365059,0.000259319,0.000183829,0.00013007,9.18699e-05,6.47801e-05,4.56027e-05,3.20468e-05,2.24751e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.68352,-7.23767,-0,-0,-5.97633,-5.59427,-0,-4.88713,-18.2354,-8.48932,-15.7549,-14.7119,-27.6771,-29.4947,-40.6222,-20.9868,-31.8392,-28.1262,-24.7766,-24.4608,-37.9784,-24.716,-45.1444,-23.4299,-42.8185,-25.6456,-13.4735,-14.185,-26.1815,-23.7111,-20.9146,-0,-9.41167,-9.98792,-15.8846,-5.60519,-5.92258,-0,-0,-0,-7.23848,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,2,3,4,5,6,8,7,4,12,14,19,17,20,13,13,8,7,5,7,6,3,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
