# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 08:17:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27d801430.json
# init = /tmp/RtmpC8O1hA/init-b41c265e540e2_2.json
# random
#   seed = 252009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0018_rep002_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605290917-2-895290.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0018_rep002_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605290917-2-673707.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0880137
# Diagonal elements of inverse mass matrix:
# 0.0905089, 0.0610388, 0.0311454, 0.00863516, 0.0336477, 0.0315777, 0.0602228
-531.783,0.996452,0.0880137,5,31,0,535.369,-0.481235,-2.38838,-1.07691,-0.0439499,5.0807,0.880034,-1.01013,4.57192,1.85658,4.94957e-06,7.99306e-06,1.29141e-05,2.08809e-05,3.38039e-05,5.48322e-05,8.92125e-05,0.000145796,0.000239564,0.000395097,0.000649381,0.00105232,0.00166563,0.00256106,0.00381797,0.00551991,0.00774958,0.0105811,0.0140685,0.0182294,0.0230275,0.028339,0.0339746,0.0396971,0.0452431,0.0503426,0.0547339,0.0581763,0.0604618,0.0614286,0.060978,0.0591012,0.0559139,0.0516526,0.0466126,0.0410939,0.0353775,0.0297153,0.0243237,0.0193791,0.0150136,0.0113098,0.00829494,0.00594034,0.00417011,0.00288131,0.00196637,0.00132908,0.000891476,0.000594233,0.000394041,0.000260135,0.000171075,0.000112126,7.32699e-05,4.775e-05,3.10427e-05,2.0136e-05,1.30342e-05,8.42049e-06,5.42951e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.33949,-6.85676,-0,-0,-5.56804,-5.19939,-0,-4.54868,-17.0553,-8.00944,-15.0843,-14.2541,-27.0571,-29.0383,-40.2442,-20.9223,-31.958,-28.4428,-25.2517,-25.1089,-39.1614,-25.4565,-46.1431,-23.7057,-42.9224,-25.5352,-13.3667,-14.0644,-26.0141,-23.6614,-20.994,-0,-9.58422,-10.252,-16.4394,-5.84951,-6.23157,-0,-0,-0,-7.83906,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,4,7,6,6,8,10,11,7,12,10,12,5,14,16,9,13,17,7,2,4,1,3,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-529.308,0.988014,0.0880137,6,63,0,537.245,-1.78923,-2.82787,-0.989926,-0.483948,3.73146,0.260339,0.00903439,4.9316,2.34559,5.56226e-05,7.57454e-05,0.00010317,0.000140566,0.000191591,0.000261271,0.00035653,0.000486929,0.000665692,0.000911106,0.00124831,0.00171139,0.00234532,0.00320712,0.00436551,0.00589814,0.00788612,0.0104052,0.013514,0.0172411,0.0215724,0.0264077,0.0315886,0.0369038,0.0420999,0.0468992,0.0510206,0.0542061,0.0562505,0.0570325,0.0565331,0.0548318,0.0520858,0.0485031,0.0443179,0.0397708,0.0350898,0.0304751,0.0260878,0.0220432,0.0184115,0.0152229,0.0124757,0.0101461,0.00819677,0.00658367,0.00526126,0.00418574,0.00331693,0.00261917,0.00206164,0.00161813,0.00126669,0.000989202,0.000770777,0.000599328,0.000465095,0.000360242,0.00027851,0.000214925,0.000165544,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.68596,-6.37045,-0,-0,-5.43402,-5.13312,-0,-4.56545,-17.2161,-8.12092,-15.3454,-14.5364,-27.6397,-29.695,-41.1802,-21.4183,-32.7308,-29.1496,-25.9015,-25.7772,-40.221,-26.1314,-47.2778,-24.209,-43.6291,-25.797,-13.3994,-13.9634,-25.524,-22.8885,-19.9739,-0,-8.76794,-9.18133,-14.412,-5.02316,-5.24738,-0,-0,-0,-6.18425,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,3,2,4,4,4,6,9,12,14,12,14,11,8,20,13,13,6,7,3,7,3,3,5,1,1,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0
-527.016,0.998579,0.0880137,5,31,0,531.032,-1.48974,-2.32262,-0.67156,-0.436006,4.47179,0.707974,-0.395509,4.98289,2.02864,1.72698e-05,2.38905e-05,3.30651e-05,4.5793e-05,6.34785e-05,8.81079e-05,0.000122516,0.0001708,0.000238987,0.00033613,0.000476127,0.000680555,0.000982535,0.00143126,0.00209658,0.00307261,0.00447852,0.00645406,0.00914657,0.0126875,0.0171601,0.022553,0.0287432,0.0354915,0.042457,0.0492264,0.0553493,0.0603794,0.0639178,0.0656662,0.06549,0.0634559,0.0598038,0.0548813,0.0490887,0.0428371,0.0365134,0.0304489,0.0248955,0.020011,0.0158601,0.0124305,0.00965836,0.00745442,0.00572355,0.00437651,0.00333532,0.00253477,0.00192181,0.0014541,0.00109821,0.000828084,0.000623477,0.000468785,0.000352023,0.000264018,0.000197771,0.00014796,0.000110543,8.24616e-05,6.1403e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.64982,-7.2926,-0,-0,-6.16745,-5.78523,-0,-5.04305,-18.7775,-8.73427,-16.2607,-15.1676,-28.3948,-30.0462,-41.0704,-21.0793,-31.835,-28.0711,-24.7514,-24.5085,-38.162,-24.8167,-45.067,-23.2207,-42.1978,-25.2028,-13.2403,-13.9668,-25.8515,-23.4688,-20.7197,-0,-9.27986,-9.7979,-15.4895,-5.4315,-5.70319,-0,-0,-0,-6.81407,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,3,8,6,8,10,6,8,12,17,10,12,13,7,18,14,11,3,5,6,2,4,4,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-526.956,0.999197,0.0880137,5,31,0,528.242,-1.34868,-2.56852,-1.01976,-0.46276,4.67934,0.682907,-0.283417,5.13233,2.20173,3.8486e-05,5.27866e-05,7.24332e-05,9.94533e-05,0.000136669,0.000188033,0.000259122,0.000357884,0.000495762,0.000689318,0.000962325,0.00134783,0.00188964,0.00264288,0.00367351,0.00505628,0.00687031,0.00919165,0.0120822,0.0155757,0.0196636,0.0242669,0.0292505,0.0344315,0.0395926,0.0444969,0.0489013,0.0525699,0.0552876,0.0568788,0.0572336,0.0563387,0.054285,0.0512402,0.0474128,0.0430279,0.0383122,0.0334833,0.0287387,0.0242467,0.020136,0.0164893,0.0133416,0.010687,0.00849022,0.00669953,0.00525703,0.00410585,0.00319402,0.00247617,0.0019139,0.00147538,0.00113462,0.000870679,0.000666809,0.00050973,0.000388972,0.00029632,0.00022536,0.000171102,0.000129677,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.94616,-6.60926,-0,-0,-5.60661,-5.28712,-0,-4.68946,-17.6641,-8.32409,-15.7159,-14.8746,-28.2549,-30.3191,-41.9785,-21.7863,-33.1975,-29.4561,-26.0569,-25.8015,-40.0486,-25.8874,-46.6161,-23.7698,-42.6841,-25.1673,-13.0479,-13.5868,-24.8466,-22.3169,-19.5262,-0,-8.63374,-9.07746,-14.3065,-5.00572,-5.24819,-0,-0,-0,-6.25861,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,5,4,5,4,8,7,9,14,11,6,12,9,7,17,9,13,9,4,4,5,7,4,3,6,2,2,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0
-526.687,0.999697,0.0880137,5,31,0,527.6,-1.15545,-1.86789,-1.09893,-0.382273,4.43703,0.728663,-0.414157,4.75181,2.07916,1.97066e-05,2.77558e-05,3.91142e-05,5.51635e-05,7.78844e-05,0.000110137,0.000156095,0.000221939,0.000316979,0.000455477,0.000659398,0.000961815,0.00141004,0.00206777,0.00301597,0.00435196,0.00618567,0.00863181,0.0117968,0.0157604,0.0205548,0.0260755,0.0321366,0.0384791,0.0447892,0.050719,0.0559069,0.0599967,0.0626625,0.0636501,0.0628507,0.0603691,0.0564965,0.0516049,0.046068,0.0402292,0.034389,0.0287986,0.0236527,0.019084,0.0151595,0.0118854,0.00922,0.00709223,0.00541912,0.00411857,0.0031165,0.00234967,0.00176605,0.00132384,0.000990027,0.000738828,0.000550319,0.000409195,0.000303771,0.000225165,0.000166655,0.00012317,9.08961e-05,6.69716e-05,4.9256e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.32418,-6.94669,-0,-0,-5.80384,-5.43713,-0,-4.7523,-17.7597,-8.30052,-15.5386,-14.587,-27.5021,-29.3188,-40.3753,-20.8702,-31.7247,-28.1347,-24.9299,-24.7892,-38.7379,-25.2655,-45.9772,-23.7131,-43.0869,-25.7053,-13.4801,-14.1897,-26.2099,-23.7534,-20.9457,-0,-9.37276,-9.89751,-15.6535,-5.49225,-5.77105,-0,-0,-0,-6.91778,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,5,2,2,6,6,5,3,9,11,13,9,9,13,13,13,9,11,9,9,8,5,5,2,3,4,2,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-526.656,0.998904,0.0880137,6,63,0,528.308,-1.07256,-2.01749,-1.06761,-0.4683,4.72959,0.491561,-0.308233,5.08866,2.25469,3.33343e-05,4.56794e-05,6.26438e-05,8.59977e-05,0.000118227,0.000162853,0.000224923,0.000311763,0.000434131,0.00060789,0.000856156,0.00121157,0.00171819,0.00243248,0.00342311,0.00476892,0.00655468,0.00886392,0.0117689,0.0153184,0.0195257,0.0242997,0.0294966,0.0349242,0.040351,0.0455203,0.0501634,0.0540144,0.0568269,0.0583972,0.0585996,0.0574262,0.055001,0.0515461,0.0473277,0.0426152,0.0376602,0.0326863,0.0278825,0.0233985,0.0193402,0.0157692,0.0127055,0.010134,0.00801533,0.00629601,0.00491762,0.00382316,0.00296077,0.0022854,0.00175913,0.00135073,0.00103488,0.00079134,0.000604022,0.000460268,0.000350161,0.000265967,0.000201686,0.000152673,0.000115345,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.06306,-6.71583,-0,-0,-5.67721,-5.34564,-0,-4.72577,-17.7692,-8.3574,-15.7441,-14.8692,-28.1878,-30.1912,-41.7318,-21.6272,-32.9172,-29.185,-25.8097,-25.5644,-39.7184,-25.7153,-46.4065,-23.7222,-42.7092,-25.2444,-13.1166,-13.6832,-25.0583,-22.5305,-19.7278,-0,-8.73145,-9.18372,-14.4792,-5.06784,-5.31493,-0,-0,-0,-6.34293,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,1,2,1,5,3,6,10,4,3,12,7,9,11,5,7,13,12,16,11,11,3,8,7,4,8,1,2,3,2,2,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
