# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 08:24:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c278dd4ba.json
# init = /tmp/RtmpC8O1hA/init-b41c2782962b4_1.json
# random
#   seed = 252010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0019_rep002_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605290924-1-5528f6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0019_rep002_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605290924-1-4e1967.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.152835
# Diagonal elements of inverse mass matrix:
# 0.0656173, 0.0341228, 0.00754997, 0.00506658, 0.00693898, 0.00874297, 0.0138217
-528.277,0.9804,0.152835,3,15,0,529.568,-1.26641,-1.50189,-0.873195,-0.701144,4.24209,0.629476,-0.590384,5.13928,2.46259,3.12336e-05,4.01959e-05,5.17939e-05,6.68459e-05,8.64542e-05,0.000112125,0.000145954,0.000190925,0.000251415,0.000334069,0.000449344,0.000614153,0.000855882,0.00121761,0.00176379,0.00258546,0.00380322,0.00556595,0.00804247,0.0114039,0.0157968,0.021236,0.0276222,0.0347238,0.0421774,0.0495066,0.0561572,0.061549,0.0651541,0.0666109,0.0658428,0.063075,0.0587293,0.0532998,0.0472722,0.041077,0.0350619,0.0294781,0.0244788,0.0201302,0.0164316,0.0133382,0.0107827,0.00869011,0.00698739,0.00560825,0.00449496,0.00359855,0.00287817,0.00230016,0.00183694,0.00146609,0.00116943,0.000932262,0.000742741,0.000591321,0.000470332,0.000373619,0.000296254,0.000234302,0.000184629,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.70772,-7.39527,-0,-0,-6.34029,-5.95785,-0,-5.19109,-19.2921,-8.94759,-16.5918,-15.4082,-28.7131,-30.243,-41.1563,-21.0395,-31.6756,-27.8792,-24.579,-24.38,-38.0868,-24.8709,-45.3571,-23.4546,-42.7256,-25.5385,-13.4026,-14.0964,-25.9696,-23.4332,-20.5428,-0,-9.05962,-9.49114,-14.8909,-5.18352,-5.4048,-0,-0,-0,-6.29966,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,2,6,4,12,7,9,13,11,11,19,11,9,7,14,6,7,10,12,4,4,3,3,1,0,1,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
-528.958,0.999183,0.152835,4,15,0,530.015,-0.904192,-2.1943,-1.04992,-0.680331,4.24171,0.714223,-0.63895,4.90382,2.43435,9.97469e-05,0.000128806,0.000166451,0.0002153,0.000278825,0.00036167,0.000470118,0.000612776,0.000801638,0.00105369,0.00139327,0.00185495,0.00248592,0.00334665,0.00450943,0.00605478,0.00806568,0.0106188,0.0137728,0.0175542,0.0219436,0.0268324,0.0320505,0.0373756,0.0425494,0.0472964,0.0513427,0.054435,0.0563641,0.0569967,0.0563111,0.0544059,0.0514658,0.0477205,0.0434171,0.0388015,0.0341033,0.0295223,0.0252163,0.0212936,0.0178125,0.0147874,0.0122016,0.0100188,0.00819403,0.00667969,0.00543028,0.00440421,0.00356475,0.0028801,0.0023232,0.00187123,0.00150514,0.0012091,0.000970062,0.000777274,0.000621951,0.000496923,0.000396357,0.000315524,0.000250596,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.5761,-6.2899,-0,-0,-5.40159,-5.10691,-0,-4.54513,-17.1402,-8.08493,-15.2771,-14.4726,-27.5235,-29.5806,-41.0422,-21.3592,-32.6616,-29.1075,-25.8833,-25.7829,-40.2761,-26.2015,-47.4694,-24.3392,-43.9166,-25.9944,-13.5134,-14.0904,-25.7619,-23.0961,-20.1393,-0,-8.81238,-9.20657,-14.413,-5.00868,-5.21576,-0,-0,-0,-6.06481,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,4,2,1,0,6,5,10,8,9,5,10,9,15,8,8,10,14,4,14,6,7,4,8,1,9,4,5,1,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-532.199,0.981152,0.152835,5,31,0,536.573,0.210625,-2.23759,-0.766732,-0.898479,4.46359,0.609112,-0.400356,5.24804,2.82031,0.000164545,0.000202859,0.000250433,0.000309687,0.000383776,0.000476866,0.000594559,0.000744533,0.000937558,0.00118909,0.00152161,0.00196759,0.00257186,0.00339172,0.00449429,0.00595194,0.00783646,0.0102121,0.0131273,0.0166045,0.0206295,0.0250952,0.0298604,0.0347427,0.0395256,0.0439718,0.0478397,0.0509014,0.0529647,0.0539002,0.0536696,0.0523332,0.0500295,0.0469453,0.0432918,0.0392856,0.035133,0.0310153,0.0270779,0.0234233,0.020112,0.0171679,0.0145877,0.012351,0.0104277,0.00878393,0.00738554,0.00620013,0.00519809,0.00435291,0.00364129,0.00304293,0.00254028,0.00211824,0.00176394,0.00146644,0.00121652,0.00100647,0.000829857,0.000681363,0.000556578,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.48799,-6.23094,-0,-0,-5.40495,-5.12404,-0,-4.58418,-17.3322,-8.19616,-15.5241,-14.7403,-28.0898,-30.2381,-42.0005,-21.8694,-33.4389,-29.7786,-26.4432,-26.2856,-40.9487,-26.5511,-47.9223,-24.4702,-43.9571,-25.8952,-13.3945,-13.8931,-25.2633,-22.5241,-19.5322,-0,-8.45515,-8.78803,-13.6899,-4.73483,-4.90823,-0,-0,-0,-5.61542,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,2,1,4,1,9,3,9,7,8,7,7,22,13,8,6,7,6,11,7,10,8,9,4,2,2,1,4,4,2,1,3,1,0,0,1,0,1,0,2,1,0,1,0,0
-527.716,1,0.152835,4,15,0,533.524,-0.433743,-1.94542,-0.835118,-0.763913,4.52151,0.609215,-0.484368,5.13395,2.57446,7.57078e-05,9.60351e-05,0.000121983,0.00015521,0.000197925,0.000253128,0.000324952,0.000419238,0.000544454,0.00071323,0.000944781,0.00126829,0.00172653,0.00237841,0.00329927,0.00457839,0.0063135,0.00860205,0.0115296,0.0151553,0.0194969,0.0244602,0.0298891,0.0355665,0.0412248,0.0465621,0.051263,0.0550216,0.0575701,0.0587164,0.0583906,0.0566694,0.0537503,0.0498987,0.0454052,0.0405563,0.0356143,0.0308012,0.0262877,0.0221871,0.0185581,0.0154131,0.0127314,0.0104725,0.00858686,0.00702321,0.00573296,0.00467226,0.00380275,0.00309156,0.00251089,0.00203745,0.00165186,0.00133806,0.0010828,0.000875189,0.00070631,0.000568884,0.000456995,0.000365851,0.000291584,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.96456,-6.67009,-0,-0,-5.71406,-5.38641,-0,-4.75575,-17.8514,-8.37882,-15.75,-14.8428,-28.0821,-30.0272,-41.4533,-21.4688,-32.6787,-29.0003,-25.6928,-25.5153,-39.7684,-25.8347,-46.7745,-23.9821,-43.2898,-25.6405,-13.34,-13.9208,-25.4706,-22.8495,-19.9342,-0,-8.72737,-9.118,-14.2726,-4.95853,-5.16152,-0,-0,-0,-5.98712,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,4,1,1,5,0,9,5,4,15,14,13,10,7,6,9,17,10,10,6,8,5,3,9,5,6,3,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-533.111,0.969759,0.152835,4,31,0,535.499,-0.958306,-2.26202,-0.56618,-0.511871,4.17989,0.363361,-0.518447,4.73208,2.14166,3.07838e-05,4.16161e-05,5.62963e-05,7.62212e-05,0.00010332,0.000140279,0.000190876,0.000260497,0.000356949,0.000491761,0.000682273,0.000954837,0.0013493,0.00192427,0.00276175,0.0039692,0.00567646,0.0080257,0.0111532,0.0151636,0.0201005,0.0259003,0.0323848,0.0392591,0.0461298,0.0525397,0.0580164,0.0621279,0.0645401,0.0650713,0.0637241,0.0606792,0.0562524,0.0508391,0.0448602,0.0387148,0.0327429,0.0272001,0.0222491,0.0179649,0.0143527,0.0113695,0.00894557,0.00700069,0.00545519,0.00423618,0.00328022,0.00253396,0.00195352,0.0015034,0.00115521,0.000886436,0.000679333,0.000520003,0.000397587,0.00030364,0.000231607,0.000176416,0.000134153,0.000101806,7.70593e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.29008,-6.95397,-0,-0,-5.89189,-5.52919,-0,-4.82511,-17.9841,-8.37771,-15.628,-14.614,-27.4405,-29.1381,-39.9918,-20.6233,-31.3173,-27.7856,-24.6642,-24.5904,-38.5447,-25.2194,-46.0465,-23.8327,-43.4589,-26.0123,-13.6763,-14.4181,-26.6382,-24.116,-21.2191,-0,-9.43319,-9.92349,-15.6336,-5.46409,-5.71984,-0,-0,-0,-6.76347,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,4,3,9,15,6,10,17,10,10,8,14,17,14,4,14,4,8,4,5,3,3,4,2,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
-530.586,0.998531,0.152835,4,15,0,536.202,-0.534348,-2.4818,-0.850114,-0.632401,4.32425,0.385758,-0.715587,4.82373,2.38366,9.63356e-05,0.000125943,0.000164769,0.000215767,0.000282899,0.000371519,0.000488931,0.000645207,0.000854383,0.00113616,0.00151813,0.00203816,0.00274606,0.00370361,0.00498208,0.00665745,0.00880319,0.011481,0.0147296,0.0185536,0.022913,0.0276972,0.032742,0.0378367,0.0427389,0.0471921,0.0509462,0.0537791,0.0555176,0.0560593,0.0553891,0.0535814,0.0507853,0.0472004,0.0430529,0.0385752,0.033988,0.0294848,0.025221,0.0213072,0.0178085,0.0147498,0.0121245,0.0099044,0.00804932,0.00651386,0.00525255,0.00422271,0.003386,0.00270897,0.002163,0.00172397,0.0013718,0.00108988,0.000864604,0.000684862,0.000541637,0.000427638,0.000336993,0.000264987,0.000207843,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.49027,-6.19571,-0,-0,-5.30191,-5.01202,-0,-4.46707,-16.8716,-7.97418,-15.1042,-14.3457,-27.3528,-29.4703,-40.9844,-21.3747,-32.7468,-29.2287,-26.0195,-25.9321,-40.5072,-26.339,-47.6824,-24.4268,-44.0346,-26.0412,-13.527,-14.0955,-25.7605,-23.0923,-20.1404,-0,-8.82506,-9.22955,-14.4665,-5.03382,-5.24904,-0,-0,-0,-6.13626,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,5,5,11,8,10,4,5,10,7,12,12,16,10,15,10,16,7,5,6,2,5,4,3,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
