# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 08:51:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c267f4aea5.json
# init = /tmp/RtmpC8O1hA/init-b41c23c2676d1_3.json
# random
#   seed = 352003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0022_rep003_accurate_moderate/prior_sensitivity_obspair_FAST-202605290951-3-667273.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0022_rep003_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605290951-3-0b9e1a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.108732
# Diagonal elements of inverse mass matrix:
# 0.0699919, 0.0832397, 0.0249147, 0.0140781, 0.0475544, 0.0386972, 0.0530946
-524.801,0.978697,0.108732,5,31,0,527.097,-1.50934,-2.69354,-0.557859,-0.303951,4.45693,-0.260887,-0.536385,5.15811,2.15198,2.229e-05,3.22345e-05,4.66133e-05,6.74001e-05,9.74415e-05,0.000140837,0.000203474,0.000293771,0.000423685,0.000610027,0.000876086,0.00125345,0.00178374,0.00251984,0.00352586,0.00487512,0.0066455,0.00891185,0.0117356,0.0151529,0.0191623,0.0237095,0.0286839,0.0339175,0.0391921,0.0442528,0.0488284,0.0526554,0.0555043,0.0572035,0.0576578,0.0568583,0.054881,0.0518752,0.0480448,0.0436254,0.0388616,0.033986,0.0292028,0.0246761,0.0205248,0.0168222,0.0136006,0.0108591,0.00857173,0.00669656,0.0051831,0.00397833,0.00303087,0.00229371,0.00172555,0.00129124,0.000961674,0.000713181,0.000526877,0.000387898,0.000284682,0.000208329,0.000152047,0.000110691,8.03896e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.68186,-0,-5.98356,-0,-15.9708,-0,-0,-4.44513,-16.7583,-15.8192,-22.4513,-17.7571,-27.0706,-55.0678,-28.0605,-33.2139,-26.4959,-40.4781,-28.6114,-37.092,-17.2032,-34.8311,-47.3426,-18.2137,-28.189,-25.982,-16.909,-14.134,-22.2115,-15.5445,-0,-8.59528,-4.52275,-4.75929,-5.00616,-5.26235,-0,-5.7989,-0,-6.36221,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,0,2,2,2,2,3,7,6,6,8,12,16,8,9,16,16,9,6,7,4,9,11,7,6,3,6,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-523.044,1,0.108732,5,63,0,525.239,-2.52335,-1.51114,-1.94062,-0.267596,2.78998,0.451499,-1.50726,4.36289,2.0892,1.49988e-05,2.19977e-05,3.2268e-05,4.73447e-05,6.94901e-05,0.000102045,0.00014996,0.00022059,0.000324922,0.000479409,0.000708685,0.00104925,0.00155369,0.00229411,0.00336318,0.00487224,0.00694617,0.00971492,0.013301,0.0178035,0.0232806,0.0295946,0.0365115,0.0436999,0.0507379,0.0571296,0.0623367,0.0658421,0.0672621,0.0664738,0.0636564,0.059208,0.0536183,0.0473764,0.0409199,0.0346098,0.0287174,0.0234211,0.0188123,0.0149105,0.0116824,0.00906257,0.00697,0.00532068,0.00403514,0.00304259,0.00228244,0.00170434,0.0012674,0.000938932,0.00069321,0.000510185,0.000374397,0.000274013,0.000200045,0.000145704,0.000105891,7.67964e-05,5.55836e-05,4.01505e-05,2.89444e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.85968,-0,-6.07741,-0,-15.9726,-0,-0,-4.31991,-16.1134,-15.0405,-21.121,-16.5506,-25.0433,-50.6784,-25.7619,-30.5272,-24.4845,-37.7882,-27.1095,-35.8053,-16.9602,-35.1104,-48.7941,-19.1768,-30.2726,-28.402,-18.7706,-15.893,-25.2341,-17.7987,-0,-9.93228,-5.23615,-5.51271,-5.79505,-6.08251,-0,-6.67079,-0,-7.27418,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,4,1,2,3,4,6,5,12,20,8,14,18,17,12,6,11,13,5,5,8,5,3,6,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-520.716,0.996321,0.108732,4,15,0,524.332,-2.63455,-1.31518,-1.87634,-0.344658,3.19868,0.0704527,-1.36717,5.10254,2.36044,2.0885e-05,2.97928e-05,4.25162e-05,6.07038e-05,8.67294e-05,0.000124017,0.000177519,0.000254399,0.000365003,0.000524165,0.00075285,0.00107999,0.00154427,0.00219546,0.00309503,0.00431574,0.00594,0.00805671,0.0107566,0.0141263,0.0182411,0.0230431,0.0284223,0.0342089,0.0401697,0.0460088,0.0513774,0.055897,0.0592015,0.060999,0.0611376,0.0596448,0.0567169,0.052664,0.0478421,0.0425986,0.0372383,0.0320069,0.0270865,0.022599,0.0186124,0.0151505,0.0122033,0.00973734,0.00770481,0.00605133,0.00472137,0.00366211,0.00282562,0.00216998,0.00165942,0.00126414,0.000959663,0.000726203,0.000547927,0.000412294,0.000309448,0.0002317,0.000173089,0.000129014,9.59462e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.8308,-0,-6.12136,-0,-16.3365,-0,-0,-4.53223,-17.0389,-16.0163,-22.6223,-17.8029,-27.0021,-54.6489,-27.7103,-32.6541,-25.9582,-39.5753,-27.969,-36.3302,-16.9161,-34.4362,-47.1012,-18.2391,-28.4034,-26.3233,-17.209,-14.4349,-22.7391,-15.9357,-0,-8.81209,-4.63179,-4.86591,-5.10748,-5.35566,-0,-5.86903,-0,-6.40129,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,5,4,3,7,3,5,7,13,11,13,9,13,13,13,9,9,11,8,7,6,4,4,3,1,2,2,0,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0
-522.15,0.991193,0.108732,5,63,0,525.04,-3.54974,-2.72443,-0.837143,-0.333838,3.1339,-0.0949267,-1.03082,5.14873,2.27226,2.47417e-05,3.53976e-05,5.06429e-05,7.24534e-05,0.000103653,0.000148275,0.000212069,0.000303203,0.000433236,0.000618382,0.000881118,0.00125204,0.00177175,0.00249233,0.00347773,0.00480241,0.00654727,0.00879267,0.0116082,0.0150402,0.0190983,0.0237354,0.0288428,0.0342471,0.039715,0.0449662,0.0496952,0.0536017,0.0564269,0.0579874,0.0581996,0.0570858,0.0547647,0.0514299,0.0473236,0.0427089,0.0378442,0.032962,0.0282541,0.0238638,0.0198852,0.0163675,0.0133232,0.010737,0.00857519,0.00679345,0.00534293,0.00417472,0.00324274,0.00250543,0.00192642,0.00147472,0.0011244,0.00085415,0.000646656,0.000488032,0.000367245,0.000275597,0.000206286,0.000154026,0.000114732,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.68298,-0,-5.99454,-0,-16.0159,-0,-0,-4.45604,-16.7881,-15.8326,-22.4447,-17.7295,-26.9932,-54.8424,-27.9166,-33.0203,-26.3356,-40.2473,-28.4753,-36.9704,-17.1792,-34.8565,-47.4806,-18.3045,-28.3801,-26.1942,-17.062,-14.2661,-22.4124,-15.6711,-0,-8.6365,-4.53406,-4.75888,-4.9918,-5.23198,-0,-5.73134,-0,-6.25209,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,1,2,1,5,2,2,8,8,16,13,8,18,15,14,12,13,6,6,4,10,5,6,5,4,2,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
-520.525,0.999529,0.108732,5,39,0,523.204,-0.436521,-0.832612,-1.69706,-0.44604,4.19944,0.0789354,-1.24739,4.54644,2.38278,1.6737e-05,2.31969e-05,3.22235e-05,4.49e-05,6.28191e-05,8.83619e-05,0.00012515,0.000178777,0.000257974,0.000376363,0.00055493,0.000825193,0.00123286,0.00184164,0.0027368,0.00402801,0.00585092,0.00836708,0.0117617,0.0162389,0.0220143,0.0286261,0.0356459,0.0426749,0.0493377,0.0552774,0.060154,0.0636537,0.0655104,0.0655464,0.0637238,0.060187,0.0552634,0.0494065,0.0431021,0.0367831,0.0307808,0.0253142,0.020501,0.0163799,0.0129331,0.0101074,0.00783,0.00602081,0.00460103,0.00349811,0.00264848,0.00199841,0.00150375,0.00112899,0.00084607,0.000633077,0.000473087,0.000353126,0.000263307,0.000196131,0.000145929,0.000108427,8.04124e-05,5.94728e-05,4.37997e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.09989,-0,-6.2971,-0,-16.5434,-0,-0,-4.4429,-16.4814,-15.2642,-21.3206,-16.6706,-25.2332,-51.1541,-26.0585,-30.9193,-24.7887,-38.1577,-27.25,-35.7916,-16.8618,-34.7477,-48.1228,-18.8651,-29.7245,-27.8469,-18.3819,-15.5491,-24.6702,-17.3919,-0,-9.69959,-5.11253,-5.38148,-5.65553,-5.93377,-0,-6.49979,-0,-7.07491,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,3,0,2,4,5,8,16,13,12,9,16,19,7,15,6,8,10,6,3,9,2,6,3,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-518.885,0.999729,0.108732,5,31,0,521.894,-1.18566,-1.2246,-1.33664,-0.543055,3.71972,0.448927,-0.923279,4.63857,2.3253,3.13106e-05,4.19793e-05,5.63358e-05,7.56971e-05,0.000101885,0.000137447,0.000185994,0.00025274,0.000345362,0.000475418,0.000660617,0.000928214,0.00131941,0.00189398,0.00273393,0.0039453,0.00565724,0.00801726,0.0111818,0.0153016,0.020503,0.0266695,0.0335818,0.0409132,0.0482352,0.0550371,0.0607613,0.0648638,0.0669107,0.0667003,0.0643433,0.0602217,0.0548547,0.0487719,0.0424402,0.036232,0.0304178,0.0251697,0.0205742,0.0166489,0.0133628,0.0106553,0.00845234,0.00667695,0.00525676,0.00412725,0.00323298,0.00252753,0.00197267,0.00153732,0.00119645,0.00093004,0.000722144,0.000560132,0.000434026,0.000335968,0.000259784,0.000200633,0.000154728,0.000119111,9.14779e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.98225,-0,-6.26907,-0,-16.6057,-0,-0,-4.49347,-16.7192,-15.5487,-21.7454,-16.9689,-25.5704,-51.5383,-26.0977,-30.8088,-24.6192,-37.8615,-27.0755,-35.6658,-16.8583,-34.8368,-48.3296,-18.958,-29.8603,-27.9418,-18.4106,-15.5349,-24.5725,-17.2611,-0,-9.54662,-5.00909,-5.24824,-5.49014,-5.73435,-0,-6.22837,-0,-6.7284,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,5,9,8,6,8,14,16,11,13,14,15,12,12,7,9,4,3,4,3,6,3,1,1,3,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
