# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 09:33:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21d5d892f.json
# init = /tmp/RtmpC8O1hA/init-b41c21936f272_2.json
# random
#   seed = 352009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0028_rep003_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605291033-2-1dff9c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0028_rep003_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605291033-2-6f7e25.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.156554
# Diagonal elements of inverse mass matrix:
# 0.0777968, 0.0657257, 0.0350709, 0.0138884, 0.0352573, 0.0485906, 0.0491774
-521.274,0.991826,0.156554,5,31,0,524.431,-0.775458,-2.09301,-0.567595,-0.436039,4.50388,0.817093,-0.460165,4.7801,1.99538,1.11776e-05,1.54714e-05,2.14294e-05,2.97107e-05,4.12484e-05,5.73768e-05,8.00304e-05,0.00011207,0.000157842,0.000224204,0.00032244,0.000471715,0.000704352,0.00107234,0.0016538,0.00255762,0.00392413,0.0059196,0.00872198,0.0124959,0.0173567,0.0233041,0.0302042,0.037776,0.0456048,0.053177,0.0599305,0.0653107,0.0688308,0.0701421,0.069124,0.0659375,0.0609667,0.0547119,0.0477111,0.0404832,0.033481,0.0270543,0.0214274,0.0166964,0.0128486,0.00979777,0.007423,0.00559789,0.00420736,0.00315427,0.00236013,0.00176314,0.00131541,0.000980275,0.000729796,0.000542834,0.000403438,0.000299602,0.000222318,0.00016483,0.000122086,9.03141e-05,6.66991e-05,4.91467e-05,3.61005e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.65914,-0,-6.83791,-0,-17.906,-0,-0,-4.74191,-17.5294,-16.2151,-22.5548,-17.4989,-26.2086,-52.4916,-26.4072,-30.9603,-24.5574,-37.4655,-26.5723,-34.7341,-16.3143,-33.5691,-46.4908,-18.2555,-28.8618,-27.1742,-18.0495,-15.3723,-24.5554,-17.4181,-0,-9.80634,-5.18537,-5.47092,-5.759,-6.04904,-0,-6.6336,-0,-7.22275,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,4,1,2,6,6,7,7,7,19,15,15,12,11,10,11,16,9,5,5,8,5,5,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-520.267,1,0.156554,5,31,0,522.332,-2.61724,-2.23974,-1.01935,-0.405266,3.64241,0.81625,-0.830835,4.97299,2.16282,2.19635e-05,3.0669e-05,4.2833e-05,5.98371e-05,8.36222e-05,0.000116922,0.000163599,0.000229144,0.000321405,0.000451709,0.00063657,0.000900249,0.00127823,0.00182099,0.00259726,0.00369624,0.005228,0.00731961,0.0101038,0.013697,0.0181674,0.0234905,0.0295343,0.0360598,0.0427377,0.0491725,0.0549283,0.0595598,0.0626668,0.0639866,0.0634655,0.0612363,0.057556,0.0527588,0.0472211,0.0413284,0.0354382,0.0298432,0.0247462,0.020256,0.0164034,0.013165,0.0104865,0.00829911,0.00653138,0.00511504,0.00398846,0.00309794,0.00239783,0.00185004,0.00142325,0.001092,0.000835783,0.000638219,0.000486314,0.000369818,0.000280689,0.000212647,0.000160807,0.000121386,9.14589e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.01284,-0,-6.30838,-0,-16.8013,-0,-0,-4.59484,-17.1623,-16.0325,-22.507,-17.611,-26.5806,-53.5955,-27.1118,-31.919,-25.387,-38.7789,-27.4908,-35.8444,-16.7581,-34.26,-47.0724,-18.3175,-28.6758,-26.7197,-17.559,-14.7963,-23.3958,-16.4411,-0,-9.11534,-4.79161,-5.03114,-5.27557,-5.52435,-0,-6.03319,-0,-6.55481,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,3,1,5,6,10,8,14,11,9,12,13,16,12,11,13,2,5,9,7,5,4,5,2,0,1,1,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0
-519.339,0.989571,0.156554,5,31,0,523.197,-0.749481,-2.15884,-0.761873,-0.492702,4.45579,0.99446,-0.466069,4.7354,2.08673,2.62199e-05,3.56516e-05,4.85076e-05,6.60584e-05,9.00699e-05,0.000123018,0.000168419,0.000231347,0.000319302,0.000443717,0.000622603,0.000884739,0.00127452,0.00185582,0.002714,0.00395555,0.00570423,0.00809252,0.0112465,0.0152627,0.0201778,0.0259094,0.0322675,0.0389646,0.0456409,0.051895,0.0573153,0.0615108,0.0641438,0.0649735,0.0639281,0.0611553,0.05696,0.051715,0.0458115,0.0396299,0.0335148,0.0277544,0.0225611,0.0180586,0.0142815,0.0111932,0.00871502,0.00675219,0.0052118,0.00401088,0.00307921,0.00235915,0.00180432,0.00137786,0.00105076,0.000800327,0.000608881,0.000462728,0.000351282,0.000266385,0.000201766,0.000152615,0.000115248,8.68546e-05,6.52884e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.03022,-0,-6.28943,-0,-16.5979,-0,-0,-4.4877,-16.7294,-15.6127,-21.9189,-17.1685,-25.9608,-52.4782,-26.6268,-31.4511,-25.0969,-38.4528,-27.3378,-35.75,-16.766,-34.3849,-47.3921,-18.4993,-29.0535,-27.1661,-17.9218,-15.1661,-24.0848,-16.9952,-0,-9.48541,-4.99789,-5.25683,-5.51874,-5.78308,-0,-6.31757,-0,-6.85824,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,2,1,4,4,4,10,10,9,10,17,15,8,13,12,10,10,11,8,7,2,3,6,3,4,4,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-519.2,0.963773,0.156554,4,31,0,522.488,-1.25513,-1.8069,-0.92579,-0.570501,4.01327,0.372444,-1.02753,4.8354,2.28561,4.02091e-05,5.34793e-05,7.11898e-05,9.48734e-05,0.000126629,0.000169358,0.000227122,0.000305696,0.000413438,0.000562665,0.0007718,0.00106847,0.00149345,0.00210463,0.00297989,0.0042175,0.00593282,0.00825,0.0112879,0.0151407,0.0198548,0.0253715,0.0315332,0.0380794,0.0446573,0.0508481,0.0562054,0.0603046,0.0628029,0.0635033,0.0623967,0.059656,0.055586,0.0505608,0.0449709,0.0391825,0.0335078,0.0281854,0.0233729,0.0191514,0.0155389,0.0125083,0.0100052,0.00796281,0.00631183,0.00498687,0.0039295,0.00308943,0.00242434,0.00189932,0.00148585,0.00116089,0.000905932,0.000706192,0.000549908,0.000427756,0.000332366,0.000257928,0.000199872,0.000154615,0.00011935,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.84152,-0,-6.16362,-0,-16.4055,-0,-0,-4.48402,-16.7615,-15.6772,-22.0448,-17.2836,-26.1447,-52.8486,-26.8102,-31.6662,-25.2751,-38.7485,-27.5666,-36.0652,-16.915,-34.6779,-47.7533,-18.6104,-29.1557,-27.1678,-17.8448,-15.0247,-23.7323,-16.6576,-0,-9.2093,-4.83297,-5.06533,-5.30095,-5.53924,-0,-6.0222,-0,-6.51177,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,1,8,11,10,12,9,12,11,15,9,15,7,12,7,10,8,8,2,3,6,6,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-520.181,0.993532,0.156554,4,15,0,521.372,-1.10924,-1.72722,-0.81211,-0.788709,3.51891,0.777582,-0.756818,4.72939,2.54406,8.72218e-05,0.000109871,0.000138532,0.000174879,0.0002211,0.000280081,0.000355682,0.00045314,0.000579708,0.000745668,0.000966021,0.00126334,0.00167247,0.00224734,0.00306824,0.00424681,0.0059259,0.00827201,0.0114572,0.0156288,0.0208691,0.0270965,0.0340757,0.0414181,0.0486119,0.0550721,0.0602094,0.0635238,0.0647265,0.0638229,0.0610695,0.0568696,0.0516879,0.0459882,0.0401821,0.0345924,0.0294346,0.0248236,0.0207948,0.0173319,0.0143901,0.0119118,0.00983687,0.00810764,0.00667167,0.00548258,0.00450018,0.00369005,0.00302302,0.00247456,0.00202409,0.00165447,0.00135143,0.00110315,0.000899808,0.000733306,0.000596943,0.000485206,0.00039358,0.000318378,0.000256608,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.674,-0,-6.09801,-0,-16.3848,-0,-0,-4.46913,-16.6346,-15.4779,-21.6501,-16.8959,-25.4723,-51.4061,-26.092,-30.9092,-24.8071,-38.3262,-27.5164,-36.3447,-17.202,-35.5504,-49.2699,-19.286,-30.2771,-28.2047,-18.4798,-15.4922,-24.3312,-16.9649,-0,-9.24324,-4.81495,-5.00989,-5.20618,-5.40364,-0,-5.8015,-0,-6.20264,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,3,3,1,4,3,13,12,9,5,15,5,10,15,17,9,12,12,8,5,9,5,3,2,4,1,4,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
-519.475,0.992163,0.156554,5,31,0,522.064,-0.670202,-1.7116,-0.840334,-0.733902,4.09072,0.970248,-0.484584,4.7982,2.44013,5.85494e-05,7.47212e-05,9.54629e-05,0.000122133,0.000156535,0.000201101,0.000259152,0.000335323,0.000436257,0.00057179,0.000757083,0.0010164,0.00138885,0.00193454,0.00273882,0.00391343,0.0055936,0.00792949,0.0110704,0.0151405,0.0202083,0.0261635,0.0327842,0.0397441,0.046636,0.0530026,0.0583688,0.0622778,0.0643483,0.0643815,0.0624695,0.0589375,0.0542054,0.0487062,0.042848,0.0369886,0.0314149,0.0263281,0.0218388,0.0179774,0.0147172,0.012,0.00975543,0.00791267,0.00640655,0.00517964,0.00418269,0.00337422,0.00271965,0.00219036,0.00176285,0.00141787,0.00113968,0.000915465,0.000734806,0.000589236,0.000471897,0.00037725,0.000300832,0.000239064,0.000189082,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.89149,-0,-6.24788,-0,-16.63,-0,-0,-4.50348,-16.7615,-15.6066,-21.8603,-17.089,-25.8024,-52.1115,-26.4367,-31.2507,-24.9853,-38.4082,-27.4293,-36.05,-16.9877,-34.9797,-48.3512,-18.9006,-29.6743,-27.6838,-18.1856,-15.2963,-24.1119,-16.8749,-0,-9.25986,-4.83929,-5.05043,-5.26302,-5.4768,-0,-5.90725,-0,-6.34082,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,2,5,2,5,5,10,8,10,8,8,6,5,9,12,14,12,16,10,11,6,6,4,3,2,4,4,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
