# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 09:38:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2275d80b1.json
# init = /tmp/RtmpC8O1hA/init-b41c2474431f7_4.json
# random
#   seed = 352010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0029_rep003_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605291038-4-771614.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0029_rep003_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605291038-4-57c5f6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.151778
# Diagonal elements of inverse mass matrix:
# 0.040696, 0.0266123, 0.00785288, 0.00407898, 0.00662596, 0.00796548, 0.00978335
-522.688,0.981111,0.151778,5,31,0,525.499,-1.12072,-2.72662,-0.73188,-0.619641,4.16144,0.652986,-0.388165,4.89092,2.2914,7.85324e-05,0.000102923,0.000134947,0.000177037,0.000232433,0.000305471,0.000402,0.000529981,0.000700373,0.000928471,0.00123588,0.00165322,0.00222322,0.00300316,0.00406576,0.00549755,0.00739398,0.00985001,0.0129457,0.0167273,0.0211871,0.0262375,0.0317131,0.0373785,0.0429463,0.0480998,0.0525197,0.055913,0.058045,0.0587746,0.0580817,0.0560649,0.0529146,0.0488799,0.0442401,0.0392792,0.0342621,0.0294143,0.0249055,0.0208435,0.0172778,0.0142112,0.0116156,0.00944555,0.00764845,0.0061713,0.00496436,0.003983,0.00318828,0.0025469,0.0020308,0.00161657,0.00128484,0.00101969,0.000808136,0.000639588,0.000505479,0.000398894,0.000314269,0.000247142,0.000193943,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.40503,-0,-5.80809,-0,-15.6104,-0,-0,-4.34699,-16.3629,-15.4174,-21.8434,-17.2551,-26.2933,-53.5127,-27.3103,-32.4122,-25.9556,-39.8515,-28.3405,-36.9968,-17.2875,-35.2689,-48.2942,-18.7087,-29.1335,-26.9897,-17.6314,-14.7707,-23.2243,-16.2333,-0,-8.91081,-4.66221,-4.87325,-5.08785,-5.30547,-0,-5.74828,-0,-6.19933,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,5,4,3,5,9,7,6,6,13,11,11,12,8,8,11,15,9,9,9,6,8,5,2,2,2,2,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
-522.097,0.997377,0.151778,5,31,0,524.623,-0.565428,-1.71556,-0.992147,-0.798736,4.40492,0.59085,-0.806588,5.08685,2.63987,7.65688e-05,9.64937e-05,0.000121806,0.000154085,0.000195448,0.000248784,0.000318115,0.00040918,0.000530399,0.000694474,0.000920933,0.00123966,0.00169465,0.00234664,0.00327339,0.00456723,0.00632957,0.00866229,0.011656,0.0153757,0.0198456,0.0249639,0.0305588,0.0363934,0.0421781,0.0475895,0.0522931,0.0559695,0.0583464,0.059242,0.0586134,0.0565748,0.0533608,0.0492664,0.044601,0.0396581,0.0346961,0.0299247,0.0254963,0.0215054,0.017994,0.0149622,0.0123821,0.0102099,0.0083956,0.00688901,0.0056433,0.00461662,0.00377253,0.00307988,0.00251234,0.00204786,0.00166804,0.00135763,0.001104,0.00089675,0.000727327,0.000588736,0.00047527,0.000382292,0.000306048,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.69292,-0,-6.05477,-0,-16.1665,-0,-0,-4.45194,-16.6999,-15.6791,-22.142,-17.4405,-26.507,-53.8195,-27.4063,-32.4598,-25.9465,-39.779,-28.2612,-36.8783,-17.2331,-35.1682,-48.1682,-18.66,-29.0471,-26.889,-17.5454,-14.6769,-23.0367,-16.0709,-0,-8.78301,-4.5844,-4.78005,-4.97783,-5.17729,-0,-5.58001,-0,-5.98654,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,3,8,5,6,5,9,6,6,19,9,20,8,14,9,12,7,6,6,6,7,6,1,3,2,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-521.159,0.994727,0.151778,5,31,0,524.067,-0.723837,-1.5254,-0.982735,-0.779908,4.51998,0.577089,-0.604351,5.21215,2.62438,5.0458e-05,6.38681e-05,8.09827e-05,0.000102913,0.00013116,0.000167788,0.000215702,0.000279104,0.000364265,0.000480856,0.000644141,0.00087823,0.00122004,0.00172306,0.00246002,0.00352342,0.00502307,0.00707989,0.00981526,0.0133363,0.0177182,0.0228801,0.028667,0.0348501,0.0411344,0.0471734,0.0525889,0.0569965,0.060042,0.0614572,0.0611336,0.0591698,0.0558362,0.0514897,0.0465003,0.0412102,0.0359109,0.0308322,0.0261375,0.0219253,0.0182372,0.0150703,0.0123914,0.0101507,0.00829188,0.00675905,0.00550057,0.00447065,0.00362981,0.00294459,0.00238698,0.00193371,0.00156555,0.00126667,0.00102408,0.000827153,0.000667216,0.000537201,0.000431374,0.000345099,0.000274643,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.0376,-0,-6.36365,-0,-16.945,-0,-0,-4.62382,-17.2691,-16.1326,-22.6649,-17.76,-26.8536,-54.2455,-27.4853,-32.3978,-25.7829,-39.378,-27.8941,-36.331,-16.9641,-34.624,-47.462,-18.4098,-28.7016,-26.6137,-17.396,-14.5775,-22.9207,-16.0172,-0,-8.7815,-4.59021,-4.79248,-4.99687,-5.2029,-0,-5.61858,-0,-6.03772,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,3,3,3,4,8,3,13,3,15,19,9,14,12,16,9,8,8,6,10,8,4,7,4,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-523.532,0.98625,0.151778,4,15,0,525.914,-0.933238,-1.36946,-0.94734,-0.732785,4.57766,0.440489,-0.77326,5.27291,2.55685,2.37648e-05,3.04427e-05,3.90789e-05,5.03018e-05,6.49789e-05,8.43333e-05,0.000110136,0.000145037,0.000193141,0.000261056,0.000359693,0.000507195,0.000733022,0.00108284,0.00162332,0.00244565,0.0036664,0.0054241,0.0078705,0.0111556,0.0154077,0.0206121,0.0266624,0.0333497,0.0403628,0.0473008,0.0536988,0.0590652,0.0629356,0.064947,0.0649261,0.0629489,0.0593151,0.0544548,0.048832,0.0428778,0.0369541,0.0313358,0.0262076,0.0216705,0.0177567,0.0144474,0.0116925,0.00942559,0.0075761,0.0060765,0.004866,0.00389198,0.00311007,0.00248346,0.00198194,0.00158091,0.00126045,0.00100449,0.000800065,0.000636766,0.000506237,0.000401783,0.000318061,0.000250816,0.000196678,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.58662,-0,-6.82817,-0,-18.0403,-0,-0,-4.84463,-17.9832,-16.6916,-23.2913,-18.1225,-27.2056,-54.5674,-27.461,-32.168,-25.462,-38.719,-27.3418,-35.5486,-16.5926,-33.8987,-46.5661,-18.1162,-28.3446,-26.3846,-17.315,-14.5668,-22.9908,-16.124,-0,-8.89761,-4.66433,-4.88276,-5.10333,-5.32548,-0,-5.77311,-0,-6.22368,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,6,4,11,8,8,7,13,7,17,15,13,11,7,14,6,7,13,4,5,4,1,5,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-520.162,0.999697,0.151778,4,31,0,524.17,-0.450858,-1.58315,-0.915121,-0.789655,4.27943,0.567837,-0.612657,4.97957,2.61222,6.3241e-05,7.98473e-05,0.000100979,0.00012797,0.000162611,0.000207348,0.000265587,0.000342201,0.000444365,0.000582989,0.000775129,0.00104772,0.00144238,0.00202002,0.00286346,0.00407678,0.00578045,0.008102,0.0111621,0.0150573,0.0198402,0.0253828,0.0314816,0.0378598,0.044179,0.0500582,0.0550992,0.0589194,0.0611989,0.061746,0.0605614,0.0578419,0.0539128,0.0491483,0.0439156,0.0385426,0.0332984,0.0283829,0.0239248,0.0199879,0.0165837,0.0136871,0.011252,0.00922274,0.00754242,0.00615753,0.00502004,0.00408817,0.00332625,0.00270423,0.00219705,0.00178388,0.00144752,0.00117381,0.00095108,0.000769778,0.000622083,0.000501624,0.000403227,0.000322717,0.000256738,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.86114,-0,-6.20465,-0,-16.5073,-0,-0,-4.49523,-16.7836,-15.6802,-22.0421,-17.2918,-26.1909,-53.0316,-26.9511,-31.8848,-25.4843,-39.1108,-27.8473,-36.4533,-17.1003,-35.0447,-48.2066,-18.7529,-29.3039,-27.218,-17.8098,-14.9314,-23.4758,-16.3973,-0,-8.97441,-4.68608,-4.88721,-5.09008,-5.29432,-0,-5.70591,-0,-6.12064,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,3,2,5,5,13,11,8,11,10,14,10,11,9,13,5,11,6,13,7,4,9,2,2,0,0,2,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
-521.469,0.983761,0.151778,4,31,0,523.813,-1.26852,-1.83307,-0.737139,-0.672075,4.41816,0.768305,-0.623348,5.16908,2.35263,2.84261e-05,3.683e-05,4.77712e-05,6.20525e-05,8.07568e-05,0.000105365,0.000137937,0.000181404,0.00024006,0.000320434,0.000432857,0.000594179,0.000831893,0.0011893,0.00173102,0.00254778,0.00375886,0.00550988,0.00796283,0.0112759,0.0155725,0.0208774,0.0270997,0.0340174,0.0412825,0.0484467,0.0550006,0.0604217,0.0642328,0.0660791,0.0658248,0.0635948,0.0597104,0.054594,0.0487011,0.0424723,0.0362951,0.0304743,0.0252161,0.0206262,0.0167261,0.0134778,0.0108107,0.00864274,0.00689259,0.00548664,0.00436114,0.0034625,0.0027464,0.00217664,0.00172388,0.00136445,0.00107933,0.000853309,0.000674203,0.000532302,0.000419872,0.000330764,0.0002601,0.000204024,0.000159491,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.42833,-0,-6.73439,-0,-17.9176,-0,-0,-4.83297,-17.9404,-16.649,-23.2145,-18.0412,-27.0471,-54.1844,-27.2456,-31.9045,-25.2577,-38.4334,-27.169,-35.3699,-16.5313,-33.819,-46.5253,-18.1323,-28.4301,-26.5286,-17.4544,-14.7211,-23.2872,-16.3631,-0,-9.05443,-4.75104,-4.97731,-5.20544,-5.43502,-0,-5.89746,-0,-6.36318,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,3,3,9,4,9,8,10,16,12,12,12,18,7,10,14,12,5,8,6,5,5,0,2,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
