# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 10:10:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23feda473.json
# init = /tmp/RtmpC8O1hA/init-b41c259b0ae81_1.json
# random
#   seed = 452003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0032_rep004_accurate_moderate/prior_sensitivity_obspair_FAST-202605291110-1-7f15b4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0032_rep004_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605291110-1-4cb32b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.204383
# Diagonal elements of inverse mass matrix:
# 0.0461373, 0.0472931, 0.0404246, 0.0139806, 0.033925, 0.0212297, 0.0393322
-541.604,0.919953,0.204383,4,15,0,545.503,-2.24895,-2.09222,-1.20597,-0.0469948,4.24442,-0.0626595,-1.10583,5.25504,2.02362,5.3495e-06,8.61288e-06,1.38606e-05,2.22897e-05,3.58043e-05,5.74134e-05,9.18219e-05,0.000146278,0.000231724,0.000364236,0.000566678,0.000870364,0.00131645,0.00195669,0.00285318,0.00407659,0.00570249,0.0078055,0.0104513,0.0136871,0.0175316,0.0219507,0.0268606,0.0321246,0.0375553,0.0429216,0.0479608,0.0523955,0.0559542,0.0583976,0.0595491,0.0593229,0.057742,0.054935,0.0511128,0.0465346,0.0414759,0.0362034,0.0309575,0.0259401,0.0213071,0.0171647,0.0135704,0.0105381,0.00804599,0.00604707,0.00447915,0.00327404,0.00236461,0.00168946,0.00119548,0.00083867,0.000583851,0.000403677,0.000277398,0.000189578,0.000128922,8.7283e-05,5.88537e-05,3.9538e-05,2.64716e-05,-0,-0,-0,-0,-0,-0,-9.29566,-0,-0,-0,-0,-0,-6.63282,-6.2365,-0,-5.50249,-10.3337,-0,-9.12206,-21.4565,-16.175,-3.81896,-28.9368,-24.0669,-16.4097,-37.7806,-27.3363,-35.3872,-23.0658,-31.2453,-36.6724,-31.0724,-31.3695,-34.8193,-26.7635,-30.6756,-19.0959,-19.9116,-13.9006,-14.6079,-15.3949,-4.0649,-38.6988,-22.7638,-0,-0,-5.40832,-5.72173,-0,-12.7667,-0,-7.08369,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,6,6,5,5,11,15,13,10,16,12,14,6,12,10,7,7,11,11,2,3,4,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-541.146,0.999903,0.204383,4,31,0,543.578,-2.58148,-2.98486,-1.54188,-0.267227,3.59422,-0.0598841,-0.576912,5.25106,2.29038,2.66747e-05,3.91037e-05,5.73132e-05,8.3976e-05,0.000122979,0.000179942,0.00026293,0.000383366,0.000557137,0.000805793,0.00115763,0.00164837,0.00232116,0.00322564,0.00441583,0.00594683,0.00787022,0.0102284,0.0130483,0.0163352,0.0200677,0.0241777,0.0285622,0.0330856,0.0375846,0.0418765,0.0457687,0.0490704,0.0516078,0.0532397,0.0538748,0.0534846,0.0521066,0.0498374,0.046818,0.0432168,0.0392143,0.0349902,0.030713,0.0265311,0.0225671,0.0189128,0.0156287,0.0127453,0.0102668,0.00817728,0.00644599,0.00503376,0.0038977,0.00299503,0.0022856,0.00173341,0.00130729,0.000980937,0.000732682,0.00054497,0.000403802,0.000298152,0.00021943,0.000161005,0.000117801,-0,-0,-0,-0,-0,-0,-8.24362,-0,-0,-0,-0,-0,-6.06569,-5.73662,-0,-5.1249,-9.68934,-0,-8.67819,-20.5722,-15.6346,-3.72232,-28.4454,-23.8606,-16.4058,-38.0764,-27.7574,-36.174,-23.7127,-32.2625,-37.9742,-32.212,-32.4991,-35.9879,-27.5534,-31.4153,-19.4323,-20.1161,-13.9323,-14.5177,-15.1651,-3.96792,-37.4278,-21.813,-0,-0,-5.0443,-5.29159,-0,-11.6216,-0,-6.35766,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,7,4,3,5,5,8,6,6,5,7,13,9,11,12,8,8,10,9,7,10,6,4,10,5,4,4,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-547.236,0.975069,0.204383,4,15,0,548.944,-1.08829,-2.76073,-1.1273,0.242063,4.83117,-0.44784,-1.60558,5.02885,2.08792,7.27901e-06,1.32503e-05,2.38446e-05,4.23109e-05,7.3834e-05,0.000126381,0.000211702,0.000346389,0.000552842,0.000859948,0.00130325,0.00192442,0.00276984,0.00388829,0.00532765,0.00713078,0.00933096,0.011947,0.014979,0.0184045,0.0221769,0.0262143,0.030409,0.0346309,0.0387338,0.0425622,0.0459608,0.0487835,0.0509028,0.0522192,0.0526682,0.0522263,0.0509142,0.0487957,0.0459732,0.0425789,0.0387637,0.0346858,0.0304995,0.0263474,0.0223533,0.0186185,0.0152185,0.0122028,0.00959533,0.00739696,0.00558939,0.00413971,0.00300541,0.00213927,0.00149355,0.00102328,0.000688466,0.000455223,0.000296079,0.000189606,0.000119675,7.45273e-05,4.58395e-05,2.78755e-05,1.67762e-05,-0,-0,-0,-0,-0,-0,-8.46033,-0,-0,-0,-0,-0,-5.88897,-5.54979,-0,-4.94333,-9.34883,-0,-8.40221,-19.9758,-15.2348,-3.64145,-27.9441,-23.5411,-16.2552,-37.8815,-27.7197,-36.2444,-23.8227,-32.4753,-38.2687,-32.4739,-32.7537,-36.2414,-27.7173,-31.564,-19.5016,-20.1686,-13.9602,-14.5455,-15.2031,-3.9836,-37.6672,-22.0304,-0,-0,-5.18689,-5.48713,-0,-12.2946,-0,-6.88474,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,2,2,5,8,5,8,4,10,10,9,10,10,13,6,11,6,12,10,5,6,5,5,5,3,6,4,1,4,3,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0
-544.12,0.974577,0.204383,5,31,0,551.157,-3.76802,-1.62563,-1.61155,-0.119842,2.9797,-0.285036,-0.556025,5.09643,2.21122,1.07028e-05,1.66379e-05,2.58383e-05,4.00704e-05,6.20209e-05,9.57393e-05,0.000147254,0.000225399,0.000342858,0.000517404,0.000773241,0.00114228,0.00166513,0.00239159,0.00338028,0.00469742,0.00641433,0.00860393,0.0113361,0.0146727,0.0186618,0.0232535,0.0283502,0.0338009,0.0393984,0.0448829,0.0499519,0.0542816,0.0575597,0.0595292,0.0600321,0.0590412,0.0566659,0.0531288,0.0487219,0.0437602,0.0385428,0.0333276,0.02832,0.0236693,0.0194727,0.0157812,0.0126079,0.00993722,0.00773276,0.00594558,0.00452051,0.00340141,0.00253484,0.00187236,0.00137179,0.000997572,0.000720498,0.000517139,0.000369062,0.000262011,0.000185121,0.00013022,9.12292e-05,6.36726e-05,4.42835e-05,-0,-0,-0,-0,-0,-0,-8.82335,-0,-0,-0,-0,-0,-6.39785,-6.0358,-0,-5.36074,-10.0984,-0,-8.95952,-21.1088,-15.9251,-3.7613,-28.505,-23.7109,-16.1701,-37.2444,-26.9702,-34.9628,-22.8395,-31.0342,-36.5674,-31.1247,-31.5764,-35.2204,-27.1946,-31.2903,-19.5359,-20.4082,-14.2568,-14.9743,-15.755,-4.14894,-39.3609,-23.0573,-0,-0,-5.39913,-5.68356,-0,-12.5611,-0,-6.91019,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,6,7,6,6,1,11,11,13,12,15,15,14,10,8,10,7,6,5,5,9,2,2,3,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
-542.16,0.987206,0.204383,4,31,0,547.024,-2.78805,-2.41475,-1.43361,-0.373572,2.76501,-0.416272,-1.22761,5.31633,2.54024,5.36406e-05,7.55484e-05,0.000106337,0.000149544,0.000210062,0.000294605,0.000412305,0.000575419,0.000800143,0.00110745,0.0015238,0.00208164,0.00281928,0.00378016,0.00501111,0.00655967,0.00847051,0.0107811,0.0135171,0.0166877,0.0202821,0.0242337,0.0284424,0.0327749,0.0370688,0.0411406,0.044797,0.0478512,0.0501403,0.0515432,0.051994,0.0514885,0.0500821,0.04788,0.0450229,0.0416714,0.0379912,0.0341411,0.0302641,0.0264807,0.0228867,0.0195518,0.0165209,0.0138174,0.0114459,0.00939714,0.00765142,0.00618238,0.00496011,0.00395357,0.00313236,0.00246801,0.00193466,0.00150946,0.0011726,0.000907271,0.00069937,0.000537243,0.000411363,0.000314015,0.000239008,-0,-0,-0,-0,-0,-0,-7.79375,-0,-0,-0,-0,-0,-5.87127,-5.57799,-0,-5.02682,-9.54233,-0,-8.6076,-20.4654,-15.5921,-3.72001,-28.479,-23.9266,-16.4749,-38.2891,-27.9505,-36.4759,-23.9434,-32.6187,-38.4362,-32.6304,-32.935,-36.4687,-27.9053,-31.7794,-19.6224,-20.2635,-13.9912,-14.5254,-15.1088,-3.93469,-36.9281,-21.4091,-0,-0,-4.87286,-5.08605,-0,-11.0663,-0,-6.00434,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,0,1,3,5,4,3,3,4,10,1,4,13,10,9,14,9,12,11,13,7,9,6,6,7,3,2,6,4,1,2,1,1,1,1,2,1,0,1,0,0,1,1,0,0,0
-542.42,0.925699,0.204383,4,15,0,546.47,-3.58274,-2.06498,-0.99132,-0.249114,3.71871,0.0395903,-1.25521,5.38485,2.15221,9.98419e-06,1.47483e-05,2.17888e-05,3.21969e-05,4.7589e-05,7.03621e-05,0.000104072,0.000153992,0.000227923,0.000337347,0.000498987,0.000736772,0.00108409,0.001586,0.00230094,0.00330133,0.00467214,0.00650668,0.00889879,0.0119313,0.0156611,0.0200941,0.0251749,0.0307762,0.0366957,0.042661,0.0483442,0.0533863,0.057432,0.0601769,0.0614154,0.0610762,0.0592275,0.056056,0.0518303,0.0468631,0.0414759,0.03597,0.0306037,0.0255774,0.0210275,0.0170294,0.0136059,0.0107394,0.00838575,0.00648542,0.00497326,0.00378502,0.00286142,0.00215027,0.00160721,0.00119551,0.000885389,0.000653112,0.000480024,0.000351631,0.000256785,0.000186984,0.00013579,9.83594e-05,7.10716e-05,-0,-0,-0,-0,-0,-0,-9.17043,-0,-0,-0,-0,-0,-6.82702,-6.44654,-0,-5.71343,-10.7323,-0,-9.44368,-22.143,-16.6263,-3.90733,-29.4553,-24.3671,-16.5255,-37.8536,-27.2647,-35.1624,-22.8572,-30.9151,-36.2712,-30.752,-31.0901,-34.5768,-26.638,-30.6053,-19.0959,-19.9504,-13.9465,-14.6642,-15.4477,-4.07281,-38.6753,-22.6692,-0,-0,-5.30368,-5.5767,-0,-12.2843,-0,-6.72918,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,2,3,11,5,5,11,14,8,15,10,9,17,11,10,9,9,7,5,7,6,4,5,4,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
