# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 10:19:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24fd5f170.json
# init = /tmp/RtmpC8O1hA/init-b41c279c8fc1_1.json
# random
#   seed = 452005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0034_rep004_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605291119-1-28c78d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0034_rep004_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605291119-1-393fb0.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0585291
# Diagonal elements of inverse mass matrix:
# 0.103689, 0.104551, 0.125004, 0.0374063, 0.140459, 0.173342, 0.281162
-541.308,0.993997,0.0585291,6,63,0,544.707,-2.72321,-1.09279,-1.65711,-0.416012,3.11014,-0.00164214,-1.39287,5.20395,2.46132,2.08517e-05,2.90451e-05,4.04809e-05,5.64624e-05,7.8833e-05,0.000110212,0.000154345,0.000216609,0.000304771,0.000430067,0.000608708,0.000863859,0.00122802,0.00174556,0.00247513,0.00349132,0.00488527,0.00676361,0.00924534,0.0124563,0.0165216,0.0214124,0.0270374,0.0332281,0.0397277,0.0461886,0.0521849,0.0572487,0.0609351,0.0629072,0.0630139,0.0613218,0.0580857,0.0536775,0.0485074,0.0429633,0.0373737,0.0319921,0.0269949,0.0224893,0.0185251,0.0151082,0.0122138,0.00979804,0.0078069,0.00618333,0.00487159,0.00382017,0.00298317,0.00232082,0.00179942,0.00139086,0.00107205,0.000824182,0.000632104,0.000483704,0.000369359,0.000281468,0.000214058,0.000162458,0.000123027,-0,-0,-0,-0,-0,-0,-8.77632,-0,-0,-0,-0,-0,-6.70236,-6.35068,-0,-5.65748,-10.6431,-0,-9.36727,-21.9276,-16.4123,-3.84378,-28.8843,-23.8305,-16.1285,-36.9003,-26.5767,-34.3242,-22.3836,-30.427,-35.9372,-30.7078,-31.3042,-35.0971,-27.2344,-31.4741,-19.7207,-20.6536,-14.4484,-15.1789,-15.9545,-4.19252,-39.6467,-23.1279,-0,-0,-5.32433,-5.56746,-0,-12.1317,-0,-6.57783,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,2,2,2,4,4,2,7,9,8,10,10,15,15,13,11,15,10,6,5,4,9,5,7,6,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-540.782,0.995438,0.0585291,6,63,0,545.14,-2.57628,-3.32171,-1.79051,-0.327947,3.66657,0.354052,-1.33544,5.12361,2.26406,3.15433e-05,4.52269e-05,6.48495e-05,9.29911e-05,0.000133353,0.000191242,0.000274257,0.00039323,0.000563484,0.000806325,0.00115056,0.00163353,0.00230126,0.00320742,0.00441134,0.00597463,0.00795625,0.0104058,0.0133553,0.0168105,0.0207438,0.0250738,0.0296793,0.0344042,0.0390666,0.0434684,0.0474054,0.0506782,0.0531045,0.0545382,0.0548922,0.0541565,0.0523986,0.0497459,0.0463635,0.0424368,0.0381588,0.033719,0.029294,0.0250373,0.0210711,0.0174806,0.0143135,0.0115831,0.00927581,0.0073596,0.0057916,0.00452476,0.00351237,0.00271091,0.0020816,0.001591,0.00121094,0.00091816,0.000693739,0.00052249,0.000392344,0.0002938,0.000219436,0.000163491,0.000121523,-0,-0,-0,-0,-0,-0,-8.20145,-0,-0,-0,-0,-0,-6.0743,-5.74229,-0,-5.12023,-9.66759,-0,-8.63168,-20.4288,-15.502,-3.68593,-28.1384,-23.587,-16.2124,-37.6287,-27.4412,-35.7871,-23.484,-31.9974,-37.731,-32.0746,-32.4376,-36.0099,-27.6412,-31.5974,-19.596,-20.3382,-14.1215,-14.7496,-15.4394,-4.04666,-38.219,-22.2911,-0,-0,-5.15135,-5.39819,-0,-11.8209,-0,-6.44339,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,3,1,3,7,6,10,5,11,13,12,13,7,10,11,11,10,17,5,10,4,5,3,6,3,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-540.966,0.994066,0.0585291,5,47,0,543.488,-2.17493,-2.93846,-1.77973,-0.540164,3.5312,0.603118,-0.627465,5.09233,2.51388,8.50201e-05,0.000113816,0.000152384,0.000204055,0.000273308,0.000366172,0.000490779,0.000658115,0.00088304,0.00118563,0.00159278,0.00213973,0.00287071,0.00383805,0.00509983,0.00671636,0.00874549,0.0112361,0.0142197,0.0177019,0.0216543,0.0259839,0.0305565,0.0352034,0.0397312,0.0439323,0.0475946,0.0505139,0.0525112,0.0534629,0.0533292,0.0521584,0.0500641,0.0472004,0.0437432,0.0398788,0.0357926,0.0316588,0.0276285,0.023821,0.0203189,0.0171693,0.0143893,0.0119732,0.00990031,0.008141,0.0066614,0.00542674,0.0044034,0.00356022,0.00286908,0.00230518,0.00184701,0.00147611,0.00117687,0.000936196,0.000743153,0.000588713,0.000465447,0.000367275,0.000289247,-0,-0,-0,-0,-0,-0,-7.61952,-0,-0,-0,-0,-0,-5.8532,-5.56279,-0,-5.00321,-9.47843,-0,-8.50625,-20.1704,-15.3302,-3.65028,-27.9054,-23.4263,-16.1281,-37.5013,-27.4053,-35.8261,-23.5738,-32.2164,-38.1065,-32.4882,-32.939,-36.6402,-28.1648,-32.2191,-19.9801,-20.7164,-14.3556,-14.9488,-15.5848,-4.06463,-38.1715,-22.1254,-0,-0,-5.01143,-5.21642,-0,-11.2759,-0,-6.07259,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,3,2,4,9,4,8,9,13,5,11,13,9,13,15,7,9,12,12,7,4,3,1,2,1,4,1,4,2,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0
-539.635,0.993886,0.0585291,6,63,0,542.963,-1.78948,-2.04635,-1.44649,-0.406343,4.29332,-0.0333094,-0.77737,5.48116,2.43834,4.18307e-05,5.84307e-05,8.16461e-05,0.000114132,0.000159613,0.000223316,0.000312536,0.000437394,0.000611743,0.000854177,0.00118899,0.00164691,0.00226532,0.00308786,0.00416315,0.00554259,0.00727707,0.00941272,0.0119859,0.015018,0.0185105,0.0224104,0.0266316,0.0310544,0.0355288,0.03988,0.0439164,0.0474411,0.0502658,0.0522283,0.0532121,0.0531635,0.052102,0.0501157,0.0473459,0.0439656,0.0401591,0.0361069,0.0319746,0.027906,0.0240186,0.0204016,0.0171152,0.0141929,0.0116447,0.00946136,0.00761997,0.00608861,0.00483074,0.0038087,0.00298613,0.00232957,0.0018093,0.00139963,0.00107884,0.000828868,0.000634924,0.000485028,0.000369573,0.000280922,0.00021304,-0,-0,-0,-0,-0,-0,-8.07079,-0,-0,-0,-0,-0,-6.09004,-5.78028,-0,-5.19529,-9.84606,-0,-8.84804,-20.9925,-15.9577,-3.79823,-29.0053,-24.3041,-16.6871,-38.6626,-28.1292,-36.5792,-23.9234,-32.4734,-38.1351,-32.2782,-32.5001,-35.9211,-27.4525,-31.2435,-19.2894,-19.9276,-13.7713,-14.3157,-14.9157,-3.89214,-36.6101,-21.2751,-0,-0,-4.87698,-5.10134,-0,-11.1409,-0,-6.06207,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,3,3,3,2,5,13,13,9,4,14,12,6,10,9,13,11,6,15,5,3,5,3,4,5,6,2,0,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0
-540.502,0.999994,0.0585291,5,63,0,542.571,-1.29456,-1.23182,-2.12649,-0.346229,4.73578,0.477678,-0.885522,5.14385,2.35022,2.16641e-05,3.09466e-05,4.42604e-05,6.34105e-05,9.10604e-05,0.00013118,0.000189729,0.000275658,0.000402165,0.000587957,0.000858158,0.0012448,0.00178715,0.00253191,0.00353349,0.00485385,0.00656197,0.00873267,0.0114446,0.0147777,0.0188106,0.0234043,0.0284031,0.0336347,0.0389106,0.0440271,0.0487655,0.052893,0.0561654,0.0583365,0.0591824,0.0585518,0.0564377,0.0530266,0.0486581,0.043718,0.0385501,0.0334217,0.0285234,0.0239827,0.0198774,0.0162482,0.0131065,0.0104412,0.00822333,0.00641082,0.00495368,0.0037989,0.00289478,0.00219402,0.00165535,0.00124409,0.000931859,0.000695928,0.000518364,0.000385187,0.000285601,0.00021133,0.000156068,0.000115034,8.46206e-05,-0,-0,-0,-0,-0,-0,-8.56991,-0,-0,-0,-0,-0,-6.32714,-5.97878,-0,-5.32798,-10.0529,-0,-8.94047,-21.0732,-15.8933,-3.75484,-28.4901,-23.7454,-16.2324,-37.4754,-27.1866,-35.2738,-23.0356,-31.2568,-36.7527,-31.2163,-31.6208,-35.2435,-27.2064,-31.3,-19.5348,-20.3913,-14.2281,-14.9217,-15.6727,-4.11977,-39.0118,-22.81,-0,-0,-5.30762,-5.57304,-0,-12.244,-0,-6.68935,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,8,4,5,5,11,8,12,9,15,10,13,10,11,12,9,8,6,6,5,5,5,3,3,1,0,2,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0
-541.365,0.978432,0.0585291,6,63,0,544.656,-1.09337,-1.52378,-1.71949,-0.708874,4.64444,0.174355,-1.62355,5.51893,2.76638,9.52625e-05,0.000122651,0.000158205,0.000204542,0.000265229,0.000345177,0.00045121,0.000592849,0.00078331,0.00104063,0.00138867,0.0018578,0.00248495,0.00331309,0.0043901,0.00576685,0.0074948,0.00962282,0.0121935,0.0152394,0.0187789,0.0227306,0.0269854,0.0314075,0.035838,0.0400999,0.0440047,0.0473619,0.0499905,0.0517352,0.0524855,0.0521973,0.0509067,0.048726,0.0458229,0.0423904,0.0386217,0.0346941,0.03076,0.0269433,0.0233388,0.0200124,0.0170046,0.0143328,0.0119962,0.00998002,0.00826008,0.00680693,0.00558896,0.0045748,0.0037349,0.00304237,0.00247343,0.00200739,0.00162657,0.00131602,0.00106318,0.000857616,0.00069066,0.000555182,0.00044532,-0,-0,-0,-0,-0,-0,-7.70358,-0,-0,-0,-0,-0,-5.9975,-5.70987,-0,-5.15563,-9.78709,-0,-8.8137,-20.9194,-15.9001,-3.78404,-28.8997,-24.225,-16.6437,-38.5966,-28.1111,-36.5992,-23.9674,-32.5778,-38.3138,-32.48,-32.7554,-36.2585,-27.7467,-31.6083,-19.5236,-20.1671,-13.9262,-14.4561,-15.0306,-3.9114,-36.6684,-21.226,-0,-0,-4.79632,-4.98981,-0,-10.7744,-0,-5.79512,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,1,3,6,5,1,4,7,5,6,6,12,8,7,7,10,13,10,8,12,13,9,8,7,5,5,3,4,2,0,1,2,0,0,0,0,3,0,1,1,0,0,0,0,0
