# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 10:36:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2f803750.json
# init = /tmp/RtmpC8O1hA/init-b41c25c48e0bb_2.json
# random
#   seed = 452007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0036_rep004_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605291136-2-796413.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0036_rep004_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605291136-2-7fbc1d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.153511
# Diagonal elements of inverse mass matrix:
# 0.0362585, 0.0426186, 0.00681276, 0.00505374, 0.0102583, 0.00942487, 0.012473
-545.181,0.975953,0.153511,4,15,0,550.503,-0.570676,-2.39673,-1.12001,-0.689519,3.77428,0.301144,-0.684097,4.57115,2.49134,0.000171443,0.000220748,0.000284385,0.000366616,0.00047304,0.000611041,0.000790419,0.00102427,0.00133016,0.00173174,0.00226062,0.00295821,0.00387659,0.00507736,0.00662784,0.00859466,0.0110357,0.0139908,0.0174728,0.0214592,0.025887,0.030604,0.0354184,0.0401092,0.0444403,0.0481776,0.0511072,0.0530562,0.0539133,0.0536465,0.0523085,0.0500241,0.046968,0.0433404,0.0393475,0.0351858,0.0310299,0.0270227,0.0232711,0.0198453,0.0167814,0.0140887,0.0117558,0.0097583,0.0080644,0.00663926,0.00544805,0.00445777,0.00363829,0.00296278,0.00240781,0.00195317,0.00158167,0.00127876,0.00103225,0.000831965,0.000669472,0.000537808,0.000431245,0.00034509,0.000275508,-0,-0,-0,-0,-0,-0,-7.14295,-0,-0,-0,-0,-0,-5.5528,-5.28296,-0,-4.75661,-9.01324,-0,-8.09422,-19.208,-14.6161,-3.48663,-26.7242,-22.513,-15.568,-36.3943,-26.7645,-35.2368,-23.363,-32.1787,-38.3578,-32.9478,-33.6412,-37.6641,-29.1179,-33.4711,-20.8368,-21.6665,-15.0422,-15.6792,-16.3499,-4.26238,-39.9907,-23.1482,-0,-0,-5.2125,-5.41311,-0,-11.6433,-0,-6.2383,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,2,0,2,4,5,6,8,5,6,9,6,6,16,10,14,14,6,11,14,6,3,3,7,7,3,1,6,2,3,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
-543.348,0.998494,0.153511,4,31,0,548.12,-0.884369,-2.41531,-1.23359,-0.688795,3.81783,0.23308,-0.780261,4.7985,2.55287,0.000171441,0.000220762,0.000284412,0.000366646,0.000473038,0.000610922,0.000789993,0.00102312,0.00132743,0.00172564,0.00224755,0.00293129,0.00382362,0.00497866,0.00645467,0.00830899,0.0105916,0.0133379,0.0165608,0.0202446,0.0243402,0.028726,0.0332433,0.0377043,0.0419032,0.0456295,0.0486844,0.0508972,0.0521445,0.0523674,0.0515798,0.0498643,0.0473559,0.0442214,0.0406418,0.0367974,0.032856,0.0289632,0.0252366,0.0217622,0.0185951,0.0157627,0.01327,0.0111054,0.00924666,0.00766526,0.00633017,0.00521029,0.00427602,0.0035002,0.00285849,0.00232953,0.0018948,0.00153844,0.00124698,0.00100908,0.000815239,0.000657541,0.000529429,0.000425487,0.000341259,-0,-0,-0,-0,-0,-0,-7.14349,-0,-0,-0,-0,-0,-5.56656,-5.30259,-0,-4.79042,-9.09538,-0,-8.20143,-19.4993,-14.8625,-3.54995,-27.2312,-22.9459,-15.862,-37.0464,-27.2016,-35.7354,-23.6299,-32.4442,-38.5401,-32.9829,-33.5507,-37.4226,-28.8266,-33.0233,-20.4937,-21.2504,-14.7178,-15.3103,-15.9394,-4.15011,-38.9003,-22.5016,-0,-0,-5.06243,-5.25712,-0,-11.3099,-0,-6.06209,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,4,0,6,10,2,9,8,6,8,7,11,9,14,7,10,10,4,9,7,12,10,4,5,5,2,6,2,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
-539.53,0.999331,0.153511,4,15,0,543.647,-1.50252,-1.52745,-1.10081,-0.670851,4.01713,0.273539,-0.943471,5.25456,2.56819,4.88865e-05,6.33719e-05,8.22441e-05,0.000106896,0.00013921,0.000181754,0.000238089,0.000313235,0.000414399,0.000552112,0.000741959,0.00100702,0.00138093,0.00191115,0.00266164,0.0037141,0.00516684,0.00713027,0.00971835,0.0130357,0.0171614,0.0220723,0.0276655,0.0337484,0.0400382,0.0461737,0.0517406,0.0563138,0.0595157,0.0610863,0.0609406,0.05918,0.056052,0.0518875,0.0470419,0.0418535,0.0366158,0.031562,0.0268585,0.0226077,0.0188572,0.0156114,0.0128456,0.0105177,0.00857718,0.00697181,0.00565162,0.00457111,0.00369012,0.00297403,0.00239345,0.00192375,0.00154442,0.00123854,0.000992206,0.000794025,0.000634718,0.000506741,0.000403978,0.000321484,0.000255272,-0,-0,-0,-0,-0,-0,-8.34287,-0,-0,-0,-0,-0,-6.585,-6.26005,-0,-5.59562,-10.531,-0,-9.26748,-21.7003,-16.2604,-3.81343,-28.7006,-23.7218,-16.0896,-36.9041,-26.6536,-34.5218,-22.5721,-30.7501,-36.3721,-31.0989,-31.6962,-35.5041,-27.5104,-31.7358,-19.8436,-20.7348,-14.4687,-15.1579,-15.8835,-4.15976,-39.1928,-22.7735,-0,-0,-5.17581,-5.388,-0,-11.6357,-0,-6.25348,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1,2,2,4,5,9,4,7,7,14,16,7,15,10,16,12,10,10,10,8,4,1,3,5,1,2,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
-539.828,0.996037,0.153511,5,31,0,541.445,-1.61726,-2.45482,-1.11736,-0.492056,4.18374,0.230409,-0.873102,5.16856,2.33103,5.5181e-05,7.49958e-05,0.000101966,0.000138708,0.000188818,0.00025726,0.000350906,0.000479297,0.000655682,0.000898371,0.00123231,0.00169065,0.00231581,0.00315966,0.00428236,0.00574953,0.00762738,0.00997573,0.0128391,0.0162367,0.0201537,0.0245209,0.0292218,0.0340949,0.0389418,0.0435391,0.047653,0.0510567,0.0535502,0.0549824,0.0552731,0.0544252,0.0525209,0.049705,0.0461629,0.0421016,0.0377326,0.0332573,0.0288547,0.0246706,0.0208125,0.0173476,0.0143064,0.0116893,0.00947447,0.00762628,0.00610213,0.00485752,0.00384951,0.00303878,0.00239054,0.00187483,0.00146634,0.001144,0.000890496,0.000691707,0.000536236,0.000414931,0.000320485,0.000247094,0.000190166,-0,-0,-0,-0,-0,-0,-7.95499,-0,-0,-0,-0,-0,-6.06799,-5.75729,-0,-5.15864,-9.75202,-0,-8.71052,-20.6024,-15.6175,-3.70823,-28.2627,-23.6503,-16.2284,-37.6092,-27.3943,-35.6978,-23.4171,-31.9082,-37.6411,-32.0202,-32.412,-36.0198,-27.6802,-31.6767,-19.6634,-20.4209,-14.1819,-14.8086,-15.4888,-4.0543,-38.2234,-22.2454,-0,-0,-5.09912,-5.32723,-0,-11.5926,-0,-6.27924,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,3,6,2,7,7,8,12,8,10,10,16,6,9,9,12,10,10,9,8,3,4,3,1,1,2,3,6,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0
-543.839,0.981742,0.153511,4,15,0,544.668,-1.16882,-2.22861,-1.30034,-0.493901,4.33603,0.402976,-0.642997,4.93766,2.31377,5.88972e-05,8.00315e-05,0.000108808,0.000148038,0.000201608,0.000274919,0.000375522,0.00051404,0.000705458,0.000970806,0.00133902,0.00184845,0.00254734,0.00349298,0.00474945,0.00638383,0.00846073,0.0110351,0.0141434,0.017795,0.021964,0.0265485,0.0314025,0.0363417,0.0411546,0.0456147,0.0494943,0.0525786,0.0546818,0.0556682,0.0554764,0.0541372,0.0517688,0.0485501,0.0446901,0.0404047,0.0359028,0.0313752,0.0269869,0.0228699,0.0191184,0.0157882,0.0128992,0.0104421,0.0083871,0.00669204,0.00530973,0.00419293,0.00329753,0.00258419,0.0020189,0.00157294,0.00122249,0.000948,0.000733644,0.000566679,0.000436925,0.000336296,0.000258398,0.000198199,0.000151747,-0,-0,-0,-0,-0,-0,-7.88719,-0,-0,-0,-0,-0,-5.97271,-5.657,-0,-5.05399,-9.54464,-0,-8.51701,-20.1442,-15.2734,-3.62878,-27.6869,-23.2035,-15.9521,-37.0503,-27.0531,-35.3454,-23.2498,-31.7718,-37.5934,-32.0786,-32.5706,-36.3019,-27.972,-32.0881,-19.9616,-20.7704,-14.4496,-15.1117,-15.8284,-4.14849,-39.1553,-22.8095,-0,-0,-5.23821,-5.47436,-0,-11.9167,-0,-6.45481,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,3,5,5,5,6,9,10,6,6,11,14,13,15,9,15,10,7,7,5,6,1,8,2,6,4,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
-543.4,0.99909,0.153511,5,31,0,548.7,-0.819929,-1.34918,-1.10937,-0.690995,4.30915,-0.0495298,-0.953379,5.15055,2.63918,4.77471e-05,6.17886e-05,8.0124e-05,0.000104174,0.0001359,0.000178047,0.000234524,0.000310994,0.000415776,0.000561216,0.000765655,0.00105605,0.00147106,0.00206409,0.0029055,0.00408284,0.00569834,0.00786306,0.0106876,0.0142699,0.0186818,0.0238218,0.0295156,0.0355196,0.0415305,0.0472049,0.0521854,0.0561349,0.0587755,0.0599283,0.0595432,0.0577086,0.0546324,0.0506021,0.0459368,0.0409457,0.0358989,0.0310124,0.0264424,0.0222886,0.0186017,0.0153935,0.0126479,0.0103301,0.00839547,0.00679558,0.00548236,0.00441094,0.00354103,0.00283747,0.00227023,0.00181403,0.00144785,0.00115439,0.000919485,0.000731589,0.00058136,0.00046125,0.000365189,0.000288309,0.000226725,-0,-0,-0,-0,-0,-0,-8.35795,-0,-0,-0,-0,-0,-6.52177,-6.18306,-0,-5.50096,-10.3352,-0,-9.07735,-21.248,-15.9208,-3.73716,-28.1827,-23.3637,-15.9066,-36.6391,-26.5766,-34.56,-22.6722,-30.9607,-36.6737,-31.3758,-31.9784,-35.8051,-27.7244,-31.9551,-19.9623,-20.8402,-14.5312,-15.2147,-15.938,-4.17381,-39.3324,-22.8635,-0,-0,-5.20622,-5.42367,-0,-11.7297,-0,-6.31221,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,4,2,7,6,4,11,14,12,9,13,10,5,14,10,9,10,7,9,9,4,3,6,3,3,0,2,2,1,2,0,0,0,0,2,1,0,0,0,0,0,0
