# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 10:40:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23fbe8f6b.json
# init = /tmp/RtmpC8O1hA/init-b41c212693c88_1.json
# random
#   seed = 452008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0037_rep004_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605291140-1-5113df.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0037_rep004_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605291140-1-9b871a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0962051
# Diagonal elements of inverse mass matrix:
# 0.163164, 0.114307, 0.112373, 0.0180778, 0.110305, 0.182495, 0.217802
-544.172,0.99771,0.0962051,5,31,0,545.368,-1.27,-2.32056,-0.57259,-0.649482,4.33021,1.2354,1.11461,5.36353,2.50332,6.1435e-05,7.98835e-05,0.000103918,0.000135265,0.000176206,0.000229787,0.000300102,0.000392738,0.000515469,0.000679441,0.000901278,0.00120666,0.0016342,0.00223714,0.0030845,0.00426116,0.0058642,0.00799213,0.0107305,0.0142066,0.0191794,0.023962,0.0288496,0.0337433,0.0385729,0.0433371,0.0480609,0.0526633,0.0565301,0.0581536,0.0571476,0.0549042,0.0521969,0.0491522,0.0457399,0.0419398,0.0377868,0.0333989,0.028979,0.0247542,0.0208931,0.0174772,0.0145203,0.011999,0.00987185,0.00809175,0.00661153,0.00538703,0.00437845,0.0035508,0.00287379,0.00232154,0.00187219,0.00150734,0.00121169,0.000972556,0.000779451,0.000623758,0.000498409,0.000397605,0.000316373,-0,-0,-0,-0,-0,-0,-8.11139,-0,-0,-0,-0,-0,-6.4166,-6.10256,-0,-5.45821,-10.2778,-0,-9.06933,-21.2702,-15.8157,-3.73129,-28.3653,-23.7228,-16.276,-37.6649,-27.3176,-35.326,-22.9839,-31.2913,-37.2075,-31.9238,-32.48,-36.154,-27.7631,-31.7152,-19.6548,-20.3954,-14.1647,-14.795,-15.4733,-4.04686,-38.0898,-22.1147,-0,-0,-5.01894,-5.22376,-0,-11.2812,-0,-6.06552,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2,4,6,6,5,7,8,7,13,17,14,8,9,15,13,7,9,9,6,5,9,2,6,2,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
-545.67,0.995226,0.0962051,6,63,0,549.318,-1.94151,-2.06856,-0.596511,0.0766125,4.97598,-0.457604,1.08326,5.59919,2.14756,4.57203e-06,7.72283e-06,1.29821e-05,2.1692e-05,3.59797e-05,5.91577e-05,9.62826e-05,0.000154912,0.000246088,0.000385543,0.000595049,0.000903711,0.00134883,0.00197587,0.00283701,0.00398785,0.00548199,0.00736392,0.00966879,0.0125177,0.0169884,0.0212593,0.0257516,0.0305008,0.035384,0.0402289,0.0448334,0.0489689,0.052388,0.0548446,0.0561328,0.0561386,0.0548826,0.0525255,0.0493244,0.0455605,0.0414773,0.0372554,0.0330201,0.0288629,0.0248603,0.0210815,0.0175874,0.014427,0.0116326,0.00921776,0.00717824,0.00549425,0.00413441,0.00305991,0.00222859,0.00159831,0.00112963,0.000787441,0.000541875,0.000368452,0.000247779,0.000164949,0.000108796,7.11567e-05,4.61838e-05,-0,-0,-0,-0,-0,-0,-9.24822,-0,-0,-0,-0,-0,-6.60852,-6.22675,-0,-5.5245,-10.4126,-0,-9.2777,-21.9031,-16.3009,-3.85096,-29.2741,-24.43,-16.7075,-38.558,-27.9432,-36.1988,-23.5926,-31.9358,-37.4404,-31.6792,-31.9282,-35.3575,-27.084,-30.8871,-19.0957,-19.7397,-13.6426,-14.1808,-14.7779,-3.85936,-36.3651,-21.1933,-0,-0,-4.9367,-5.20405,-0,-11.5787,-0,-6.43881,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,4,5,6,3,10,6,9,5,9,10,12,10,10,13,8,19,6,10,8,6,3,8,1,2,0,2,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0
-546.435,0.99995,0.0962051,6,63,0,548.026,-1.15001,-1.91782,-1.39402,0.23834,5.37601,0.206531,1.28443,5.20092,2.09697,2.93121e-06,5.50992e-06,1.03286e-05,1.92681e-05,3.56513e-05,6.51037e-05,0.000116595,0.00020343,0.000343955,0.000561942,0.000886762,0.00135335,0.00200177,0.00287591,0.00402086,0.0054783,0.00727954,0.00943683,0.0119347,0.0147463,0.022766,0.0268505,0.0310031,0.0351382,0.0391671,0.0430159,0.0466177,0.0498982,0.052753,0.055015,0.0564148,0.0565668,0.0550657,0.0517704,0.0471002,0.0419058,0.0369282,0.0324676,0.0284925,0.0248697,0.0214935,0.0183141,0.0153274,0.0125568,0.0100387,0.00781053,0.00590141,0.00432436,0.00307219,0.00211777,0.00141901,0.000926523,0.000591212,0.00036978,0.000227348,0.000137753,8.2441e-05,4.8824e-05,2.86586e-05,1.66944e-05,9.6614e-06,-0,-0,-0,-0,-0,-0,-9.0568,-0,-0,-0,-0,-0,-6.21372,-5.85139,-0,-5.20696,-9.84537,-0,-8.85662,-21.0838,-15.1299,-3.61747,-27.7893,-23.4393,-16.1996,-37.7542,-27.592,-35.9732,-23.5371,-31.9017,-37.3753,-31.5957,-31.8915,-35.5312,-27.4993,-31.7233,-19.7927,-20.5651,-14.2325,-14.7764,-15.36,-4.00008,-37.603,-21.8875,-0,-0,-5.13256,-5.44349,-0,-12.3148,-0,-6.98407,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,1,1,6,7,3,10,5,8,7,6,12,12,9,7,12,14,9,12,8,6,8,6,6,1,4,0,4,3,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
-545.495,0.998902,0.0962051,6,63,0,549.864,-2.73658,-2.34262,-0.652121,-0.553335,3.46291,0.135215,1.27159,5.16293,2.60703,6.85116e-05,9.13933e-05,0.000121943,0.000162748,0.000217285,0.000290227,0.000387873,0.000518725,0.000694265,0.000929976,0.00124661,0.00167158,0.0022402,0.00299614,0.00399033,0.0052776,0.00691043,0.00892954,0.0113534,0.0142572,0.0207716,0.0259305,0.0312238,0.0368141,0.042497,0.047894,0.0524757,0.055689,0.0572057,0.0570831,0.0556555,0.0532949,0.0502737,0.046766,0.0429016,0.0388061,0.0346136,0.0304595,0.0264662,0.0227314,0.0193216,0.0162727,0.0135947,0.0112773,0.00929721,0.00762323,0.00622076,0.00505475,0.00409174,0.00330091,0.00265472,0.00212903,0.00170303,0.00135903,0.0010821,0.0008598,0.000681808,0.00053963,0.000426309,0.000336171,0.000264577,-0,-0,-0,-0,-0,-0,-7.85483,-0,-0,-0,-0,-0,-6.10119,-5.81043,-0,-5.24428,-9.94945,-0,-8.95647,-21.2525,-15.4967,-3.65233,-27.7326,-23.1131,-15.7916,-36.4652,-26.5266,-34.6557,-22.8888,-31.4957,-37.5515,-32.2511,-32.893,-36.7512,-28.3396,-32.4918,-20.181,-20.9481,-14.5275,-15.136,-15.7861,-4.11826,-38.6827,-22.4248,-0,-0,-5.07986,-5.28743,-0,-11.4271,-0,-6.15209,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,1,1,3,2,5,3,4,7,5,8,9,6,15,9,15,18,9,4,8,10,6,9,5,3,7,3,5,3,2,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
-544.753,0.981072,0.0962051,5,63,0,547.939,-0.929103,-2.89648,-0.536281,-0.478277,4.72397,1.45289,1.00941,5.32119,2.18962,3.26795e-05,4.46101e-05,6.09256e-05,8.32634e-05,0.000113896,0.000156,0.000214061,0.000294504,0.00040674,0.000564983,0.000791422,0.00111983,0.00159647,0.00228009,0.0032417,0.00456331,0.00633595,0.00865887,0.0116348,0.015338,0.0198421,0.024504,0.0291165,0.0335262,0.0377257,0.0417933,0.0458136,0.0497795,0.0534434,0.0561194,0.0567337,0.0553069,0.052844,0.0499399,0.0468002,0.0434326,0.0397753,0.0357746,0.0314524,0.026963,0.0225764,0.0185534,0.0150396,0.0120685,0.00960969,0.00760473,0.0059876,0.00469421,0.00366669,0.00285489,0.0022165,0.00171648,0.00132619,0.00102248,0.000786772,0.000604297,0.000463344,0.00035468,0.000271051,0.000206767,0.000157371,-0,-0,-0,-0,-0,-0,-8.44925,-0,-0,-0,-0,-0,-6.43996,-6.08354,-0,-5.38971,-10.123,-0,-8.90751,-20.8871,-15.6798,-3.70892,-28.2916,-23.768,-16.3871,-38.1002,-27.7486,-36.0018,-23.4331,-31.683,-37.302,-31.8434,-32.3445,-35.9632,-27.5568,-31.3654,-19.3471,-19.9831,-13.8371,-14.4532,-15.1634,-3.9871,-37.7736,-22.0858,-0,-0,-5.11806,-5.36143,-0,-11.7174,-0,-6.36748,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,3,0,9,6,5,4,8,10,13,9,13,10,8,13,10,12,5,9,7,6,10,3,8,3,4,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
-546.436,0.997105,0.0962051,5,31,0,547.342,-1.05845,-3.42015,-0.542636,-0.402815,4.7015,1.41364,1.18533,5.2253,2.10185,3.17362e-05,4.43676e-05,6.2047e-05,8.6812e-05,0.000121542,0.000170325,0.000239006,0.000336019,0.00047371,0.000670464,0.000953952,0.0013638,0.00195107,0.00277759,0.00391512,0.00544258,0.00744123,0.00998968,0.0131562,0.0169677,0.0214586,0.0258638,0.0300199,0.0338737,0.0375348,0.0411698,0.0449083,0.0487495,0.0524096,0.0550969,0.0556064,0.0540021,0.0514297,0.0485531,0.0455883,0.0425286,0.0392702,0.0356836,0.0316947,0.0273858,0.0230207,0.0189121,0.0152686,0.0121672,0.00959884,0.00751236,0.00584108,0.00451677,0.00347641,0.00266484,0.00203547,0.00154983,0.00117671,0.000891126,0.000673273,0.000507584,0.000381906,0.000286809,0.000215004,0.00016088,0.000120127,-0,-0,-0,-0,-0,-0,-8.33902,-0,-0,-0,-0,-0,-6.23938,-5.88617,-0,-5.2135,-9.80144,-0,-8.66172,-20.3822,-15.3665,-3.65491,-28.0472,-23.6958,-16.4124,-38.2806,-27.9282,-36.2527,-23.5893,-31.8853,-37.5629,-32.1061,-32.6429,-36.3012,-27.7929,-31.5758,-19.4237,-19.9984,-13.8064,-14.3909,-15.0854,-3.96795,-37.6376,-22.0451,-0,-0,-5.14284,-5.39996,-0,-11.8552,-0,-6.46961,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,3,0,2,3,4,8,14,7,7,14,7,11,6,8,8,11,6,12,9,6,9,8,8,4,6,3,0,4,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0
