# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 10:50:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2302d561d.json
# init = /tmp/RtmpC8O1hA/init-b41c23afce071_4.json
# random
#   seed = 452009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0038_rep004_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605291150-4-631ae7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0038_rep004_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605291150-4-49a9d6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.111394
# Diagonal elements of inverse mass matrix:
# 0.177075, 0.0632664, 0.0333713, 0.0112621, 0.0250001, 0.0528568, 0.0829191
-543.269,0.991138,0.111394,6,63,0,550.452,-1.26633,-1.71538,-1.537,-0.578064,4.71543,1.11404,-0.213386,5.18256,2.46589,5.74745e-05,7.62496e-05,0.000101231,0.000134527,0.000179007,0.000238614,0.000318834,0.000427433,0.000575634,0.000779967,0.00106457,0.00146256,0.00201595,0.00277551,0.00380072,0.00515928,0.00692566,0.00917807,0.0119932,0.0154386,0.0195642,0.0242176,0.0292245,0.0343926,0.0395185,0.0443916,0.0487946,0.052501,0.0552743,0.0568731,0.0570896,0.055871,0.0534145,0.0500344,0.0460287,0.0416468,0.0370935,0.0325379,0.0281208,0.0239591,0.0201459,0.0167452,0.013786,0.011263,0.00914554,0.00738954,0.00594641,0.00476871,0.00381301,0.00304101,0.00241979,0.00192154,0.00152305,0.00120512,0.000952017,0.000750915,0.000591404,0.000465072,0.000365152,0.000286209,0.000223897,-0,-0,-0,-0,-0,-0,-8.05084,-0,-0,-0,-0,-0,-6.20666,-5.88692,-0,-5.26696,-9.94504,-0,-8.84682,-20.8544,-15.7362,-3.72068,-28.262,-23.5894,-16.1549,-37.3764,-27.1812,-35.3631,-23.1636,-31.5363,-37.2207,-31.7318,-32.2264,-35.9405,-27.7064,-31.7853,-19.7659,-20.5521,-14.285,-14.9256,-15.619,-4.08964,-38.5569,-22.4312,-0,-0,-5.12497,-5.34568,-0,-11.5911,-0,-6.25463,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4,1,2,4,6,6,4,5,11,13,14,10,11,13,16,13,11,12,7,5,8,3,4,1,2,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-543.166,0.999069,0.111394,5,31,0,546.407,-1.35246,-3.52422,-0.358929,-0.635999,4.19306,0.217952,-0.976822,5.03568,2.28782,9.75164e-05,0.000127202,0.000165978,0.000216664,0.000282981,0.000369851,0.00048382,0.000633625,0.000830991,0.00109171,0.00143711,0.00189585,0.00250599,0.00331687,0.00439007,0.00579866,0.00762338,0.00994512,0.0128331,0.0163297,0.0204341,0.0250874,0.0301634,0.0354685,0.04075,0.045716,0.0500622,0.0535059,0.0558197,0.0568599,0.0565835,0.05505,0.0524081,0.0488729,0.044698,0.0401463,0.0354642,0.0308622,0.0265027,0.0224964,0.0189061,0.0157541,0.0130333,0.010717,0.00876688,0.00714016,0.00579335,0.00468523,0.00377823,0.00303912,0.00243909,0.00195354,0.00156174,0.00124637,0.00099306,0.000789987,0.000627453,0.000497553,0.000393867,0.000311202,0.000245373,-0,-0,-0,-0,-0,-0,-7.6338,-0,-0,-0,-0,-0,-5.98907,-5.70873,-0,-5.15013,-9.75307,-0,-8.71146,-20.5739,-15.5622,-3.68539,-28.009,-23.3738,-16.0015,-37.0237,-26.9504,-35.1356,-23.085,-31.5388,-37.3365,-31.8946,-32.4356,-36.2224,-27.9704,-32.1523,-20.0354,-20.8693,-14.522,-15.1776,-15.8731,-4.15066,-39.0622,-22.6796,-0,-0,-5.15104,-5.36334,-0,-11.5924,-0,-6.23811,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4,2,2,1,1,3,3,2,6,10,5,12,14,8,17,4,8,12,10,10,11,6,4,4,9,10,3,2,4,4,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
-543.985,0.993064,0.111394,5,63,0,547.475,-1.08937,-2.8614,-0.212732,-0.791288,4.21546,0.518572,-0.923205,5.21865,2.47471,5.38862e-05,6.78684e-05,8.55694e-05,0.000108033,0.000136627,0.000173169,0.000220105,0.000280785,0.000359901,0.0004642,0.000603683,0.000793651,0.00105807,0.00143461,0.0019811,0.00278233,0.00395492,0.00564707,0.00802901,0.0112708,0.0155067,0.020789,0.027045,0.0340482,0.0414159,0.0486384,0.0551383,0.0603519,0.0638192,0.0652632,0.0646342,0.0621037,0.0580174,0.052825,0.047006,0.0410031,0.0351752,0.0297725,0.0249377,0.0207241,0.0171221,0.0140855,0.0115506,0.00944943,0.0077164,0.00629227,0.00512515,0.00417064,0.00339125,0.00275567,0.00223789,0.0018164,0.00147351,0.00119467,0.000967925,0.000783483,0.000633329,0.000510937,0.000411014,0.000329309,0.000262435,-0,-0,-0,-0,-0,-0,-8.42141,-0,-0,-0,-0,-0,-6.85131,-6.54686,-0,-5.88447,-11.0656,-0,-9.64939,-22.4277,-16.6659,-3.87333,-28.882,-23.6598,-15.9205,-36.2801,-26.0812,-33.6907,-22.0136,-30.0226,-35.6071,-30.5684,-31.3171,-35.2892,-27.5173,-31.9411,-20.0845,-21.085,-14.7655,-15.5058,-16.2695,-4.26261,-40.1491,-23.309,-0,-0,-5.2736,-5.47969,-0,-11.7882,-0,-6.3109,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,8,5,10,9,15,11,14,12,15,11,13,10,8,9,7,4,8,6,3,3,0,2,3,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
-541.53,0.98689,0.111394,5,31,0,547.135,-2.50758,-2.99818,-1.02998,-0.511395,3.82622,0.329319,-0.6379,5.43017,2.4285,5.56726e-05,7.51724e-05,0.000101519,0.000137128,0.00018528,0.000250435,0.000338664,0.000458253,0.000620515,0.000840884,0.00114028,0.0015467,0.00209665,0.00283618,0.00382087,0.00511445,0.00678533,0.00890044,0.0115162,0.0146675,0.0183555,0.0225333,0.0271039,0.0319207,0.0367947,0.0415051,0.0458144,0.0494856,0.0523035,0.0541006,0.0547807,0.0543291,0.0528076,0.0503409,0.0470991,0.0432816,0.0390997,0.0347593,0.0304449,0.0263077,0.0224587,0.0189681,0.0158697,0.0131684,0.0108484,0.00888092,0.0072299,0.00585687,0.00472378,0.00379491,0.00303784,0.00242395,0.00192839,0.00152997,0.00121081,0.000955963,0.000753082,0.000592005,0.000464433,0.000363628,0.000284142,-0,-0,-0,-0,-0,-0,-7.9905,-0,-0,-0,-0,-0,-6.16741,-5.8653,-0,-5.27569,-9.98598,-0,-8.92799,-21.1106,-15.9913,-3.79276,-28.8646,-24.1115,-16.512,-38.1833,-27.7484,-36.0729,-23.6055,-32.086,-37.7574,-32.0397,-32.3521,-35.8673,-27.4995,-31.4003,-19.4498,-20.1559,-13.9674,-14.5516,-15.1843,-3.965,-37.2901,-21.6497,-0,-0,-4.92953,-5.14014,-0,-11.1482,-0,-6.02236,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,4,1,8,6,11,7,8,8,17,9,7,13,10,8,6,10,5,10,10,3,3,5,7,4,4,0,2,2,0,1,2,0,1,2,0,0,0,0,0,0,0,0
-541.038,0.998581,0.111394,5,31,0,542.697,-1.89959,-3.07064,-1.09284,-0.518857,4.04119,0.373746,-0.617553,5.23382,2.37218,6.70195e-05,9.03016e-05,0.000121695,0.000164046,0.000221211,0.000298431,0.00040284,0.000544165,0.00073568,0.000995438,0.00134774,0.0018246,0.00246683,0.00332417,0.00445433,0.00592033,0.00778588,0.0101084,0.0129295,0.0162651,0.0200952,0.0243506,0.0289164,0.0336356,0.0383181,0.0427525,0.0467199,0.0500089,0.0524337,0.0538545,0.0541974,0.0534641,0.0517266,0.0491122,0.0457871,0.0419408,0.0377718,0.0334729,0.0292185,0.0251529,0.021383,0.0179769,0.0149667,0.0123555,0.0101254,0.00824525,0.00667721,0.00538129,0.00431842,0.00345239,0.0027507,0.00218495,0.00173075,0.00136749,0.00107795,0.000847864,0.000665524,0.00052138,0.000407688,0.0003182,0.000247898,-0,-0,-0,-0,-0,-0,-7.81697,-0,-0,-0,-0,-0,-6.00482,-5.70654,-0,-5.12936,-9.71089,-0,-8.69648,-20.5937,-15.6291,-3.7152,-28.3468,-23.7452,-16.3092,-37.8279,-27.5723,-35.9466,-23.5856,-32.1362,-37.8966,-32.2162,-32.5796,-36.1638,-27.7538,-31.715,-19.6572,-20.3821,-14.1318,-14.7311,-15.3806,-4.01867,-37.8173,-21.9683,-0,-0,-5.00905,-5.22483,-0,-11.3374,-0,-6.12616,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,1,2,0,1,2,3,6,8,9,6,4,10,13,8,8,9,11,3,8,12,8,17,7,11,4,2,4,3,1,2,2,3,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0
-542.944,0.979852,0.111394,4,15,0,543.908,-2.27453,-2.37167,-0.63229,-0.457735,4.09162,0.482129,-0.246063,5.20079,2.17002,2.10879e-05,2.89589e-05,3.97798e-05,5.46672e-05,7.51701e-05,0.000103446,0.000142516,0.000196645,0.000271907,0.000377058,0.000524881,0.000734226,0.00103293,0.00146167,0.0020784,0.00296284,0.00421939,0.00597609,0.00837638,0.0115605,0.0156366,0.0206367,0.02649,0.0330062,0.0398773,0.0466992,0.0530063,0.0583175,0.0621968,0.0643255,0.064565,0.0629721,0.0597644,0.0552689,0.0498732,0.0439813,0.0379716,0.0321629,0.0267904,0.0219987,0.0178498,0.0143419,0.0114312,0.00905133,0.00712787,0.00558747,0.00436287,0.00339516,0.00263428,0.00203855,0.00157381,0.00121243,0.000932197,0.00071544,0.000548156,0.000419315,0.000320262,0.000244238,0.000185975,0.000141386,0.000107305,-0,-0,-0,-0,-0,-0,-8.85606,-0,-0,-0,-0,-0,-6.87535,-6.52818,-0,-5.82161,-10.9361,-0,-9.56468,-22.3008,-16.6326,-3.88069,-29.0479,-23.8774,-16.1097,-36.7683,-26.4361,-34.1022,-22.2196,-30.1818,-35.6211,-30.4157,-30.9908,-34.7465,-26.9844,-31.2399,-19.6255,-20.6216,-14.4788,-15.2671,-16.1031,-4.24457,-40.2427,-23.5242,-0,-0,-5.43463,-5.6854,-0,-12.391,-0,-6.71513,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,4,9,7,7,7,10,10,8,25,18,14,10,6,8,4,17,5,4,5,5,1,2,2,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
