# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 10:56:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2f5a9617.json
# init = /tmp/RtmpC8O1hA/init-b41c23357b38d_4.json
# random
#   seed = 452010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0039_rep004_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605291156-4-4bb1a2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0039_rep004_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605291156-4-0fae55.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.133416
# Diagonal elements of inverse mass matrix:
# 0.0530448, 0.0264805, 0.0063159, 0.00356436, 0.00602809, 0.00804486, 0.00759614
-542.333,0.998592,0.133416,5,31,0,544.799,-1.21666,-2.88269,-0.791038,-0.700725,4.46919,0.763543,-0.369917,5.2603,2.44211,0.00010783,0.000138434,0.000177812,0.000228538,0.000293979,0.000378571,0.000488195,0.000630739,0.000816904,0.00106141,0.00138472,0.00181514,0.00239085,0.00316104,0.00418589,0.00553509,0.00728391,0.00950635,0.0122644,0.015594,0.0194899,0.0238869,0.028662,0.0336399,0.0386051,0.0433171,0.0475262,0.050992,0.0535033,0.0549031,0.0551154,0.0541593,0.0521381,0.0492149,0.04559,0.0414819,0.037111,0.0326846,0.0283826,0.0243456,0.0206676,0.0173965,0.0145425,0.0120888,0.0100032,0.00824586,0.00677541,0.00555181,0.00453825,0.00370184,0.00301383,0.00244946,0.0019876,0.00161041,0.00130292,0.00105264,0.000849199,0.000684028,0.000550067,0.000441526,0.000353665,-0,-0,-0,-0,-0,-0,-7.6248,-0,-0,-0,-0,-0,-6.03611,-5.75686,-0,-5.19665,-9.84418,-0,-8.80211,-20.8043,-15.7514,-3.73442,-28.4175,-23.7443,-16.2719,-37.6705,-27.4183,-35.713,-23.4241,-31.924,-37.6782,-32.0741,-32.4924,-36.1387,-27.7926,-31.825,-19.763,-20.5251,-14.2479,-14.8616,-15.5168,-4.05148,-38.0761,-22.0774,-0,-0,-4.99446,-5.19363,-0,-11.1979,-0,-6.01189,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,2,2,3,4,6,9,8,12,7,15,12,6,9,4,8,11,9,10,15,8,8,7,2,3,3,1,1,2,2,0,0,3,1,0,0,1,0,0,0,1,0,0,0
-542.123,0.99731,0.133416,5,31,0,544.603,-1.30509,-2.43371,-0.824663,-0.855933,4.24674,0.518177,-0.802328,5.44569,2.73183,0.000160836,0.000199612,0.000247949,0.000308323,0.000383915,0.00047885,0.000598539,0.000750167,0.000943418,0.00119155,0.00151291,0.00193298,0.00248655,0.00321948,0.00418935,0.00546422,0.00711908,0.00922899,0.0118588,0.0150499,0.0188061,0.023073,0.0277374,0.032629,0.0375306,0.0421937,0.0463582,0.0497752,0.0522335,0.053587,0.0537782,0.0528413,0.0508883,0.0480873,0.044641,0.0407674,0.0366795,0.0325686,0.0285906,0.0248588,0.0214439,0.0183797,0.0156717,0.0133066,0.0112596,0.00950049,0.00799712,0.00671798,0.00563355,0.00471688,0.00394392,0.00329348,0.00274707,0.00228871,0.00190464,0.00158311,0.00131412,0.00108919,0.000901187,0.00074411,0.000612933,-0,-0,-0,-0,-0,-0,-7.42102,-0,-0,-0,-0,-0,-5.99686,-5.73853,-0,-5.20953,-9.88995,-0,-8.86937,-20.9819,-15.8943,-3.76909,-28.6798,-23.9579,-16.413,-37.9858,-27.6422,-36.0028,-23.6163,-32.1909,-37.9975,-32.3451,-32.7593,-36.4169,-27.9819,-31.9987,-19.8332,-20.5464,-14.2187,-14.7782,-15.3693,-3.99651,-37.4031,-21.5975,-0,-0,-4.82867,-5.00297,-0,-10.7132,-0,-5.71581,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,4,7,3,5,10,4,10,7,6,17,12,13,9,13,7,12,6,5,8,3,3,3,5,4,2,4,1,2,2,2,2,0,0,1,3,0,0,0,0,0,0,0
-542.909,0.999494,0.133416,5,31,0,544.322,-1.38065,-2.17113,-0.671039,-0.825069,4.28404,0.912558,-0.696142,5.37997,2.58386,6.8921e-05,8.61748e-05,0.000107865,0.000135201,0.00016976,0.000213628,0.0002696,0.000341494,0.000434651,0.000556761,0.000719289,0.000939886,0.00124604,0.00167954,0.00230093,0.00319327,0.00446368,0.00624057,0.00866355,0.0118632,0.0159303,0.0208712,0.0265858,0.0328601,0.039378,0.045748,0.0515385,0.0563194,0.0597102,0.0614431,0.0614282,0.0597615,0.0566735,0.0524795,0.0475376,0.0422113,0.0368335,0.0316754,0.0269261,0.0226891,0.0189958,0.0158289,0.0131441,0.010886,0.0089974,0.00742443,0.00611838,0.00503655,0.00414214,0.00340381,0.00279509,0.00229372,0.00188111,0.00154173,0.00126268,0.00103325,0.000844564,0.000689309,0.000561477,0.000456147,0.00036931,-0,-0,-0,-0,-0,-0,-8.21857,-0,-0,-0,-0,-0,-6.68778,-6.38924,-0,-5.74671,-10.8236,-0,-9.49726,-22.1716,-16.5581,-3.86938,-29.019,-23.9085,-16.1727,-37.0153,-26.6888,-34.5206,-22.546,-30.6861,-36.2685,-30.9913,-31.5749,-35.368,-27.4161,-31.6507,-19.8081,-20.7133,-14.4586,-15.1435,-15.8541,-4.14592,-38.986,-22.6014,-0,-0,-5.09646,-5.29103,-0,-11.3657,-0,-6.07758,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,2,4,2,6,5,11,7,9,6,16,15,13,12,15,7,11,10,9,5,3,5,2,0,1,1,2,1,2,2,1,1,1,1,0,0,1,1,0,0,0,0
-542.106,0.999552,0.133416,5,31,0,544.085,-1.61373,-2.08865,-0.844404,-0.616997,4.40771,0.439243,-0.486876,5.34963,2.40197,4.51196e-05,5.92307e-05,7.78124e-05,0.000102324,0.00013473,0.000177707,0.00023493,0.00031153,0.00041478,0.000555176,0.000748059,0.00101591,0.00139119,0.00191939,0.00266155,0.00369564,0.00511541,0.00702545,0.00953118,0.0127234,0.016659,0.0213218,0.026619,0.0323751,0.0383373,0.0441915,0.0495857,0.0541606,0.0575862,0.0596075,0.0600919,0.0590552,0.0566466,0.0531071,0.0487272,0.0438134,0.0386614,0.0335331,0.0286402,0.0241347,0.020107,0.0165936,0.0135888,0.011059,0.00895502,0.00722183,0.00580463,0.00465256,0.00372036,0.00296891,0.00236502,0.00188099,0.00149388,0.00118487,0.000938601,0.000742605,0.000586807,0.000463087,0.000364924,0.000287098,0.000225435,-0,-0,-0,-0,-0,-0,-8.35622,-0,-0,-0,-0,-0,-6.57759,-6.25575,-0,-5.6006,-10.551,-0,-9.30637,-21.8216,-16.3792,-3.84803,-29.009,-24.0126,-16.3067,-37.4307,-27.0365,-34.9896,-22.8358,-31.0197,-36.5545,-31.1221,-31.5801,-35.2253,-27.1937,-31.2781,-19.5175,-20.3713,-14.2118,-14.8964,-15.6267,-4.09874,-38.6866,-22.5226,-0,-0,-5.1491,-5.37034,-0,-11.6391,-0,-6.27596,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,2,6,5,3,6,5,9,11,9,11,9,9,8,12,19,14,6,10,6,4,6,2,4,2,4,3,4,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
-542.176,0.987318,0.133416,4,31,0,545.064,-0.618858,-2.25406,-0.971924,-0.739939,4.30672,0.695132,-0.517936,4.94776,2.52461,0.000125452,0.000159732,0.000203548,0.000259658,0.000331692,0.000424461,0.000544433,0.000700419,0.000904646,0.00117438,0.00153428,0.0020193,0.00267691,0.00356737,0.00476168,0.00633734,0.0083721,0.0109354,0.0140772,0.0178157,0.022125,0.0268898,0.0319412,0.0370655,0.0420181,0.0465416,0.0503822,0.053308,0.0551298,0.0557289,0.0550879,0.0532973,0.050527,0.0469891,0.042913,0.0385275,0.0340473,0.0296597,0.0255138,0.0217139,0.0183179,0.0153438,0.01278,0.0105966,0.00875404,0.00721014,0.00592359,0.00485616,0.00397366,0.0032462,0.00264801,0.00215713,0.00175501,0.00142609,0.00115736,0.000938016,0.000759129,0.000613325,0.000494549,0.000397839,0.000319142,-0,-0,-0,-0,-0,-0,-7.51577,-0,-0,-0,-0,-0,-5.92309,-5.63593,-0,-5.0613,-9.5657,-0,-8.5264,-20.1384,-15.2442,-3.61601,-27.5509,-23.0655,-15.8483,-36.8089,-26.8931,-35.18,-23.1845,-31.7598,-37.6847,-32.2506,-32.8377,-36.6941,-28.3372,-32.5638,-20.28,-21.1078,-14.6741,-15.3192,-15.9995,-4.17704,-39.2388,-22.7361,-0,-0,-5.12881,-5.32751,-0,-11.4605,-0,-6.13898,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,4,1,1,4,9,6,9,7,8,12,12,9,20,9,7,11,8,5,8,5,6,3,5,4,6,2,2,1,2,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
-542.967,0.997379,0.133416,4,31,0,546.5,-1.33378,-2.70996,-0.756343,-0.768737,4.094,0.901371,-0.51244,5.15661,2.52246,0.00013324,0.000168325,0.000212758,0.000269097,0.00034064,0.000431664,0.000547764,0.000696325,0.000887215,0.00113383,0.00145468,0.00187566,0.00243294,0.00317547,0.0041663,0.00548215,0.00721056,0.00944291,0.0122621,0.0157242,0.0198368,0.0245337,0.0296725,0.0350422,0.0403797,0.04539,0.0497685,0.053227,0.0555262,0.0565157,0.0561665,0.0545639,0.0518774,0.0483309,0.0441782,0.0396809,0.0350859,0.0306049,0.0263968,0.0225611,0.0191437,0.0161508,0.0135626,0.0113458,0.00946124,0.00786837,0.0065284,0.00540554,0.00446769,0.00368654,0.00303746,0.00249925,0.00205378,0.00168564,0.00138181,0.00113133,0.000925038,0.00075526,0.000615629,0.000500861,0.000406591,-0,-0,-0,-0,-0,-0,-7.50967,-0,-0,-0,-0,-0,-6.01866,-5.7523,-0,-5.20626,-9.86442,-0,-8.80249,-20.7628,-15.6809,-3.70771,-28.1403,-23.4584,-16.0471,-37.1096,-27.0034,-35.1983,-23.1272,-31.6056,-37.4327,-31.9922,-32.5476,-36.3562,-28.0757,-32.2689,-20.0997,-20.9196,-14.5381,-15.1661,-15.8231,-4.12579,-38.704,-22.3945,-0,-0,-5.03159,-5.22033,-0,-11.2061,-0,-5.99176,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,2,2,5,3,10,6,7,10,9,9,13,12,3,6,17,11,10,13,8,6,8,4,3,2,2,3,1,3,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
