# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 11:00:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c236897bb1.json
# init = /tmp/RtmpC8O1hA/init-b41c23234ba10_2.json
# random
#   seed = 452011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0040_rep004_manuscript_default/prior_sensitivity_obspair_FAST-202605291200-2-8ec779.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0040_rep004_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605291200-2-9b05f7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0507732
# Diagonal elements of inverse mass matrix:
# 0.0837855, 0.100214, 0.145318, 0.0381741, 0.131369, 0.163669, 0.159334
-548.688,0.999683,0.0507732,6,63,0,551.722,-0.570929,-2.93122,0.017848,-0.905483,3.97632,1.24759,0.81388,5.50255,2.66329,0.000143656,0.000176024,0.000215737,0.000264486,0.00032437,0.000397997,0.000488625,0.000600344,0.000738345,0.0009093,0.00112201,0.0013886,0.00172723,0.00216749,0.00275793,0.00357305,0.00471899,0.00634006,0.00861936,0.0117491,0.0158726,0.0208855,0.0265413,0.0325191,0.0385908,0.0446057,0.0502961,0.0550981,0.0582316,0.059371,0.0588346,0.0570155,0.0541478,0.0503516,0.045809,0.0408526,0.0358731,0.0311695,0.0268949,0.0230954,0.019762,0.0168622,0.0143543,0.0121951,0.0103428,0.00875843,0.00740658,0.0062556,0.00527749,0.00444763,0.0037446,0.00314977,0.00264704,0.00222249,0.00186403,0.00156126,0.00130538,0.00108912,0.000906174,0.000750876,0.000618596,-0,-0,-0,-0,-0,-0,-7.62392,-0,-0,-0,-0,-0,-6.36124,-6.13419,-0,-5.63434,-10.7123,-0,-9.50749,-22.2199,-16.5726,-3.8687,-29.0324,-23.9815,-16.2737,-37.3187,-26.9085,-34.7837,-22.7466,-31.0634,-36.8293,-31.5088,-32.0764,-35.8647,-27.7495,-31.9779,-19.9666,-20.8099,-14.4633,-15.0725,-15.696,-4.08268,-38.1934,-22.0336,-0,-0,-4.90539,-5.07428,-0,-10.8308,-0,-5.76043,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,2,7,1,5,5,7,7,11,8,9,10,19,18,12,7,7,8,4,7,6,1,3,3,5,1,3,3,3,3,0,3,0,1,1,1,2,0,0,0,0,0,0,0
-550.351,0.995263,0.0507732,7,127,0,554.883,-1.27659,-2.42461,-0.241508,-0.562636,4.18703,1.82201,1.10175,5.19811,2.22722,3.07422e-05,4.08858e-05,5.43819e-05,7.2343e-05,9.62545e-05,0.000128103,0.000170555,0.000227199,0.000302907,0.000404379,0.000541092,0.000727307,0.000986789,0.00135925,0.00190726,0.00272457,0.0039434,0.00573569,0.00830695,0.0119111,0.0169936,0.0227088,0.028795,0.0349022,0.0408681,0.0467324,0.05267,0.0588034,0.0641869,0.0651937,0.0629921,0.0600161,0.0566098,0.0526603,0.0480769,0.0428875,0.0372831,0.0316305,0.0263494,0.0216892,0.0177062,0.0143641,0.0115937,0.00931779,0.00746126,0.00595551,0.00474018,0.0037633,0.00298091,0.00235628,0.001859,0.00146409,0.00115119,0.000903758,0.000708451,0.00055454,0.000433434,0.000338275,0.000263605,0.000205076,0.000159107,-0,-0,-0,-0,-0,-0,-8.67645,-0,-0,-0,-0,-0,-6.92105,-6.60082,-0,-5.90544,-11.0714,-0,-9.58132,-22.1514,-16.2997,-3.785,-28.3804,-23.4864,-15.987,-36.7598,-26.4934,-34.0027,-21.9676,-30.0343,-35.9417,-30.9446,-31.5873,-35.3267,-27.3146,-31.4918,-19.7353,-20.7218,-14.5452,-15.3238,-16.1354,-4.24303,-40.1157,-23.3791,-0,-0,-5.35168,-5.58246,-0,-12.1013,-0,-6.52652,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,0,2,4,7,9,10,4,10,21,12,14,9,12,9,6,10,6,8,12,8,3,4,2,3,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-551.92,0.997378,0.0507732,7,127,0,554.422,-2.21668,-3.11904,0.0317765,0.243117,3.29933,-1.01414,1.30699,4.81006,2.1327,4.78094e-06,8.54359e-06,1.51197e-05,2.64627e-05,4.57394e-05,7.79582e-05,0.000130823,0.000215826,0.000349528,0.000554912,0.000862578,0.00131144,0.00194856,0.00282801,0.00400901,0.00555498,0.00753595,0.0100345,0.0131492,0.0169845,0.0219177,0.0272563,0.0328656,0.0385026,0.0439131,0.0488208,0.0529451,0.0560374,0.0579178,0.0585013,0.0578039,0.0559311,0.0530541,0.049381,0.0451327,0.0405242,0.0357537,0.0309971,0.0264037,0.0220944,0.0181597,0.0146589,0.0116215,0.00904973,0.00692318,0.0052048,0.0038468,0.00279635,0.00200035,0.00140894,0.000977714,0.000668866,0.000451392,0.000300706,0.000197872,0.000128696,8.27863e-05,5.2703e-05,3.32244e-05,2.07527e-05,1.28508e-05,-0,-0,-0,-0,-0,-0,-8.94166,-0,-0,-0,-0,-0,-6.24066,-5.86818,-0,-5.19306,-9.77614,-0,-8.66279,-20.3773,-15.2819,-3.60247,-27.3226,-22.7992,-15.6277,-36.2352,-26.4465,-34.5808,-22.7898,-31.2258,-37.0591,-31.72,-32.3009,-36.0983,-27.8833,-32.0586,-19.9866,-20.8432,-14.537,-15.2497,-16.0342,-4.22271,-40.094,-23.5251,-0,-0,-5.56051,-5.87944,-0,-13.1298,-0,-7.30993,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,2,3,4,4,11,9,9,11,11,9,13,10,13,12,9,14,14,6,5,9,3,5,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-549.567,0.999261,0.0507732,6,63,0,554.108,-3.09086,-2.00034,-2.06612,0.0982379,5.06474,0.0276984,1.33815,5.69274,2.4144,1.03465e-05,1.7783e-05,3.03802e-05,5.14292e-05,8.59247e-05,0.000141036,0.000226436,0.000354437,0.000539999,0.000800708,0.00115674,0.00163065,0.00224693,0.00303091,0.00400704,0.00519641,0.0066135,0.00826281,0.010136,0.0122258,0.0215907,0.0258002,0.0293937,0.0329124,0.0363794,0.0397394,0.0429224,0.0458466,0.0484092,0.0504756,0.051869,0.052374,0.051773,0.0499357,0.0469385,0.0431153,0.0389432,0.0348334,0.0310037,0.027499,0.024278,0.0212842,0.0184778,0.0158427,0.0133826,0.0111134,0.0090561,0.00723066,0.00565069,0.00431995,0.00323086,0.00236517,0.00169654,0.00119407,0.000825978,0.00056251,0.000377802,0.000250656,0.00016452,0.000106971,6.89803e-05,-0,-0,-0,-0,-0,-0,-8.39305,-0,-0,-0,-0,-0,-6.09819,-5.79889,-0,-5.25979,-10.0373,-0,-9.18333,-22.021,-15.342,-3.65737,-28.2158,-23.8973,-16.5688,-38.7049,-28.3352,-36.9895,-24.2245,-32.8489,-38.4674,-32.4428,-32.5697,-35.9642,-27.5302,-31.4388,-19.4739,-20.1431,-13.8946,-14.3744,-14.8727,-3.84979,-35.9207,-20.7252,-0,-0,-4.70432,-4.92942,-0,-10.889,-0,-6.0469,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,2,0,9,6,3,7,9,6,11,10,8,9,14,12,8,8,10,11,11,6,6,6,3,5,2,3,2,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0
-548.72,0.999335,0.0507732,6,63,0,551.047,-2.87575,-1.67276,-1.65984,0.0587171,4.91406,0.314981,1.34402,5.31046,2.16762,4.23053e-06,7.18724e-06,1.22054e-05,2.07087e-05,3.50696e-05,5.91653e-05,9.91195e-05,0.000164111,0.000267038,0.000424947,0.000659391,0.000996849,0.00146901,0.00211255,0.00296788,0.00407633,0.0054752,0.0071909,0.00923102,0.0115793,0.0223174,0.027033,0.0314498,0.0359515,0.0404849,0.0449607,0.0492745,0.0532876,0.0567915,0.0594561,0.060788,0.0601975,0.0573255,0.0525091,0.0467566,0.0410655,0.0359193,0.0313656,0.0272854,0.0235554,0.0200995,0.016889,0.0139297,0.0112473,0.0088732,0.00683267,0.00513533,0.00377075,0.0027097,0.00190988,0.00132348,0.000903775,0.000609468,0.000406614,0.000268796,0.000176291,0.000114831,7.43517e-05,4.78886e-05,3.07003e-05,1.9599e-05,-0,-0,-0,-0,-0,-0,-9.21918,-0,-0,-0,-0,-0,-6.52317,-6.15986,-0,-5.50256,-10.4151,-0,-9.37037,-22.2927,-15.2095,-3.6107,-27.6749,-23.2791,-16.0341,-37.2236,-27.0931,-35.1846,-22.9469,-31.0477,-36.4047,-30.9114,-31.4491,-35.3612,-27.5652,-31.9259,-19.9589,-20.7723,-14.4056,-14.9936,-15.6282,-4.0811,-38.4636,-22.4381,-0,-0,-5.27161,-5.58048,-0,-12.5214,-0,-7.00893,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,3,1,2,2,4,3,4,12,10,10,19,9,9,11,13,15,6,6,4,12,10,5,6,6,4,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-547.907,0.995601,0.0507732,6,63,0,551.078,-2.09499,-3.27738,-1.09524,-0.307884,3.78716,-0.200304,1.30346,5.07529,2.43895,4.63431e-05,6.68543e-05,9.63913e-05,0.000138865,0.000199812,0.000286996,0.000411151,0.00058684,0.000833304,0.00117511,0.00164232,0.00226982,0.00309575,0.00415867,0.00549378,0.00712838,0.00907785,0.0113502,0.0139949,0.0173121,0.0230243,0.027466,0.0317343,0.0359581,0.0400531,0.0438623,0.0471925,0.0498323,0.0515841,0.0523126,0.0519897,0.050705,0.0486305,0.045962,0.0428729,0.0394979,0.0359401,0.032287,0.0286211,0.025024,0.021574,0.0183406,0.0153789,0.0127258,0.010399,0.00839843,0.0067096,0.00530742,0.00416057,0.00323506,0.00249703,0.0019147,0.00145949,0.0011066,0.000835009,0.000627349,0.000469483,0.000350087,0.0002602,0.000192805,0.000142445,-0,-0,-0,-0,-0,-0,-7.79655,-0,-0,-0,-0,-0,-5.77772,-5.48256,-0,-4.94367,-9.40384,-0,-8.53813,-20.2818,-15.0848,-3.59481,-27.6029,-23.2778,-16.0877,-37.5204,-27.4817,-35.9891,-23.7163,-32.4557,-38.4372,-32.799,-33.2585,-36.9593,-28.3456,-32.3151,-19.9554,-20.5985,-14.2144,-14.7517,-15.3451,-3.99864,-37.5728,-21.8206,-0,-0,-5.00422,-5.23865,-0,-11.4674,-0,-6.25819,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,1,3,4,3,5,7,7,11,8,7,10,10,14,13,11,9,9,6,9,5,4,6,3,6,5,2,5,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
