# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 11:32:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c277ed0e5c.json
# init = /tmp/RtmpC8O1hA/init-b41c23b709648_1.json
# random
#   seed = 552004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0043_rep005_accurate_strong/prior_sensitivity_obspair_FAST-202605291232-1-496804.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0043_rep005_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605291232-1-9b5720.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.197453
# Diagonal elements of inverse mass matrix:
# 0.0660741, 0.0710008, 0.00639425, 0.00577771, 0.00965835, 0.00414111, 0.0101449
-540.083,0.978582,0.197453,4,15,0,542.435,-1.6339,-3.05731,-1.23849,-0.315439,3.88765,-0.0405444,-0.824187,4.97024,2.23155,3.76867e-05,5.42736e-05,7.81553e-05,0.000112529,0.000161975,0.000233031,0.000334964,0.000480772,0.0006884,0.000982051,0.00139336,0.0019621,0.00273592,0.00376899,0.00511914,0.0068435,0.00899274,0.0116042,0.0146948,0.0182543,0.0222404,0.0265639,0.0310987,0.0356868,0.040146,0.0442809,0.0478948,0.0508046,0.0528552,0.0539351,0.0539895,0.0530268,0.0511171,0.0483814,0.0449775,0.0410839,0.0368857,0.0325628,0.0282783,0.024171,0.0203487,0.0168863,0.0138258,0.01118,0.00893821,0.00707264,0.00554479,0.00431107,0.00332714,0.00255093,0.00194437,0.00147431,0.00111267,0.000836229,0.000626093,0.000467159,0.000347482,0.000257723,0.000190644,0.000140673,0.000103557,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.23374,-0,-0,-0,-4.98446,-9.42268,-4.45639,-21.1013,-8.00671,-26.6409,-14.5128,-45.1177,-13.3319,-25.7219,-24.9376,-24.31,-38.737,-29.402,-35.0397,-29.1897,-26.4326,-29.7364,-30.2864,-31.0159,-12.7686,-23.0995,-13.6983,-28.5253,-37.226,-19.4737,-4.08125,-25.6873,-4.49363,-9.43484,-9.90304,-0,-0,-5.70564,-0,-0,-0,-0,-7.08661,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,3,1,4,3,7,10,8,8,14,10,10,11,13,10,8,11,13,5,7,9,7,0,7,4,0,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-538.01,0.999808,0.197453,4,15,0,541.246,-1.79845,-1.91872,-1.26174,-0.369187,3.81452,0.138126,-1.07163,4.98803,2.23882,2.70129e-05,3.82034e-05,5.40497e-05,7.6507e-05,0.000108367,0.000153627,0.000218029,0.000309831,0.000440919,0.000628292,0.000895958,0.001277,0.00181545,0.00256735,0.00360049,0.0049923,0.00682549,0.00918109,0.012129,0.0157169,0.0199588,0.0247909,0.0300887,0.0356652,0.041276,0.0466321,0.051418,0.0553182,0.0580523,0.0594162,0.0593202,0.0578067,0.0550358,0.051249,0.0467287,0.0417638,0.0366257,0.0315507,0.0267286,0.0222967,0.0183401,0.0148965,0.0119649,0.00951636,0.00750438,0.00587394,0.00456813,0.00353267,0.0027185,0.0020829,0.00158978,0.00120924,0.000916939,0.000693345,0.000522928,0.000393464,0.000295398,0.000221312,0.000165477,0.000123488,9.19755e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.66324,-0,-0,-0,-5.29986,-9.97418,-4.69061,-22.0608,-8.30604,-27.3986,-14.7891,-45.5469,-13.3343,-25.4998,-24.5237,-23.7421,-37.6305,-28.4641,-33.8783,-28.2481,-25.6559,-28.9977,-29.7106,-30.634,-12.7029,-23.149,-13.8246,-28.9762,-38.0332,-19.9933,-4.20663,-26.5547,-4.65474,-9.78454,-10.2745,-0,-0,-5.90768,-0,-0,-0,-0,-7.27398,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4,1,1,2,6,4,9,6,10,6,10,12,10,17,3,8,10,12,8,9,9,8,6,4,5,5,1,1,3,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0
-539.107,0.997049,0.197453,4,15,0,540.727,-1.31532,-2.07127,-1.16386,-0.534368,3.63172,-0.154461,-1.11366,4.97465,2.48088,8.54353e-05,0.000114672,0.000153969,0.000206825,0.000277973,0.00037382,0.000503045,0.000677372,0.000912566,0.00122962,0.00165604,0.00222702,0.00298609,0.00398484,0.00528118,0.00693598,0.0090079,0.0115469,0.0145866,0.0181373,0.0221794,0.0266212,0.031325,0.0361096,0.0407596,0.0450387,0.0487094,0.051556,0.0534091,0.0541672,0.0538091,0.0523935,0.0500467,0.0469422,0.0432786,0.0392589,0.035075,0.0308953,0.026858,0.0230671,0.0195932,0.0164764,0.0137308,0.0113506,0.00931579,0.00759705,0.00616044,0.00497049,0.00399257,0.00319438,0.00254673,0.00202396,0.0016039,0.00126772,0.000999615,0.000786469,0.000617487,0.000483852,0.000378405,0.000295369,0.0002301,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.10709,-0,-0,-0,-4.97103,-9.41931,-4.46134,-21.1383,-8.01957,-26.6601,-14.5042,-45.0234,-13.2848,-25.6005,-24.8019,-24.1751,-38.5461,-29.2977,-34.9882,-29.2231,-26.5408,-29.948,-30.5884,-31.401,-12.9503,-23.4519,-13.9086,-28.9375,-37.6935,-19.6629,-4.10583,-25.7287,-4.47848,-9.35209,-9.75999,-0,-0,-5.52332,-0,-0,-0,-0,-6.67053,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,3,6,3,1,7,11,8,5,9,11,14,14,6,10,5,7,12,10,3,3,6,6,6,6,2,1,3,1,1,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0
-539.13,0.990697,0.197453,4,15,0,542.735,-1.25477,-2.49777,-1.18106,-0.546108,3.69478,0.0442391,-0.915886,4.84534,2.41972,9.84817e-05,0.000131691,0.000176151,0.000235711,0.000315559,0.000422694,0.000566572,0.000759951,0.00101998,0.00136949,0.0018384,0.00246481,0.00329542,0.00438459,0.0057917,0.00757668,0.00979381,0.0124843,0.0156682,0.0193373,0.0234495,0.0279,0.0325423,0.0371934,0.0416442,0.0456732,0.0490639,0.0516238,0.0532061,0.0537273,0.0531783,0.051623,0.0491857,0.0460324,0.0423519,0.038338,0.034176,0.0300305,0.0260376,0.0223006,0.0188886,0.0158399,0.0131658,0.0108578,0.008893,0.00723986,0.00586289,0.00472576,0.00379356,0.00303417,0.00241893,0.00192283,0.00152446,0.00120572,0.000951517,0.000749364,0.000589013,0.00046211,0.000361886,0.000282881,0.000220711,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.00564,-0,-0,-0,-4.88268,-9.25201,-4.38328,-20.7806,-7.89144,-26.2704,-14.3165,-44.5278,-13.1665,-25.4287,-24.6899,-24.1171,-38.529,-29.3358,-35.086,-29.3411,-26.6741,-30.1215,-30.7841,-31.6174,-13.0453,-23.6336,-14.0222,-29.1857,-38.0314,-19.846,-4.14523,-25.9808,-4.52287,-9.44498,-9.85631,-0,-0,-5.57445,-0,-0,-0,-0,-6.72068,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4,2,1,3,4,6,6,6,16,8,5,8,14,11,10,14,11,7,8,11,7,3,6,7,2,4,2,0,1,1,2,0,1,1,3,0,0,0,0,1,0,0,0,0,0
-538.283,0.999399,0.197453,4,15,0,540.62,-1.50591,-2.19002,-1.1795,-0.584048,3.51362,0.0436852,-1.00052,4.99298,2.51447,9.53751e-05,0.000126205,0.000167067,0.000221267,0.000293236,0.000388921,0.000516324,0.00068624,0.000913233,0.00121688,0.00162326,0.00216646,0.00288976,0.00384581,0.00509539,0.00670408,0.00873689,0.011251,0.014287,0.0178598,0.0219512,0.0264717,0.0312812,0.0361916,0.0409756,0.0453818,0.049155,0.0520626,0.0539235,0.0546338,0.0541807,0.0526386,0.0501517,0.0469097,0.043124,0.0390076,0.0347585,0.0305476,0.0265116,0.0227499,0.0193258,0.0162713,0.0135925,0.011277,0.0093,0.00762945,0.00623022,0.00506701,0.0041062,0.00331694,0.0026717,0.0021464,0.00172031,0.00137581,0.00109808,0.00087475,0.00069558,0.000552133,0.000437502,0.000346053,0.000273214,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.13466,-0,-0,-0,-5.00504,-9.4804,-4.4873,-21.242,-8.0504,-26.7325,-14.5267,-45.0416,-13.2757,-25.5582,-24.7411,-24.1022,-38.419,-29.2019,-34.8852,-29.1543,-26.4987,-29.927,-30.5953,-31.4368,-12.976,-23.5153,-13.9539,-29.0414,-37.832,-19.7316,-4.11835,-25.7894,-4.48499,-9.35548,-9.75148,-0,-0,-5.49526,-0,-0,-0,-0,-6.58871,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,4,6,5,3,3,7,6,7,9,9,8,10,10,6,10,12,13,10,9,6,2,5,5,2,5,1,3,6,1,2,2,0,1,0,1,0,0,0,2,0,0,0,0,0
-537.924,0.995952,0.197453,4,15,0,539.893,-2.27155,-2.21939,-1.17337,-0.318201,3.40338,0.0517929,-1.09523,4.93462,2.20676,2.35255e-05,3.38581e-05,4.87352e-05,7.01609e-05,0.000101027,0.000145507,0.000209622,0.000302047,0.000435228,0.000626885,0.000901884,0.00129434,0.00184954,0.00262517,0.00369101,0.00512662,0.00701637,0.00944157,0.0124699,0.0161431,0.0204646,0.0253667,0.0307184,0.0363238,0.0419295,0.0472377,0.0519284,0.0556894,0.0582538,0.059441,0.0591859,0.0575465,0.0546858,0.0508399,0.046284,0.0413026,0.0361646,0.0311045,0.0263095,0.0219133,0.0179966,0.0145932,0.0116995,0.00928498,0.0073029,0.00569848,0.00441536,0.00339988,0.00260344,0.00198369,0.00150475,0.00113685,0.000855772,0.000642043,0.000480222,0.000358175,0.000266445,0.000197722,0.000146383,0.000108134,7.97057e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.64976,-0,-0,-0,-5.27331,-9.91902,-4.66263,-21.9222,-8.25253,-27.2234,-14.6973,-45.2776,-13.2611,-25.3741,-24.4205,-23.6631,-37.5436,-28.4295,-33.8733,-28.2707,-25.6965,-29.0615,-29.7907,-30.7296,-12.7473,-23.2377,-13.8816,-29.1026,-38.2066,-20.0879,-4.2272,-26.6893,-4.67936,-9.83897,-10.3351,-0,-0,-5.95092,-0,-0,-0,-0,-7.35086,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,2,4,2,9,6,6,9,12,11,8,11,9,12,13,10,5,7,10,11,9,8,4,3,3,4,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
