# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 11:36:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25f3193f9.json
# init = /tmp/RtmpC8O1hA/init-b41c21465739a_2.json
# random
#   seed = 552005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0044_rep005_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605291236-2-12ed53.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0044_rep005_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605291236-2-2ebe31.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0422392
# Diagonal elements of inverse mass matrix:
# 0.12249, 0.0668757, 0.146392, 0.139766, 0.212642, 0.131363, 0.41443
-537.257,0.999007,0.0422392,6,63,0,539.418,-1.50726,-2.16904,-1.21916,-0.254054,4.59218,0.404189,-1.54676,4.99538,2.02462,1.45442e-05,2.14564e-05,3.16683e-05,4.67713e-05,6.91417e-05,0.000102344,0.000151749,0.000225475,0.000335767,0.000500819,0.000746852,0.00110995,0.00163726,0.00238727,0.00342891,0.00483909,0.00669794,0.00908136,0.0120506,0.0156401,0.019845,0.024596,0.029767,0.0351783,0.0406073,0.0458014,0.0504946,0.0544235,0.0573454,0.0590597,0.059436,0.0584433,0.0561652,0.0527824,0.0485346,0.0436851,0.0384978,0.0332218,0.0280792,0.0232544,0.0188853,0.0150581,0.0118072,0.00912188,0.00695751,0.00524931,0.00392453,0.00291179,0.00214659,0.00157392,0.00114869,0.000834991,0.00060483,0.00043675,0.000314502,0.000225902,0.000161889,0.000115769,8.26233e-05,5.8856e-05,4.18487e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.80344,-0,-0,-0,-5.33103,-10.0119,-4.70153,-22.0932,-8.31583,-27.4386,-14.8207,-45.6866,-13.3893,-25.6305,-24.6675,-23.8871,-37.8425,-28.5866,-33.9505,-28.2286,-25.5573,-28.7946,-29.4158,-30.2548,-12.523,-22.8001,-13.6182,-28.5818,-37.6126,-19.8468,-4.19584,-26.6343,-4.69708,-9.93587,-10.4993,-0,-0,-6.14387,-0,-0,-0,-0,-7.73615,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,2,3,2,8,3,13,9,15,11,9,12,11,13,8,9,9,13,9,8,6,3,4,4,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-537.496,0.997201,0.0422392,6,95,0,539.621,-0.518861,-2.26355,-1.15428,-0.379545,4.86422,0.0986492,-0.846203,4.93355,2.29852,4.4427e-05,6.26826e-05,8.85066e-05,0.000125091,0.000177013,0.000250841,0.000356,0.000505912,0.000719393,0.00102208,0.00144754,0.0020375,0.002841,0.00391226,0.00530733,0.00707974,0.00927534,0.0119266,0.0150467,0.0186246,0.0226207,0.0269324,0.0314266,0.0359446,0.0403097,0.0443369,0.0478436,0.0506609,0.0526446,0.0536872,0.0537292,0.0527692,0.0508681,0.048143,0.0447528,0.0408781,0.0367041,0.0324074,0.028147,0.0240575,0.0202451,0.0167852,0.0137226,0.0110733,0.00882975,0.00696577,0.00544345,0.00421866,0.00324597,0.00248203,0.00188768,0.00142897,0.00107733,0.000809333,0.000606076,0.000452574,0.000337072,0.000250441,0.000185646,0.000137305,0.00010132,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.19603,-0,-0,-0,-4.95052,-9.36079,-4.42899,-20.983,-7.96655,-26.5222,-14.4577,-44.9813,-13.3031,-25.6893,-24.9275,-24.3185,-38.7738,-29.4419,-35.095,-29.238,-26.4764,-29.7852,-30.3358,-31.066,-12.7886,-23.1341,-13.7175,-28.5625,-37.2731,-19.4992,-4.08725,-25.7323,-4.50321,-9.45926,-9.93349,-0,-0,-5.73034,-0,-0,-0,-0,-7.1193,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,2,2,2,3,5,3,8,5,8,9,11,13,9,13,12,7,8,13,8,5,9,4,4,5,6,3,2,3,2,2,2,2,0,1,0,2,0,0,0,0,0,1,0,0,0
-537.76,0.999225,0.0422392,7,127,0,539.578,-0.964994,-2.43375,-0.774243,0.0917474,4.62304,-0.580246,-1.3969,4.93388,2.09942,1.00928e-05,1.70022e-05,2.84425e-05,4.71833e-05,7.75032e-05,0.000125863,0.000201777,0.000318874,0.000496102,0.000758946,0.00114046,0.0016818,0.00243197,0.0034463,0.00478364,0.00650196,0.00865269,0.0112741,0.0143847,0.0179763,0.0220102,0.0264027,0.0310322,0.0357422,0.0403482,0.0446489,0.0484401,0.0515306,0.0537577,0.0550015,0.0551963,0.0543365,0.0524772,0.049729,0.0462463,0.0422131,0.0378261,0.0332795,0.0287519,0.0243962,0.0203333,0.0166494,0.0133965,0.0105947,0.0082383,0.00630074,0.00474174,0.00351307,0.00256372,0.00184391,0.00130786,0.000915427,0.000632729,0.000432163,0.00029189,0.000195092,0.000129127,8.4693e-05,5.50836e-05,3.55482e-05,2.2777e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.38789,-0,-0,-0,-5.03565,-9.49977,-4.48524,-21.208,-8.0374,-26.7138,-14.5372,-45.1455,-13.3257,-25.6817,-24.8714,-24.2194,-38.5525,-29.2327,-34.8047,-28.9686,-26.213,-29.4738,-30.0117,-30.7377,-12.6601,-22.9233,-13.6113,-28.3924,-37.1333,-19.4775,-4.09538,-25.8766,-4.5474,-9.59792,-10.1342,-0,-0,-5.9663,-0,-0,-0,-0,-7.74671,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,3,6,6,9,10,7,10,13,3,17,7,10,16,5,10,12,7,9,6,6,4,3,1,3,3,0,1,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0
-539.8,0.998186,0.0422392,6,63,0,542.91,-1.27088,-1.64585,-1.83867,0.46824,4.35841,-0.371625,-2.18241,4.98744,2.12828,3.16412e-06,6.51579e-06,1.31109e-05,2.56692e-05,4.87182e-05,8.93852e-05,0.000158286,0.000270425,0.000445997,0.000710985,0.00109744,0.00164336,0.00239197,0.00339056,0.00468853,0.00633502,0.00837588,0.0108505,0.0137884,0.0172062,0.0211049,0.0253907,0.0299433,0.0346176,0.0392479,0.0436529,0.0476432,0.0510301,0.0536365,0.0553095,0.0559345,0.0554501,0.0538609,0.0512457,0.0477554,0.0435987,0.0390158,0.0342472,0.0295072,0.024967,0.0207508,0.0169392,0.0135762,0.0106768,0.00823314,0.00622018,0.0046004,0.00332811,0.0023534,0.00162568,0.00109655,0.000722068,0.000464184,0.000291392,0.000178717,0.000107173,6.28999e-05,3.61714e-05,2.04072e-05,1.13108e-05,6.1675e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.41101,-0,-0,-0,-5.06166,-9.5648,-4.52354,-21.4196,-8.12497,-27.0078,-14.6935,-45.6099,-13.4536,-25.9029,-25.0519,-24.3521,-38.6794,-29.2552,-34.7377,-28.8357,-26.0304,-29.2135,-29.7112,-30.4166,-12.5309,-22.7065,-13.4966,-28.185,-36.902,-19.3759,-4.07813,-25.7966,-4.53968,-9.59918,-10.1599,-0,-0,-6.05189,-0,-0,-0,-0,-8.14084,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,4,1,5,2,7,7,2,3,8,8,7,10,15,13,8,12,9,9,15,7,11,8,4,6,5,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-540.684,0.998668,0.0422392,6,63,0,541.932,-2.32629,-2.50485,-0.256994,-0.52244,3.11187,-0.109807,0.244526,4.93904,2.44707,5.54732e-05,7.46574e-05,0.000100491,0.000135289,0.00018218,0.000245399,0.000330678,0.000445793,0.000601298,0.000811523,0.00109591,0.00148079,0.00200156,0.00270548,0.00365457,0.00492822,0.00662402,0.00885477,0.0117404,0.0153936,0.0199007,0.0252233,0.031206,0.0375638,0.0438955,0.0497297,0.0545978,0.0581162,0.0600469,0.0603235,0.0590383,0.056406,0.0527172,0.0482928,0.0434461,0.0384551,0.0335463,0.0288884,0.0245945,0.0207286,0.0173158,0.0143522,0.0118141,0.00966585,0.00786568,0.00637013,0.00513688,0.00412647,0.00330332,0.00263606,0.00209756,0.00166469,0.00131795,0.00104109,0.00082067,0.000645631,0.000506959,0.000397335,0.00031084,0.000242715,0.000189145,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.51518,-0,-0,-0,-5.31278,-10.0341,-4.7268,-22.2236,-8.3476,-27.419,-14.7199,-45.0729,-13.1269,-25.0075,-24.0092,-23.2621,-36.989,-28.1263,-33.6964,-28.2957,-25.8766,-29.4281,-30.3047,-31.3623,-13.0331,-23.7638,-14.1773,-29.6419,-38.7624,-20.2807,-4.24385,-26.6308,-4.63916,-9.69049,-10.1123,-0,-0,-5.71283,-0,-0,-0,-0,-6.86748,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,4,3,2,5,2,3,5,10,11,14,13,10,9,10,13,15,4,15,7,6,2,5,3,4,5,3,1,1,3,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0
-537.105,0.999236,0.0422392,6,63,0,541.949,-1.98393,-2.07695,-1.82587,-0.0811039,3.80179,-0.113782,-0.40091,5.06098,2.19926,1.27031e-05,2.01044e-05,3.17844e-05,5.01697e-05,7.89998e-05,0.000123958,0.000193514,0.00029997,0.00046062,0.00069886,0.00104503,0.00153679,0.00221886,0.00314196,0.00436103,0.00593239,0.00791018,0.010342,0.0132641,0.0166974,0.0206437,0.0250121,0.0296798,0.0344931,0.0392725,0.0438186,0.047921,0.0513692,0.053967,0.0555505,0.0560094,0.0553077,0.0534951,0.0507036,0.0471261,0.0429859,0.0385078,0.0338981,0.0293339,0.0249593,0.0208847,0.0171876,0.0139149,0.0110856,0.00869469,0.00671788,0.00511711,0.00384606,0.00285512,0.00209548,0.00152206,0.0010952,0.00078139,0.000553252,0.000389043,0.000271889,0.000188961,0.00013067,8.99519e-05,6.16665e-05,4.21159e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.47806,-0,-0,-0,-5.12733,-9.67921,-4.57155,-21.6135,-8.185,-27.1624,-14.7536,-45.7248,-13.468,-25.8978,-25.0216,-24.3056,-38.5933,-29.1938,-34.6856,-28.8223,-26.0536,-29.2817,-29.8176,-30.5493,-12.5875,-22.7983,-13.5376,-28.2321,-36.9051,-19.3437,-4.06357,-25.6488,-4.50211,-9.49009,-10.006,-0,-0,-5.85864,-0,-0,-0,-0,-7.4997,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,4,0,2,2,2,4,1,8,10,7,10,9,8,11,14,12,14,9,12,6,14,7,3,9,2,3,2,1,2,0,1,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0
