# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 11:48:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c227443e62.json
# init = /tmp/RtmpC8O1hA/init-b41c22418ad1a_3.json
# random
#   seed = 552006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0045_rep005_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605291248-3-6b4250.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0045_rep005_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605291248-3-9f7b49.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.139827
# Diagonal elements of inverse mass matrix:
# 0.0714114, 0.0421525, 0.0268241, 0.010116, 0.0344269, 0.0252055, 0.0422016
-539.144,0.999809,0.139827,5,31,0,541.691,-2.85944,-2.36576,-1.64371,-0.310408,3.3478,0.145785,-0.885815,5.06937,2.26755,2.54625e-05,3.67468e-05,5.3037e-05,7.65576e-05,0.000110523,0.000159577,0.000230415,0.000332661,0.000480042,0.000691873,0.000994741,0.00142406,0.00202505,0.00285272,0.00397041,0.00544691,0.00735159,0.0097479,0.0126851,0.0161892,0.0202553,0.0248112,0.0297369,0.0348658,0.0399903,0.0448711,0.0492506,0.05287,0.0554942,0.0569434,0.0571249,0.056051,0.0538312,0.0506465,0.0467189,0.0422861,0.0375815,0.0328204,0.0281875,0.0238298,0.0198514,0.0163145,0.0132431,0.0106309,0.00844923,0.00665577,0.00520161,0.00403656,0.00311279,0.00238691,0.00182104,0.00138297,0.00104592,0.00078802,0.000591653,0.000442799,0.000330413,0.00024587,0.000182484,0.000135104,9.97884e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.55424,-0,-0,-0,-5.21271,-9.82568,-4.6307,-21.8366,-8.24682,-27.2954,-14.7858,-45.6998,-13.425,-25.7529,-24.8317,-24.0867,-38.2189,-28.9148,-34.3884,-28.6251,-25.9334,-29.219,-29.8289,-30.6361,-12.6532,-22.9687,-13.6668,-28.551,-37.3682,-19.5974,-4.1157,-25.9457,-4.54399,-9.54736,-10.0245,-0,-0,-5.77224,-0,-0,-0,-0,-7.14599,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,4,1,5,2,3,10,10,11,9,6,12,11,12,10,7,11,5,12,10,10,4,7,3,6,3,5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-543.41,0.988683,0.139827,4,15,0,544.409,-3.283,-1.56199,-1.9602,-0.346606,3.24232,0.237102,-0.419405,5.09174,2.33231,2.37146e-05,3.37932e-05,4.81673e-05,6.86787e-05,9.79689e-05,0.000139833,0.000199733,0.000285533,0.000408531,0.000584831,0.000837007,0.00119582,0.00170158,0.0024049,0.00336649,0.00465618,0.00635082,0.008531,0.0112766,0.0146617,0.0187502,0.0234771,0.0287305,0.0343465,0.0401061,0.0457344,0.0509057,0.0552582,0.0584314,0.0601322,0.0602133,0.0587179,0.0558574,0.0519407,0.0473042,0.0422648,0.0370979,0.0320283,0.0272284,0.0228194,0.0188752,0.0154277,0.0124755,0.00999208,0.00793529,0.00625453,0.00489688,0.00381116,0.00295041,0.00227315,0.00174381,0.00133251,0.00101458,0.000769975,0.000582578,0.000439555,0.000330776,0.000248302,0.000185953,0.000138942,0.000103582,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.72893,-0,-0,-0,-5.36956,-10.1183,-4.76405,-22.4251,-8.44503,-27.8358,-15.0069,-46.1474,-13.485,-25.7298,-24.6792,-23.8222,-37.6446,-28.399,-33.7345,-28.0986,-25.5151,-28.8495,-29.5765,-30.5116,-12.6552,-23.0594,-13.7645,-28.828,-37.8014,-19.8495,-4.17159,-26.3039,-4.60596,-9.67287,-10.1489,-0,-0,-5.82581,-0,-0,-0,-0,-7.16915,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,6,6,11,6,10,10,12,12,15,12,14,7,10,12,10,6,4,6,7,2,1,2,2,4,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
-540.506,0.997584,0.139827,5,31,0,546.186,-1.85406,-3.21974,-1.23873,-0.294975,4.15783,0.735317,-1.44153,4.85893,2.0049,2.09964e-05,3.04724e-05,4.42289e-05,6.42039e-05,9.32169e-05,0.000135376,0.000196674,0.000285867,0.000415758,0.000605005,0.00088041,0.0012792,0.00185044,0.00265538,0.00376678,0.00526672,0.00724171,0.00977388,0.0129273,0.0167305,0.0211594,0.0261205,0.0314568,0.0369606,0.0423892,0.0474798,0.0519624,0.0555751,0.0580828,0.0593057,0.0591553,0.0576609,0.054957,0.0512475,0.0467738,0.0417928,0.0365618,0.0313246,0.0262995,0.0216633,0.0175379,0.0139837,0.0110055,0.00856682,0.00660684,0.00505529,0.00384211,0.00290308,0.0021824,0.00163326,0.00121742,0.000904195,0.000669385,0.000494094,0.000363723,0.000267087,0.000195674,0.000143046,0.000104361,7.59892e-05,5.52264e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.66152,-0,-0,-0,-5.24635,-9.85579,-4.62804,-21.7421,-8.18105,-26.9897,-14.5801,-44.9688,-13.1916,-25.2869,-24.3796,-23.6579,-37.5703,-28.4589,-33.9006,-28.2759,-25.6786,-29.012,-29.7109,-30.6243,-12.7001,-23.1613,-13.8534,-29.1056,-38.3213,-20.217,-4.26986,-27.0561,-4.75986,-10.0393,-10.5746,-0,-0,-6.12733,-0,-0,-0,-0,-7.61278,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,4,4,4,4,6,12,11,11,11,13,9,8,11,13,3,13,8,7,7,7,5,6,0,4,5,3,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-541.092,0.997945,0.139827,5,31,0,544.291,-1.00505,-2.68435,-0.610454,-0.698794,3.84358,0.599905,-0.609833,4.73798,2.36008,0.000111114,0.000142719,0.000183404,0.000235839,0.000303515,0.000391031,0.000504484,0.000652036,0.000844745,0.0010978,0.00143236,0.00187828,0.00247765,0.00328844,0.00438685,0.00586655,0.00783375,0.0103964,0.013647,0.0176397,0.0223657,0.0277243,0.0335209,0.0394746,0.045241,0.0504456,0.0547221,0.0577558,0.0593285,0.0593547,0.0578915,0.0551162,0.0512917,0.0467287,0.04175,0.0366566,0.0317001,0.0270654,0.0228667,0.0191563,0.0159391,0.0131899,0.0108665,0.00891968,0.00729918,0.0059575,0.00485144,0.0039429,0.00319886,0.0025911,0.00209579,0.0016929,0.00136574,0.00110049,0.000885685,0.000711921,0.000571473,0.000458027,0.000366444,0.000292549,0.000232963,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.2774,-0,-0,-0,-5.13849,-9.69863,-4.5663,-21.4712,-8.07521,-26.6016,-14.3418,-44.1426,-12.9284,-24.766,-23.8949,-23.2439,-37.0699,-28.2467,-33.8907,-28.4918,-26.0848,-29.7023,-30.634,-31.7606,-13.2247,-24.1601,-14.438,-30.2246,-39.5513,-20.6949,-4.3283,-27.1324,-4.7195,-9.83999,-10.2462,-0,-0,-5.74496,-0,-0,-0,-0,-6.812,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,4,2,2,4,4,6,8,19,9,14,9,9,11,14,12,7,10,5,14,5,4,3,5,3,1,2,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
-540.527,0.999397,0.139827,5,31,0,544.034,-2.03506,-2.43917,-0.744431,-0.561617,3.64077,-0.151941,-0.455126,5.37098,2.55386,7.26722e-05,9.67433e-05,0.000128823,0.0001716,0.000228678,0.000304901,0.000406779,0.000543072,0.000725564,0.000970055,0.0012976,0.00173592,0.00232086,0.00309747,0.00412028,0.00545212,0.00716075,0.00931304,0.0119666,0.0151594,0.0188992,0.0231402,0.0277828,0.032671,0.0375975,0.0423157,0.0465615,0.0500801,0.052657,0.0541439,0.0544767,0.0536774,0.051845,0.0491372,0.0457486,0.0418894,0.0377657,0.0335642,0.0294417,0.0255199,0.0218841,0.0185864,0.0156506,0.0130782,0.0108547,0.0089553,0.00734889,0.00600205,0.0048813,0.00395477,0.00319315,0.00257024,0.00206301,0.00165161,0.0013191,0.00105119,0.000835924,0.000663404,0.000525456,0.000415383,0.000327722,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.35622,-0,-0,-0,-5.21175,-9.87828,-4.67634,-22.1282,-8.37826,-27.7804,-15.0647,-46.5834,-13.6851,-26.2466,-25.3008,-24.5359,-38.9237,-29.4396,-34.9933,-29.0998,-26.3229,-29.595,-30.1314,-30.8459,-12.6909,-22.9345,-13.5772,-28.2027,-36.683,-19.11,-3.98533,-24.9435,-4.33681,-9.04631,-9.43102,-0,-0,-5.32234,-0,-0,-0,-0,-6.406,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,3,6,2,2,4,7,6,7,11,12,10,12,9,22,13,8,3,9,3,4,10,5,3,1,2,3,3,3,2,2,1,1,1,1,0,0,1,2,0,1,0,0,1
-541.376,0.998264,0.139827,5,31,0,546.24,-3.07526,-3.77854,-0.943168,-0.53965,3.34287,0.535501,-0.806926,5.27679,2.47367,6.67435e-05,8.93429e-05,0.000119601,0.000160116,0.000214376,0.000287057,0.000384439,0.000514963,0.000689978,0.000924757,0.00123983,0.00166266,0.00222956,0.00298738,0.00399444,0.00531983,0.00704054,0.009235,0.0119725,0.0152982,0.0192169,0.0236754,0.0285572,0.0336841,0.0388265,0.0437187,0.0480792,0.0516364,0.0541623,0.0555067,0.0556149,0.0545252,0.0523553,0.0492848,0.0455347,0.0413438,0.0369453,0.032545,0.0283064,0.0243462,0.0207362,0.0175109,0.0146764,0.0122193,0.0101137,0.00832696,0.00682349,0.00556761,0.00452525,0.00366501,0.00295865,0.00238128,0.00191127,0.00153008,0.00122195,0.000973656,0.000774135,0.000614222,0.000486357,0.000384344,0.000303125,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.39934,-0,-0,-0,-5.23631,-9.91214,-4.68475,-22.1257,-8.36005,-27.6638,-14.9733,-46.226,-13.5629,-25.9892,-25.0398,-24.2792,-38.5259,-29.1577,-34.695,-28.893,-26.1818,-29.497,-30.1014,-30.8928,-12.7433,-23.0882,-13.7005,-28.5173,-37.1538,-19.3794,-4.04493,-25.3291,-4.40474,-9.18773,-9.57651,-0,-0,-5.39808,-0,-0,-0,-0,-6.48244,-0,-0,-0,-0,-0,-0,-0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,2,2,4,6,6,2,9,18,8,12,9,12,13,10,12,9,8,14,7,4,5,3,1,2,5,2,2,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0
