# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 11:54:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23e2f10df.json
# init = /tmp/RtmpC8O1hA/init-b41c23f64e93_4.json
# random
#   seed = 552007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0046_rep005_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605291254-4-7b229c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0046_rep005_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605291254-4-1f0ab1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.195902
# Diagonal elements of inverse mass matrix:
# 0.0409997, 0.0565169, 0.00601538, 0.00511812, 0.00960466, 0.00607098, 0.00808956
-542.065,0.993207,0.195902,4,15,0,544.89,-1.16552,-2.26827,-0.853898,-0.638443,4.1111,-0.0244643,-0.669206,5.11795,2.51176,9.75187e-05,0.000127292,0.000166269,0.000217374,0.000284502,0.000372882,0.000489564,0.000644103,0.000849505,0.00112347,0.00148994,0.00198083,0.00263759,0.00351199,0.00466544,0.00616622,0.00808418,0.0104829,0.0134099,0.0168864,0.0208975,0.0253637,0.0301525,0.035081,0.0399258,0.0444383,0.0483665,0.0514784,0.0535884,0.0545793,0.054416,0.0531476,0.0508955,0.0478338,0.0441668,0.0401082,0.0358622,0.0316101,0.0275005,0.0236449,0.0201172,0.0169578,0.0141793,0.011773,0.00971594,0.00797648,0.00651899,0.00530711,0.00430592,0.00348329,0.00281048,0.00226238,0.00181737,0.00145712,0.00116621,0.000931796,0.000743271,0.000591898,0.000470529,0.000373344,0.000295617,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.22424,-0,-0,-0,-5.08867,-9.63569,-4.55801,-21.5588,-8.1625,-27.0769,-14.6977,-45.5193,-13.4004,-25.7659,-24.9092,-24.2316,-38.5657,-29.2642,-34.8972,-29.111,-26.4121,-29.7798,-30.4002,-31.1978,-12.8647,-23.2965,-13.8171,-28.7484,-37.4461,-19.5309,-4.07703,-25.5358,-4.44194,-9.26797,-9.66252,-0,-0,-5.44777,-0,-0,-0,-0,-6.53129,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,3,2,4,7,11,2,8,13,12,8,8,15,10,8,9,17,13,6,4,6,5,3,3,4,2,2,1,2,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
-541.872,0.999538,0.195902,5,31,0,545.119,-1.72366,-2.75355,-1.42238,-0.506405,3.8988,0.469354,-1.05125,5.05495,2.37498,7.10721e-05,9.61198e-05,0.000130021,0.000175926,0.000238122,0.00032246,0.000436933,0.000592494,0.000804149,0.00109237,0.0014847,0.00201714,0.00273467,0.00369047,0.00494386,0.00655682,0.00858883,0.0110898,0.0140913,0.0175973,0.0215758,0.025939,0.030556,0.0352596,0.0398557,0.0441353,0.0478862,0.0509058,0.0530179,0.054094,0.0540777,0.0529953,0.0509446,0.0480729,0.0445569,0.0405879,0.0363595,0.0320562,0.0278423,0.0238515,0.0201808,0.0168888,0.0139992,0.0115084,0.00939345,0.00761988,0.00614799,0.00493708,0.00394818,0.00314566,0.00249794,0.00197763,0.00156142,0.00122971,0.000966229,0.000757559,0.000592745,0.000462889,0.000360805,0.000280718,0.000218007,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.20607,-0,-0,-0,-5.02725,-9.51458,-4.50173,-21.311,-8.08002,-26.8533,-14.608,-45.3465,-13.3801,-25.7799,-24.964,-24.3114,-38.7111,-29.3713,-35.0044,-29.1733,-26.438,-29.7702,-30.3504,-31.1099,-12.8171,-23.2001,-13.7611,-28.6496,-37.3591,-19.5151,-4.08111,-25.6125,-4.46468,-9.33549,-9.75399,-0,-0,-5.5345,-0,-0,-0,-0,-6.70097,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,3,3,4,7,4,8,7,13,12,8,12,15,6,10,12,6,11,7,6,8,6,4,5,4,0,3,3,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0
-538.734,0.994787,0.195902,4,15,0,545.05,-2.14971,-2.75359,-1.17503,-0.395078,3.96244,0.203784,-0.911669,5.25023,2.27626,3.60951e-05,5.05741e-05,7.08733e-05,9.93425e-05,0.000139288,0.000195366,0.000274133,0.000384819,0.000540355,0.000758694,0.00106434,0.00148982,0.00207678,0.00287623,0.0039476,0.00535621,0.00716868,0.00944615,0.0122354,0.0155587,0.0194047,0.0237123,0.0283738,0.0332369,0.0381119,0.0427825,0.0470194,0.0505958,0.0533061,0.0549882,0.0555454,0.0549604,0.0532947,0.0506745,0.0472716,0.0432857,0.0389275,0.0344041,0.0299046,0.0255891,0.0215796,0.0179577,0.0147655,0.0120117,0.00967993,0.00773646,0.00613844,0.00483953,0.00379407,0.00295968,0.00229856,0.00177804,0.00137047,0.00105289,0.000806497,0.000616077,0.000469422,0.00035683,0.000270635,0.000204821,0.000154689,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.5091,-0,-0,-0,-5.2295,-9.87607,-4.66215,-22.0171,-8.32627,-27.5957,-14.967,-46.3098,-13.6164,-26.1378,-25.213,-24.4576,-38.7905,-29.317,-34.8076,-28.9056,-26.1103,-29.3192,-29.8233,-30.5185,-12.5597,-22.7224,-13.4783,-28.0779,-36.6559,-19.18,-4.01974,-25.2928,-4.42187,-9.2754,-9.72362,-0,-0,-5.57432,-0,-0,-0,-0,-6.85622,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,1,5,7,5,7,8,10,12,8,12,11,12,9,9,11,10,6,4,9,0,3,4,7,4,7,3,1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0
-539.798,0.995803,0.195902,5,31,0,540.948,-1.52019,-2.49405,-0.995832,-0.500473,3.80728,0.239552,-0.585603,4.86623,2.29837,5.89797e-05,7.99357e-05,0.000108372,0.000146985,0.000199469,0.000270891,0.00036824,0.000501177,0.000683112,0.000932654,0.00127549,0.00174655,0.00239198,0.00327023,0.00445141,0.00601425,0.00804011,0.0106038,0.0137616,0.0175377,0.021912,0.0267915,0.0320209,0.0373871,0.0426317,0.0474694,0.0516118,0.0547944,0.0568075,0.0575267,0.0569316,0.0551043,0.0522093,0.0484665,0.0441242,0.039436,0.0346403,0.0299434,0.0255076,0.0214462,0.0178244,0.0146661,0.0119633,0.0096861,0.00779243,0.00623458,0.00496448,0.00393675,0.00311042,0.00244961,0.00192364,0.00150668,0.00117732,0.000917977,0.00071433,0.000554819,0.00043016,0.000332935,0.000257246,0.000198422,0.000152776,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.35011,-0,-0,-0,-5.11362,-9.64663,-4.54654,-21.4294,-8.0868,-26.7451,-14.4787,-44.7377,-13.1457,-25.2413,-24.3814,-23.712,-37.7542,-28.6809,-34.2661,-28.659,-26.0868,-29.5249,-30.2688,-31.2075,-12.9323,-23.5392,-14.0338,-29.3502,-38.4221,-20.1359,-4.22221,-26.5555,-4.63706,-9.70921,-10.1553,-0,-0,-5.773,-0,-0,-0,-0,-6.99334,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,6,1,6,6,10,6,6,7,20,9,12,8,12,11,10,6,8,10,6,6,3,6,3,3,3,1,1,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0
-540.543,0.991269,0.195902,4,31,0,542.591,-1.71581,-2.13921,-1.09916,-0.720118,3.7831,0.353771,-0.648079,5.34696,2.70352,0.000116088,0.000148369,0.000189732,0.000242802,0.000311001,0.000398827,0.000512227,0.000659138,0.000850248,0.00110008,0.00142846,0.00186239,0.00243801,0.00320211,0.00421259,0.00553707,0.00724937,0.00942311,0.0121226,0.0153915,0.0192405,0.0236116,0.0283889,0.0333988,0.0384169,0.0431816,0.0474136,0.0508424,0.0532403,0.0544603,0.0544607,0.0533023,0.0511258,0.0481228,0.0445112,0.0405138,0.0363407,0.0321746,0.0281609,0.0244044,0.0209704,0.0178905,0.0151704,0.0127978,0.0107489,0.0089941,0.00750117,0.00623814,0.00517462,0.00428268,0.00353723,0.00291606,0.00239983,0.0019718,0.00161762,0.00132508,0.00108383,0.000885163,0.000721769,0.000587537,0.000477381,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28589,-0,-0,-0,-5.19629,-9.85368,-4.66459,-22.0634,-8.34788,-27.6552,-14.9841,-46.3028,-13.5969,-26.0741,-25.1387,-24.3908,-38.7273,-29.3294,-34.9234,-29.1028,-26.386,-29.7347,-30.34,-31.1201,-12.8244,-23.2037,-13.7463,-28.5586,-37.1299,-19.3232,-4.02348,-25.1304,-4.35848,-9.0659,-9.42237,-0,-0,-5.26399,-0,-0,-0,-0,-6.22881,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,1,1,3,6,3,6,6,6,8,10,10,7,8,7,10,8,10,11,15,9,9,4,5,4,2,3,1,1,1,4,2,2,2,2,1,3,0,1,0,0,0,1,0,1,0
-540.096,0.999794,0.195902,4,15,0,542.601,-1.5806,-3.30264,-1.03628,-0.446412,4.17704,0.139857,-1.04101,5.09782,2.26114,5.97626e-05,8.2332e-05,0.00011344,0.000156326,0.000215468,0.000297044,0.000409573,0.000564759,0.000778554,0.00107241,0.00147453,0.00202086,0.00275534,0.00372918,0.00499876,0.0066219,0.00865245,0.0111332,0.0140879,0.0175129,0.0213713,0.0255838,0.0300325,0.0345655,0.0390048,0.0431572,0.046827,0.0498298,0.0520075,0.0532436,0.0534759,0.0527043,0.0509886,0.0484398,0.0452064,0.0414606,0.037385,0.0331594,0.0289497,0.0248973,0.021113,0.0176731,0.0146203,0.0119675,0.00970458,0.00780474,0.00623147,0.00494383,0.00390047,0.00306226,0.0023938,0.00186407,0.00144659,0.00111914,0.00086339,0.000664382,0.000510039,0.00039069,0.000298648,0.000227836,0.000173478,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.20423,-0,-0,-0,-5.01737,-9.49983,-4.49782,-21.3122,-8.08964,-26.9199,-14.6632,-45.5712,-13.4596,-25.9526,-25.1433,-24.4904,-38.9888,-29.5637,-35.1945,-29.2852,-26.4875,-29.7615,-30.2743,-30.9652,-12.732,-23.0054,-13.6257,-28.3376,-36.93,-19.2893,-4.03571,-25.3521,-4.42556,-9.27032,-9.70605,-0,-0,-5.54666,-0,-0,-0,-0,-6.7952,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,2,2,3,5,7,7,8,4,15,9,13,12,10,11,12,11,4,14,9,2,4,5,2,5,2,2,2,5,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1
