# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 11:58:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22a66d929.json
# init = /tmp/RtmpC8O1hA/init-b41c25d727183_3.json
# random
#   seed = 552008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0047_rep005_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605291258-3-6d220d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0047_rep005_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605291258-3-32d5b5.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0751774
# Diagonal elements of inverse mass matrix:
# 0.108189, 0.10496, 0.113181, 0.0589185, 0.136277, 0.191305, 0.290833
-538.471,0.987661,0.0751774,6,63,0,543.009,-1.03802,-2.60873,-1.54828,-0.204668,4.56127,0.449018,-1.28468,4.66594,2.04669,2.19493e-05,3.3007e-05,4.96471e-05,7.47006e-05,0.000112445,0.000169344,0.000255143,0.000384408,0.000578445,0.000867157,0.00129001,0.00189552,0.00273948,0.00388235,0.00538582,0.00730835,0.00969942,0.0125923,0.0159962,0.0198886,0.0242106,0.0288412,0.0336242,0.0383787,0.0429105,0.0470236,0.0505298,0.0532574,0.0550603,0.0558284,0.0555025,0.0540909,0.0516799,0.0484228,0.0445116,0.0401501,0.0355374,0.030859,0.0262814,0.0219476,0.0179719,0.0144355,0.0113835,0.00882488,0.00673713,0.00507451,0.00377817,0.00278539,0.00203638,0.00147825,0.0010666,0.000765562,0.000546998,0.000389277,0.000276056,0.000195149,0.000137562,9.67181e-05,6.78398e-05,4.74788e-05,3.31594e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.26826,-0,-0,-0,-4.91874,-9.27138,-4.37467,-20.677,-7.83522,-26.0467,-14.1838,-44.1026,-13.041,-25.1891,-24.4568,-23.8815,-38.124,-28.9933,-34.6257,-28.9133,-26.2538,-29.6269,-30.2779,-31.1201,-12.8605,-23.3602,-13.9133,-29.1111,-38.191,-20.0947,-4.23807,-26.8536,-4.73018,-10.0002,-10.5671,-0,-0,-6.19658,-0,-0,-0,-0,-7.85122,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1,3,7,7,10,4,7,7,14,8,9,13,8,11,14,8,8,9,5,5,4,8,6,2,4,3,2,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-542.569,0.93016,0.0751774,4,15,0,544.047,-1.24784,-2.92263,-1.61378,-0.238577,5.40523,0.12155,-0.951273,5.53713,2.33153,3.88368e-05,5.75882e-05,8.53669e-05,0.000126456,0.000187059,0.000275986,0.0004054,0.000591448,0.000854606,0.00121962,0.00171507,0.00237253,0.00322549,0.00430777,0.00565162,0.00728518,0.00922966,0.0114961,0.0140826,0.0169713,0.0201277,0.0234893,0.0269772,0.0304996,0.0339559,0.0372409,0.0402497,0.0428811,0.0450421,0.0466508,0.0476415,0.0479686,0.0476122,0.0465829,0.044924,0.0427082,0.0400301,0.0369955,0.0337134,0.0302903,0.0268266,0.0234138,0.0201323,0.01705,0.01422,0.0116797,0.00944999,0.00753547,0.00592641,0.00460134,0.0035307,0.00268053,0.00201589,0.0015034,0.00111297,0.000818616,0.000598698,0.00043567,0.000315629,0.000227758,0.000163764,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.0438,-0,-0,-0,-4.92191,-9.37067,-4.46574,-21.3141,-8.15247,-27.3396,-15.0048,-46.9659,-13.9602,-27.0615,-26.3228,-25.7012,-40.9412,-31.0016,-36.7808,-30.4405,-27.3349,-30.4467,-30.6652,-31.0278,-12.6135,-22.5269,-13.1878,-27.1189,-34.9693,-18.0918,-3.75443,-23.4326,-4.07161,-8.50621,-8.8998,-0,-0,-5.12834,-0,-0,-0,-0,-6.50003,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,1,3,3,0,2,5,4,6,5,12,10,6,6,10,12,8,12,9,11,8,10,6,7,3,6,7,1,3,2,3,3,4,0,0,2,0,2,0,0,0,1,0,0,0,0
-542.795,0.965126,0.0751774,5,35,0,549.248,-1.94746,-3.04582,-1.21698,-0.448273,4.77253,2.56845,-0.429185,5.26828,2.17457,3.67155e-05,5.05562e-05,6.96282e-05,9.59212e-05,0.000132193,0.000182276,0.000251518,0.00034742,0.000480583,0.00066616,0.000926152,0.00129174,0.00180289,0.0025089,0.00346887,0.00475136,0.0064326,0.00859238,0.0113058,0.0146284,0.0185679,0.0230453,0.0279084,0.0329824,0.0380791,0.0429969,0.0475212,0.0514267,0.0544843,0.0564739,0.0572091,0.0566269,0.0548462,0.0520459,0.0484314,0.0442154,0.0396075,0.0348083,0.0300088,0.0253903,0.0211232,0.0173361,0.0140762,0.0113305,0.00905498,0.00719261,0.00568355,0.00447076,0.00350275,0.00273461,0.00212813,0.0016514,0.00127812,0.000986834,0.000760246,0.000584475,0.00044847,0.000343476,0.000262594,0.000200407,0.000152679,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.65176,-0,-0,-0,-5.34932,-10.0928,-4.75688,-22.4122,-8.44959,-27.9042,-15.0812,-46.5248,-13.6471,-26.1447,-25.173,-24.3726,-38.5788,-29.0984,-34.4877,-28.6104,-25.8414,-29.0322,-29.5563,-30.2761,-12.4747,-22.6012,-13.4316,-28.0501,-36.7339,-19.2869,-4.05497,-25.5796,-4.48026,-9.40888,-9.8694,-0,-0,-5.65421,-0,-0,-0,-0,-6.92101,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,2,1,3,3,2,10,6,5,6,9,5,13,13,14,13,12,17,7,8,8,8,5,6,5,5,2,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
-543.377,0.993122,0.0751774,6,63,0,547.627,-0.696212,-4.14364,-1.10619,-0.339094,5.34903,1.90855,0.411777,5.12962,2.13331,3.19521e-05,4.5651e-05,6.52394e-05,9.32671e-05,0.000133406,0.000190966,0.00027367,0.000392855,0.000565387,0.000816422,0.001179,0.00169046,0.00239247,0.00333138,0.0045579,0.00612603,0.00809081,0.0105039,0.0134056,0.0168105,0.0206861,0.0249179,0.0293596,0.0338629,0.0382845,0.0424816,0.0463061,0.0496021,0.0522064,0.053955,0.0546973,0.0543249,0.0528319,0.0503609,0.0471153,0.0433078,0.0391368,0.0347762,0.0303742,0.0260561,0.0219309,0.018097,0.0146467,0.0116553,0.00915046,0.00710768,0.00547354,0.00418513,0.0031808,0.00240504,0.00181036,0.00135738,0.0010142,0.000755419,0.000561086,0.000415677,0.000307224,0.000226566,0.000166734,0.000122455,8.97545e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.38276,-0,-0,-0,-5.09521,-9.63405,-4.55601,-21.5604,-8.1715,-27.148,-14.7687,-45.8657,-13.5417,-26.1017,-25.2695,-24.5799,-39.0484,-29.5255,-35.0353,-29.0594,-26.215,-29.4064,-29.8854,-30.5516,-12.5577,-22.6848,-13.4353,-27.9533,-36.475,-19.0993,-4.01201,-25.3412,-4.45199,-9.3879,-9.89316,-0,-0,-5.75062,-0,-0,-0,-0,-7.18824,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,4,8,7,9,9,6,15,14,9,8,13,17,13,8,2,1,6,5,6,4,5,4,7,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
-545.197,0.97603,0.0751774,5,63,0,552.38,0.561445,-4.20038,-0.523468,-0.382667,5.22411,0.340618,0.457456,5.327,2.15317,3.87992e-05,5.46071e-05,7.68771e-05,0.00010827,0.000152554,0.000215075,0.000303406,0.000428222,0.000604385,0.000852093,0.00119785,0.00167496,0.00232353,0.00318983,0.00432508,0.00578322,0.0076171,0.00987273,0.0125818,0.0157531,0.0193659,0.0233582,0.0276364,0.0320745,0.0365202,0.0408019,0.0447378,0.0481461,0.0508564,0.0527233,0.0536406,0.0535556,0.0524779,0.0504784,0.0476783,0.044233,0.0403171,0.0361104,0.0317872,0.0275069,0.0234073,0.0195985,0.0161589,0.0131341,0.010538,0.0083584,0.00656327,0.00510912,0.00394759,0.00303065,0.00231388,0.0017582,0.00133038,0.00100294,0.000753597,0.00056455,0.000421764,0.000314278,0.000233605,0.000173217,0.000128123,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.39196,-0,-0,-0,-5.15279,-9.75472,-4.61798,-21.8775,-8.30143,-27.6097,-15.0272,-46.6521,-13.7588,-26.4791,-25.5922,-24.8555,-39.4357,-29.7875,-35.3124,-29.2545,-26.3433,-29.4736,-29.8621,-30.4328,-12.4731,-22.4769,-13.2847,-27.5895,-35.9332,-18.7735,-3.9323,-24.7517,-4.33255,-9.10553,-9.56898,-0,-0,-5.53465,-0,-0,-0,-0,-6.90482,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,2,1,2,0,3,3,2,5,11,4,9,4,9,11,9,11,10,16,12,11,8,11,8,8,10,0,1,2,0,1,3,1,0,1,1,0,0,0,2,1,0,0,0,0,0,0
-542.995,0.997833,0.0751774,5,31,0,547.613,0.699611,-3.36671,-0.580438,-0.279379,4.9906,0.689681,0.0404863,4.89096,1.97949,1.75936e-05,2.57007e-05,3.75585e-05,5.49191e-05,8.03724e-05,0.000117767,0.000172865,0.000254358,0.000375425,0.00055587,0.000824344,0.00121957,0.00179021,0.00259423,0.00369826,0.00517632,0.00710662,0.00956502,0.012614,0.0162872,0.0205733,0.0253934,0.0306134,0.0360462,0.0414646,0.0466151,0.0512328,0.0550562,0.0578464,0.0594103,0.059627,0.0584738,0.0560379,0.0524999,0.0481002,0.0431077,0.0377944,0.0324168,0.0272023,0.0223393,0.0179688,0.0141779,0.0109971,0.00840654,0.00634922,0.00474859,0.00352329,0.00259713,0.00190406,0.00138954,0.00101006,0.000731693,0.00052843,0.000380594,0.000273438,0.000196003,0.000140194,0.000100068,7.12784e-05,5.0663e-05,3.59274e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.70926,-0,-0,-0,-5.26366,-9.89346,-4.64964,-21.8648,-8.23475,-27.1863,-14.6931,-45.3221,-13.2918,-25.4633,-24.5266,-23.771,-37.6922,-28.4996,-33.8794,-28.1965,-25.5526,-28.8173,-29.4694,-30.3447,-12.5762,-22.9292,-13.7163,-28.8356,-38.0141,-20.0956,-4.25607,-27.0607,-4.77875,-10.1188,-10.6998,-0,-0,-6.26377,-0,-0,-0,-0,-7.87378,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,3,6,0,1,4,6,6,8,9,6,13,10,11,11,17,16,11,9,8,6,4,9,6,6,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
