# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 12:16:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21ca557ff.json
# init = /tmp/RtmpC8O1hA/init-b41c270e6078b_4.json
# random
#   seed = 552011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0050_rep005_manuscript_default/prior_sensitivity_obspair_FAST-202605291316-4-324446.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0050_rep005_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605291316-4-82218b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0608077
# Diagonal elements of inverse mass matrix:
# 0.09334, 0.065439, 0.188007, 0.0794397, 0.162569, 0.150075, 0.172666
-542.212,0.985264,0.0608077,6,127,0,546.218,-3.26982,-4.35654,-2.13466,-0.221334,4.57905,1.03716,-1.11476,5.371,2.12644,1.58088e-05,2.36022e-05,3.52382e-05,5.26127e-05,7.85576e-05,0.000117305,0.000175178,0.000261618,0.000390629,0.000582506,0.000864955,0.00127288,0.00184782,0.00263779,0.00369685,0.00508402,0.00686042,0.00908401,0.0118004,0.0150295,0.0187518,0.02289,0.0273245,0.0319094,0.0364873,0.0408974,0.0449764,0.0485592,0.0514794,0.0535745,0.0546978,0.0547481,0.0537204,0.051711,0.0488707,0.0453702,0.0413829,0.0370769,0.032613,0.0281441,0.0238165,0.0197645,0.0160998,0.012895,0.0101765,0.00792949,0.00611129,0.00466561,0.00353263,0.00265544,0.00198327,0.00147277,0.00108805,0.000800085,0.00058585,0.000427323,0.000310588,0.000225003,0.000162507,0.000117036,8.40632e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.66648,-0,-0,-0,-5.28165,-9.96397,-4.70124,-22.1981,-8.39548,-27.8353,-15.1082,-46.7996,-13.7794,-26.4863,-25.5735,-24.8129,-39.3246,-29.6657,-35.1202,-29.0593,-26.1451,-29.2396,-29.6209,-30.1858,-12.3716,-22.2942,-13.179,-27.3844,-35.7042,-18.6869,-3.92387,-24.7737,-4.35092,-9.17534,-9.67433,-0,-0,-5.64571,-0,-0,-0,-0,-7.13079,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,3,4,5,3,5,3,7,5,6,10,14,12,6,10,14,10,4,11,10,8,9,8,11,6,2,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-538.013,0.99593,0.0608077,6,63,0,543.384,-0.704375,-1.34582,-1.46801,-0.257707,4.94976,-0.4098,-1.15159,5.27439,2.51866,2.53774e-05,3.71487e-05,5.43053e-05,7.92553e-05,0.000115445,0.000167777,0.000243176,0.000351329,0.0005056,0.00072411,0.00103089,0.00145696,0.00204115,0.0028304,0.00387932,0.00524886,0.00700394,0.00921015,0.0119296,0.0152162,0.0191108,0.0234871,0.0281929,0.0330535,0.0378783,0.0424672,0.0466187,0.0501396,0.0528553,0.054622,0.0553396,0.054964,0.0535158,0.0510835,0.0478172,0.0439132,0.0395917,0.0350725,0.0305546,0.026202,0.0221376,0.0184433,0.0151639,0.0123135,0.00988257,0.00784494,0.00616372,0.00479652,0.00369938,0.00282965,0.00214787,0.00161886,0.00121222,0.000902291,0.000667905,0.000491897,0.000360573,0.000263157,0.000191276,0.000138488,9.98891e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.5314,-0,-0,-0,-5.24975,-9.92257,-4.68745,-22.1437,-8.37078,-27.7025,-15.0052,-46.3929,-13.6385,-26.187,-25.2722,-24.526,-38.9083,-29.402,-34.8878,-28.9427,-26.1097,-29.2778,-29.7429,-30.4037,-12.5022,-22.604,-13.4013,-27.9059,-36.4192,-19.0524,-3.99306,-25.133,-4.39706,-9.23396,-9.69577,-0,-0,-5.59959,-0,-0,-0,-0,-7.01057,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,5,2,2,7,7,3,7,15,10,9,15,11,13,7,10,12,12,9,7,5,5,4,1,5,3,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
-541.625,0.994031,0.0608077,5,63,0,542.327,0.540274,-1.13942,-1.48272,0.463098,5.06544,-0.625707,-1.32416,4.72009,2.47256,7.90198e-06,1.45719e-05,2.61019e-05,4.54119e-05,7.68081e-05,0.000126511,0.000203369,0.000319803,0.000493003,0.00074633,0.00111081,0.00162648,0.00234334,0.00332152,0.00463042,0.00634673,0.00855109,0.0113239,0.0147401,0.0188641,0.023744,0.0288795,0.0339768,0.0388447,0.0433396,0.0473375,0.050722,0.0533808,0.0552078,0.0561105,0.0560199,0.0549031,0.0527761,0.0497132,0.045851,0.0413822,0.0365385,0.0315657,0.0266951,0.0221186,0.0179735,0.014339,0.0112425,0.00867054,0.00658247,0.004922,0.00362655,0.00263378,0.00188571,0.0013311,0.000926321,0.000635402,0.000429487,0.00028596,0.00018747,0.000120959,7.67803e-05,4.79313e-05,2.94203e-05,1.7754e-05,1.05339e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.42134,-0,-0,-0,-5.05982,-9.52339,-4.48084,-21.0859,-7.94099,-26.183,-14.1785,-43.967,-12.9927,-25.1095,-24.4036,-23.8512,-38.094,-28.9665,-34.5652,-28.8205,-26.1197,-29.417,-30.0148,-30.8236,-12.7396,-23.1657,-13.8227,-28.9862,-38.1134,-20.0943,-4.24477,-26.9283,-4.74782,-10.0467,-10.6281,-0,-0,-6.27345,-0,-0,-0,-0,-8.15966,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,4,2,2,1,8,1,10,17,9,15,11,12,6,15,9,15,8,6,10,5,5,4,6,3,6,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-538.64,0.998216,0.0608077,6,63,0,544.589,-0.740716,-1.67063,-1.12256,-0.498561,3.67912,-0.478951,-1.61461,4.80387,2.5167,9.09048e-05,0.000123159,0.000166847,0.000226011,0.000306107,0.000414478,0.000560981,0.000758762,0.00102521,0.00138305,0.00186145,0.00249696,0.00333398,0.00442434,0.00582555,0.00759761,0.00979812,0.0124762,0.0156659,0.0193793,0.023601,0.0282018,0.0330064,0.0378019,0.0423519,0.0464152,0.0497668,0.0522197,0.0536435,0.0539772,0.053234,0.0514967,0.0489046,0.0456354,0.041885,0.0378482,0.0337045,0.0296077,0.0256805,0.0220131,0.0186646,0.0156672,0.0130302,0.0107458,0.00879378,0.00714605,0.00577018,0.00463239,0.00369956,0.00294063,0.00232738,0.00183487,0.00144148,0.00112877,0.000881285,0.000686166,0.000532866,0.000412794,0.000319005,0.000245927,0.000189114,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.99268,-0,-0,-0,-4.87992,-9.25113,-4.38393,-20.7813,-7.8871,-26.2253,-14.2735,-44.3437,-13.1016,-25.2939,-24.561,-24.0033,-38.3798,-29.2539,-35.0303,-29.3306,-26.6961,-30.1788,-30.8707,-31.7283,-13.0967,-23.7309,-14.0789,-29.2962,-38.1612,-19.9056,-4.15619,-26.0429,-4.53324,-9.46742,-9.88239,-0,-0,-5.59954,-0,-0,-0,-0,-6.78662,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,5,5,6,10,9,10,9,9,14,9,8,13,10,10,12,6,4,3,7,8,4,5,2,1,4,3,0,1,2,0,0,1,1,1,0,0,0,1,0,0,0,1,0
-538.97,0.961059,0.0608077,6,63,0,541.828,-2.02189,-2.78424,-2.22369,0.194388,5.33247,0.827555,-0.666742,5.24571,1.93935,2.32345e-06,4.26539e-06,7.83139e-06,1.43809e-05,2.64087e-05,4.84633e-05,8.86429e-05,0.000160483,0.000284137,0.000486031,0.000798004,0.00125691,0.00190457,0.00278779,0.00395798,0.00546995,0.00737907,0.00973563,0.0125753,0.0159062,0.0196967,0.0238491,0.0282302,0.0326899,0.0370786,0.0412547,0.0450852,0.0484424,0.0512014,0.0532388,0.054435,0.0546814,0.0538978,0.0520727,0.0493106,0.0458156,0.0418127,0.0375011,0.0330458,0.0285829,0.0242267,0.0200762,0.0162191,0.0127341,0.00968854,0.00713016,0.00507581,0.00350282,0.0023522,0.00154373,0.000994229,0.000630541,0.000394845,0.000244645,0.000150227,9.15401e-05,5.54071e-05,3.334e-05,1.99572e-05,1.18908e-05,7.0551e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.6791,-0,-0,-0,-5.20849,-9.81821,-4.63196,-21.8801,-8.28209,-27.4911,-14.944,-46.3757,-13.6828,-26.3577,-25.5039,-24.7936,-39.3559,-29.7199,-35.1956,-29.1075,-26.1561,-29.2067,-29.5511,-30.0962,-12.3325,-22.2219,-13.1335,-27.2789,-35.5495,-18.6015,-3.90822,-24.7294,-4.36347,-9.27362,-9.88684,-0,-0,-6.0524,-0,-0,-0,-0,-8.3157,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,1,5,6,4,6,7,7,7,8,12,12,16,6,11,10,8,6,5,14,11,9,3,3,4,2,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-540.035,0.999145,0.0608077,6,63,0,543.56,-0.280707,-1.40534,-1.2746,-0.828691,4.90449,0.34895,-1.81418,5.35346,2.85093,4.63615e-05,5.85737e-05,7.43014e-05,9.47373e-05,0.00012159,0.000157376,0.000205903,0.000273096,0.000368341,0.000506524,0.000710663,0.00101458,0.00146474,0.00212053,0.00305281,0.00434081,0.00606752,0.00831388,0.0111519,0.0146371,0.0188006,0.0235156,0.0286182,0.0339116,0.0391729,0.0441619,0.0486307,0.0523365,0.0550564,0.056609,0.0568818,0.0558626,0.0536537,0.0504548,0.0465214,0.0421217,0.0375068,0.0328936,0.0284558,0.0243206,0.0205701,0.0172455,0.0143545,0.0118798,0.00978801,0.00803707,0.00658235,0.00538044,0.00439149,0.0035802,0.00291611,0.00237334,0.00193015,0.00156846,0.00127327,0.00103225,0.000835291,0.000674136,0.000542073,0.000433667,0.000344536,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.89328,-0,-0,-0,-5.43969,-10.2096,-4.78983,-22.4807,-8.4484,-27.8171,-15.0004,-46.1982,-13.536,-25.9182,-24.9591,-24.188,-38.3508,-28.994,-34.4591,-28.6678,-25.9637,-29.2521,-29.8668,-30.6784,-12.6688,-22.9826,-13.6579,-28.4752,-37.1643,-19.4196,-4.06021,-25.4622,-4.43292,-9.2532,-9.64738,-0,-0,-5.42809,-0,-0,-0,-0,-6.45766,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,2,6,5,4,10,13,7,7,8,6,15,16,11,11,10,10,12,15,3,4,5,4,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
