# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 12:45:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c222b4d8d7.json
# init = /tmp/RtmpC8O1hA/init-b41c23ed9550e_1.json
# random
#   seed = 652003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0052_rep006_accurate_moderate/prior_sensitivity_obspair_FAST-202605291345-1-9aabd1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0052_rep006_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605291345-1-1824be.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.145996
# Diagonal elements of inverse mass matrix:
# 0.0528065, 0.0838256, 0.0423809, 0.0151962, 0.0464062, 0.0326305, 0.0371116
-561.58,0.947145,0.145996,5,31,0,563.756,-0.978211,-3.3939,-0.947285,-0.810538,3.47182,0.0927394,-0.892478,4.89597,2.73354,0.000341174,0.000426465,0.000533182,0.000666764,0.000834053,0.00104367,0.0013065,0.00163623,0.0020501,0.00256968,0.00322165,0.00403835,0.00505775,0.0063222,0.00787576,0.00975978,0.0120072,0.0146359,0.0176426,0.0209973,0.0246405,0.0284708,0.0323565,0.0361431,0.0396633,0.0427492,0.0452474,0.0470333,0.0480243,0.048188,0.0475434,0.0461547,0.0441224,0.0415711,0.0386382,0.0354622,0.0321728,0.0288838,0.0256875,0.0226539,0.0198306,0.0172459,0.0149121,0.012829,0.0109879,0.009374,0.00796928,0.00675398,0.00570802,0.00481188,0.00404711,0.00339671,0.00284525,0.00237895,0.00198556,0.0016544,0.00137613,0.0011427,0.000947188,0.000783664,0.000647089,-0,-0,-0,-0,-0,-0,-6.6404,-0,-0,-5.96397,-0,-0,-5.28683,-0,-4.84397,-13.8885,-17.689,-8.44856,-16.1498,-15.4535,-29.6269,-32.0299,-24.0166,-16.6013,-25.8186,-22.0668,-30.9561,-33.6259,-36.4326,-27.2938,-12.1845,-33.8333,-28.0871,-41.3446,-19.5211,-46.75,-10.3099,-21.2668,-10.9852,-22.7245,-7.84106,-8.12036,-12.6168,-8.71209,-4.51096,-4.66982,-9.66432,-4.99762,-5.16588,-5.33667,-11.0195,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,5,1,5,7,5,8,8,8,9,15,18,7,16,11,9,7,9,7,3,2,3,2,4,3,4,1,2,2,0,2,2,2,2,0,1,0,1,0,0,0,0,1,0,0
-559.731,0.997799,0.145996,5,31,0,563.055,-0.709242,-2.38226,-1.91621,-0.402378,3.38257,-0.00673939,-1.17084,4.3352,2.31509,8.62421e-05,0.000120531,0.000168461,0.000235453,0.000329057,0.000459743,0.000641918,0.000895143,0.00124544,0.00172634,0.00237927,0.00325264,0.00439949,0.00587372,0.00772541,0.00999581,0.0127124,0.0158847,0.0195007,0.0235253,0.0279001,0.0324489,0.0369809,0.0412981,0.0452036,0.0485117,0.0510579,0.0527106,0.0533828,0.0530436,0.051725,0.0495205,0.0465735,0.0430579,0.0391584,0.0350535,0.0309052,0.0268518,0.0230045,0.0194457,0.01623,0.0133857,0.0109187,0.00881663,0.00705413,0.00559746,0.00440884,0.00344982,0.00268366,0.00207684,0.00159983,0.00122732,0.000938089,0.000714652,0.000542807,0.000411161,0.000310662,0.000234179,0.000176136,0.000132197,9.90102e-05,-0,-0,-0,-0,-0,-0,-7.35105,-0,-0,-6.36175,-0,-0,-5.42627,-0,-4.86324,-13.8168,-17.4607,-8.2848,-15.7492,-14.9987,-28.633,-30.8528,-23.0815,-15.9347,-24.7726,-21.1816,-29.7479,-32.3723,-35.1632,-26.4298,-11.8473,-33.059,-27.6005,-40.8877,-19.4408,-46.9123,-10.4305,-21.7045,-11.3162,-23.6408,-8.24179,-8.62714,-13.5518,-9.46223,-4.95414,-5.18544,-10.8483,-5.66943,-5.92057,-6.17691,-12.8757,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,1,0,1,2,2,1,1,2,5,2,3,6,1,5,6,14,8,6,10,9,7,12,8,11,5,7,11,13,6,7,6,2,5,2,1,1,2,0,2,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0
-563.008,0.994536,0.145996,4,31,0,566.544,-0.71858,-2.74231,-1.23062,-0.501766,2.74332,-0.672706,-1.62509,4.68356,2.61319,0.000190861,0.000256991,0.000345545,0.000463792,0.000621131,0.000829579,0.00110427,0.00146395,0.0019313,0.0025331,0.00329992,0.00426539,0.0054647,0.00693249,0.00870011,0.0107923,0.013224,0.0159969,0.019097,0.0224933,0.026137,0.0299076,0.0336649,0.0372569,0.04053,0.0433395,0.0455607,0.0470984,0.0478943,0.0479302,0.0472274,0.045843,0.0438629,0.0413926,0.0385486,0.0354495,0.0322092,0.028931,0.025704,0.0226009,0.0196775,0.016973,0.0145116,0.0123043,0.0103515,0.008645,0.00717037,0.00590924,0.00484089,0.00394369,0.00319621,0.002578,0.00207012,0.00165543,0.00131874,0.00104678,0.000828124,0.000653091,0.000513526,0.000402645,0.000314844,-0,-0,-0,-0,-0,-0,-6.80857,-0,-0,-5.97831,-0,-0,-5.20945,-0,-4.74442,-13.5868,-17.3029,-8.27073,-15.8329,-15.1781,-29.1552,-31.5868,-23.7391,-16.4496,-25.6457,-21.9708,-30.8871,-33.6107,-36.4651,-27.3421,-12.2111,-33.9079,-28.1402,-41.4005,-19.535,-46.755,-10.3065,-21.257,-10.9833,-22.7386,-7.85656,-8.15227,-12.6984,-8.79561,-4.57062,-4.75077,-9.8756,-5.13124,-5.33066,-5.53564,-11.4916,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,3,2,2,4,5,3,3,3,10,13,5,15,8,8,11,10,7,7,10,5,8,6,8,3,6,3,2,1,4,2,1,4,3,3,1,0,1,1,0,0,2,0,0,0,2,0,0
-563.509,0.998218,0.145996,4,15,0,567.351,-2.00237,-2.45212,-0.738269,-0.506112,3.14989,-0.385465,-1.5356,5.28163,2.5705,8.02381e-05,0.000108448,0.000146563,0.000198043,0.000267544,0.000361313,0.000487697,0.000657795,0.00088625,0.00119218,0.00160015,0.00214117,0.00285325,0.00378144,0.00497678,0.00649382,0.00838644,0.010702,0.0134745,0.0167166,0.020413,0.0245018,0.0288778,0.0333924,0.0378592,0.0420658,0.0457917,0.0488302,0.051012,0.0522238,0.0524195,0.0516217,0.0499143,0.0474285,0.044327,0.0407861,0.0369814,0.0330747,0.0292053,0.0254856,0.0219985,0.0187994,0.0159191,0.0133681,0.0111408,0.00922064,0.0075837,0.0062019,0.00504566,0.00408567,0.00329414,0.00264554,0.00211702,0.00168848,0.00134259,0.00106452,0.000841813,0.000664032,0.000522549,0.000410267,0.000321387,-0,-0,-0,-0,-0,-0,-7.62582,-0,-0,-6.73198,-0,-0,-5.8593,-0,-5.30297,-15.1107,-19.1246,-9.07464,-17.2278,-16.3654,-31.1327,-33.3811,-24.8128,-16.9971,-26.191,-22.1796,-30.8365,-33.2135,-35.7083,-26.57,-11.7939,-32.6019,-26.977,-39.6309,-18.697,-44.7918,-9.89202,-20.4539,-10.6002,-22.0179,-7.63357,-7.94786,-12.4207,-8.62977,-4.49714,-4.68631,-9.76351,-5.0829,-5.28923,-5.50027,-11.4312,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,3,0,0,2,5,4,4,6,4,4,12,12,4,10,8,10,14,8,11,10,7,5,9,6,5,5,7,3,2,1,3,4,1,0,1,0,2,0,1,1,0,0,1,0,0,0,0
-560.549,0.99079,0.145996,5,31,0,567.437,-0.808176,-2.56694,-1.62274,-0.761795,3.5696,0.289696,-0.617692,4.78671,2.7341,0.000272634,0.000344821,0.00043629,0.000552292,0.000699562,0.000886767,0.0011251,0.00142904,0.00181732,0.00231403,0.00294965,0.00376152,0.00479308,0.00609146,0.00770349,0.00967092,0.0120253,0.0147829,0.0179407,0.0214723,0.0253274,0.0293688,0.0334411,0.0373764,0.0410021,0.0441496,0.0466648,0.0484199,0.0493272,0.0493529,0.0485231,0.0469178,0.0446558,0.0418767,0.0387276,0.0353524,0.0318841,0.0284388,0.0251118,0.0219748,0.0190767,0.0164451,0.0140901,0.0120083,0.0101867,0.00860646,0.00724553,0.00608063,0.00508873,0.00424792,0.00353796,0.00294051,0.00243925,0.00201977,0.00166955,0.00137774,0.00113504,0.000933511,0.000766421,0.00062807,0.00051366,-0,-0,-0,-0,-0,-0,-6.78988,-0,-0,-6.06876,-0,-0,-5.34058,-0,-4.86608,-13.9159,-17.683,-8.42856,-16.0827,-15.364,-29.4069,-31.7504,-23.7858,-16.4336,-25.5531,-21.8412,-30.6476,-33.3063,-36.1113,-27.0788,-12.1029,-33.6529,-27.9789,-41.2493,-19.5072,-46.7934,-10.3369,-21.36,-11.0533,-22.9071,-7.91857,-8.21545,-12.7868,-8.84432,-4.58667,-4.75524,-9.85474,-5.10265,-5.28073,-5.46133,-11.2884,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,0,1,0,1,0,1,2,0,0,0,0,2,2,4,4,0,5,9,5,4,6,8,10,10,10,9,10,15,10,5,7,4,7,7,4,7,6,4,3,3,3,1,2,1,1,0,1,0,1,0,0,2,0,0,1,1,0,0
-563.424,0.991325,0.145996,4,31,0,568.27,-1.19909,-1.38144,-1.78862,-0.746099,2.08646,-0.0181613,-1.28496,4.63841,2.84334,0.000177927,0.000226042,0.000287337,0.000365521,0.000465406,0.000593261,0.000757303,0.000968357,0.00124077,0.00159361,0.00205229,0.00265052,0.00343246,0.00445469,0.00578718,0.00751243,0.00972213,0.0125112,0.01597,0.0201751,0.0251807,0.0307202,0.0364681,0.0420552,0.0470963,0.0512298,0.0541657,0.0557296,0.0558863,0.0547338,0.0524696,0.0493465,0.0456307,0.0415717,0.0373838,0.0332382,0.0292621,0.0255421,0.0221302,0.0190513,0.0163095,0.0138947,0.0117873,0.00996237,0.00839228,0.00704897,0.00590516,0.00493528,0.00411585,0.00342576,0.00284622,0.00236077,0.00195504,0.00161664,0.00133488,0.00110067,0.00090624,0.00074502,0.000611461,0.000500896,0.000409409,-0,-0,-0,-0,-0,-0,-7.18575,-0,-0,-6.44175,-0,-0,-5.67448,-0,-5.15211,-14.6736,-18.5334,-8.76226,-16.5482,-15.6132,-29.4534,-31.3455,-23.1792,-15.8439,-24.4445,-20.8,-29.1571,-31.7597,-34.6132,-26.1475,-11.7901,-33.0978,-27.7846,-41.3444,-19.7191,-47.6568,-10.5944,-22.0046,-11.4324,-23.7637,-8.23202,-8.5525,-13.3222,-9.21788,-4.78044,-4.95487,-10.2639,-5.31135,-5.49291,-5.67643,-11.7235,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,4,2,8,11,8,8,10,10,10,12,6,15,9,12,17,7,8,4,7,4,4,5,1,2,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
