# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 12:50:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22bd95574.json
# init = /tmp/RtmpC8O1hA/init-b41c240e1a814_3.json
# random
#   seed = 652004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0053_rep006_accurate_strong/prior_sensitivity_obspair_FAST-202605291350-3-9807e8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0053_rep006_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605291350-3-634207.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.189979
# Diagonal elements of inverse mass matrix:
# 0.0326984, 0.0422411, 0.00748397, 0.00367839, 0.011451, 0.00533222, 0.00741585
-559.73,0.99951,0.189979,4,15,0,562.153,-0.917964,-2.98426,-1.38382,-0.442384,3.38281,-0.230715,-1.03189,4.56757,2.38348,0.000106033,0.000146144,0.000201376,0.000277371,0.00038181,0.000525081,0.000721099,0.000988248,0.00135034,0.00183742,0.00248608,0.00333901,0.00444332,0.0058476,0.00759787,0.00973253,0.0122771,0.0152392,0.0186044,0.0223337,0.026363,0.0305661,0.0347925,0.0388739,0.0426342,0.0459005,0.0485155,0.0503504,0.0513164,0.0513738,0.0505356,0.0488657,0.0464697,0.0434835,0.0400594,0.0363535,0.0325155,0.0286807,0.0249635,0.0214546,0.0182196,0.0152996,0.012714,0.0104637,0.00853565,0.00690669,0.00554764,0.00442645,0.0035107,0.00276938,0.00217396,0.00169907,0.00132266,0.00102594,0.00079319,0.00061141,0.000469993,0.000360362,0.000275639,0.000210351,0.000160171,-0,-0,-0,-0,-0,-0,-7.23473,-0,-0,-6.29939,-0,-0,-5.41635,-0,-4.87989,-13.8968,-17.6001,-8.36777,-15.9374,-15.2066,-29.0864,-31.3908,-23.5085,-16.2372,-25.2408,-21.569,-30.2587,-32.8762,-35.6369,-26.7176,-11.9403,-33.2055,-27.6206,-40.7598,-19.3044,-46.4025,-10.2781,-21.3092,-11.071,-23.0509,-8.01052,-8.35986,-13.0952,-9.11968,-4.7635,-4.97526,-10.3888,-5.42016,-5.65194,-5.88913,-12.2624,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,4,3,3,4,5,4,8,7,6,6,9,8,14,10,12,10,13,7,6,10,5,7,7,3,2,4,5,2,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
-561.255,0.989564,0.189979,4,15,0,563.795,-1.27167,-2.24689,-1.29143,-0.417331,3.92144,0.164663,-0.926805,4.76251,2.24679,4.85529e-05,6.75602e-05,9.40411e-05,0.000130962,0.000182486,0.000254474,0.000355183,0.00049625,0.000694009,0.000971152,0.00135854,0.00189677,0.00263685,0.00363938,0.00497209,0.00670527,0.00890542,0.0116272,0.0149043,0.0187407,0.0231029,0.0278823,0.0329217,0.0380211,0.0429485,0.0474544,0.0512893,0.054224,0.0560725,0.056717,0.0561278,0.0543698,0.051589,0.0479865,0.0437903,0.0392333,0.0345359,0.0298933,0.0254662,0.0213749,0.0176978,0.0144736,0.0117074,0.00937868,0.00745,0.00587475,0.00460326,0.00358716,0.00278197,0.00214848,0.00165311,0.00126778,0.000969415,0.0007393,0.000562447,0.000426948,0.000323421,0.000244518,0.000184516,0.000138981,0.000104488,-0,-0,-0,-0,-0,-0,-7.94288,-0,-0,-6.93703,-0,-0,-5.93817,-0,-5.30391,-15.0146,-18.8844,-8.90881,-16.8244,-15.9082,-30.1424,-32.2179,-23.8954,-16.3481,-25.182,-21.3359,-29.7027,-32.0609,-34.5733,-25.8271,-11.5205,-32.0314,-26.68,-39.4789,-18.7701,-45.3352,-10.0973,-21.0607,-11.0112,-23.0732,-8.06863,-8.47085,-13.3426,-9.33863,-4.89954,-5.13709,-10.762,-5.6304,-5.8846,-6.143,-12.8102,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2,1,3,2,3,6,9,10,8,15,10,10,7,11,9,9,15,10,10,5,6,4,3,6,3,8,2,0,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
-559.202,0.998985,0.189979,3,7,0,561.859,-1.09025,-2.51071,-1.29976,-0.448528,3.86306,0.0848782,-0.973432,4.69481,2.29032,7.05457e-05,9.71582e-05,0.000133844,0.000184442,0.000254266,0.000350678,0.000483864,0.000667868,0.000921886,0.00127175,0.00175131,0.00240329,0.00327898,0.00443636,0.00593656,0.00783868,0.0101933,0.0130351,0.0163754,0.0201961,0.024445,0.0290044,0.0337181,0.0383988,0.0428385,0.0468216,0.0501401,0.0526104,0.0540909,0.0544992,0.0538241,0.0521279,0.0495352,0.0462149,0.0423592,0.0381665,0.0338269,0.0295116,0.0253642,0.0214954,0.017981,0.0148632,0.0121548,0.00984519,0.00790719,0.00630358,0.00499253,0.00393166,0.00308075,0.00240339,0.00186767,0.00144635,0.00111661,0.00085964,0.000660126,0.000505736,0.000386614,0.000294946,0.000224572,0.000170662,0.000129444,-0,-0,-0,-0,-0,-0,-7.63371,-0,-0,-6.66736,-0,-0,-5.72022,-0,-5.12663,-14.5461,-18.3441,-8.68022,-16.4479,-15.6091,-29.6906,-31.8628,-23.728,-16.2986,-25.2025,-21.4299,-29.9293,-32.3933,-35.0051,-26.1861,-11.6881,-32.4946,-27.0456,-39.9679,-18.9694,-45.7212,-10.1595,-21.1378,-11.0233,-23.0395,-8.03688,-8.41773,-13.2301,-9.24154,-4.83998,-5.06664,-10.5996,-5.53869,-5.78258,-6.03088,-12.5661,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,1,0,1,1,3,1,0,2,3,5,2,3,4,6,5,10,7,10,13,6,7,12,16,12,7,12,9,7,8,3,4,7,3,2,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-560.114,0.994827,0.189979,4,31,0,562.399,-0.703349,-2.18394,-1.34183,-0.696386,3.49295,0.230198,-0.941218,4.52746,2.53632,0.000185153,0.000237989,0.000306062,0.000393868,0.000507293,0.000654078,0.000844458,0.00109203,0.00141494,0.00183734,0.00239119,0.00311785,0.00406875,0.00530423,0.0068898,0.00889007,0.0113611,0.0143419,0.0178462,0.0218555,0.0263151,0.0310608,0.0358904,0.0405731,0.0448648,0.0485254,0.0513387,0.0531352,0.0538146,0.0533629,0.0518529,0.049428,0.0462758,0.0426026,0.0386139,0.0344992,0.0304215,0.026511,0.0228622,0.0195353,0.0165601,0.0139421,0.0116693,0.0097179,0.00805791,0.00665655,0.00548105,0.00450028,0.00368568,0.00301174,0.00245602,0.00199913,0.00162444,0.00131785,0.00106746,0.000863325,0.000697144,0.000562039,0.000452325,0.000363327,0.000291206,-0,-0,-0,-0,-0,-0,-7.07682,-0,-0,-6.29944,-0,-0,-5.50442,-0,-4.97771,-14.1685,-17.9102,-8.48914,-16.1039,-15.2932,-29.1009,-31.2463,-23.291,-16.0233,-24.8328,-21.1797,-29.6931,-32.2841,-35.0665,-26.3758,-11.8374,-33.0796,-27.6582,-41.0259,-19.5249,-47.1355,-10.4778,-21.7812,-11.3348,-23.6132,-8.20151,-8.54568,-13.3524,-9.26757,-4.8211,-5.01215,-10.4129,-5.40362,-5.6033,-5.80524,-12.0184,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,2,3,4,3,4,8,9,12,13,7,4,7,15,13,8,8,12,3,8,10,5,5,4,5,4,2,2,4,2,0,0,2,3,0,0,1,1,0,1,0,0,0,0,0,0
-559.054,0.999905,0.189979,5,31,0,561.344,-1.27028,-2.57018,-1.31149,-0.599855,3.45058,0.150319,-1.23938,4.78291,2.48124,0.000129813,0.000170952,0.000225187,0.000296723,0.000391146,0.000515877,0.000680797,0.000899063,0.00118816,0.00157119,0.00207825,0.0027476,0.00362603,0.00476785,0.00623198,0.00807713,0.0103555,0.013105,0.0163415,0.0200518,0.0241883,0.0286379,0.0332464,0.0378253,0.0421622,0.0460354,0.0492312,0.0515643,0.0529003,0.0531737,0.0523968,0.0506531,0.048081,0.0448535,0.0411599,0.0371898,0.0331199,0.0291036,0.0252641,0.021691,0.0184415,0.0155434,0.0130016,0.0108033,0.00892461,0.00733524,0.00600204,0.00489181,0.00397301,0.00321671,0.00259706,0.00209144,0.00168035,0.00134717,0.0010779,0.000860839,0.000686254,0.000546121,0.000433852,0.000344059,0.000272357,-0,-0,-0,-0,-0,-0,-7.29225,-0,-0,-6.45592,-0,-0,-5.61962,-0,-5.07806,-14.4562,-18.281,-8.66953,-16.4562,-15.6378,-29.7751,-31.9772,-23.8267,-16.3739,-25.3298,-21.5484,-30.1123,-32.6142,-35.2721,-26.4077,-11.7956,-32.8103,-27.3138,-40.3566,-19.1417,-46.0841,-10.2229,-21.2214,-11.0351,-22.9851,-7.98631,-8.32823,-13.0281,-9.05582,-4.71894,-4.91506,-10.2313,-5.32019,-5.52823,-5.7394,-11.9068,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,0,3,1,5,7,5,5,7,7,12,8,9,10,12,10,9,10,7,12,5,7,4,6,9,3,3,2,2,4,2,1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0
-558.626,0.999842,0.189979,4,15,0,560.022,-1.22083,-2.4602,-1.14201,-0.548486,3.50572,0.0647639,-1.04808,4.70178,2.38846,9.9419e-05,0.000132843,0.000177554,0.0002374,0.000317562,0.000425031,0.000569249,0.000762976,0.00102342,0.00137362,0.00184408,0.00247415,0.00331291,0.00441856,0.00585586,0.00769135,0.00998632,0.0127882,0.0161212,0.0199773,0.02431,0.0290019,0.0338872,0.0387583,0.0433783,0.0474985,0.0508797,0.0533167,0.0546631,0.0548517,0.0539017,0.0519117,0.0490412,0.0454877,0.041465,0.0371844,0.0328396,0.028595,0.024579,0.0208814,0.0175557,0.0146237,0.0120827,0.00991233,0.00808142,0.00655298,0.00528836,0.00424995,0.00340281,0.00271557,0.00216075,0.00171472,0.00135748,0.00107229,0.00084529,0.000665065,0.000522311,0.000409474,0.000320452,0.000250339,0.000195208,-0,-0,-0,-0,-0,-0,-7.47119,-0,-0,-6.5903,-0,-0,-5.70993,-0,-5.14031,-14.603,-18.4262,-8.71846,-16.5105,-15.6526,-29.7349,-31.8635,-23.693,-16.2521,-25.1024,-21.3294,-29.7829,-32.2466,-34.8788,-26.1281,-11.6824,-32.5403,-27.1358,-40.1741,-19.0974,-46.0861,-10.2484,-21.3271,-11.1176,-23.2134,-8.08475,-8.45023,-13.248,-9.22795,-4.81819,-5.02784,-10.4845,-5.46085,-5.68315,-5.90875,-12.2746,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,4,6,4,0,1,13,6,10,9,11,11,12,13,7,14,8,11,7,7,1,3,9,7,5,2,3,3,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
