# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 13:35:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2fc9da80.json
# init = /tmp/RtmpC8O1hA/init-b41c2efc1b9c_3.json
# random
#   seed = 652011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0060_rep006_manuscript_default/prior_sensitivity_obspair_FAST-202605291435-3-5cf829.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0060_rep006_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605291435-3-85aa33.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.038477
# Diagonal elements of inverse mass matrix:
# 0.0879408, 0.05718, 0.166281, 0.0772125, 1.75347, 0.124254, 0.229308
-558.266,0.999664,0.038477,7,127,0,562.355,-1.1587,-2.80513,-1.57799,-0.635871,3.4142,0.637702,-0.863594,4.5732,2.47602,0.000155542,0.000202809,0.000264488,0.000345009,0.000450185,0.000587665,0.000767538,0.00100315,0.00131224,0.00171837,0.00225283,0.00295659,0.00388125,0.00508774,0.00664203,0.00860898,0.0110452,0.0139904,0.0174588,0.0214292,0.0258394,0.0305431,0.0353522,0.0400489,0.0444007,0.0481743,0.0511515,0.0531468,0.0540345,0.053777,0.0524331,0.0501362,0.0470637,0.043415,0.0393956,0.0352043,0.0310204,0.0269921,0.0232291,0.0198012,0.0167422,0.0140575,0.0117331,0.00974277,0.00805391,0.00663167,0.00544161,0.00445126,0.00363099,0.0029544,0.00239835,0.00194284,0.00157076,0.00126762,0.00102122,0.00082135,0.000659532,0.000528746,0.000423206,0.000338163,0.000269728,-0,-0,-0,-0,-0,-0,-7.17232,-0,-0,-6.36638,-0,-0,-5.5516,-0,-5.01434,-14.2648,-18.0231,-8.53876,-16.1917,-15.372,-29.2468,-31.3975,-23.3968,-16.0883,-24.916,-21.2305,-29.7296,-32.2817,-35.0176,-26.3062,-11.7929,-32.9231,-27.5063,-40.7804,-19.4046,-46.8522,-10.4193,-21.6733,-11.287,-23.5321,-8.17965,-8.5292,-13.336,-9.26246,-4.8216,-5.0159,-10.4274,-5.41457,-5.61825,-5.82446,-12.0659,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,3,1,0,1,2,4,3,3,4,2,2,4,4,7,8,7,13,8,10,4,13,9,9,7,9,10,10,8,3,5,2,9,6,2,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
-561.531,0.990884,0.038477,6,127,0,563.273,0.45684,-3.13003,-1.50589,-0.502024,4.29155,0.2753,-0.329154,4.32362,2.41993,0.000149186,0.000202095,0.000273845,0.000371195,0.000503353,0.000682844,0.000926623,0.00125738,0.00170477,0.00230588,0.00310416,0.00414626,0.00547755,0.00713777,0.00915749,0.011555,0.0143337,0.017479,0.0209558,0.0247076,0.0286568,0.0326346,0.0364965,0.0401017,0.0433149,0.0460106,0.0480788,0.0494302,0.0500024,0.0497667,0.048735,0.0469636,0.0445483,0.0416127,0.038293,0.0347264,0.0310438,0.0273644,0.0237924,0.0204137,0.0172942,0.0144782,0.0119885,0.00982894,0.00798734,0.00644034,0.00515763,0.00410587,0.00325165,0.00256346,0.00201284,0.00157489,0.00122832,0.000955259,0.00074095,0.000573316,0.000442583,0.000340899,0.000261999,0.00020091,0.000153708,-0,-0,-0,-0,-0,-0,-6.98396,-0,-0,-6.07229,-0,-0,-5.2071,-0,-4.69318,-13.3819,-16.9806,-8.09351,-15.4614,-14.8026,-28.4189,-30.8014,-23.1738,-16.0817,-25.1141,-21.5522,-30.3491,-33.0791,-35.9482,-27.0037,-12.0854,-33.6422,-28.0006,-41.3315,-19.5749,-47.0436,-10.4171,-21.5911,-11.2152,-23.3493,-8.11476,-8.47022,-13.2714,-9.24485,-4.8299,-5.04517,-10.5346,-5.49534,-5.72859,-5.9664,-12.4164,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,6,2,2,2,8,3,5,9,11,9,5,13,9,11,9,7,10,15,5,7,4,5,8,8,3,4,2,3,4,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
-561.884,0.999872,0.038477,7,127,0,563.723,-2.46927,-2.79197,-1.63799,-0.404377,0.817456,-0.710651,-2.18464,4.73438,2.62803,9.35969e-05,0.000130032,0.000180417,0.000249918,0.000345491,0.000476418,0.000654938,0.000896976,0.0012229,0.00165823,0.00223422,0.00298799,0.00396221,0.00520398,0.00676278,0.00868751,0.0110227,0.0138042,0.0170547,0.0207795,0.0249633,0.0294465,0.0340344,0.0385081,0.0426406,0.046215,0.0490436,0.0509857,0.0519593,0.0519465,0.0509908,0.0491876,0.0466711,0.0435982,0.0401335,0.0364367,0.0326532,0.028907,0.0252984,0.0219026,0.0187716,0.0159358,0.0134084,0.011188,0.00926249,0.00761249,0.00621378,0.00503978,0.00406331,0.00325787,0.00259858,0.00206272,0.00163,0.00128264,0.00100535,0.000785107,0.000610999,0.000473956,0.000366518,0.000282599,0.000217276,-0,-0,-0,-0,-0,-0,-7.33097,-0,-0,-6.402,-0,-0,-5.53095,-0,-4.99632,-14.2376,-18.0312,-8.56556,-16.2853,-15.4952,-29.5228,-31.7266,-23.6627,-16.2844,-25.2396,-21.5212,-30.1505,-32.7383,-35.4875,-26.6179,-11.9044,-33.1332,-27.5817,-40.7256,-19.2933,-46.3705,-10.2654,-21.262,-11.031,-22.9269,-7.95083,-8.27837,-12.9356,-8.98583,-4.68178,-4.87796,-10.162,-5.29039,-5.50576,-5.72668,-11.9056,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,1,2,6,4,5,4,5,8,4,7,8,10,9,9,15,13,7,10,8,7,5,8,8,2,8,4,1,1,3,1,2,0,0,1,3,1,0,1,1,1,0,0,0,0,0,0,0
-560.745,0.999959,0.038477,6,63,0,564.672,-1.13322,-2.64909,-1.63225,-0.288789,0.996553,-0.92896,-0.562855,4.58388,2.5968,0.000103968,0.000148217,0.000210487,0.000297581,0.000418535,0.000585163,0.000812622,0.00111996,0.00153055,0.00207233,0.00277769,0.00368294,0.00482726,0.00625102,0.0079936,0.0100907,0.0125714,0.0154553,0.0187494,0.0224462,0.0265221,0.0307882,0.0350435,0.0390855,0.0427219,0.045782,0.0481279,0.0496628,0.0503368,0.0501476,0.0491382,0.0473903,0.0450147,0.0421412,0.0389072,0.0354485,0.0318916,0.0283473,0.024908,0.0216462,0.0186142,0.0158463,0.0133603,0.0111607,0.00924117,0.00758729,0.00617924,0.00499379,0.00400616,0.00319139,0.00252542,0.0019858,0.00155211,0.00120624,0.000932391,0.000717036,0.000548758,0.000418051,0.000317095,0.000239528,0.000180223,-0,-0,-0,-0,-0,-0,-7.11524,-0,-0,-6.17908,-0,-0,-5.33348,-0,-4.82911,-13.7884,-17.5053,-8.33961,-15.9064,-15.1865,-29.0382,-31.3256,-23.4582,-16.21,-25.2243,-21.587,-30.3389,-33.0275,-35.8682,-26.9351,-12.0525,-33.5427,-27.9069,-41.1675,-19.4795,-46.7554,-10.3362,-21.3793,-11.0777,-22.9976,-7.96766,-8.28964,-12.9464,-8.99071,-4.68409,-4.88128,-10.1731,-5.29956,-5.51992,-5.7473,-11.9627,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,2,4,5,3,8,5,15,7,6,8,8,13,19,4,10,10,10,7,6,3,10,4,6,2,2,2,2,3,0,0,2,1,0,0,1,1,1,0,0,0,0,0,1,0,1
-562.628,0.99899,0.038477,6,63,0,565.377,-1.72899,-1.445,0.0925513,-0.540444,1.96015,-0.543659,-2.195,4.91919,2.66835,0.00010128,0.000135452,0.00018112,0.000242129,0.000323586,0.000432268,0.000577132,0.000769973,0.00102624,0.00136602,0.00181517,0.00240654,0.00318109,0.00418871,0.00548812,0.00714523,0.00922935,0.0118062,0.0149279,0.0186206,0.022871,0.0275862,0.0325965,0.0376598,0.0424835,0.0467613,0.0502159,0.0526367,0.0539035,0.0539938,0.0529737,0.050979,0.0481915,0.0448141,0.0410504,0.0370886,0.0330907,0.0291876,0.025478,0.02203,0.018885,0.0160623,0.0135642,0.0113801,0.00949108,0.00787266,0.00649775,0.00533849,0.00436766,0.00355957,0.00289063,0.00233965,0.00188787,0.00151897,0.00121888,0.000975608,0.000779017,0.00062061,0.000493309,0.000391256,0.000309628,-0,-0,-0,-0,-0,-0,-7.45744,-0,-0,-6.59585,-0,-0,-5.75053,-0,-5.20517,-14.8239,-18.7415,-8.87826,-16.8181,-15.934,-30.2231,-32.314,-23.9649,-16.3958,-25.2691,-21.4389,-29.9142,-32.3878,-35.0467,-26.27,-11.7518,-32.7397,-27.2932,-40.368,-19.1577,-46.1222,-10.2255,-21.2041,-11.0098,-22.8921,-7.93878,-8.26256,-12.901,-8.95177,-4.6574,-4.84436,-10.0726,-5.23281,-5.43353,-5.63812,-11.6926,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,3,4,1,1,4,7,7,7,7,9,18,10,10,14,7,10,7,9,10,9,8,5,2,3,3,4,3,0,3,2,1,0,0,0,2,2,0,0,0,0,0,2,0,0
-563.399,0.999615,0.038477,7,127,0,565.703,-2.37682,-3.60717,-2.93755,-0.351794,2.02725,-0.0409585,0.037416,4.73818,2.43848,5.79671e-05,8.23827e-05,0.000117063,0.000166297,0.000236129,0.000335032,0.00047478,0.000671517,0.00094694,0.0013294,0.00185454,0.00256513,0.00350972,0.00474009,0.00630781,0.00826012,0.0106356,0.0134598,0.0167418,0.0204711,0.0246169,0.0290322,0.033553,0.0380006,0.0421866,0.0459212,0.0490228,0.0513306,0.0527196,0.0531156,0.052508,0.0509524,0.0485628,0.0454939,0.0419209,0.0380223,0.0339665,0.0299038,0.0259611,0.0222386,0.018809,0.0157185,0.0129892,0.0106227,0.00860434,0.00690865,0.00550301,0.00435172,0.00341879,0.00266996,0.00207396,0.00160316,0.00123375,0.000945621,0.000722099,0.000549533,0.00041689,0.000315337,0.000237867,0.000178963,0.000134311,-0,-0,-0,-0,-0,-0,-7.65266,-0,-0,-6.62303,-0,-0,-5.65222,-0,-5.06597,-14.3889,-18.1742,-8.61609,-16.3594,-15.555,-29.6346,-31.8541,-23.7624,-16.3508,-25.3252,-21.5658,-30.1547,-32.6641,-35.3132,-26.4176,-11.7872,-32.7455,-27.2241,-40.1723,-19.0318,-45.7742,-10.1471,-21.0586,-10.9535,-22.8356,-7.94684,-8.30583,-13.0309,-9.08953,-4.75549,-4.97498,-10.4049,-5.43718,-5.67847,-5.92569,-12.3566,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,4,3,7,1,3,4,8,9,9,12,9,12,15,8,7,14,6,10,5,8,4,8,6,5,3,2,1,3,1,1,2,1,0,1,0,1,0,0,0,0,1,0,0,0
