# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 13:51:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2a091eb2.json
# init = /tmp/RtmpC8O1hA/init-b41c259ac3991_3.json
# random
#   seed = 752002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0061_rep007_accurate_weak/prior_sensitivity_obspair_FAST-202605291451-3-80a62c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0061_rep007_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605291451-3-2a815a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0706286
# Diagonal elements of inverse mass matrix:
# 0.121736, 0.099166, 0.147321, 0.057865, 0.110676, 0.119037, 0.28908
-541.298,0.994465,0.0706286,5,31,0,544.632,-3.06236,-2.1522,-0.184432,-0.431017,3.16213,-0.485551,0.263386,5.42381,2.49862,4.17652e-05,5.77557e-05,7.98475e-05,0.000110351,0.000152435,0.000210439,0.000290274,0.000399959,0.000550298,0.000755731,0.00103534,0.00141401,0.00192363,0.00260431,0.00350518,0.0046847,0.00620986,0.00815374,0.0105917,0.0135969,0.0172372,0.0215183,0.0263792,0.0316733,0.0371639,0.0425395,0.0474497,0.0515539,0.0545721,0.0563231,0.0567416,0.055874,0.0538581,0.0508944,0.0472166,0.0430647,0.0386644,0.0342132,0.029872,0.0257623,0.0219681,0.0185392,0.0154974,0.0128424,0.0105579,0.00861687,0.00698609,0.00562962,0.00451139,0.00359692,0.00285447,0.00225559,0.00177534,0.00139227,0.00108818,0.000847848,0.000658661,0.000510278,0.000394285,0.00030389,0.000233642,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.36345,-10.1632,-4.80928,-13.6431,-21.4896,-0,-26.872,-18.1759,-20.7137,-23.0469,-44.2025,-24.3847,-32.6164,-23.2659,-34.5198,-37.3002,-31.7312,-35.0568,-29.78,-21.3711,-31.4505,-29.2755,-13.5006,-7.02167,-10.9765,-19.0908,-15.9515,-16.6683,-17.42,-9.10176,-9.50807,-19.8553,-10.3594,-0,-5.62768,-0,-0,-6.33376,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,5,8,6,4,8,10,10,16,14,12,8,10,7,9,1,10,10,9,4,9,5,1,5,2,1,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0
-543.52,0.975722,0.0706286,6,63,0,548.83,-2.98474,-1.60087,0.071489,-0.721881,2.36882,-0.116344,0.323848,5.25443,2.92723,0.000120925,0.000154313,0.000196965,0.000251481,0.000321205,0.000410452,0.0005248,0.000671482,0.000859909,0.00110236,0.00141493,0.00181872,0.00234144,0.00301937,0.00389979,0.00504363,0.00652863,0.00845264,0.010936,0.0141248,0.0182264,0.0233087,0.0292712,0.0357765,0.0422797,0.0481521,0.0528407,0.0559864,0.0574621,0.0573415,0.0558363,0.0532305,0.0498271,0.0459125,0.0417346,0.0374945,0.0333448,0.029394,0.0257129,0.0223418,0.0192981,0.0165819,0.0141817,0.0120784,0.0102485,0.00866638,0.0073059,0.00614164,0.00514955,0.0043074,0.003595,0.00299422,0.00248901,0.00206525,0.00171064,0.0014145,0.00116766,0.00096225,0.000791557,0.000649885,0.00053242,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.28963,-10.0631,-4.77328,-13.5471,-21.2991,-0,-26.3125,-17.6558,-19.9828,-22.1441,-42.4675,-23.5238,-31.7091,-22.853,-34.3048,-37.5093,-32.2644,-35.9903,-30.8102,-22.235,-32.8356,-30.6077,-14.1079,-7.32153,-11.4039,-19.7387,-16.3978,-17.0232,-17.6654,-9.16125,-9.49661,-19.6763,-10.1853,-0,-5.44742,-0,-0,-5.99587,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,3,3,1,4,4,3,4,8,7,7,10,14,11,9,13,10,11,9,10,7,6,8,5,4,8,3,0,0,1,2,0,2,2,1,2,3,0,0,0,0,0,1,0,0,0
-539.16,0.964137,0.0706286,5,31,0,545.824,-2.07161,-2.4689,-1.23501,-0.210516,3.56561,-0.343293,-2.25849,5.19993,2.27643,2.41832e-05,3.6169e-05,5.40405e-05,8.06295e-05,0.00012007,0.000178339,0.000263963,0.000388907,0.00056961,0.000828067,0.00119282,0.00169958,0.00239122,0.00331688,0.00452987,0.00608442,0.00803118,0.0104118,0.0132528,0.0165604,0.0203147,0.0244504,0.0288659,0.0334248,0.0379602,0.0422824,0.0461901,0.0494851,0.051989,0.0535615,0.0541159,0.0536299,0.0521473,0.0497709,0.0466487,0.0429568,0.0388829,0.0346115,0.0303123,0.0261312,0.0221853,0.0185602,0.0153102,0.0124611,0.0100144,0.00795285,0.00624582,0.00485482,0.00373779,0.00285265,0.00215967,0.00162306,0.00121162,0.000898951,0.000663254,0.000486865,0.000355723,0.000258797,0.000187542,0.000135413,9.74439e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.10202,-9.64885,-4.56482,-12.9706,-20.5037,-0,-25.9778,-17.7255,-20.3907,-22.8985,-44.2874,-24.5999,-33.0669,-23.6538,-35.1231,-37.9162,-32.1821,-35.4442,-30.0032,-21.4558,-31.4756,-29.2248,-13.4543,-6.99241,-10.9339,-19.0416,-15.9469,-16.7169,-17.5406,-9.20746,-9.66845,-20.3034,-10.6556,-0,-5.85951,-0,-0,-6.7158,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,1,4,4,4,5,7,14,10,13,8,6,12,18,9,12,9,9,12,5,3,2,5,3,6,2,2,1,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0
-539.245,0.999097,0.0706286,6,63,0,540.999,-2.49404,-1.63864,-1.34787,-0.324695,4.39121,0.150252,-0.00288232,5.5714,2.31428,1.71681e-05,2.46653e-05,3.54494e-05,5.09728e-05,7.33382e-05,0.000105593,0.000152153,0.000219396,0.000316453,0.000456205,0.0006564,0.000940816,0.00134037,0.00189414,0.00265011,0.00366552,0.00500646,0.00674663,0.00896603,0.0117517,0.015208,0.0193047,0.0239782,0.0291209,0.0345763,0.0401357,0.0455382,0.0504749,0.0546054,0.0575939,0.0591693,0.0591971,0.0577236,0.0549576,0.0512019,0.0467777,0.0419776,0.0370465,0.0321806,0.0275314,0.023211,0.0192958,0.0158293,0.0128257,0.0102746,0.00814674,0.00640052,0.00498781,0.00385908,0.00296693,0.00226831,0.00172563,0.001307,0.00098602,0.000741219,0.000555391,0.000414916,0.00030912,0.000229708,0.00017028,0.000125928,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.60878,-10.5941,-4.99871,-14.1429,-22.2188,-0,-27.6318,-18.6531,-21.2178,-23.5521,-45.0168,-24.7136,-32.8491,-23.261,-34.2521,-36.7556,-31.0957,-34.2251,-29.0119,-20.8039,-30.6235,-28.5356,-13.1823,-6.87278,-10.7773,-18.8156,-15.7915,-16.5836,-17.4252,-9.15617,-9.62027,-20.2055,-10.6015,-0,-5.82023,-0,-0,-6.64002,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,4,1,1,5,4,4,4,10,10,5,9,13,10,8,10,10,11,12,13,9,7,7,6,5,2,2,2,3,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-540.219,0.992139,0.0706286,5,31,0,543.141,-2.03936,-1.13242,-1.30921,-0.602375,4.17407,0.227044,0.374714,5.58139,2.71285,4.99083e-05,6.57381e-05,8.6636e-05,0.000114259,0.000150829,0.000199345,0.000263874,0.000349966,0.000465237,0.000620144,0.00082898,0.00111101,0.00149165,0.00200342,0.00268658,0.0035896,0.00477062,0.00630387,0.00829954,0.0109518,0.0149377,0.0196355,0.0249249,0.0306683,0.0366738,0.0426839,0.0483682,0.0533251,0.0571117,0.0593311,0.0597676,0.0584832,0.0557829,0.0520769,0.0477541,0.0431263,0.0384261,0.0338231,0.0294393,0.0253602,0.0216405,0.0183088,0.0153716,0.0128182,0.0106254,0.00876178,0.0071921,0.00588003,0.00479038,0.00389045,0.00315074,0.00254523,0.00205135,0.0016498,0.00132423,0.00106092,0.000848441,0.00067732,0.000539745,0.000429289,0.000340657,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.62971,-10.6906,-5.06659,-14.3747,-22.5713,-0,-27.5129,-18.4594,-20.9071,-23.1398,-44.1551,-24.2313,-32.2448,-22.902,-33.8955,-36.6248,-31.2292,-34.6355,-29.5503,-21.2918,-31.4362,-29.3312,-13.5465,-7.05085,-11.0237,-19.1659,-16.0015,-16.7009,-17.4275,-9.08902,-9.47471,-19.7391,-10.2724,-0,-5.54923,-0,-0,-6.18926,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,8,0,2,4,8,10,10,11,20,9,13,11,8,13,3,6,10,4,10,6,3,6,5,2,0,2,1,1,0,2,1,2,1,2,0,1,0,0,0,0,0
-538.312,0.9997,0.0706286,5,31,0,540.85,-1.30084,-1.98218,-1.48498,-0.244827,4.63458,0.0208171,-0.844398,5.14545,2.2479,2.34493e-05,3.47116e-05,5.13931e-05,7.61044e-05,0.000112703,0.000166864,0.000246852,0.00036452,0.000536467,0.0007852,0.00114007,0.00163775,0.002322,0.00324264,0.00445357,0.00600976,0.00796327,0.0103584,0.0132261,0.0165791,0.0204071,0.0246304,0.0291357,0.0337788,0.03839,0.0427811,0.0467553,0.0501179,0.0526887,0.0543169,0.0548976,0.0543891,0.0528245,0.0503116,0.0470169,0.0431405,0.0388899,0.0344615,0.0300298,0.0257412,0.0217117,0.0180262,0.0147387,0.0118747,0.0094347,0.00739895,0.00573315,0.00439409,0.00333484,0.00250887,0.00187288,0.00138859,0.00102333,0.000750156,0.000547322,0.000397668,0.000287856,0.000207668,0.000149361,0.000107123,7.66284e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.11437,-9.66583,-4.56996,-12.9767,-20.498,-0,-25.9264,-17.679,-20.3275,-22.8197,-44.1232,-24.5026,-32.9271,-23.5468,-34.955,-37.7297,-32.0275,-35.2894,-29.8952,-21.4007,-31.4329,-29.2232,-13.4716,-7.01113,-10.979,-19.1495,-16.0637,-16.8691,-17.7334,-9.32672,-9.81283,-20.646,-10.855,-0,-5.98792,-0,-0,-6.88469,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,2,3,5,9,8,7,10,8,10,6,17,11,11,7,10,10,12,11,5,2,7,8,4,0,3,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
