# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 14:02:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27ad26935.json
# init = /tmp/RtmpC8O1hA/init-b41c254a695b0_2.json
# random
#   seed = 752003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0062_rep007_accurate_moderate/prior_sensitivity_obspair_FAST-202605291502-2-10394f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0062_rep007_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605291502-2-82c689.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.106877
# Diagonal elements of inverse mass matrix:
# 0.0827793, 0.0678366, 0.0437971, 0.0115028, 0.0456971, 0.037616, 0.0423699
-539.23,0.998766,0.106877,5,31,0,540.262,-2.32533,-2.35433,-1.1125,-0.348305,3.66182,-0.219444,-0.512312,5.34979,2.37489,3.30633e-05,4.7051e-05,6.69485e-05,9.52418e-05,0.000135449,0.000192531,0.000273448,0.000387892,0.000549206,0.000775485,0.00109076,0.00152614,0.00212056,0.00292095,0.00398134,0.00536064,0.00711884,0.00931175,0.0119843,0.0151634,0.0188505,0.0229964,0.0275092,0.0322525,0.037049,0.041688,0.0459386,0.0495683,0.0523653,0.054163,0.0548611,0.0544378,0.0529491,0.0505174,0.0473123,0.0435302,0.0393748,0.0350416,0.030706,0.0265141,0.0225791,0.0189797,0.015762,0.0129439,0.0105206,0.00847084,0.00676213,0.00535621,0.00421276,0.00329234,0.0025582,0.00197739,0.00152122,0.00116524,0.000889063,0.000675902,0.000512146,0.000386873,0.000291406,0.000218905,0.000164019,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.22867,-9.89002,-4.67648,-13.2725,-20.9444,-0,-26.4069,-17.9662,-20.605,-23.0686,-44.4856,-24.6436,-33.0484,-23.5961,-34.9891,-37.7384,-32.0177,-35.2611,-29.8544,-21.3569,-31.343,-29.1117,-13.4049,-6.9666,-10.8902,-18.9536,-15.8575,-16.6006,-17.3885,-9.10883,-9.54225,-19.9857,-10.459,-0,-5.71616,-0,-0,-6.48825,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,3,2,0,4,6,6,2,4,6,11,6,8,8,10,7,13,12,9,6,13,8,10,3,6,10,5,2,3,4,0,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0
-537.953,0.985566,0.106877,5,31,0,541.657,-2.6301,-1.6104,-1.16366,-0.558262,3.41899,0.334964,-1.15976,5.34787,2.54972,3.89306e-05,5.19041e-05,6.92358e-05,9.24172e-05,0.000123471,0.000165156,0.000221265,0.00029706,0.000399921,0.00054032,0.000733281,0.00100045,0.00137284,0.0018939,0.0026223,0.00363359,0.00501991,0.00688664,0.00934484,0.012499,0.0164302,0.0211419,0.0265618,0.0325269,0.0387776,0.0449632,0.0506622,0.055425,0.0588447,0.0606447,0.0607371,0.0592195,0.056327,0.0523736,0.0477023,0.0426459,0.0374977,0.0324932,0.0278024,0.0235317,0.0197332,0.0164179,0.0135679,0.011148,0.00911394,0.00741854,0.00601529,0.00486075,0.00391573,0.00314565,0.00252061,0.00201505,0.00160743,0.00127969,0.00101686,0.000806548,0.00063862,0.000504781,0.000398291,0.00031369,0.00024657,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.61753,-10.5887,-4.97817,-14.0188,-21.9105,-0,-26.9955,-18.1414,-20.5541,-22.7494,-43.4268,-23.8606,-31.82,-22.6628,-33.6327,-36.4156,-31.0916,-34.519,-29.4935,-21.2994,-31.5482,-29.5513,-13.7069,-7.16526,-11.2482,-19.6273,-16.4375,-17.2002,-17.986,-9.3959,-9.80755,-20.4538,-10.6531,-0,-5.76173,-0,-0,-6.43312,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,1,5,3,2,9,6,4,5,7,9,11,16,11,12,16,17,4,10,9,6,7,1,5,1,6,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-538.599,0.996558,0.106877,4,15,0,539.146,-3.06968,-1.52677,-1.21144,-0.562293,3.55555,0.243332,-1.11562,5.64563,2.62524,3.45615e-05,4.60385e-05,6.13629e-05,8.18522e-05,0.000109297,0.000146144,0.000195769,0.00026287,0.000354058,0.000478738,0.000650397,0.0008884,0.00122027,0.00168422,0.0023315,0.00322801,0.00445444,0.00610429,0.00827866,0.0110774,0.0145868,0.0188302,0.0237718,0.0293007,0.0352203,0.0412464,0.0470164,0.0521171,0.0561381,0.0587481,0.0597662,0.0591898,0.0571707,0.0539646,0.0498791,0.0452319,0.0403188,0.0353923,0.03065,0.026231,0.0222201,0.0186568,0.0155462,0.0128694,0.0105931,0.00867621,0.00707526,0.00574745,0.00465273,0.00375482,0.00302166,0.0024254,0.00194219,0.00155183,0.00123738,0.00098472,0.000782178,0.000620147,0.000490764,0.000387624,0.000305527,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.73589,-10.8277,-5.09876,-14.3822,-22.5142,-0,-27.8061,-18.6963,-21.1809,-23.4229,-44.6347,-24.4581,-32.4969,-23.0395,-34.014,-36.6251,-31.0971,-34.3406,-29.1943,-20.9871,-30.9595,-28.8984,-13.365,-6.97024,-10.9224,-19.0338,-15.9262,-16.6558,-17.4116,-9.09511,-9.49434,-19.8046,-10.318,-0,-5.58471,-0,-0,-6.24394,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,6,5,3,7,7,6,7,10,16,7,12,16,8,12,11,14,9,6,6,4,5,3,1,4,0,1,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0
-541.255,0.988879,0.106877,5,31,0,543.063,-1.38265,-2.00954,-1.56202,-0.330394,3.45855,-0.500178,-0.829765,5.15774,2.53296,6.44603e-05,9.18266e-05,0.000130587,0.000185301,0.000262203,0.000369714,0.000519033,0.000724774,0.0010056,0.00138472,0.00189023,0.00255497,0.00341598,0.00451329,0.00588813,0.00758049,0.00962624,0.0120539,0.0148816,0.0181139,0.0217396,0.0256654,0.0297715,0.0339157,0.0379389,0.0416725,0.0449491,0.0476139,0.0495371,0.0506256,0.0508329,0.0501634,0.0486716,0.0464554,0.0436445,0.0403861,0.036832,0.0331272,0.0294015,0.0257646,0.0223036,0.0190829,0.0161454,0.0135144,0.0111972,0.0091876,0.00746957,0.00602024,0.00481263,0.0038179,0.00300718,0.0023529,0.00182962,0.00141458,0.00108791,0.000832584,0.000634296,0.000481205,0.00036364,0.000273797,0.000205445,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-4.88218,-9.28653,-4.41837,-12.6229,-20.0554,-0,-25.6383,-17.571,-20.3033,-22.9025,-44.4908,-24.8178,-33.4909,-24.0403,-35.7996,-38.7297,-32.9172,-36.2719,-30.6926,-21.9218,-32.0927,-29.7125,-13.6296,-7.05342,-10.9763,-19.015,-15.8359,-16.5045,-17.216,-8.98418,-9.3798,-19.5877,-10.2253,-0,-5.56806,-0,-0,-6.30365,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,7,4,3,3,5,10,4,5,11,12,13,16,6,12,13,6,12,8,8,9,5,3,1,3,2,4,2,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0
-539.556,0.96595,0.106877,4,15,0,544.459,-2.42559,-1.3178,-1.7166,-0.321946,3.5913,-0.335328,-0.944074,5.66258,2.53823,2.50728e-05,3.5978e-05,5.16003e-05,7.39539e-05,0.000105888,0.000151409,0.000216106,0.000307702,0.000436727,0.000617322,0.000868133,0.00121323,0.00168297,0.00231469,0.00315309,0.00425019,0.00566466,0.00746058,0.00970543,0.0124673,0.0158117,0.0197033,0.0240738,0.0288165,0.0337837,0.0387858,0.0435966,0.0479636,0.0516271,0.0543464,0.055932,0.056275,0.0553671,0.0533025,0.0502604,0.0464737,0.0421953,0.0376675,0.0331026,0.0286713,0.0245007,0.020676,0.0172459,0.0142293,0.0116222,0.00940393,0.00754286,0.00600137,0.00473932,0.00371695,0.00289665,0.00224422,0.00172942,0.00132613,0.00101226,0.000769444,0.000582605,0.000439545,0.000330495,0.000247707,0.000185089,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.46079,-10.347,-4.89812,-13.9052,-21.9232,-0,-27.4888,-18.6332,-21.2808,-23.7144,-45.4958,-25.0622,-33.4104,-23.7097,-34.9485,-37.487,-31.6526,-34.7252,-29.3177,-20.9338,-30.6887,-28.489,-13.1158,-6.81629,-10.6556,-18.5453,-15.5151,-16.2407,-17.0098,-8.90967,-9.33326,-19.5486,-10.2315,-0,-5.59485,-0,-0,-6.35997,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,6,2,3,3,7,4,11,9,8,7,9,6,14,11,11,8,7,11,11,13,8,5,6,5,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
-538.924,0.999327,0.106877,5,31,0,541.655,-1.92715,-2.02496,-1.5637,-0.51792,4.0138,0.236956,-1.38144,5.43292,2.51787,6.04807e-05,8.15817e-05,0.000110097,0.00014867,0.000200921,0.000271815,0.000368193,0.000499497,0.000678732,0.000923652,0.00125802,0.00171266,0.00232595,0.00314348,0.00421684,0.00560134,0.00735246,0.00952111,0.0121476,0.0152553,0.0188441,0.0228579,0.0272034,0.0317504,0.0363364,0.0407722,0.0448514,0.0483614,0.0510997,0.0528953,0.0536359,0.0532901,0.0519121,0.049625,0.046596,0.0430128,0.0390663,0.0349388,0.0307947,0.0267737,0.0229852,0.0195067,0.0163839,0.0136352,0.0112562,0.00922685,0.00751681,0.00609074,0.00491188,0.00394465,0.00315611,0.00251679,0.00200095,0.00158647,0.00125468,0.00098997,0.000779397,0.000612339,0.000480126,0.000375722,0.000293445,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.18475,-9.82544,-4.65424,-13.2319,-20.9141,-0,-26.4492,-18.0221,-20.6991,-23.2045,-44.7966,-24.8352,-33.3196,-23.7918,-35.2733,-38.032,-32.252,-35.4985,-30.0326,-21.4637,-31.4626,-29.1825,-13.4166,-6.96082,-10.861,-18.8645,-15.748,-16.4458,-17.1804,-8.97367,-9.37127,-19.5625,-10.202,-0,-5.5354,-0,-0,-6.21414,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,3,4,7,8,4,9,9,9,14,7,10,12,16,11,11,6,6,8,7,4,3,4,3,4,1,0,5,2,0,1,0,0,0,0,1,1,1,0,0,0,0
