# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 14:55:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25c2890b1.json
# init = /tmp/RtmpC8O1hA/init-b41c23b1c5280_1.json
# random
#   seed = 752009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0068_rep007_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605291555-1-1250eb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0068_rep007_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605291555-1-22f872.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0850888
# Diagonal elements of inverse mass matrix:
# 0.107528, 0.0736733, 0.0320844, 0.0148508, 0.0294519, 0.0675986, 0.0719379
-537.918,0.994038,0.0850888,4,31,0,538.945,-1.50314,-1.87535,-0.852785,-0.733629,4.17815,0.639148,-0.638433,5.28706,2.53613,5.77913e-05,7.37256e-05,9.41434e-05,0.000120364,0.000154132,0.000197782,0.000254478,0.00032859,0.000426277,0.000556455,0.000732373,0.000974103,0.00131202,0.00179088,0.00247362,0.00344413,0.00480753,0.00668625,0.00920981,0.0124968,0.0166301,0.021603,0.0273129,0.0335523,0.0400157,0.0463198,0.052035,0.0567259,0.0600052,0.0616057,0.0614478,0.0596455,0.0564516,0.052195,0.0472335,0.0419174,0.03656,0.0314142,0.0266587,0.0223976,0.0186703,0.015469,0.0127567,0.0104816,0.0085875,0.00701936,0.00572665,0.00466454,0.00379423,0.00308263,0.00250185,0.00202855,0.00164333,0.00133013,0.00107569,0.000869124,0.000701492,0.000565483,0.000455138,0.000365607,0.000292957,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.67108,-10.6751,-5.0077,-14.0625,-21.9114,-0,-26.8445,-18.002,-20.3679,-22.5294,-43.0106,-23.6467,-31.5648,-22.5066,-33.444,-36.2644,-31.0127,-34.4925,-29.5277,-21.3686,-31.7205,-29.7792,-13.842,-7.24928,-11.3964,-19.9041,-16.6757,-17.4468,-18.2325,-9.5149,-9.91817,-20.6505,-10.7355,-0,-5.78197,-0,-0,-6.41103,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,4,1,3,9,10,7,6,9,11,12,9,13,13,12,3,10,14,8,10,5,5,6,3,3,1,2,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0
-538.26,0.993045,0.0850888,4,31,0,543.383,-1.79109,-1.88566,-0.840494,-0.662637,4.25434,0.550173,-0.670766,5.40448,2.46399,3.96313e-05,5.1429e-05,6.67958e-05,8.68512e-05,0.000113094,0.000147552,0.000193004,0.000253322,0.000334015,0.000443106,0.000592569,0.000800543,0.00109443,0.00151464,0.00211846,0.00298331,0.00420827,0.00591197,0.00822467,0.0112727,0.0151553,0.019898,0.0254378,0.0316067,0.038132,0.0446498,0.0507327,0.0559283,0.0598121,0.0620584,0.062514,0.0612259,0.0584044,0.054362,0.0494602,0.0440677,0.0385265,0.0331239,0.0280745,0.0235143,0.0195074,0.0160615,0.0131462,0.0107103,0.00869381,0.00703616,0.00568084,0.00457735,0.00368188,0.0029572,0.00237203,0.00190042,0.00152094,0.001216,0.000971242,0.00077498,0.000617726,0.000491803,0.000391014,0.00031037,0.000245864,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.81472,-10.9414,-5.13078,-14.4019,-22.4269,-0,-27.4199,-18.3576,-20.7263,-22.8669,-43.5247,-23.8495,-31.7205,-22.5324,-33.3561,-36.0407,-30.725,-34.0844,-29.1209,-21.0461,-31.2203,-29.3077,-13.63,-7.14579,-11.2504,-19.6848,-16.5253,-17.3265,-18.1462,-9.49029,-9.91339,-20.6826,-10.7733,-0,-5.82351,-0,-0,-6.48843,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,3,1,2,7,2,7,6,14,8,16,4,9,10,13,11,16,10,10,10,2,5,5,3,4,4,4,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
-543.619,0.99094,0.0850888,5,31,0,544.768,-2.01021,-1.98503,-1.40971,-0.471356,3.96612,0.119526,-1.4259,5.4193,2.45579,4.59817e-05,6.2906e-05,8.60984e-05,0.000117911,0.000161601,0.000221693,0.000304483,0.000418749,0.000576687,0.000795105,0.00109676,0.00151164,0.00207782,0.00284166,0.00385696,0.00518291,0.00688064,0.00900817,0.0116141,0.01473,0.0183638,0.0224681,0.0269539,0.0316899,0.0365047,0.0411937,0.0455293,0.0492752,0.0522064,0.0541352,0.0549392,0.0545837,0.053125,0.0506949,0.0474751,0.0436719,0.0394962,0.0351484,0.0308068,0.0266199,0.0227012,0.0191279,0.015943,0.0131604,0.0107707,0.00874872,0.00705946,0.0056634,0.00452027,0.00359161,0.00284231,0.00224127,0.00176162,0.00138056,0.00107902,0.000841256,0.000654364,0.000507881,0.000393365,0.00030405,0.00023454,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.26239,-9.95809,-4.70962,-13.3666,-21.0893,-0,-26.5696,-18.0681,-20.7105,-23.1722,-44.6526,-24.7152,-33.1137,-23.6204,-34.9953,-37.7199,-31.9882,-35.2213,-29.8193,-21.3329,-31.3105,-29.084,-13.3927,-6.96004,-10.8783,-18.9267,-15.8264,-16.5549,-17.3222,-9.06185,-9.4777,-19.8135,-10.3475,-0,-5.62915,-0,-0,-6.34152,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,1,1,1,2,3,9,7,6,6,6,6,11,10,16,12,11,13,10,12,9,5,4,6,12,3,0,2,4,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0
-544.207,0.999775,0.0850888,6,63,0,548.472,-1.35585,-2.56332,-1.08633,-0.216448,5.48885,0.625711,0.167894,5.48344,2.09496,1.188e-05,1.77913e-05,2.66591e-05,3.99804e-05,6.00306e-05,9.02872e-05,0.000136087,0.000205596,0.000311082,0.000470287,0.000707681,0.0010556,0.00155515,0.00225667,0.00321916,0.00450833,0.00619251,0.00833617,0.0109906,0.0141833,0.0179093,0.0220652,0.0265266,0.0311464,0.035766,0.0402243,0.0443621,0.0480223,0.0510505,0.0532963,0.0546194,0.0549067,0.0541065,0.0522689,0.0495441,0.0461305,0.0422257,0.0380084,0.0336365,0.02925,0.0249729,0.0209154,0.0171723,0.0138192,0.0109065,0.00845362,0.00644817,0.00485144,0.00360848,0.00265863,0.00194347,0.00141139,0.0010193,0.000732641,0.000524424,0.000374019,0.000265888,0.000188468,0.000133236,9.39596e-05,6.6108e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.40183,-10.1688,-4.78715,-13.5321,-21.2784,-0,-26.6963,-18.148,-20.8143,-23.3153,-44.986,-24.923,-33.397,-23.7995,-35.1827,-37.7958,-31.9233,-35.0016,-29.5135,-21.0342,-30.7628,-28.4825,-13.0798,-6.78428,-10.5956,-18.4498,-15.4691,-16.2578,-17.1268,-9.03679,-9.54632,-20.1758,-10.657,-0,-5.92994,-0,-0,-6.88864,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,5,1,5,7,7,10,6,9,4,11,13,17,14,14,9,7,9,7,7,5,6,3,2,2,3,2,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
-543.947,0.99286,0.0850888,5,31,0,547.757,-1.03495,-2.56038,-1.06653,-0.235559,5.43109,0.686354,0.120787,5.32295,2.0914,1.39609e-05,2.07504e-05,3.08603e-05,4.59365e-05,6.84665e-05,0.000102235,0.000153043,0.000229793,0.000345971,0.000521238,0.000782729,0.00116596,0.00171534,0.00248408,0.00353309,0.00492853,0.00673753,0.00902146,0.0118266,0.0151728,0.019045,0.0233284,0.0278893,0.0325725,0.0372131,0.0416446,0.0457032,0.0492285,0.0520655,0.0540667,0.0550995,0.0550643,0.0539319,0.0517796,0.048778,0.0451328,0.041043,0.0366878,0.0322258,0.0277977,0.0235281,0.0195257,0.015881,0.0126621,0.00990739,0.00762161,0.00577813,0.00432741,0.00320859,0.00235954,0.0017234,0.00125162,0.000904592,0.000651053,0.000466864,0.000333701,0.000237827,0.000169052,0.000119874,8.48084e-05,5.98696e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.31271,-10.0001,-4.70815,-13.3122,-20.9412,-0,-26.3066,-17.8976,-20.5457,-23.0377,-44.5002,-24.6847,-33.1241,-23.642,-35.0104,-37.682,-31.8918,-35.0404,-29.6076,-21.1433,-30.9815,-28.7382,-13.2212,-6.86998,-10.7484,-18.7478,-15.7441,-16.5705,-17.4766,-9.22895,-9.75353,-20.6147,-10.8856,-0,-6.04929,-0,-0,-7.00803,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,3,4,7,5,6,7,14,7,8,4,6,10,11,12,8,15,5,10,9,8,10,9,2,3,3,2,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
-542.062,0.999256,0.0850888,5,63,0,546.136,-2.22877,-3.37411,-1.19298,-0.252843,5.02431,0.594212,-0.397597,5.60201,2.07335,1.45886e-05,2.15193e-05,3.17488e-05,4.68539e-05,6.91723e-05,0.000102174,0.000151015,0.000223333,0.000330323,0.000487994,0.000718386,0.0010506,0.00152164,0.00217698,0.00307046,0.00426309,0.00581991,0.00780425,0.0102689,0.0132451,0.0167315,0.020684,0.0250167,0.029608,0.034308,0.0389469,0.0433416,0.0473021,0.0506393,0.0531766,0.0547645,0.0553007,0.0547508,0.0531583,0.0506338,0.0473326,0.0434345,0.0391285,0.0346014,0.0300299,0.0255746,0.0213741,0.0175387,0.0141441,0.011227,0.00878693,0.00679377,0.00519813,0.00394199,0.00296671,0.00221813,0.00164902,0.00121981,0.000898338,0.00065898,0.000481683,0.000350954,0.000254952,0.000184709,0.000133481,9.62322e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.45776,-10.2929,-4.85309,-13.7359,-21.6206,-0,-27.1488,-18.4411,-21.1183,-23.6066,-45.4378,-25.1091,-33.5632,-23.8642,-35.2096,-37.7613,-31.8447,-34.8596,-29.3448,-20.882,-30.5056,-28.2285,-12.9636,-6.72772,-10.5167,-18.3308,-15.3823,-16.1734,-17.0338,-8.97887,-9.46898,-19.967,-10.5189,-0,-5.8203,-0,-0,-6.70906,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,3,3,3,6,4,2,6,4,7,12,14,6,12,12,10,11,10,10,8,12,4,9,7,5,3,4,2,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
