# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 15:03:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24a095b3d.json
# init = /tmp/RtmpC8O1hA/init-b41c24901163d_2.json
# random
#   seed = 752010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0069_rep007_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605291603-2-7ff755.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0069_rep007_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605291603-2-2f8e7b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.17728
# Diagonal elements of inverse mass matrix:
# 0.0539054, 0.0463305, 0.00739191, 0.00729443, 0.00669252, 0.0087761, 0.00994998
-544.721,0.984249,0.17728,4,31,0,550.58,-1.51108,-1.38703,-0.926946,-0.942477,4.36789,0.762536,-1.01985,5.79868,2.92028,2.8868e-05,3.54577e-05,4.36589e-05,5.39217e-05,6.68528e-05,8.32871e-05,0.000104403,0.000131917,0.000168424,0.000218017,0.000287461,0.0003883,0.000540235,0.000775594,0.00114437,0.00171925,0.00259959,0.00391291,0.00581156,0.00846186,0.0120238,0.0165772,0.0221137,0.0285076,0.0355005,0.0427043,0.0496222,0.0556896,0.0603399,0.0631148,0.0638035,0.0624985,0.0595121,0.0552617,0.0501907,0.0447174,0.0391993,0.0339107,0.0290344,0.0246678,0.0208408,0.0175373,0.0147155,0.0123222,0.0103025,0.00860399,0.00717914,0.00598606,0.00498844,0.00415516,0.0034597,0.00287964,0.00239601,0.00199285,0.00165672,0.00137632,0.00114214,0.000946247,0.000782024,0.000643992,0.000527655,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.36587,-11.9048,-5.54347,-15.4437,-23.8609,-0,-28.6981,-19.0578,-21.3455,-23.3675,-44.1484,-24.0265,-31.7676,-22.4621,-33.1536,-35.7753,-30.4987,-33.8589,-28.9568,-20.9435,-31.0739,-29.1519,-13.5361,-7.07855,-11.1068,-19.3542,-16.1737,-16.8754,-17.5854,-9.15073,-9.51106,-19.7463,-10.2366,-0,-5.48341,-0,-0,-6.03395,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,1,3,5,4,7,13,12,12,9,15,16,17,12,10,5,9,3,12,10,1,1,3,1,0,2,1,2,0,0,0,1,3,0,0,1,0,1,0,1,0
-543.258,0.916169,0.17728,4,15,0,550.891,-0.680173,-2.08781,-1.07801,-0.818538,4.29974,0.373647,-0.583163,5.154,2.73486,0.000168852,0.000211406,0.000264968,0.000332549,0.000418079,0.000526743,0.000665464,0.000843611,0.00107403,0.00137451,0.00176964,0.00229282,0.00298764,0.00390789,0.00511555,0.00667688,0.00865657,0.0111104,0.0140766,0.0175676,0.0215622,0.0259513,0.030585,0.0352781,0.0398204,0.0439886,0.0475618,0.0503378,0.0521531,0.0529054,0.052573,0.0512188,0.0489743,0.0460135,0.0425292,0.0387151,0.034753,0.0308023,0.0269929,0.0234215,0.0201511,0.0172143,0.0146186,0.0123539,0.0103982,0.00872297,0.00729732,0.00609033,0.00507274,0.00421775,0.0035014,0.0029026,0.00240302,0.00198688,0.00164066,0.00135291,0.00111392,0.000915554,0.000750974,0.000614481,0.000501335,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.0091,-9.49887,-4.49988,-12.7897,-20.2085,-0,-25.5607,-17.4362,-20.067,-22.5636,-43.7335,-24.3658,-32.879,-23.6286,-35.271,-38.2922,-32.6881,-36.1975,-30.7882,-22.103,-32.5152,-30.2354,-13.9207,-7.22436,-11.2623,-19.5225,-16.2481,-16.9018,-17.5751,-9.13225,-9.48359,-19.681,-10.2021,-0,-5.46845,-0,-0,-6.03103,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,3,2,3,5,5,4,9,9,10,8,13,9,18,7,12,6,6,7,8,7,10,6,6,4,1,2,3,1,3,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
-541.7,0.995458,0.17728,4,31,0,546.335,-1.05718,-1.20736,-0.843883,-0.957058,4.14624,0.338292,-0.671539,5.50965,2.95827,3.80789e-05,4.66426e-05,5.72715e-05,7.05358e-05,8.72009e-05,0.000108316,0.000135356,0.000170447,0.000216767,0.000279227,0.000365693,0.000489137,0.000671193,0.000947509,0.00137466,0.00203759,0.00305559,0.00458409,0.00680928,0.00993324,0.0141492,0.0194711,0.0257931,0.0328691,0.04031,0.0476034,0.0541587,0.0593833,0.0627878,0.0641003,0.0633316,0.0607462,0.0567649,0.0518593,0.0464748,0.0409845,0.0356699,0.0307195,0.0262398,0.0222734,0.0188179,0.0158431,0.0133042,0.0111508,0.00933265,0.00780247,0.00651776,0.00544103,0.00453981,0.00378624,0.00315661,0.00263082,0.00219188,0.00182548,0.00151953,0.00126381,0.00104972,0.000869947,0.000718388,0.000589946,0.000480454,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.19599,-11.5816,-5.38516,-14.9684,-23.0593,-0,-27.5718,-18.2882,-20.4913,-22.4781,-42.6279,-23.3267,-31.0612,-22.144,-32.9677,-35.8718,-30.8116,-34.4261,-29.5922,-21.4819,-31.9456,-30.001,-13.9314,-7.28096,-11.4131,-19.8647,-16.5801,-17.2787,-17.985,-9.34847,-9.70663,-20.1329,-10.4276,-0,-5.57638,-0,-0,-6.12299,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,2,6,3,4,4,7,7,15,8,15,12,9,9,12,11,10,5,10,2,4,8,2,7,4,3,6,1,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0
-544.176,0.990478,0.17728,3,7,0,545.532,-0.818746,-1.47871,-0.933829,-0.889595,4.05072,0.205177,-0.768868,5.22514,2.84883,8.55994e-05,0.000105974,0.000131451,0.000163446,0.000203842,0.000255186,0.00032099,0.000406201,0.000517946,0.000666732,0.000868319,0.00114654,0.00153709,0.00209193,0.00288305,0.00400414,0.00556833,0.00770102,0.0105273,0.0141551,0.0186554,0.0239375,0.0298186,0.036026,0.0422106,0.0479734,0.0529042,0.0566306,0.0588749,0.0595046,0.0585555,0.0562133,0.0527636,0.0485355,0.0438542,0.0390091,0.034235,0.0297048,0.0255316,0.0217763,0.0184588,0.0155702,0.013083,0.0109598,0.00915934,0.00764019,0.00636339,0.00529347,0.00439899,0.00365256,0.00303055,0.00251279,0.00208215,0.00172415,0.00142657,0.00117913,0.000973211,0.000801616,0.00065836,0.000538511,0.000438035,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.52043,-10.3813,-4.8664,-13.6613,-21.2884,-0,-26.1262,-17.5631,-19.9411,-22.1556,-42.5195,-23.5142,-31.5833,-22.6587,-33.8604,-36.8911,-31.6646,-35.3032,-30.2546,-21.8882,-32.4396,-30.3706,-14.0658,-7.33568,-11.4808,-19.9611,-16.6496,-17.3458,-18.0541,-9.38596,-9.74866,-20.2288,-10.4826,-0,-5.61233,-0,-0,-6.17435,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,7,2,3,10,6,13,9,17,10,9,10,12,8,5,8,8,3,8,4,5,2,4,2,4,2,3,2,2,1,4,2,1,0,1,0,0,0,0,0,0,0
-542.056,0.994912,0.17728,4,15,0,546.974,-1.11116,-1.66602,-1.03853,-0.906823,4.18378,0.444537,-0.896372,5.43826,2.87797,0.000106955,0.000131816,0.000162725,0.000201296,0.000249651,0.000310622,0.000388059,0.000487301,0.000615924,0.000784925,0.00101055,0.00131687,0.001739,0.00232601,0.00314284,0.00427008,0.00580111,0.00783568,0.0104699,0.0137826,0.01782,0.0225281,0.0277799,0.0333731,0.0390379,0.0444537,0.0492746,0.0531626,0.0558314,0.0570969,0.0569175,0.0553945,0.0527347,0.0492023,0.0450789,0.0406348,0.036109,0.0316951,0.0275352,0.0237201,0.0202957,0.017273,0.0146391,0.0123663,0.0104193,0.00876084,0.00735412,0.00616485,0.00516201,0.00431808,0.00360903,0.00301407,0.00251532,0.00209751,0.00174763,0.00145464,0.00120923,0.00100353,0.000830993,0.000686128,0.000564392,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.45612,-10.2994,-4.84907,-13.6778,-21.4217,-0,-26.5509,-17.9172,-20.4,-22.7026,-43.5863,-24.0828,-32.2784,-23.0834,-34.3561,-37.26,-31.826,-35.3098,-30.1181,-21.6954,-32.0313,-29.8909,-13.8064,-7.18458,-11.2243,-19.4867,-16.2344,-16.8962,-17.5711,-9.12819,-9.47493,-19.65,-10.1778,-0,-5.44495,-0,-0,-5.98536,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,6,1,1,2,8,7,4,4,10,11,19,11,12,10,8,13,6,12,9,7,13,1,2,2,2,1,3,1,0,3,2,1,2,0,1,0,0,0,0,0,0,0,0
-542.138,0.971376,0.17728,5,31,0,545.814,-0.305874,-2.54507,-0.623443,-0.809597,4.53642,0.727518,-0.354851,5.28026,2.6031,0.000112476,0.000141049,0.000177055,0.000222534,0.000280144,0.000353396,0.000446991,0.000567339,0.000723374,0.000927868,0.0011995,0.00156577,0.00206607,0.00275361,0.00369525,0.00496916,0.00666021,0.0088529,0.011621,0.0150137,0.0190391,0.0236332,0.0286679,0.0339525,0.039245,0.0442703,0.0487421,0.0523865,0.054967,0.0563141,0.056356,0.0551333,0.0527813,0.0494999,0.0455277,0.041118,0.0365186,0.0319517,0.0275975,0.0235832,0.0199816,0.0168179,0.0140829,0.0117461,0.0097668,0.00810091,0.00670558,0.0055412,0.00457239,0.0037682,0.00310194,0.0025508,0.00209544,0.00171954,0.00140941,0.00115361,0.000942611,0.000768554,0.00062495,0.000506478,0.000408786,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.3045,-10.0232,-4.72701,-13.3648,-20.994,-0,-26.2157,-17.7599,-20.2967,-22.6655,-43.6442,-24.1697,-32.4402,-23.2082,-34.5217,-37.3889,-31.878,-35.2992,-30.0578,-21.626,-31.9131,-29.7894,-13.7741,-7.18006,-11.2417,-19.5647,-16.3412,-17.0512,-17.7769,-9.25753,-9.63156,-20.0193,-10.3911,-0,-5.58116,-0,-0,-6.16799,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,2,2,7,5,6,7,6,8,9,10,10,10,4,14,7,19,12,7,5,11,5,9,5,2,1,3,3,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0
