# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 15:48:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c234c47e3d.json
# init = /tmp/RtmpC8O1hA/init-b41c2aefc34e_3.json
# random
#   seed = 852006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0075_rep008_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605291648-3-48c993.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0075_rep008_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605291648-3-29d0e5.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.145126
# Diagonal elements of inverse mass matrix:
# 0.0643386, 0.0664511, 0.0327764, 0.0131656, 0.0342617, 0.0323273, 0.0621153
-550.804,0.99815,0.145126,4,31,0,557.582,-2.19349,-1.75887,-1.08238,-0.624603,3.49063,0.538393,-1.05296,5.23352,2.56798,5.47992e-05,7.17431e-05,9.39749e-05,0.00012318,0.000161607,0.000212273,0.00027926,0.000368146,0.00048665,0.00064561,0.000860485,0.00115359,0.00155716,0.0021169,0.00289513,0.00397257,0.0054478,0.00743306,0.0100448,0.0133878,0.0175338,0.0224689,0.0280908,0.0341987,0.0404945,0.0465974,0.052071,0.0564694,0.059414,0.0606833,0.0602562,0.0582835,0.05503,0.0508215,0.046003,0.0409026,0.0358028,0.0309216,0.0264065,0.0223401,0.0187535,0.0156412,0.0129746,0.0107131,0.00881064,0.007221,0.00590014,0.0048078,0.00390811,0.00316975,0.00256567,0.00207283,0.00167175,0.00134608,0.00108217,0.00086869,0.000696287,0.000557255,0.000445278,0.000355194,0.0002828,-0,-0,-0,-0,-0,-8.45764,-0,-0,-0,-7.34531,-0,-0,-6.46489,-0,-0,-5.52834,-10.4251,-4.90182,-13.8021,-17.2537,-12.1309,-26.5694,-21.4339,-23.629,-28.8593,-24.5297,-17.7309,-20.1184,-33.8787,-28.0209,-30.9006,-36.9517,-40.5983,-32.7738,-21.5533,-15.9828,-16.6486,-38.2393,-21.8049,-22.8082,-23.8582,-8.3157,-13.0343,-0,-14.1954,-9.86152,-10.2656,-0,-5.5447,-0,-5.96554,-0,-6.39389,-0,-6.82879,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,3,5,2,5,9,6,9,10,13,8,8,4,12,11,15,13,7,12,6,4,6,7,2,5,5,1,0,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0
-555.102,0.941736,0.145126,4,31,0,560.292,-1.70022,-3.95394,-1.5389,-0.307972,4.11756,-0.201669,-0.498591,5.35186,2.41971,5.44267e-05,7.84652e-05,0.000113026,0.00016261,0.000233523,0.000334492,0.000477369,0.000677873,0.000956231,0.00133756,0.00185177,0.00253297,0.0034181,0.00454503,0.00594996,0.00766433,0.00971141,0.0121028,0.0148351,0.0178876,0.021221,0.0247658,0.0284333,0.0321187,0.0357059,0.0390722,0.0420946,0.0446563,0.0466535,0.0480018,0.0486434,0.0485524,0.0477374,0.0462414,0.0441372,0.0415202,0.0385008,0.0351964,0.031725,0.028199,0.0247207,0.0213782,0.0182425,0.0153661,0.0127824,0.0105068,0.00853934,0.00686717,0.00546837,0.00431516,0.00337694,0.00262275,0.00202301,0.00155069,0.00118195,0.000896281,0.000676504,0.000508464,0.00038069,0.000284017,0.0002112,-0,-0,-0,-0,-0,-8.0029,-0,-0,-0,-6.61691,-0,-0,-5.67867,-0,-0,-4.87118,-9.26891,-4.41432,-12.6323,-16.0946,-11.5583,-25.888,-21.3612,-24.0682,-29.992,-25.9388,-19.007,-21.7613,-36.7801,-30.3652,-33.2556,-39.3265,-42.5886,-33.8127,-21.8432,-15.9079,-16.2854,-36.8149,-20.7039,-21.4108,-22.2007,-7.69077,-12.012,-0,-13.0791,-9.11146,-9.52614,-0,-5.20877,-0,-5.69079,-0,-6.20317,-0,-6.74059,-0,-0,-0,-0,-0,-0,0,1,0,1,0,0,0,0,0,0,3,0,1,0,2,3,4,3,3,3,3,5,7,10,13,5,11,8,3,8,8,11,8,7,3,6,7,5,10,8,2,3,5,6,2,1,5,1,3,0,1,0,1,0,0,0,0,0,0,0,0
-551.352,1,0.145126,5,31,0,557.049,-1.65794,-2.3529,-0.684324,-0.883894,4.13349,0.28057,-1.227,5.66887,2.82139,0.000140255,0.000173202,0.000214111,0.000265022,0.000328564,0.000408152,0.000508278,0.000634931,0.000796203,0.0010032,0.00127135,0.00162219,0.0020856,0.00270215,0.00352498,0.00462029,0.0060656,0.00794452,0.0103374,0.0133077,0.0168862,0.0210501,0.0257135,0.0307229,0.0358622,0.0408668,0.0454461,0.049313,0.0522182,0.0539837,0.0545265,0.0538628,0.052098,0.0494058,0.046004,0.0421285,0.038009,0.0338479,0.0298073,0.0260038,0.0225101,0.0193625,0.0165693,0.0141195,0.0119907,0.0101542,0.0085788,0.00723347,0.00608883,0.00511781,0.00429609,0.00360212,0.00301701,0.00252434,0.00210996,0.0017617,0.00146918,0.00122356,0.00101736,0.00084429,0.000699062,-0,-0,-0,-0,-0,-7.80387,-0,-0,-0,-6.90456,-0,-0,-6.1727,-0,-0,-5.3773,-10.2102,-4.83527,-13.716,-17.2777,-12.2438,-27.0259,-21.9644,-24.3792,-29.9526,-25.5795,-18.5474,-21.067,-35.4279,-29.1907,-31.9998,-37.9771,-41.3648,-33.0846,-21.5532,-15.8351,-16.3497,-37.2447,-21.078,-21.8971,-22.7627,-7.88883,-12.3006,-0,-13.2709,-9.17973,-9.51692,-0,-5.1013,-0,-5.45005,-0,-5.80349,-0,-6.16109,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,2,2,4,2,2,5,8,5,10,7,15,10,7,15,6,12,9,10,13,7,5,5,6,4,0,3,4,4,4,3,0,1,1,1,0,0,0,0,2,0,0,1,0,0
-552.358,0.99923,0.145126,5,31,0,554.607,-0.626843,-1.85948,-1.55837,-0.623708,4.80773,0.654094,-0.739872,5.00828,2.51606,9.54187e-05,0.000125195,0.00016445,0.000216338,0.000285166,0.000376884,0.00049983,0.000665849,0.000891883,0.00120183,0.00162787,0.0022104,0.00299648,0.00403773,0.00538791,0.00709996,0.00922252,0.0117956,0.0148452,0.0183781,0.0223772,0.0267061,0.0312099,0.0357192,0.0400572,0.0440457,0.0475112,0.0502897,0.0522325,0.0532159,0.0531588,0.0520521,0.0499823,0.0471157,0.0436534,0.0397955,0.0357245,0.0316007,0.02756,0.0237139,0.0201485,0.0169231,0.0140701,0.0115969,0.0094894,0.00771895,0.00624848,0.00503806,0.00404872,0.00324459,0.00259394,0.00206942,0.00164785,0.0013099,0.00103958,0.000823753,0.000651718,0.00051478,0.00040591,0.000319445,0.000250837,-0,-0,-0,-0,-0,-7.88357,-0,-0,-0,-6.72391,-0,-0,-5.81032,-0,-0,-4.94767,-9.37221,-4.44003,-12.6302,-15.9864,-11.3991,-25.36,-20.8021,-23.3245,-28.957,-24.9802,-18.2807,-20.9297,-35.4246,-29.334,-32.2792,-38.4216,-41.9452,-33.6066,-21.9203,-16.12,-16.6596,-38.0003,-21.5483,-22.4502,-23.4278,-8.15816,-12.7911,-0,-13.9727,-9.72815,-10.1508,-0,-5.50936,-0,-5.95458,-0,-6.40828,-0,-6.86894,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,4,2,5,3,6,5,3,10,6,7,14,12,11,14,12,7,4,12,8,11,11,3,4,6,3,3,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-551.003,1,0.145126,5,31,0,553.202,-1.45844,-2.00583,-1.33896,-0.610809,4.72541,0.779948,-0.801028,5.41431,2.46475,6.35461e-05,8.35779e-05,0.000110014,0.000144968,0.000191303,0.000252934,0.000335279,0.000445961,0.000595862,0.000800665,0.00108267,0.0014723,0.00200876,0.00274011,0.00372264,0.00501935,0.00669698,0.00882098,0.0114479,0.0146155,0.0183316,0.0225373,0.0271266,0.0319504,0.0368262,0.0415482,0.045897,0.0496498,0.0525901,0.0545234,0.0553041,0.0548802,0.0533193,0.0507798,0.0474608,0.0435724,0.0393213,0.0349029,0.0304951,0.0262517,0.0222954,0.018712,0.0155475,0.012812,0.0104874,0.00853833,0.00692089,0.00558938,0.00450015,0.00361362,0.00289504,0.00231462,0.00184716,0.00147163,0.0011706,0.000929759,0.000737394,0.000583979,0.00046179,0.000364587,0.000287346,-0,-0,-0,-0,-0,-8.28238,-0,-0,-0,-7.13007,-0,-0,-6.21024,-0,-0,-5.29446,-10.0122,-4.73062,-13.4098,-16.9027,-11.9974,-26.5481,-21.6434,-24.105,-29.7139,-25.4472,-18.4881,-21.0193,-35.3427,-29.0913,-31.844,-37.7338,-41.0404,-32.7828,-21.335,-15.6667,-16.1799,-36.907,-20.9411,-21.8401,-22.8202,-7.95719,-12.4916,-0,-13.6727,-9.52638,-9.94642,-0,-5.40364,-0,-5.84475,-0,-6.2941,-0,-6.75024,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,5,2,3,4,3,5,11,4,7,13,9,5,12,8,7,5,10,10,8,10,8,5,5,5,5,9,1,1,5,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0
-550.794,0.987108,0.145126,5,31,0,553.117,-1.91647,-3.38734,-1.06344,-0.668655,3.95816,0.559609,-1.01046,5.40533,2.57686,0.000133544,0.000172632,0.000223196,0.000288629,0.000373341,0.000483079,0.000625339,0.000809934,0.00104972,0.00136158,0.00176757,0.00229615,0.00298317,0.00387199,0.00501271,0.00646003,0.00826939,0.0104909,0.0131611,0.0162926,0.0198656,0.0238169,0.0280419,0.0323989,0.0367171,0.040807,0.0444721,0.0475222,0.0497901,0.051152,0.0515455,0.0509753,0.0495052,0.0472455,0.0443399,0.0409532,0.0372591,0.0334269,0.029609,0.0259304,0.0224834,0.0193264,0.016489,0.0139776,0.0117826,0.00988394,0.0082557,0.00686952,0.00569673,0.00470977,0.00388306,0.00319341,0.00262018,0.00214525,0.00175289,0.00142959,0.0011638,0.000945774,0.000767264,0.000621372,0.000502336,-0,-0,-0,-0,-0,-7.63533,-0,-0,-0,-6.59911,-0,-0,-5.81477,-0,-0,-5.04212,-9.59039,-4.55724,-12.9915,-16.4682,-11.7563,-26.1615,-21.4443,-24.0074,-29.7406,-25.5912,-18.6774,-21.3259,-35.9993,-29.7295,-32.6182,-38.6934,-42.0795,-33.5764,-21.8111,-15.9766,-16.4493,-37.3823,-21.1181,-21.914,-22.7699,-7.89257,-12.3152,-0,-13.3234,-9.23369,-9.5937,-0,-5.16786,-0,-5.55113,-0,-5.94451,-0,-6.34649,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,3,3,0,1,3,3,4,8,5,9,13,5,10,5,9,16,13,8,8,5,5,4,8,7,12,6,3,4,3,1,2,1,3,1,0,0,1,0,1,0,1,0,0,0,0,0
