# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 15:54:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c218cd68d1.json
# init = /tmp/RtmpC8O1hA/init-b41c263b0391c_1.json
# random
#   seed = 852007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0076_rep008_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605291654-1-89946d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0076_rep008_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605291654-1-9264a3.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.216134
# Diagonal elements of inverse mass matrix:
# 0.0612422, 0.0458058, 0.00915094, 0.00447391, 0.0141578, 0.00648201, 0.0078656
-551.683,0.984391,0.216134,3,15,0,559.527,-2.52193,-2.63179,-1.2491,-0.506708,4.14385,0.330772,-0.875596,5.6897,2.47884,5.19374e-05,7.02471e-05,9.5036e-05,0.000128616,0.00017414,0.000235915,0.000319843,0.000434022,0.000589565,0.000801651,0.00109075,0.00148384,0.00201533,0.00272746,0.0036699,0.00489826,0.00647106,0.00844471,0.0108665,0.0137662,0.0171469,0.0209713,0.0251622,0.0296029,0.0341423,0.0386022,0.0427869,0.0464936,0.0495267,0.0517151,0.0529346,0.0531278,0.0523094,0.050557,0.047995,0.0447794,0.0410848,0.0370921,0.0329765,0.028897,0.0249858,0.021343,0.0180339,0.0150917,0.012523,0.0103147,0.00844083,0.00686802,0.00556012,0.00448112,0.00359701,0.00287688,0.00229336,0.00182269,0.00144462,0.00114202,0.000900636,0.000708659,0.000556393,0.000435926,0.000340838,-0,-0,-0,-0,-0,-8.35204,-0,-0,-0,-7.12884,-0,-0,-6.20697,-0,-0,-5.31887,-10.0808,-4.77421,-13.5662,-17.1422,-12.1978,-27.0522,-22.0945,-24.6392,-30.395,-26.0356,-18.9091,-21.4791,-36.0629,-29.6201,-32.3257,-38.1557,-41.3081,-32.8312,-21.2566,-15.53,-15.9606,-36.2379,-20.4718,-21.2641,-22.1367,-7.69406,-12.0465,-0,-13.1406,-9.14837,-9.54935,-0,-5.19213,-0,-5.62765,-0,-6.07774,-0,-6.53991,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,10,7,6,7,3,7,13,14,9,3,7,11,10,7,11,11,7,4,12,12,6,2,4,5,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-554.862,0.985114,0.216134,4,15,0,558.284,-2.61152,-2.12513,-0.988328,-0.548573,3.2474,0.159131,-1.07912,5.28042,2.54022,5.70278e-05,7.61951e-05,0.000101834,0.000136151,0.000182123,0.000243777,0.000326577,0.000437972,0.000588155,0.000791123,0.00106611,0.00143945,0.00194673,0.0026349,0.00356362,0.00480513,0.00644152,0.0085589,0.0112379,0.0145405,0.0184959,0.0230685,0.0281557,0.033582,0.0391016,0.0444113,0.0491754,0.0530634,0.0557982,0.0572016,0.0572193,0.0559169,0.0534573,0.0500683,0.0460114,0.0415521,0.0369353,0.0323678,0.028009,0.0239689,0.0203126,0.0170681,0.0142357,0.0117964,0.00971936,0.00796767,0.00650242,0.00528534,0.00428054,0.00345541,0.002781,0.00223209,0.001787,0.0014273,0.00113751,0.000904665,0.000718057,0.000568844,0.00044978,0.000354957,0.000279573,-0,-0,-0,-0,-0,-8.31926,-0,-0,-0,-7.14206,-0,-0,-6.2416,-0,-0,-5.33807,-10.09,-4.76078,-13.4654,-16.9233,-11.9706,-26.385,-21.42,-23.7564,-29.1743,-24.9141,-18.0742,-20.5539,-34.6322,-28.6117,-31.4695,-37.4905,-41.0042,-32.938,-21.5521,-15.904,-16.4929,-37.7365,-21.4514,-22.386,-23.3791,-8.14108,-12.756,-0,-13.9009,-9.66473,-10.0712,-0,-5.45368,-0,-5.88494,-0,-6.32722,-0,-6.77892,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,5,2,6,5,5,8,8,9,9,8,11,12,13,20,9,9,9,5,3,6,9,2,4,3,2,4,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0
-551.302,0.99407,0.216134,4,15,0,558.708,-1.11879,-1.53669,-1.35424,-0.778571,4.02506,0.286912,-0.852222,5.22186,2.76056,0.000105791,0.000133739,0.00016929,0.000214644,0.000272717,0.000347423,0.000444087,0.000570062,0.000735657,0.000955479,0.00125027,0.00164914,0.0021917,0.0029296,0.0039267,0.00525761,0.0070043,0.00925054,0.0120743,0.0155389,0.019683,0.0244084,0.029561,0.0349327,0.0402686,0.0452796,0.0496614,0.0531211,0.0554128,0.0563798,0.0559899,0.0543413,0.0516329,0.0481169,0.0440581,0.0397054,0.0352757,0.0309452,0.026846,0.0230672,0.0196593,0.0166408,0.0140063,0.0117339,0.00979263,0.00814663,0.00675945,0.00559604,0.00462413,0.00381479,0.00314258,0.0025855,0.00212466,0.001744,0.00142996,0.00117113,0.000957947,0.000782455,0.000638028,0.000519179,0.000421372,-0,-0,-0,-0,-0,-7.96497,-0,-0,-0,-6.9533,-0,-0,-6.12308,-0,-0,-5.24808,-9.92246,-4.68307,-13.25,-16.6576,-11.784,-25.9898,-21.1278,-23.4803,-28.9096,-24.7592,-18.0152,-20.5463,-34.7153,-28.7564,-31.7084,-37.8621,-41.4904,-33.3753,-21.8557,-16.1313,-16.7228,-38.2309,-21.7058,-22.6161,-23.5752,-8.19179,-12.8048,-0,-13.8784,-9.6203,-9.99363,-0,-5.37647,-0,-5.76271,-0,-6.15414,-0,-6.55011,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,2,0,0,3,3,3,1,3,7,1,9,6,8,9,15,8,12,8,13,11,9,6,9,9,8,7,2,6,1,2,2,1,1,3,0,1,0,2,1,0,0,0,2,1,0,0,0
-551.503,0.974005,0.216134,4,15,0,554.256,-1.00478,-1.89495,-1.04555,-0.787168,4.44318,0.270928,-0.856772,5.35556,2.69887,0.000103651,0.000130829,0.000165364,0.000209385,0.000265721,0.000338183,0.000431972,0.000554312,0.000715383,0.000929687,0.00121789,0.00160901,0.00214244,0.00286921,0.00385172,0.0051616,0.00687523,0.00906684,0.0117996,0.0151151,0.0190232,0.0234556,0.0282898,0.0333498,0.0384145,0.0432311,0.0475334,0.0510639,0.0535999,0.0549823,0.055141,0.0541072,0.0520037,0.0490172,0.0453688,0.0412882,0.0369944,0.0326811,0.0285072,0.024591,0.0210107,0.0178072,0.0149913,0.0125515,0.0104619,0.00868858,0.00719448,0.00594281,0.00489895,0.00403154,0.00331281,0.00271868,0.00222845,0.00182457,0.0014922,0.00121893,0.000994383,0.000809942,0.000658482,0.000534123,0.000432033,-0,-0,-0,-0,-0,-7.99192,-0,-0,-0,-6.98066,-0,-0,-6.14581,-0,-0,-5.26651,-9.95966,-4.70313,-13.3191,-16.7682,-11.8863,-26.2685,-21.3915,-23.8049,-29.3339,-25.1296,-18.2779,-20.8227,-35.1145,-29.0074,-31.8765,-37.9182,-41.3902,-33.1714,-21.6505,-15.9359,-16.4849,-37.6305,-21.3456,-22.2322,-23.1763,-8.05631,-12.6009,-0,-13.68,-9.49149,-9.86888,-0,-5.31873,-0,-5.70996,-0,-6.10645,-0,-6.5075,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,1,3,1,5,5,7,8,2,8,10,8,9,10,16,6,13,10,14,5,6,6,8,6,7,5,3,3,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0
-550.214,0.978455,0.216134,3,7,0,553.19,-1.13756,-2.30783,-1.05709,-0.787566,4.07197,0.307004,-0.841182,5.21097,2.69423,0.000175684,0.000221189,0.000278687,0.000351459,0.000443756,0.000561123,0.000710854,0.000902634,0.00114943,0.00146869,0.0018839,0.0024262,0.00313566,0.00406152,0.00526083,0.00679517,0.00872538,0.0111044,0.0139687,0.0173289,0.021162,0.0253848,0.0298684,0.0344429,0.0389066,0.0430403,0.0466229,0.0494513,0.0513613,0.05225,0.0520904,0.0509322,0.0488882,0.0461142,0.04279,0.0391031,0.035234,0.0313442,0.0275675,0.0240047,0.0207231,0.0177594,0.0151257,0.0128158,0.0108113,0.00908664,0.00761305,0.00636114,0.00530255,0.00441093,0.00366242,0.00303581,0.0025125,0.00207636,0.0017135,0.00141206,0.00116195,0.000954661,0.000783031,0.000641048,0.000523695,-0,-0,-0,-0,-0,-7.48557,-0,-0,-0,-6.52338,-0,-0,-5.76492,-0,-0,-4.99154,-9.48304,-4.50041,-12.8128,-16.2215,-11.5666,-25.7152,-21.0657,-23.5792,-29.2193,-25.1649,-18.394,-21.0474,-35.6264,-29.5172,-32.5025,-38.7044,-42.2551,-33.843,-22.0602,-16.2078,-16.7287,-38.09,-21.5467,-22.377,-23.2591,-8.06169,-12.5741,-0,-13.5815,-9.4019,-9.75578,-0,-5.23957,-0,-5.60963,-0,-5.98648,-0,-6.36922,-0,-0,-0,-0,-0,-0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,7,1,6,5,6,4,9,11,18,10,8,6,10,7,9,7,10,4,5,12,4,5,7,2,4,2,2,2,0,3,1,1,1,1,0,0,0,0,0,0,0,0
-551.277,0.994128,0.216134,3,7,0,552.351,-1.0771,-1.37845,-1.1712,-0.852911,3.99247,0.211339,-0.876605,5.30742,2.85781,8.72271e-05,0.000108719,0.000135746,0.000169867,0.000213156,0.000268415,0.000339496,0.000431795,0.000553027,0.000714422,0.00093252,0.00123169,0.00164726,0.00222875,0.00304245,0.00417215,0.00571742,0.00778852,0.0104978,0.0139475,0.018216,0.0232222,0.0288082,0.034738,0.0407048,0.0463484,0.051285,0.055149,0.0576465,0.0586102,0.0580337,0.0560639,0.0529574,0.0490226,0.0445717,0.0398877,0.0352061,0.0307069,0.0265145,0.0227031,0.0193061,0.0163257,0.0137434,0.0115278,0.00964135,0.00804476,0.0066998,0.00557096,0.00462627,0.00383752,0.00318018,0.00263317,0.00217851,0.00180093,0.00148755,0.00122752,0.00101174,0.000832589,0.000683738,0.000559922,0.000456793,-0,-0,-0,-0,-0,-8.22298,-0,-0,-0,-7.24404,-0,-0,-6.40864,-0,-0,-5.47932,-10.3285,-4.8551,-13.6698,-17.0898,-12.0164,-26.3385,-21.2826,-23.5194,-28.8127,-24.5725,-17.8221,-20.284,-34.2411,-28.3685,-31.3141,-37.4564,-41.1357,-33.1702,-21.7746,-16.1084,-16.7327,-38.3159,-21.7804,-22.7115,-23.684,-8.23003,-12.8616,-0,-13.9251,-9.64547,-10.0114,-0,-5.376,-0,-5.75082,-0,-6.12912,-0,-6.51062,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,2,2,5,5,3,11,12,13,13,16,15,12,9,8,10,10,6,6,7,5,6,3,1,3,1,3,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1
