# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 16:09:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2550fa45a.json
# init = /tmp/RtmpC8O1hA/init-b41c253553b93_3.json
# random
#   seed = 852009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0078_rep008_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605291709-3-93520d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0078_rep008_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605291709-3-3853e1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.161431
# Diagonal elements of inverse mass matrix:
# 0.0882222, 0.0457071, 0.0349695, 0.0102167, 0.0278352, 0.0672154, 0.0463896
-555.188,0.974784,0.161431,4,15,0,557.925,-1.0718,-3.28542,-0.785349,-0.812726,4.21995,1.40542,-1.25613,5.11637,2.51798,0.000215162,0.000268979,0.000336374,0.000420843,0.000526816,0.000659937,0.000827426,0.00103858,0.00130546,0.00164387,0.00207472,0.00262595,0.00333433,0.00424583,0.00541506,0.00690383,0.00877795,0.0111014,0.0139269,0.0172812,0.0211476,0.0254499,0.0300556,0.0347888,0.0394409,0.04378,0.0475618,0.0505485,0.0525364,0.0533907,0.0530825,0.0516879,0.049354,0.0462686,0.0426368,0.038665,0.034551,0.0304748,0.0265855,0.0229872,0.019735,0.0168461,0.0143124,0.0121118,0.0102152,0.00859061,0.00720606,0.00603108,0.00503754,0.00420002,0.00349591,0.00290535,0.00241104,0.00199802,0.00165345,0.00136636,0.00112744,0.000928804,0.000763801,0.00062685,0.000513286,-0,-0,-0,-0,-0,-7.32337,-0,-0,-0,-6.4107,-0,-0,-5.70348,-0,-0,-4.97568,-9.47102,-4.50068,-12.8218,-16.2326,-11.5687,-25.6973,-21.0282,-23.5092,-29.0966,-25.0286,-18.2744,-20.8938,-35.355,-29.3012,-32.295,-38.5129,-42.1223,-33.8062,-22.0853,-16.2641,-16.8266,-38.3994,-21.7643,-22.6369,-23.5522,-8.16728,-12.7399,-0,-13.7516,-9.51417,-9.86567,-0,-5.29084,-0,-5.65616,-0,-6.0277,-0,-6.40489,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,3,8,6,6,6,11,9,13,14,11,6,9,11,10,8,10,7,7,6,8,3,4,5,1,1,3,2,1,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0
-553.934,0.998497,0.161431,5,31,0,559.291,-0.989034,-2.09602,-1.30314,-0.403827,4.87136,0.0231188,-0.137536,5.28666,2.4314,4.70412e-05,6.58058e-05,9.21064e-05,0.000129004,0.000180817,0.000253628,0.000355967,0.000499664,0.000700851,0.000980975,0.00136764,0.00189508,0.00260401,0.00354071,0.00475529,0.00629894,0.0082204,0.0105619,0.013355,0.0166164,0.0203462,0.0244221,0.028716,0.0330858,0.037377,0.0414259,0.0450658,0.048134,0.0504799,0.051977,0.0525373,0.0521264,0.0507752,0.0485794,0.0456847,0.0422636,0.0384929,0.0345383,0.030546,0.0266392,0.0229177,0.0194569,0.0163094,0.0135055,0.011056,0.00895455,0.00718182,0.00570911,0.00450239,0.00352567,0.00274359,0.00212322,0.00163512,0.00125381,0.000957738,0.000729069,0.000553276,0.000418679,0.000315988,0.000237885,0.000178646,-0,-0,-0,-0,-0,-8.27964,-0,-0,-0,-6.92696,-0,-0,-5.9507,-0,-0,-5.06737,-9.60227,-4.5505,-12.9476,-16.3895,-11.6846,-25.9859,-21.3018,-23.8605,-29.5803,-25.4708,-18.5978,-21.2364,-35.8342,-29.5695,-32.4086,-38.4031,-41.7249,-33.2701,-21.6019,-15.8191,-16.2864,-37.0225,-20.9311,-21.7522,-22.6551,-7.8791,-12.348,-0,-13.5144,-9.43119,-9.8724,-0,-5.40315,-0,-5.89849,-0,-6.41604,-0,-6.95094,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,4,3,5,2,3,3,9,11,7,10,10,13,10,9,6,6,13,7,8,11,8,7,3,6,6,1,4,4,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
-554.52,0.977688,0.161431,5,31,0,560.083,-1.5923,-2.65099,-0.644698,-0.728812,3.37431,0.981412,-0.871714,4.75546,2.4418,0.000126811,0.000161613,0.000206037,0.000262791,0.000335368,0.000428302,0.000547502,0.000700722,0.000898219,0.00115371,0.00148576,0.00191994,0.00249195,0.00325199,0.00426925,0.00563468,0.00746064,0.00987495,0.0130054,0.0169514,0.0217448,0.0273066,0.033433,0.0398051,0.0460174,0.0516161,0.0561479,0.0592256,0.0606107,0.0602606,0.0583056,0.0550038,0.0506966,0.0457635,0.0405732,0.0354377,0.0305822,0.0261416,0.0221772,0.0186997,0.0156891,0.0131087,0.0109142,0.00905961,0.00750038,0.0061951,0.00510641,0.00420121,0.00345066,0.00282983,0.00231741,0.00189527,0.00154811,0.00126304,0.00102928,0.000837794,0.0006811,0.000552976,0.000448281,0.000362781,0.000292999,-0,-0,-0,-0,-0,-7.75568,-0,-0,-0,-6.76478,-0,-0,-5.99469,-0,-0,-5.17881,-9.79623,-4.61775,-13.0272,-16.3096,-11.4851,-25.2044,-20.3893,-22.5663,-27.7086,-23.7114,-17.2786,-19.7848,-33.6394,-28.0908,-31.2626,-37.7046,-41.7465,-33.927,-22.4325,-16.6999,-17.4367,-40.0865,-22.8521,-23.8755,-24.9287,-8.66896,-13.5531,-0,-14.6784,-10.168,-10.5545,-0,-5.66919,-0,-6.0673,-0,-6.47072,-0,-6.8789,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,3,6,6,2,2,7,6,11,9,13,11,11,12,11,5,14,9,9,4,6,6,4,4,3,2,3,4,2,1,0,2,0,2,0,1,2,0,1,0,0,0,0,0,0
-549.466,1,0.161431,4,15,0,554.906,-1.4154,-2.62216,-0.966021,-0.597858,4.54836,0.520149,-0.527246,5.29066,2.37598,7.25656e-05,9.56893e-05,0.000126247,0.000166679,0.00022026,0.000291418,0.000386185,0.000512846,0.000682893,0.000912351,0.00122348,0.0016466,0.00222151,0.00299814,0.00403602,0.00540223,0.00716713,0.00939746,0.0121466,0.0154429,0.019278,0.0235882,0.0282593,0.0331297,0.0380012,0.0426515,0.046849,0.0503686,0.0530083,0.0546096,0.0550801,0.0544105,0.0526744,0.0500087,0.0465927,0.0426282,0.038325,0.0338864,0.0294967,0.0253096,0.0214398,0.0179601,0.014903,0.0122683,0.010033,0.00816005,0.00660634,0.00532772,0.0042823,0.00343209,0.0027437,0.00218843,0.00174198,0.00138402,0.0010977,0.000869188,0.000687149,0.000542378,0.000427421,0.000336262,0.00026407,-0,-0,-0,-0,-0,-8.14075,-0,-0,-0,-6.99949,-0,-0,-6.10957,-0,-0,-5.22094,-9.8765,-4.66732,-13.2321,-16.6824,-11.8464,-26.229,-21.398,-23.8513,-29.4312,-25.2375,-18.3649,-20.9187,-35.2477,-29.0755,-31.8886,-37.8456,-41.2108,-32.9511,-21.4642,-15.7762,-16.3083,-37.2321,-21.1409,-22.0594,-23.055,-8.0392,-12.6186,-0,-13.8056,-9.61701,-10.0395,-0,-5.45327,-0,-5.89845,-0,-6.35273,-0,-6.81454,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,2,4,6,4,7,9,5,7,9,16,12,7,10,10,14,10,13,13,5,1,5,2,3,1,5,0,1,3,2,1,1,1,0,1,1,0,0,0,0,0,0,0
-551.078,0.983269,0.161431,4,31,0,551.889,-1.4007,-1.69993,-1.18084,-0.708218,3.93058,0.59455,-0.278104,5.12822,2.62967,8.46049e-05,0.0001085,0.000139242,0.000178859,0.000230023,0.000296281,0.000382399,0.000494859,0.000642624,0.000838307,0.00109995,0.00145349,0.00193579,0.00259727,0.00350376,0.00473675,0.00639176,0.00857368,0.0113886,0.014932,0.0192753,0.0243203,0.0299004,0.0357817,0.0416698,0.0472236,0.0520731,0.0558484,0.0582304,0.0590301,0.0582541,0.0560879,0.0528155,0.048748,0.0441851,0.0393972,0.0346149,0.0300217,0.0257499,0.0218806,0.0184502,0.0154602,0.0128886,0.0106997,0.0088514,0.00730081,0.00600662,0.00493097,0.0040401,0.00330444,0.0026985,0.0022005,0.00179201,0.00145749,0.00118396,0.000960567,0.000778319,0.000629767,0.000508763,0.000410246,0.00033006,-0,-0,-0,-0,-0,-8.1242,-0,-0,-0,-7.08413,-0,-0,-6.24724,-0,-0,-5.3524,-10.1055,-4.75906,-13.4254,-16.817,-11.8468,-26.0151,-21.0593,-23.3122,-28.6018,-24.4229,-17.7306,-20.1958,-34.1202,-28.2971,-31.2724,-37.4509,-41.1733,-33.232,-21.8356,-16.1703,-16.8174,-38.5642,-21.956,-22.9329,-23.9561,-8.33897,-13.0542,-0,-14.1815,-9.83954,-10.2298,-0,-5.51149,-0,-5.91506,-0,-6.32442,-0,-6.73889,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,2,1,4,1,6,5,4,5,13,7,7,12,14,16,12,15,11,12,10,6,6,6,3,4,0,0,4,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
-551.301,0.999012,0.161431,5,31,0,553.517,-1.73064,-3.71005,-0.485955,-0.671604,4.23874,0.681747,-0.552541,5.23764,2.31398,0.000100165,0.000129422,0.000167264,0.000216238,0.000279663,0.00036188,0.000468587,0.000607298,0.00078798,0.00102395,0.00133314,0.00173972,0.00227623,0.00298562,0.00392305,0.00515668,0.00676622,0.00883804,0.0114551,0.0146816,0.0185445,0.0230151,0.0279981,0.0333271,0.0387689,0.0440347,0.0488018,0.0527457,0.0555825,0.0571119,0.0572497,0.056036,0.0536178,0.0502189,0.0461052,0.0415533,0.0368254,0.0321484,0.0277009,0.0236051,0.0199297,0.0166983,0.0139027,0.0115143,0.00949387,0.00779837,0.00638468,0.00521227,0.00424435,0.00344833,0.00279587,0.00226263,0.00182795,0.00147442,0.00118745,0.000954933,0.000766829,0.000614862,0.000492241,0.000393408,0.000313832,-0,-0,-0,-0,-0,-7.9242,-0,-0,-0,-6.88408,-0,-0,-6.08523,-0,-0,-5.26746,-9.99163,-4.72869,-13.408,-16.8846,-11.9628,-26.4012,-21.4537,-23.8097,-29.2512,-24.9822,-18.1199,-20.5959,-34.6786,-28.6274,-31.4637,-37.4629,-40.9622,-32.905,-21.5378,-15.9039,-16.5078,-37.8113,-21.5177,-22.4778,-23.4933,-8.18489,-12.827,-0,-13.9713,-9.70768,-10.1077,-0,-5.46217,-0,-5.87961,-0,-6.30456,-0,-6.73595,-0,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,3,3,1,1,5,9,9,15,13,11,8,12,10,7,9,8,12,11,2,5,3,5,6,2,5,2,4,2,2,1,1,1,0,0,1,1,1,2,0,0,0,0,0
