# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 16:19:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25df955c5.json
# init = /tmp/RtmpC8O1hA/init-b41c2215e2a51_3.json
# random
#   seed = 852011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0080_rep008_manuscript_default/prior_sensitivity_obspair_FAST-202605291719-3-164ba0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0080_rep008_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605291719-3-1e5224.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0564478
# Diagonal elements of inverse mass matrix:
# 0.207791, 0.121667, 0.209122, 0.0455715, 0.177105, 0.238105, 0.190496
-549.182,1,0.0564478,5,31,0,550.861,-1.62707,-1.71299,-1.89721,-0.503253,4.36039,0.405615,-1.25707,5.37812,2.50376,5.42143e-05,7.35082e-05,9.97442e-05,0.000135482,0.000184274,0.000251081,0.000342876,0.0004695,0.000644778,0.000887803,0.00122403,0.00168582,0.00231229,0.00314858,0.00424464,0.00565333,0.00742777,0.00961763,0.0122646,0.0153971,0.0190257,0.0230792,0.0274547,0.0320197,0.0366157,0.0410634,0.0451679,0.0487263,0.0515361,0.0534117,0.0542104,0.053868,0.0524251,0.0500197,0.0468482,0.043125,0.0390567,0.0348297,0.0306056,0.0265186,0.0226747,0.0191502,0.0159925,0.0132217,0.0108347,0.00881092,0.00711813,0.00571817,0.00457128,0.00363905,0.00288628,0.00228179,0.00179868,0.00141413,0.00110915,0.000868021,0.000677912,0.000528402,0.000411085,0.000319216,0.000247406,-0,-0,-0,-0,-0,-8.28974,-0,-0,-0,-7.02676,-0,-0,-6.06952,-0,-0,-5.17551,-9.80506,-4.64416,-13.2031,-16.6943,-11.8859,-26.3818,-21.5713,-24.0898,-29.7655,-25.5411,-18.5842,-21.1508,-35.5857,-29.2972,-32.0637,-37.9758,-41.2772,-32.9487,-21.4259,-15.7183,-16.2137,-36.9301,-20.9194,-21.7794,-22.719,-7.91088,-12.4069,-0,-13.575,-9.46353,-9.89022,-0,-5.38796,-0,-5.84779,-0,-6.3207,-0,-6.80416,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,3,4,4,8,5,4,10,11,10,6,12,10,6,8,11,4,8,11,15,5,3,7,1,5,7,3,4,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
-549.314,0.99862,0.0564478,6,63,0,550.227,-1.81212,-1.70463,-1.17612,-0.600201,3.76407,0.0664434,-0.571196,5.34025,2.60556,6.11422e-05,8.06152e-05,0.00010636,0.000140446,0.000185662,0.000245781,0.000325953,0.000433244,0.000577423,0.000772034,0.00103585,0.00139464,0.00188314,0.00254687,0.00344321,0.00464131,0.00622017,0.00826438,0.0108574,0.0140723,0.0179614,0.0224832,0.0275347,0.0329451,0.0384774,0.0438377,0.0486961,0.0527194,0.0556154,0.057181,0.0573386,0.0561444,0.0537649,0.0504375,0.04643,0.0420081,0.0374133,0.0328493,0.0284751,0.0244036,0.0207053,0.0174138,0.0145342,0.0120511,0.00993543,0.00815093,0.00665842,0.00541894,0.00439576,0.00355544,0.00286831,0.00230858,0.00185412,0.00148622,0.00118914,0.000949802,0.000757363,0.000602912,0.000479145,0.000380107,0.000300956,-0,-0,-0,-0,-0,-8.31107,-0,-0,-0,-7.16648,-0,-0,-6.27481,-0,-0,-5.37276,-10.1599,-4.7958,-13.5687,-17.0542,-12.0586,-26.5649,-21.5538,-23.8904,-29.3192,-25.0181,-18.1329,-20.5994,-34.6715,-28.6153,-31.4466,-37.4378,-40.9239,-32.8572,-21.4887,-15.8495,-16.4286,-37.5741,-21.3524,-22.2781,-23.2642,-8.10099,-12.6937,-0,-13.8349,-9.61925,-10.0237,-0,-5.42711,-0,-5.85403,-0,-6.29034,-0,-6.73452,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,2,4,5,1,5,10,6,9,7,4,8,11,12,10,12,14,8,6,8,6,7,10,2,5,5,3,4,2,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0
-550.959,0.935997,0.0564478,3,15,0,555.463,-2.08444,-1.67862,-1.26974,-0.637013,3.78387,-0.166561,-0.513905,5.79818,2.82745,7.83471e-05,0.000102298,0.000133656,0.000174761,0.000228726,0.000299699,0.000393228,0.000516746,0.000680209,0.000896913,0.00118448,0.00156596,0.00207091,0.00273631,0.00360702,0.00473548,0.00618046,0.00800465,0.0102709,0.0130374,0.0163519,0.0201855,0.0244671,0.0290782,0.0338521,0.0385781,0.0430131,0.046902,0.0500052,0.0521303,0.0531605,0.0530692,0.0519188,0.049842,0.0470172,0.0436424,0.0399143,0.0360133,0.0320943,0.0282821,0.0246702,0.021323,0.0182786,0.0155537,0.0131483,0.01105,0.00923825,0.00768783,0.00637118,0.00526051,0.00432903,0.00355179,0.00290614,0.00237191,0.00193141,0.0015693,0.00127245,0.0010297,0.000831606,0.000670275,0.00053911,-0,-0,-0,-0,-0,-8.11273,-0,-0,-0,-7.01655,-0,-0,-6.17977,-0,-0,-5.35267,-10.1727,-4.82773,-13.7353,-17.3597,-12.3402,-27.3195,-22.2626,-24.7644,-30.4718,-26.0406,-18.8775,-21.4179,-35.9476,-29.5401,-32.2788,-38.17,-41.413,-32.9879,-21.4007,-15.6586,-16.1051,-36.5625,-20.6345,-21.3932,-22.2129,-7.69594,-12.0061,-0,-12.9944,-9.01066,-9.36881,-0,-5.05597,-0,-5.44241,-0,-5.84093,-0,-6.24951,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,4,3,1,2,2,3,1,6,4,7,11,9,10,11,7,9,9,10,13,7,8,12,6,8,2,3,7,2,4,2,2,0,0,1,1,1,2,0,1,0,2,0,1,0,0
-551.775,0.999928,0.0564478,6,63,0,554.309,-1.53658,-3.69029,-1.20124,-0.552403,4.83262,1.36372,-1.24888,5.31322,2.2671,8.25968e-05,0.000110186,0.000147012,0.000196183,0.000261865,0.000349655,0.000467087,0.000624336,0.000835194,0.0011184,0.00149906,0.0020092,0.00268737,0.00357822,0.00473179,0.00620177,0.00804239,0.0103032,0.0130211,0.0162083,0.0198397,0.0238425,0.0281049,0.032491,0.0368496,0.0410176,0.0448216,0.0480829,0.0506261,0.0522948,0.0529728,0.0526154,0.051271,0.0490562,0.0461242,0.0426432,0.0387827,0.0347051,0.0305629,0.0264974,0.0226359,0.0190833,0.0159084,0.0131386,0.0107675,0.00876737,0.00709955,0.00572181,0.00459243,0.00367261,0.00292755,0.00232691,0.00184468,0.00145892,0.00115131,0.00090672,0.000712735,0.000559238,0.000438032,0.000342505,0.000267348,-0,-0,-0,-0,-0,-7.95856,-0,-0,-0,-6.79586,-0,-0,-5.91919,-0,-0,-5.08292,-9.64606,-4.5753,-13.0236,-16.4889,-11.7602,-26.154,-21.4309,-23.9876,-29.7082,-25.55,-18.6304,-21.2438,-35.7994,-29.5086,-32.3177,-38.2817,-41.5888,-33.1627,-21.5349,-15.7744,-16.2489,-36.9696,-20.9278,-21.7843,-22.7293,-7.91788,-12.4227,-0,-13.5937,-9.47344,-9.89545,-0,-5.38335,-0,-5.83359,-0,-6.29545,-0,-6.76686,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,2,2,4,2,4,4,4,8,6,11,8,12,21,13,11,5,10,9,12,7,8,2,6,1,6,4,1,1,1,1,3,0,1,0,0,0,1,1,1,0,0,0,0,0
-550.497,0.992296,0.0564478,6,63,0,554.55,-1.20107,-1.46834,-2.08825,-0.480779,3.02301,-0.210116,-1.0758,4.86631,2.57633,7.7846e-05,0.000106166,0.000144824,0.000197608,0.000269691,0.000368117,0.000502435,0.00068548,0.000934299,0.00127113,0.00172432,0.00232896,0.00312712,0.00416738,0.00550377,0.00719396,0.0092969,0.0118701,0.0149664,0.0186313,0.0228996,0.0275914,0.0325044,0.0374184,0.0421012,0.0463181,0.0498448,0.0524838,0.0540838,0.0545586,0.0539008,0.0521855,0.0495594,0.0462177,0.0423772,0.0382506,0.0340284,0.029869,0.025895,0.0221936,0.0188205,0.0158047,0.0131531,0.0108564,0.00889342,0.00723556,0.00585025,0.00470363,0.00376257,0.00299601,0.00237576,0.00187687,0.0014777,0.00115983,0.000907756,0.000708606,0.000551795,0.000428694,0.000332315,0.000257037,0.000198368,-0,-0,-0,-0,-0,-7.90711,-0,-0,-0,-6.66785,-0,-0,-5.76764,-0,-0,-4.93451,-9.35615,-4.43373,-12.6058,-15.9317,-11.3299,-25.1318,-20.5583,-22.9991,-28.5091,-24.5778,-17.993,-20.6308,-35.0066,-29.0848,-32.1267,-38.3884,-42.0642,-33.8183,-22.128,-16.318,-16.9028,-38.6203,-21.9222,-22.8477,-23.8368,-8.29489,-12.9933,-0,-14.1673,-9.85749,-10.2825,-0,-5.58265,-0,-6.04244,-0,-6.51727,-0,-7.00454,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,5,2,8,3,7,5,10,11,7,7,9,8,11,3,8,17,9,9,2,11,7,7,6,4,4,2,2,1,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0
-555.032,0.999827,0.0564478,5,31,0,556.555,-3.30545,-1.49483,-3.34642,-0.58829,3.36894,1.25889,-1.64447,5.18828,2.69255,7.25553e-05,9.58793e-05,0.000126746,0.000167629,0.000221836,0.000293816,0.00038958,0.000517312,0.000688267,0.000918114,0.00122896,0.00165214,0.00223041,0.0030165,0.00407042,0.00545812,0.00725042,0.00952091,0.0123419,0.0157772,0.019873,0.0245139,0.029546,0.0347835,0.0400154,0.0450044,0.0494818,0.0531398,0.0556371,0.0566861,0.0562501,0.0545236,0.0517696,0.0482512,0.0442137,0.0398806,0.0354523,0.0311031,0.0269729,0.0231591,0.0197154,0.0166608,0.0139897,0.0116809,0.00970467,0.00802685,0.00661246,0.00542748,0.00444009,0.00362129,0.00294522,0.00238917,0.00193344,0.00156112,0.00125781,0.00101138,0.000811651,0.000650122,0.00051975,0.000414715,0.000330228,-0,-0,-0,-0,-0,-8.13256,-0,-0,-0,-6.99319,-0,-0,-6.10557,-0,-0,-5.21065,-9.85339,-4.65426,-13.1843,-16.5968,-11.7552,-25.9596,-21.1309,-23.5103,-28.9664,-24.808,-18.0369,-20.5438,-34.6669,-28.7023,-31.6574,-37.8186,-41.4533,-33.3447,-21.831,-16.1093,-16.6978,-38.1749,-21.6775,-22.5922,-23.5581,-8.18939,-12.8083,-0,-13.9054,-9.64993,-10.0376,-0,-5.41708,-0,-5.82757,-0,-6.24845,-0,-6.67838,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,1,1,4,8,13,14,5,6,12,12,11,13,7,8,5,15,10,7,5,10,5,7,6,1,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
