# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 16:34:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c218a201ba.json
# init = /tmp/RtmpC8O1hA/init-b41c258bd6e2b_1.json
# random
#   seed = 952002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0081_rep009_accurate_weak/prior_sensitivity_obspair_FAST-202605291734-1-25a0b4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0081_rep009_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605291734-1-146e51.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0974785
# Diagonal elements of inverse mass matrix:
# 0.119176, 0.0903439, 0.183869, 0.012727, 0.149249, 0.117444, 0.219589
-554.145,0.996485,0.0974785,5,31,0,556.226,-3.06132,-1.37992,-0.0273346,-0.710535,1.72328,-0.035314,-1.78511,4.93588,2.92699,0.000136027,0.000174076,0.000222824,0.000285318,0.000365492,0.000468442,0.000600792,0.000771181,0.00099093,0.00127495,0.00164298,0.0021213,0.00274499,0.00356097,0.00463158,0.00603831,0.00788401,0.0102906,0.0133879,0.0172905,0.0220627,0.0276228,0.0337207,0.0399388,0.0457555,0.0506564,0.0542439,0.0563027,0.0568076,0.05589,0.0537832,0.0507682,0.0471298,0.0431266,0.0389759,0.0348477,0.0308672,0.0271196,0.0236575,0.0205079,0.0176786,0.015164,0.012949,0.011013,0.0093323,0.00788177,0.00663641,0.00557216,0.00466648,0.00389863,0.00324985,0.00270339,0.0022444,0.00185988,0.0015385,0.00127048,0.00104737,0.000861957,0.000708093,0.000580561,0.000474968,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.41124,-0,-11.796,-0,-0,-5.10963,-19.3717,-4.57652,-8.6268,-16.2304,-3.81387,-14.3565,-20.3379,-25.7633,-40.0977,-38.775,-14.5713,-43.1552,-20.0766,-25.9593,-32.1507,-35.7658,-39.7131,-22.0053,-29.2033,-26.8541,-20.8684,-18.0375,-18.7204,-15.5478,-12.1062,-12.5665,-13.0402,-27.0521,-0,-4.8432,-0,-10.3799,-5.36735,-5.54713,-11.4583,-0,-6.09932,-0,-0,-0,-0,-0,-7.25294,-0,-0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,5,4,6,9,5,8,10,17,12,11,9,12,9,8,10,5,6,8,9,3,7,4,3,1,3,1,3,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0
-554.949,0.894642,0.0974785,2,7,0,558.688,-3.04157,-1.36024,-0.0778387,-0.683046,1.73904,0.112204,-1.7781,4.75644,2.82316,0.00010461,0.000134807,0.000173773,0.000224092,0.000289128,0.000373281,0.000482329,0.000623902,0.000808134,0.00104859,0.0013636,0.00177814,0.00232664,0.00305687,0.00403534,0.00535399,0.00713654,0.00954036,0.0127464,0.0169296,0.0222084,0.0285161,0.035551,0.0427652,0.0494537,0.0549288,0.0586905,0.0605159,0.0604513,0.058743,0.0557469,0.0518487,0.0474078,0.0427264,0.0380395,0.0335159,0.0292681,0.0253628,0.021832,0.0186828,0.0159054,0.0134786,0.011375,0.00956414,0.00801448,0.00669531,0.00557756,0.0046344,0.00384153,0.00317725,0.00262242,0.00216029,0.00177638,0.00145818,0.00119501,0.000977775,0.000798766,0.00065147,0.000530412,0.000431013,0.000349461,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.59763,-0,-12.1267,-0,-0,-5.22991,-19.7701,-4.65222,-8.72501,-16.3148,-3.80728,-14.2291,-20.0207,-25.2162,-39.0873,-37.7223,-14.1774,-42.0727,-19.6414,-25.5112,-31.7563,-35.5131,-39.6366,-22.0706,-29.4222,-27.1659,-21.1875,-18.3724,-19.1219,-15.9206,-12.4233,-12.92,-13.429,-27.8984,-0,-5.00635,-0,-10.7485,-5.56188,-5.75174,-11.8873,-0,-6.33318,-0,-0,-0,-0,-0,-7.54186,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,1,1,3,6,3,8,8,3,12,3,17,11,13,12,8,13,9,6,3,7,9,3,5,1,8,2,6,0,3,1,1,1,1,0,1,0,1,0,2,0,1,0,0,0,0
-552.793,0.995001,0.0974785,5,31,0,559.018,-1.81122,-2.89322,-1.33153,-0.749046,3.03393,1.01693,-0.48651,4.9007,2.77372,0.000200955,0.000254705,0.000322884,0.000409399,0.000519233,0.000658755,0.000836128,0.00106184,0.00134944,0.00171646,0.00218582,0.00278757,0.00356134,0.00455879,0.00584429,0.00749174,0.00957845,0.0121766,0.015341,0.0190927,0.0234024,0.028149,0.0331445,0.0381473,0.0428819,0.0470566,0.0503855,0.0526287,0.0536542,0.0534604,0.0521421,0.0498586,0.0468127,0.0432321,0.0393464,0.0353618,0.0314429,0.027707,0.0242286,0.0210482,0.0181817,0.0156278,0.0133739,0.0114006,0.00968457,0.00820099,0.00692487,0.00583208,0.0049,0.0041078,0.00343664,0.00286965,0.0023919,0.00199031,0.00165344,0.0013714,0.00113568,0.000938964,0.000775044,0.000638629,0.000525249,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.12577,-0,-11.2752,-0,-0,-4.89395,-18.593,-4.40824,-8.35446,-15.8338,-3.75492,-14.281,-20.4413,-26.1304,-40.941,-39.7333,-14.9403,-44.1674,-20.4764,-26.3593,-32.4916,-35.9828,-39.8008,-21.9882,-29.1182,-26.737,-20.7575,-17.9303,-18.6011,-15.4438,-12.022,-12.4761,-12.9434,-26.8445,-0,-4.8035,-0,-10.2888,-5.31852,-5.49487,-11.3465,-0,-6.03567,-0,-0,-0,-0,-0,-7.16259,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3,0,1,4,9,5,6,5,8,10,11,12,10,7,10,12,8,5,7,8,5,6,6,8,5,3,3,6,3,3,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
-553.698,0.992401,0.0974785,5,63,0,555.694,-1.04445,-1.92141,-2.20858,-0.4444,2.82518,-0.4133,-1.44462,4.90812,2.63226,0.00011972,0.000164546,0.000225933,0.000309802,0.000424031,0.000578966,0.000787986,0.00106805,0.00144014,0.00192948,0.00256544,0.00338092,0.00441133,0.0056931,0.00726174,0.00914975,0.0113845,0.013986,0.0169652,0.0203229,0.0240485,0.0279983,0.0320184,0.035949,0.0396291,0.0429038,0.0456311,0.0476908,0.0489926,0.049484,0.0491551,0.0480408,0.0462166,0.043791,0.0408935,0.0376623,0.034233,0.0307297,0.0272595,0.0239099,0.020748,0.0178212,0.0151592,0.0127766,0.010675,0.00884598,0.00727392,0.00593814,0.00481509,0.00388007,0.00310854,0.00247713,0.00196424,0.00155048,0.00121876,0.000954311,0.000744576,0.000579009,0.000448859,0.000346944,0.000267414,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.96563,-0,-10.8472,-0,-0,-4.69403,-17.902,-4.2697,-8.15318,-15.584,-3.72768,-14.3025,-20.6487,-26.6052,-41.9665,-40.9343,-15.4358,-45.6453,-21.1126,-27.055,-33.1405,-36.4285,-39.9674,-21.8983,-28.7711,-26.2328,-20.2474,-17.4126,-18.0118,-14.9338,-11.6259,-12.0821,-12.5674,-26.1608,-0,-4.72779,-0,-10.2527,-5.336,-5.5519,-11.5472,-0,-6.23265,-0,-0,-0,-0,-0,-7.7088,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,8,3,3,2,7,7,14,13,9,14,7,11,10,8,9,6,5,6,5,3,8,4,6,2,4,5,4,3,1,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0
-551.007,0.996545,0.0974785,5,31,0,555.095,-2.81723,-1.78866,-1.59052,-0.675617,2.56026,0.245766,-0.833792,5.21768,2.85756,0.000114803,0.000148226,0.000191441,0.000247357,0.000319772,0.000413667,0.000535594,0.000694214,0.000901037,0.00117143,0.00152599,0.00199225,0.0026067,0.00341665,0.00448117,0.00587024,0.00766162,0.00993518,0.012765,0.0162096,0.0203025,0.0249632,0.0300463,0.0353381,0.0405609,0.0453894,0.0494844,0.0525454,0.054368,0.0548791,0.0541346,0.0522875,0.0495492,0.0461553,0.042339,0.0383121,0.0342529,0.030301,0.0265573,0.0230877,0.0199287,0.0170944,0.0145822,0.0123779,0.0104607,0.00880549,0.00738566,0.0061746,0.00514676,0.00427828,0.00354736,0.00293442,0.00242207,0.00199506,0.00164012,0.0013458,0.00110227,0.000901171,0.0007354,0.000598969,0.000486848,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.48511,-0,-11.8993,-0,-0,-5.13786,-19.4861,-4.61167,-8.7221,-16.4886,-3.89701,-14.7614,-21.0301,-26.7423,-41.6644,-40.2022,-15.0305,-44.1912,-20.3839,-26.1236,-32.0791,-35.412,-39.0623,-21.5302,-28.4584,-26.0959,-20.2439,-17.4829,-18.1423,-15.0738,-11.7468,-12.207,-12.6839,-26.351,-0,-4.73238,-0,-10.1746,-5.26939,-5.45421,-11.2831,-0,-6.02313,-0,-0,-0,-0,-0,-7.2151,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,5,1,10,8,9,10,11,12,7,10,11,9,11,11,7,8,5,5,2,7,4,3,3,4,3,0,4,3,1,3,1,2,0,0,1,0,0,0,1,0,0,0
-553.077,0.994165,0.0974785,5,63,0,554.437,-1.527,-1.68985,-1.32694,-0.247617,2.09895,-0.907562,-0.753056,5.03891,2.60068,6.65792e-05,9.61996e-05,0.000138414,0.000198188,0.000282207,0.000399333,0.000561121,0.000782362,0.00108161,0.00148164,0.00200976,0.00269787,0.00358219,0.00470259,0.00610134,0.00782141,0.00990414,0.0123865,0.0152979,0.0186571,0.022469,0.0266138,0.0309393,0.0352686,0.0394094,0.0431672,0.0463601,0.0488329,0.0504704,0.0512065,0.0510287,0.0499767,0.0481359,0.0456267,0.0425919,0.0391836,0.0355514,0.0318332,0.0281483,0.0245943,0.0212457,0.0181546,0.0153531,0.0128556,0.0106625,0.00876352,0.00714026,0.00576938,0.00462467,0.00367893,0.00290537,0.00227859,0.00177525,0.00137442,0.00105775,0.000809431,0.000616079,0.000466521,0.000351559,0.000263707,0.00019694,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.20974,-0,-11.2636,-0,-0,-4.85089,-18.4592,-4.39115,-8.36008,-15.9261,-3.79562,-14.5053,-20.8544,-26.7581,-42.0388,-40.8548,-15.3566,-45.2903,-20.9046,-26.747,-32.729,-35.9544,-39.4385,-21.6108,-28.4048,-25.916,-20.0206,-17.2362,-17.8513,-14.821,-11.5548,-12.0265,-12.5293,-26.1239,-0,-4.73716,-0,-10.3104,-5.37635,-5.60513,-11.6824,-0,-6.33381,-0,-0,-0,-0,-0,-7.95313,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,2,0,4,6,7,5,10,10,8,7,8,5,18,12,6,11,13,7,5,9,7,6,3,3,3,6,2,0,2,0,1,1,0,2,1,0,3,0,0,0,0,0,0,0
