# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 16:56:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c277f415e5.json
# init = /tmp/RtmpC8O1hA/init-b41c2652efb70_4.json
# random
#   seed = 952004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0083_rep009_accurate_strong/prior_sensitivity_obspair_FAST-202605291756-4-28a221.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0083_rep009_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605291756-4-46f8dc.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.171458
# Diagonal elements of inverse mass matrix:
# 0.0405764, 0.0610968, 0.00625963, 0.00401721, 0.00902143, 0.00673458, 0.00798541
-552.873,0.998515,0.171458,4,31,0,554.484,-2.46038,-2.44316,-1.41828,-0.359422,3.30191,0.0873952,-1.00906,5.02002,2.30306,3.35275e-05,4.75464e-05,6.74339e-05,9.56515e-05,0.000135696,0.000192533,0.000273205,0.000387678,0.000549966,0.00077957,0.00110315,0.00155615,0.00218401,0.00304229,0.00419536,0.00571326,0.00766648,0.0101187,0.0131181,0.0166874,0.0208156,0.0254265,0.030393,0.0355385,0.0406436,0.0454577,0.0497151,0.0531571,0.0555601,0.0567675,0.0567148,0.0554377,0.0530597,0.0497674,0.045784,0.0413459,0.0366831,0.0320044,0.0274849,0.0232591,0.0194184,0.0160132,0.013059,0.0105441,0.00843805,0.00669937,0.00528156,0.00413771,0.0032234,0.00249849,0.00192782,0.00148138,0.00113407,0.000865221,0.000658032,0.000499002,0.000377383,0.000284682,0.000214237,0.000160853,0.000120503,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.80959,-0,-12.2532,-0,-0,-5.16497,-19.4836,-4.59337,-8.66752,-16.3724,-3.87205,-14.6878,-20.9613,-26.6971,-41.6379,-40.1826,-15.0072,-44.0176,-20.232,-25.8191,-31.5669,-34.7099,-38.1724,-21.0028,-27.7544,-25.4863,-19.8326,-17.2094,-17.9706,-15.0442,-11.8246,-12.403,-13.0148,-27.3131,-0,-5.00574,-0,-10.9752,-5.73732,-5.99207,-12.5027,-0,-6.78194,-0,-0,-0,-0,-0,-8.44843,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,1,3,10,7,4,5,9,14,10,15,11,12,11,16,9,7,9,8,4,2,4,4,5,4,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-553.315,0.993303,0.171458,4,31,0,555.722,-1.57957,-2.78402,-1.52983,-0.48139,3.74475,0.0168162,-1.11462,5.1254,2.46928,8.48785e-05,0.000115658,0.000157617,0.000214822,0.000292814,0.000399128,0.000543966,0.000741033,0.0010085,0.00136998,0.00185526,0.00250046,0.00334742,0.00444196,0.00583114,0.00755956,0.00966478,0.0121724,0.015091,0.0184077,0.0220855,0.0260405,0.0301602,0.0343077,0.0383273,0.0420532,0.0453186,0.0479669,0.0498643,0.0509135,0.0510659,0.0503276,0.0487578,0.0464589,0.0435628,0.0402174,0.0365757,0.0327856,0.0289829,0.0252843,0.0217839,0.0185505,0.0156278,0.0130365,0.0107783,0.00883999,0.0071984,0.00582421,0.00468552,0.00375029,0.0029881,0.0023711,0.00187459,0.00147711,0.00116039,0.000909038,0.0007103,0.000553677,0.000430611,0.000334174,0.000258788,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28973,-0,-11.3991,-0,-0,-4.88494,-18.5571,-4.40858,-8.38732,-15.98,-3.81283,-14.5924,-21.0074,-26.9791,-42.4007,-41.1947,-15.4702,-45.5587,-20.9892,-26.7986,-32.721,-35.8704,-39.2716,-21.4843,-28.202,-25.7076,-19.8502,-17.0888,-17.7053,-14.7103,-11.4797,-11.9618,-12.4761,-26.04,-0,-4.72847,-0,-10.2915,-5.36328,-5.58592,-11.6262,-0,-6.27937,-0,-0,-0,-0,-0,-7.7503,-0,-0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,2,1,1,2,4,1,4,6,6,7,14,9,16,9,11,6,13,10,13,8,11,7,4,5,5,4,3,0,2,1,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
-555.761,0.968254,0.171458,5,31,0,560.164,-3.0328,-1.9194,-1.10225,-0.485071,3.21199,0.123458,-0.765678,5.27135,2.47658,3.97731e-05,5.41523e-05,7.37502e-05,0.000100477,0.000136956,0.000186798,0.000254989,0.000348438,0.000476753,0.000653318,0.000896771,0.00123289,0.00169681,0.00233519,0.00320776,0.00438745,0.00595835,0.0080107,0.0106325,0.0138979,0.017853,0.0224751,0.0276738,0.0332826,0.0390566,0.0446816,0.0497961,0.0540304,0.0570617,0.058672,0.058785,0.0574657,0.0548932,0.0513201,0.047034,0.0423239,0.0374543,0.0326479,0.0280753,0.0238542,0.0200532,0.0167008,0.0137949,0.0113126,0.00921793,0.00746886,0.00602133,0.00483257,0.00386283,0.00307638,0.00244189,0.00193235,0.00152485,0.00120015,0.000942303,0.00073817,0.000577008,0.000450094,0.000350381,0.000272205,0.000211036,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.01671,-0,-12.758,-0,-0,-5.42901,-20.4918,-4.82698,-9.08768,-17.1041,-4.02558,-15.1814,-21.5236,-27.2218,-42.1557,-40.4065,-14.9991,-43.7731,-20.0454,-25.5221,-31.1726,-34.2788,-37.7308,-20.7877,-27.512,-25.2992,-19.7078,-17.1099,-17.8643,-14.9432,-11.7281,-12.2769,-12.8504,-26.8911,-0,-4.89701,-0,-10.6648,-5.55636,-5.784,-12.03,-0,-6.48586,-0,-0,-0,-0,-0,-7.95649,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,4,4,7,6,5,8,8,8,5,10,17,14,11,8,9,8,17,5,9,6,6,0,4,5,3,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-558.37,0.95947,0.171458,5,31,0,564.108,-1.05463,-3.25385,-1.51882,-0.586019,3.26179,0.0501757,-0.701446,4.62589,2.51296,0.000163096,0.000215506,0.000284784,0.000376373,0.000497469,0.000657583,0.000869245,0.00114889,0.00151787,0.0020035,0.0026399,0.00346808,0.00453493,0.00589057,0.00758421,0.00965878,0.0121451,0.0150561,0.0183818,0.0220857,0.0261042,0.0303077,0.0345411,0.0386311,0.0423957,0.045656,0.0482491,0.0500419,0.0509454,0.0509253,0.0500057,0.0482637,0.0458179,0.0428126,0.0394048,0.0357512,0.0319992,0.0282786,0.0246966,0.0213344,0.0182478,0.0154683,0.013007,0.010859,0.00900799,0.00743025,0.00609804,0.0049823,0.00405443,0.00328755,0.00265712,0.00214131,0.00172103,0.00137987,0.00110383,0.000881138,0.000701966,0.00055815,0.000442965,0.000350893,0.000277432,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.93701,-0,-10.7919,-0,-0,-4.63989,-17.6433,-4.19597,-7.99279,-15.2513,-3.64566,-13.9854,-20.1936,-26.0296,-41.0892,-40.1261,-15.1569,-44.9234,-20.839,-26.7966,-32.9518,-36.3729,-40.0801,-22.0565,-29.1048,-26.6494,-20.6523,-17.8282,-18.5055,-15.3897,-12.0111,-12.5069,-13.0268,-27.1366,-0,-4.9022,-0,-10.6037,-5.50794,-5.71761,-11.861,-0,-6.36483,-0,-0,-0,-0,-0,-7.72202,-0,-0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,3,3,1,4,3,8,9,11,7,9,12,9,8,8,12,11,10,6,10,10,4,10,2,2,6,2,1,2,1,2,0,0,1,3,0,0,3,1,0,0,0,0,0,0,0,0
-559.687,0.991086,0.171458,4,15,0,563.152,-2.05919,-1.35483,-0.895801,-0.578007,3.68336,-0.0249097,-1.03154,5.4177,2.55628,2.52785e-05,3.35675e-05,4.46186e-05,5.93851e-05,7.91735e-05,0.000105792,0.000141772,0.000190707,0.000257777,0.000350568,0.000480344,0.000663967,0.000926669,0.0013057,0.00185456,0.00264715,0.00378045,0.00537436,0.00756698,0.010504,0.0143215,0.0190736,0.02473,0.0311477,0.0380528,0.0450408,0.051605,0.0571975,0.0613198,0.0636181,0.0639519,0.0624056,0.0592478,0.0548608,0.0496673,0.0440713,0.0384189,0.0329772,0.0279307,0.0233879,0.0193954,0.0159542,0.0130343,0.0105881,0.00855976,0.00689203,0.00553015,0.00442429,0.00353051,0.00281097,0.00223362,0.0017717,0.00140302,0.0011094,0.000876005,0.000690775,0.000543978,0.000427778,0.000335886,0.000263274,0.000205932,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.64101,-0,-13.9678,-0,-0,-5.93427,-22.3117,-5.22612,-9.76792,-18.224,-4.24599,-15.8378,-22.1984,-27.7521,-42.4941,-40.3024,-14.8207,-42.9187,-19.5416,-24.7937,-30.2459,-33.2892,-36.7383,-20.3207,-27.0217,-24.9756,-19.5552,-17.0597,-17.8902,-15.0222,-11.8282,-12.4141,-13.0205,-27.2882,-0,-4.97739,-0,-10.8413,-5.64631,-5.87423,-12.2083,-0,-6.56913,-0,-0,-0,-0,-0,-7.99874,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,6,1,3,3,11,9,10,13,7,9,16,12,5,8,12,13,9,7,10,5,7,3,5,2,0,1,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0
-554.059,0.99231,0.171458,4,15,0,564.065,-1.15129,-2.74529,-1.16709,-0.485391,3.8502,-0.118167,-1.03705,4.87254,2.38803,9.36163e-05,0.000127413,0.000173428,0.000236081,0.000321382,0.000437481,0.00059538,0.000809812,0.00110026,0.00149201,0.00201699,0.00271409,0.00362853,0.00481008,0.00630976,0.00817541,0.0104461,0.0131462,0.0162792,0.0198235,0.0237288,0.027896,0.0321944,0.0364664,0.0405363,0.0442212,0.0473435,0.0497457,0.0513042,0.0519422,0.0516379,0.0504263,0.0483933,0.0456643,0.0423904,0.0387347,0.0348602,0.0309192,0.0270453,0.0233481,0.0199097,0.0167847,0.0140022,0.0115696,0.00947709,0.00770275,0.00621711,0.00498688,0.00397798,0.00315757,0.00249534,0.00196424,0.00154072,0.00120466,0.000939178,0.000730259,0.000566422,0.000438335,0.000338475,0.000260816,0.000200561,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.20615,-0,-11.2379,-0,-0,-4.80662,-18.2461,-4.33163,-8.23573,-15.6835,-3.74107,-14.3171,-20.6158,-26.4909,-41.6722,-40.5412,-15.2516,-45.0125,-20.7899,-26.6186,-32.5985,-35.8469,-39.3691,-21.6051,-28.4475,-26.0082,-20.1385,-17.3819,-18.0512,-15.029,-11.7496,-12.2619,-12.8056,-26.7562,-0,-4.86618,-0,-10.6019,-5.52698,-5.75795,-11.9867,-0,-6.4755,-0,-0,-0,-0,-0,-7.99106,-0,-0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2,4,4,8,5,2,6,4,7,4,7,10,11,11,17,9,9,9,8,8,8,7,5,7,3,4,2,2,2,5,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0
