# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 17:00:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c242737df6.json
# init = /tmp/RtmpC8O1hA/init-b41c2589bf4c3_1.json
# random
#   seed = 952005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0084_rep009_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605291800-1-759222.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0084_rep009_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605291800-1-25dc75.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0883805
# Diagonal elements of inverse mass matrix:
# 0.1729, 0.0754654, 0.189586, 0.0121164, 0.208566, 0.147577, 0.276958
-551.414,0.965136,0.0883805,6,63,0,555.315,-1.58415,-2.3304,-1.09304,-0.855885,3.65699,1.02848,-0.875156,5.30274,2.85136,0.000205916,0.00025521,0.000316468,0.000392684,0.000487646,0.000606182,0.00075448,0.000940543,0.00117483,0.00147118,0.00184818,0.00233116,0.00295477,0.00376526,0.00482089,0.00619051,0.00795025,0.0101774,0.01294,0.0162813,0.0202017,0.024627,0.029416,0.03437,0.0392482,0.0437837,0.0477002,0.0507334,0.0526705,0.0534066,0.0529598,0.0514361,0.0489978,0.0458445,0.0421963,0.0382761,0.0342874,0.0303954,0.0267164,0.0233203,0.0202404,0.0174844,0.0150436,0.0128995,0.0110285,0.00940459,0.00800151,0.0067939,0.00575795,0.00487181,0.00411571,0.003472,0.00292504,0.00246106,0.00206806,0.00173559,0.00145463,0.00121742,0.0010173,0.000848595,0.000706486,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.29355,-0,-11.6487,-0,-0,-5.08474,-19.3382,-4.58759,-8.69487,-16.471,-3.90199,-14.8157,-21.1573,-26.9646,-42.092,-40.6704,-15.2141,-44.7176,-20.6059,-26.3684,-32.3204,-35.609,-39.2077,-21.5775,-28.4888,-26.1034,-20.2379,-17.4673,-18.1124,-15.0337,-11.7002,-12.1393,-12.5904,-26.1034,-0,-4.66656,-0,-9.98346,-5.15717,-5.32429,-10.9859,-0,-5.83445,-0,-0,-0,-0,-0,-6.89061,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,1,8,5,3,9,9,12,5,6,7,5,11,9,16,12,13,7,8,9,14,2,3,3,2,1,1,1,3,1,3,0,0,1,1,0,0,0,1,0,1,0,0,0
-552.295,0.998549,0.0883805,5,63,0,553.331,-1.84227,-1.93257,-0.948684,-0.375193,2.66405,-0.689933,-0.835611,5.15748,2.57328,6.50959e-05,9.12821e-05,0.000127823,0.000178681,0.000249243,0.00034677,0.000480946,0.000664531,0.000914092,0.00125076,0.00170097,0.00229692,0.00307681,0.00408433,0.00536745,0.00697612,0.00895891,0.0113586,0.014207,0.0175195,0.0212901,0.0254399,0.0298469,0.0343488,0.0387507,0.042839,0.0464001,0.0492411,0.0512105,0.0522135,0.0522201,0.0512649,0.0494389,0.0468754,0.0437346,0.0401866,0.0363982,0.0325216,0.0286877,0.0250019,0.0215434,0.0183659,0.0155006,0.0129597,0.01074,0.00882729,0.00719937,0.00582946,0.00468857,0.00374739,0.0029777,0.00235327,0.00185039,0.00144814,0.00112836,0.000875603,0.000676866,0.00052136,0.000400223,0.000306248,0.00023362,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.37656,-0,-11.5677,-0,-0,-4.96526,-18.8604,-4.47778,-8.50804,-16.1778,-3.84951,-14.6857,-21.07,-26.9695,-42.2579,-40.954,-15.3523,-45.1654,-20.8027,-26.5717,-32.4752,-35.649,-39.0912,-21.4218,-28.1665,-25.7138,-19.8794,-17.1293,-17.7564,-14.7552,-11.5131,-11.9918,-12.5006,-26.0755,-0,-4.72991,-0,-10.2897,-5.36263,-5.5867,-11.6332,-0,-6.29236,-0,-0,-0,-0,-0,-7.82349,-0,-0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,3,5,1,3,3,6,5,6,5,7,10,11,19,16,14,6,10,6,11,9,5,3,3,4,3,4,2,2,2,1,3,1,1,2,1,0,0,1,0,0,0,0,0,0
-553.19,0.991236,0.0883805,6,63,0,557.051,-1.88739,-1.43708,-1.70714,-0.79628,3.88732,1.51306,-0.473425,5.47858,2.94228,0.000109581,0.000137684,0.000173118,0.000217872,0.000274512,0.000346388,0.000437908,0.000554956,0.000705507,0.000900602,0.00115594,0.00149452,0.00195001,0.00256798,0.00340531,0.00453064,0.00602486,0.00798041,0.0104983,0.0136812,0.0176211,0.0222346,0.0273813,0.0328713,0.0384725,0.0439093,0.0488585,0.052943,0.05574,0.0569056,0.0564748,0.0547208,0.0519422,0.048418,0.0444015,0.0401201,0.0357771,0.0315464,0.0275604,0.0239003,0.0206024,0.017672,0.0150957,0.0128493,0.0109036,0.00922758,0.00779054,0.0065632,0.00551849,0.00463187,0.00388137,0.00324755,0.00271335,0.00226394,0.00188644,0.00156978,0.00130449,0.00108244,0.00089675,0.000741558,0.000611907,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.76284,-0,-12.4798,-0,-0,-5.39689,-20.4474,-4.83077,-9.11308,-17.1669,-4.03866,-15.2244,-21.5874,-27.3212,-42.3516,-40.6332,-15.0941,-44.0781,-20.2094,-25.7972,-31.6136,-34.8661,-38.4491,-21.1952,-28.0303,-25.727,-19.9827,-17.2815,-17.9569,-14.9355,-11.647,-12.1073,-12.58,-26.1268,-0,-4.68556,-0,-10.0526,-5.19965,-5.37479,-11.1031,-0,-5.90957,-0,-0,-0,-0,-0,-7.01673,-0,-0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,2,0,3,2,2,4,0,6,5,13,8,9,7,13,9,14,21,7,12,9,5,2,7,4,5,2,5,6,1,1,3,0,1,1,1,1,0,1,1,0,0,0,0,0,1
-552.348,0.988661,0.0883805,5,63,0,557.222,-0.938163,-1.60984,-1.2059,-0.682562,4.55786,-0.27632,-1.44682,5.48828,2.75772,8.21873e-05,0.000106562,0.000138418,0.000180202,0.000235242,0.0003081,0.000405068,0.000534856,0.000709503,0.000945532,0.00126525,0.00169807,0.00228146,0.0030613,0.00409109,0.00542988,0.00713876,0.00927609,0.0118917,0.0150206,0.0186772,0.0227904,0.0272477,0.031897,0.0365522,0.0410033,0.0450309,0.0484234,0.0509961,0.0526095,0.0531851,0.052714,0.0512571,0.048935,0.0459117,0.0423738,0.0385116,0.0345036,0.0305049,0.0266419,0.0230093,0.0196712,0.0166644,0.0140024,0.0116809,0.00968262,0.00798182,0.0065482,0.00534976,0.00435498,0.00353418,0.00286035,0.00230953,0.00186086,0.00149648,0.00120128,0.000962608,0.00076994,0.000614611,0.000489513,0.000388845,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.67248,-0,-12.1659,-0,-0,-5.21584,-19.7689,-4.68032,-8.86383,-16.7933,-3.98045,-15.1257,-21.6167,-27.5619,-43.0172,-41.5233,-15.502,-45.4166,-20.832,-26.5037,-32.2737,-35.3145,-38.6217,-21.1208,-27.7293,-25.2898,-19.5408,-16.8335,-17.4493,-14.5011,-11.3156,-11.7858,-12.2834,-25.6112,-0,-4.63742,-0,-10.0571,-5.2307,-5.43644,-11.2906,-0,-6.07071,-0,-0,-0,-0,-0,-7.39452,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,3,8,2,16,6,8,7,9,7,9,16,6,12,15,11,10,10,3,9,5,4,6,1,2,4,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
-554.863,0.924879,0.0883805,5,47,0,558.232,0.371157,-1.08295,-1.28716,-0.945311,3.83725,0.209078,-1.14859,4.72791,2.98947,9.49347e-05,0.000116953,0.000144544,0.000179358,0.000223659,0.000280622,0.000354793,0.000452844,0.000584795,0.000765976,0.00102007,0.00138339,0.00191,0.00267624,0.00378261,0.00535141,0.00751993,0.0104298,0.0142141,0.018983,0.0248106,0.0311021,0.0374204,0.0434144,0.0487762,0.0532236,0.056503,0.0584118,0.0588368,0.0577907,0.0554244,0.0519991,0.0478311,0.043237,0.0384968,0.0338346,0.0294134,0.025339,0.0216682,0.0184198,0.0155853,0.0131391,0.0110455,0.00926524,0.00775879,0.0064887,0.00542087,0.00452499,0.00377457,0.00314675,0.00262197,0.00218354,0.00181733,0.00151135,0.00125545,0.00104105,0.000860922,0.000709007,0.000580275,0.000470595,0.00037662,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.88788,-0,-12.5213,-0,-0,-5.23039,-19.5608,-4.56309,-8.50705,-15.8568,-3.69648,-13.8819,-19.7132,-25.0957,-39.2667,-38.1323,-14.3673,-42.6036,-19.8309,-25.6584,-31.8201,-35.4783,-39.521,-21.9874,-29.3146,-27.0902,-21.1578,-18.3771,-19.1595,-15.9773,-12.4843,-12.9965,-13.5172,-28.0889,-0,-5.03769,-0,-10.7963,-5.57947,-5.76138,-11.8877,-0,-6.31039,-0,-0,-0,-0,-0,-7.45201,-0,-0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,3,4,2,2,7,10,7,9,7,9,14,9,15,9,12,12,12,5,8,9,8,2,7,1,0,1,4,0,1,0,2,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0
-555.699,0.996778,0.0883805,4,23,0,560.652,0.369436,-1.13377,-1.3357,-1.04818,3.43758,0.187759,-1.63437,4.67925,3.1483,0.000168568,0.000203997,0.000247637,0.000301742,0.000369342,0.000454584,0.000563252,0.000703576,0.000887482,0.00113255,0.00146492,0.00192338,0.00256418,0.00346537,0.00472804,0.00647263,0.00882977,0.0119271,0.0158746,0.0207503,0.0265876,0.0327928,0.0388952,0.0445119,0.0493224,0.0530607,0.0555247,0.0565989,0.0562794,0.0546817,0.0520198,0.0485638,0.044594,0.0403676,0.0360993,0.0319538,0.028046,0.024447,0.0211921,0.0182899,0.0157305,0.0134924,0.0115479,0.00986699,0.00841939,0.00717638,0.00611147,0.00520074,0.0044229,0.00375924,0.0031934,0.00271115,0.00230014,0.00194965,0.0016504,0.00139433,0.0011745,0.000985007,0.00082087,0.000677981,0.000553006,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.52595,-0,-11.9322,-0,-0,-5.04017,-18.9185,-4.42894,-8.28607,-15.5008,-3.62731,-13.6702,-19.4813,-24.896,-39.1219,-38.1721,-14.4546,-43.0765,-20.142,-26.156,-32.5174,-36.2985,-40.432,-22.4681,-29.8933,-27.5477,-21.4435,-18.5562,-19.2706,-16.0056,-12.4565,-12.9169,-13.3837,-27.7114,-0,-4.93696,-0,-10.5179,-5.42096,-5.58354,-11.4933,-0,-6.07479,-0,-0,-0,-0,-0,-7.10515,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,3,1,5,1,9,7,10,7,10,15,7,12,11,12,13,9,7,11,4,4,6,5,2,3,10,2,0,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
