# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 17:16:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25b4f67d6.json
# init = /tmp/RtmpC8O1hA/init-b41c22075ecd4_4.json
# random
#   seed = 952007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0086_rep009_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605291816-4-1db136.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0086_rep009_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605291816-4-644802.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.285524
# Diagonal elements of inverse mass matrix:
# 0.0271117, 0.028204, 0.00716506, 0.00229962, 0.00778465, 0.00649159, 0.00838306
-552.978,0.982384,0.285524,4,15,0,555.635,-1.07919,-1.25753,-1.17824,-0.86853,3.93413,0.199528,-0.876792,5.31599,2.8925,7.62671e-05,9.48207e-05,0.000118115,0.000147489,0.000184727,0.000232252,0.000293412,0.000372931,0.000477625,0.000617522,0.000807603,0.00107034,0.00143906,0.00196173,0.00270447,0.00375368,0.00521565,0.00721278,0.0098757,0.0133313,0.0176877,0.0228617,0.0286863,0.0349074,0.0411905,0.0471394,0.0523296,0.0563575,0.058904,0.0597973,0.0590495,0.0568425,0.0534723,0.0492829,0.0446118,0.0397564,0.0349558,0.0303861,0.0261631,0.0223509,0.0189729,0.0160231,0.0134768,0.0112983,0.00944751,0.00788347,0.00656731,0.00546337,0.00453981,0.00376872,0.00312599,0.00259094,0.00214597,0.00177618,0.00146899,0.00121384,0.00100183,0.000825529,0.00067875,0.00055634,0.000454045,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.12144,-0,-13.0875,-0,-0,-5.58502,-21.0244,-4.9319,-9.23536,-17.2705,-4.03488,-15.1132,-21.308,-26.8405,-41.4641,-39.7104,-14.751,-43.1406,-19.8229,-25.3512,-31.1232,-34.4097,-38.0717,-21.0713,-27.9878,-25.7999,-20.122,-17.4688,-18.217,-15.2036,-11.8942,-12.4012,-12.9204,-26.8986,-0,-4.84299,-0,-10.4194,-5.39487,-5.58102,-11.536,-0,-6.14416,-0,-0,-0,-0,-0,-7.29526,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,2,6,3,6,9,6,2,7,10,8,11,9,19,9,7,12,11,9,12,4,5,3,5,4,2,3,2,3,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0
-552.069,0.959617,0.285524,4,15,0,555.909,-1.11292,-2.19623,-1.22754,-0.689715,3.87892,0.11663,-0.898144,5.03591,2.61349,0.000147962,0.000190574,0.000245613,0.000316797,0.000409019,0.000528746,0.000684564,0.000887923,0.00115412,0.00150354,0.00196298,0.00256695,0.00335825,0.00438737,0.00571038,0.00738505,0.00946547,0.0119953,0.0150006,0.0184829,0.0224134,0.026694,0.031186,0.0357149,0.0400801,0.0440669,0.0474633,0.0500782,0.0517625,0.0524282,0.052061,0.0507198,0.0485234,0.0456308,0.0422215,0.0384785,0.0345753,0.0306655,0.0268761,0.0233036,0.0200141,0.0170451,0.0144106,0.0121063,0.0101148,0.00841108,0.00696576,0.0057483,0.00472889,0.0038796,0.00317507,0.00259279,0.00211308,0.00171895,0.00139592,0.00113171,0.000916023,0.000740225,0.000597149,0.000480858,0.000386452,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.23329,-0,-11.3927,-0,-0,-4.9083,-18.6404,-4.42324,-8.39932,-15.9636,-3.7981,-14.4933,-20.8067,-26.6575,-41.8194,-40.5866,-15.239,-44.9125,-20.7276,-26.5348,-32.5087,-35.7773,-39.3342,-21.6102,-28.4834,-26.0612,-20.1877,-17.4231,-18.0826,-15.0366,-11.734,-12.2157,-12.7194,-26.4842,-0,-4.7782,-0,-10.3177,-5.35407,-5.55202,-11.5048,-0,-6.15961,-0,-0,-0,-0,-0,-7.42334,-0,-0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,3,5,4,5,4,8,5,11,14,7,13,7,9,8,6,8,16,7,7,12,4,10,6,3,4,2,1,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,1
-553.114,0.986279,0.285524,4,15,0,554.327,-2.52035,-2.25476,-1.01208,-0.617551,3.72488,0.405804,-0.799774,5.56588,2.6103,6.60616e-05,8.66075e-05,0.000113585,0.000149036,0.000195674,0.000257118,0.00033822,0.000445528,0.000587944,0.000777669,0.00103151,0.00137262,0.00183254,0.00245319,0.00328822,0.00440331,0.00587441,0.00778321,0.0102089,0.0132159,0.0168391,0.0210588,0.0257951,0.0309034,0.0361772,0.0413591,0.0461572,0.0502687,0.0534155,0.055387,0.0560772,0.0554925,0.0537357,0.0509805,0.0474468,0.0433769,0.0390121,0.0345722,0.0302394,0.0261494,0.0223912,0.0190121,0.0160267,0.0134266,0.0111882,0.00927943,0.00766474,0.00630795,0.0051744,0.00423207,0.00345209,0.00280897,0.00228049,0.00184755,0.00149384,0.00120558,0.000971179,0.000780966,0.000626896,0.000502313,0.000401736,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.87673,-0,-12.6041,-0,-0,-5.4254,-20.5486,-4.85579,-9.16899,-17.3053,-4.08405,-15.4418,-21.9454,-27.8151,-43.1512,-41.411,-15.3785,-44.8556,-20.5076,-26.0407,-31.6913,-34.6981,-38.0078,-20.8342,-27.4333,-25.1026,-19.4633,-16.8235,-17.493,-14.5757,-11.3973,-11.888,-12.4005,-25.8631,-0,-4.67995,-0,-10.1319,-5.26403,-5.46506,-11.3376,-0,-6.08337,-0,-0,-0,-0,-0,-7.37473,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,2,5,5,8,7,12,11,5,10,13,21,12,12,8,7,10,8,2,5,8,3,1,3,1,2,2,2,0,2,1,0,1,1,1,0,1,0,0,0,0,0
-552.521,0.995333,0.285524,4,15,0,554.264,-1.7273,-2.34406,-1.12397,-0.568866,3.50645,0.279059,-0.79347,4.95808,2.44895,7.97252e-05,0.000105913,0.000140745,0.000187109,0.000248878,0.00033127,0.000441334,0.000588645,0.00078625,0.00105198,0.00141014,0.00189358,0.0025456,0.00342121,0.00458678,0.00611734,0.00809125,0.0105819,0.0136465,0.0173137,0.0215708,0.026332,0.0314491,0.0367157,0.0418772,0.0466482,0.0507359,0.0538704,0.0558408,0.0565297,0.0559302,0.0541378,0.0513252,0.0477137,0.0435473,0.0390697,0.0345047,0.0300415,0.0258251,0.0219535,0.0184817,0.0154289,0.0127876,0.0105327,0.00862877,0.00703595,0.00571363,0.00462299,0.00372845,0.00299827,0.00240476,0.00192412,0.00153616,0.00122393,0.000973299,0.000772596,0.000612215,0.000484305,0.00038247,0.000301528,0.000237288,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.56406,-0,-11.9468,-0,-0,-5.09663,-19.2679,-4.54861,-8.58854,-16.225,-3.83641,-14.5479,-20.7563,-26.4364,-41.2492,-39.8466,-14.9056,-43.8176,-20.1967,-25.8569,-31.7202,-34.9947,-38.6045,-21.2978,-28.2052,-25.9393,-20.2,-17.5259,-18.282,-15.2753,-11.9729,-12.5145,-13.0778,-27.3196,-0,-4.95672,-0,-10.7534,-5.59176,-5.80972,-12.0606,-0,-6.47847,-0,-0,-0,-0,-0,-7.86886,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,0,4,3,6,3,6,4,8,9,10,12,13,6,16,6,12,11,7,6,9,11,7,7,4,2,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-553.783,0.994706,0.285524,4,15,0,554.847,-1.88875,-2.42626,-1.30805,-0.580304,3.45645,0.351846,-0.825466,5.05597,2.51872,8.86451e-05,0.000117366,0.000155431,0.000205911,0.000272906,0.000361906,0.000480285,0.000637989,0.000848465,0.00112992,0.00150694,0.00201228,0.00268842,0.00358824,0.00477397,0.00631427,0.00827901,0.0107318,0.0137202,0.0172652,0.0213508,0.0258925,0.0307527,0.0357439,0.0406384,0.0451822,0.049113,0.0521842,0.0541961,0.055029,0.0546634,0.0531736,0.0507055,0.047451,0.0436254,0.039449,0.0351297,0.0308492,0.0267527,0.0229441,0.0194877,0.0164129,0.0137226,0.0114008,0.00941961,0.00774509,0.00634106,0.00517184,0.00420386,0.00340655,0.00275275,0.00221876,0.00178414,0.00143153,0.00114626,0.000916065,0.000730743,0.000581863,0.000462492,0.000366953,0.000290615,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.49767,-0,-11.8376,-0,-0,-5.06494,-19.1761,-4.53454,-8.57777,-16.2362,-3.84667,-14.6152,-20.8907,-26.651,-41.6395,-40.2617,-15.0682,-44.2946,-20.406,-26.099,-31.9722,-35.2103,-38.7624,-21.3364,-28.189,-25.862,-20.0922,-17.3932,-18.1056,-15.0988,-11.8139,-12.3291,-12.8661,-26.8444,-0,-4.8607,-0,-10.5291,-5.47175,-5.68206,-11.7903,-0,-6.32882,-0,-0,-0,-0,-0,-7.67888,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,1,3,2,4,7,6,5,5,5,15,5,13,15,10,8,9,9,7,7,5,7,6,5,2,2,6,4,3,4,1,2,2,2,0,1,0,1,0,1,0,1,0,0,0
-553.811,0.960265,0.285524,4,15,0,559.666,-2.42818,-1.72706,-1.2053,-0.598007,3.68881,0.203262,-0.741833,5.58539,2.64934,5.27406e-05,6.95554e-05,9.17825e-05,0.000121202,0.000160207,0.000212031,0.000281078,0.000373391,0.000497331,0.000664547,0.00089131,0.00120024,0.00162228,0.00219863,0.00298211,0.00403757,0.00544061,0.00727415,0.00962221,0.012561,0.0161475,0.0203735,0.0251742,0.0304197,0.0359104,0.0413809,0.046513,0.0509618,0.0543988,0.0565682,0.0573363,0.0567112,0.0548234,0.0518868,0.0481585,0.0439059,0.0393819,0.0348082,0.0303637,0.0261807,0.0223456,0.0189047,0.0158721,0.0132385,0.0109792,0.00906052,0.00744488,0.00609406,0.00497148,0.00404341,0.0032796,0.00265345,0.00214194,0.00172538,0.00138707,0.001113,0.000891466,0.000712751,0.000568842,0.000453149,0.00036028,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.02282,-0,-12.8478,-0,-0,-5.51211,-20.8555,-4.92343,-9.28736,-17.5086,-4.12599,-15.5741,-22.0916,-27.9413,-43.2475,-41.4042,-15.3401,-44.6502,-20.3799,-25.8508,-31.447,-34.4374,-37.7473,-20.7108,-27.2993,-25.0057,-19.4067,-16.7895,-17.4725,-14.5709,-11.4034,-11.905,-12.4296,-25.9478,-0,-4.70383,-0,-10.2009,-5.30404,-5.51067,-11.4401,-0,-6.14604,-0,-0,-0,-0,-0,-7.47191,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,2,1,2,5,5,7,7,10,13,10,11,9,16,15,13,10,6,8,6,9,5,3,4,2,3,0,4,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0
