# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 17:30:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c247fa8f26.json
# init = /tmp/RtmpC8O1hA/init-b41c22cfdc76f_4.json
# random
#   seed = 952009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0088_rep009_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605291830-4-8e79be.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0088_rep009_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605291830-4-5b6f1a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.115633
# Diagonal elements of inverse mass matrix:
# 0.0859595, 0.0777951, 0.0305028, 0.0074661, 0.0440062, 0.036938, 0.0584971
-554.39,0.99951,0.115633,5,31,0,556.799,-1.47231,-1.67579,-1.3044,-0.675986,4.05642,1.16697,-0.905674,5.06204,2.50449,6.65332e-05,8.60245e-05,0.000111311,0.000144175,0.000186984,0.00024292,0.000316297,0.000413066,0.000541585,0.00071389,0.000947814,0.00127032,0.00172127,0.00235554,0.00324335,0.00447004,0.00613416,0.00834278,0.011202,0.0148012,0.01919,0.0242997,0.0299764,0.0359896,0.0420483,0.0478167,0.0529292,0.0570064,0.0596825,0.0606826,0.0599677,0.057739,0.0542972,0.0499654,0.0450624,0.0398882,0.0347131,0.0297631,0.0252051,0.0211367,0.0175906,0.0145534,0.0119846,0.00983218,0.00804128,0.00655938,0.00533856,0.00433646,0.00351637,0.00284696,0.00230176,0.00185856,0.00149891,0.00120747,0.000971611,0.000780945,0.000626959,0.000502695,0.000402484,0.000321713,0.000256642,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.96135,-0,-12.7294,-0,-0,-5.41036,-20.3755,-4.78636,-8.98332,-16.8522,-3.95337,-14.8692,-21.0441,-26.5962,-41.1962,-39.525,-14.694,-42.9689,-19.731,-25.2189,-30.9534,-34.2219,-37.8727,-20.975,-27.8974,-25.7734,-20.1638,-17.5724,-18.4035,-15.427,-12.1212,-12.6898,-13.2724,-27.7326,-0,-5.02686,-0,-10.8814,-5.65033,-5.8615,-12.1482,-0,-6.50302,-0,-0,-0,-0,-0,-7.81786,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1,6,5,7,11,11,9,14,7,6,15,11,12,10,11,12,8,2,8,5,6,2,5,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
-552.502,0.997639,0.115633,5,31,0,556.764,-1.18587,-2.46947,-0.909335,-0.95455,4.08151,0.90405,-0.747763,5.44471,2.89825,0.000252477,0.000307213,0.000374117,0.000456041,0.000556584,0.000680313,0.000833093,0.00102254,0.00125869,0.001555,0.00192978,0.00240833,0.00302519,0.00382568,0.00486584,0.00621071,0.00793064,0.0100947,0.0127608,0.0159616,0.0196905,0.023878,0.0283974,0.0330712,0.0376853,0.0420039,0.0457869,0.0488077,0.0508776,0.0518776,0.0517848,0.0506636,0.0486406,0.0458828,0.0425816,0.0389365,0.0351397,0.0313598,0.0277286,0.0243359,0.0212317,0.0184358,0.0159467,0.0137503,0.0118251,0.0101468,0.00868994,0.00742973,0.00634281,0.00540763,0.00460468,0.00391646,0.00332744,0.00282389,0.0023938,0.00202667,0.00171344,0.00144627,0.00121843,0.0010242,0.000858677,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.25035,-0,-11.6016,-0,-0,-5.08148,-19.3481,-4.59574,-8.72276,-16.5503,-3.92762,-14.9392,-21.3688,-27.2727,-42.6203,-41.2099,-15.4188,-45.298,-20.8483,-26.6298,-32.5672,-35.7906,-39.3029,-21.5716,-28.407,-25.9666,-20.0905,-17.3111,-17.9265,-14.8632,-11.5568,-11.9804,-12.4155,-25.7202,-0,-4.5906,-0,-9.80453,-5.06043,-5.21994,-10.7614,-0,-5.70555,-0,-0,-0,-0,-0,-6.71019,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,2,2,3,2,10,4,5,13,7,7,13,18,6,16,12,4,7,9,5,4,4,3,5,3,3,5,6,3,4,1,1,0,1,0,2,0,0,1,2,0,1,0,1,0
-552.634,0.99844,0.115633,4,31,0,553.958,-1.33004,-2.40137,-0.591551,-0.901092,4.19378,0.944283,-0.712427,5.44291,2.70191,0.000106098,0.000130587,0.0001609,0.000198513,0.000245326,0.000303807,0.000377212,0.000469906,0.000587862,0.000739461,0.000936833,0.00119807,0.00155065,0.00203561,0.00271184,0.00365934,0.00498044,0.00679646,0.00923722,0.0124205,0.016422,0.0212363,0.0267563,0.032768,0.0389644,0.0449714,0.0503823,0.0547992,0.0578822,0.0594076,0.0593161,0.0577058,0.0547925,0.0508686,0.0462662,0.0413194,0.036331,0.0315424,0.0271174,0.0231426,0.0196438,0.0166072,0.0139974,0.0117701,0.00987874,0.0082788,0.00692929,0.00579362,0.00483965,0.00403952,0.00336924,0.00280828,0.00233919,0.00194711,0.00161948,0.00134566,0.00111672,0.00092517,0.000764753,0.0006303,0.000517549,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.97301,-0,-12.9382,-0,-0,-5.61047,-21.2089,-4.99135,-9.36903,-17.5536,-4.10913,-15.4082,-21.7259,-27.3464,-42.1864,-40.3225,-14.9406,-43.5612,-19.9454,-25.41,-31.0736,-34.2288,-37.7546,-20.8496,-27.6601,-25.4914,-19.8905,-17.2821,-18.0379,-15.0643,-11.79,-12.2938,-12.8067,-26.6532,-0,-4.79406,-0,-10.302,-5.33091,-5.51163,-11.3861,-0,-6.05795,-0,-0,-0,-0,-0,-7.17596,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,1,3,0,1,4,3,6,5,12,8,9,9,10,11,11,13,14,8,18,6,6,4,6,2,1,0,2,3,3,1,0,0,1,0,3,5,2,1,0,0,1,0,0,0,1
-553.172,1,0.115633,5,31,0,557.005,-1.61753,-3.3231,-0.414845,-0.844645,3.84218,0.892888,-0.889628,5.18465,2.55414,0.000186127,0.000231129,0.000287128,0.000356875,0.000443847,0.000552452,0.000688315,0.000858663,0.00107286,0.00134315,0.00168578,0.00212256,0.00268312,0.00340772,0.00435012,0.00557985,0.0071826,0.00925666,0.0119026,0.0152043,0.0192027,0.0238692,0.0290884,0.0346543,0.0402778,0.0456053,0.0502539,0.0538614,0.0561478,0.0569675,0.056327,0.0543658,0.0513185,0.0474726,0.0431314,0.0385806,0.0340615,0.0297534,0.0257704,0.0221701,0.0189697,0.0161598,0.0137159,0.0116059,0.00979467,0.00824728,0.00693046,0.00581354,0.00486884,0.00407174,0.00340061,0.00283658,0.00236333,0.0019668,0.00163495,0.00135748,0.00112565,0.000932069,0.000770479,0.000635638,0.000523165,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.38553,-0,-11.8415,-0,-0,-5.18859,-19.7444,-4.68241,-8.86199,-16.7447,-3.9527,-14.9407,-21.2245,-26.8987,-41.7554,-40.1405,-14.9533,-43.8201,-20.1584,-25.7875,-31.6424,-34.9442,-38.6062,-21.3332,-28.2915,-26.0401,-20.2775,-17.5741,-18.2927,-15.236,-11.8947,-12.3757,-12.8676,-26.7375,-0,-4.79787,-0,-10.2951,-5.3249,-5.50368,-11.3676,-0,-6.04768,-0,-0,-0,-0,-0,-7.1685,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,2,3,1,3,9,8,6,9,8,14,10,11,12,17,5,6,11,7,5,12,7,5,4,2,2,3,2,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0
-551.722,0.999354,0.115633,5,31,0,554.349,-0.836938,-1.85837,-0.790094,-0.967277,3.74756,0.401427,-0.416442,5.19394,2.95776,0.00018821,0.000228879,0.000278672,0.000339802,0.000415101,0.000508234,0.000624012,0.000768852,0.000951469,0.00118395,0.00148341,0.00187447,0.00239277,0.00308911,0.00403303,0.00531383,0.00703709,0.0093155,0.0122538,0.0159297,0.0203728,0.0254715,0.031028,0.0367643,0.0423406,0.0473838,0.0515285,0.0544671,0.0560046,0.0560956,0.0548402,0.0524442,0.0491719,0.0453049,0.0411116,0.0368245,0.0326277,0.0286526,0.0249815,0.0216561,0.0186878,0.0160678,0.0137749,0.0117811,0.0100563,0.00857002,0.00729329,0.00619934,0.00526396,0.00446552,0.00378493,0.00320546,0.00271252,0.00229345,0.00193725,0.00163445,0.00137687,0.00115753,0.000970501,0.000810802,0.000674289,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.51341,-0,-12.0706,-0,-0,-5.23744,-19.8262,-4.67608,-8.80383,-16.5583,-3.89355,-14.6808,-20.8372,-26.4258,-41.1061,-39.6432,-14.8281,-43.6524,-20.1762,-25.9263,-31.9367,-35.3761,-39.1616,-21.6604,-28.7232,-26.4127,-20.5356,-17.7626,-18.4481,-15.3299,-11.9396,-12.3928,-12.8547,-26.6475,-0,-4.75948,-0,-10.1666,-5.24687,-5.41137,-11.1535,-0,-5.90988,-0,-0,-0,-0,-0,-6.9377,-0,-0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,5,1,2,6,4,9,7,7,5,10,16,8,12,11,13,6,10,7,9,4,5,6,3,2,2,2,4,3,2,1,3,1,1,2,0,0,1,0,0,0,1,1,0,1
-553.358,0.994336,0.115633,5,31,0,554.575,-0.872971,-1.64206,-1.34326,-0.803067,4.1503,0.090918,-0.711229,5.25719,2.83684,0.000143308,0.000180262,0.000227057,0.000286495,0.000362271,0.000459319,0.00058429,0.000746244,0.000957614,0.00123548,0.00160311,0.0020916,0.00274107,0.00360118,0.00473025,0.00619297,0.00805654,0.0103853,0.0132346,0.0166438,0.0206298,0.0250689,0.0297998,0.0346282,0.039334,0.0436828,0.04744,0.0503896,0.0523568,0.0532312,0.0529867,0.0516858,0.0494661,0.0465137,0.0430344,0.0392302,0.0352842,0.0313513,0.0275546,0.0239843,0.0206999,0.0177338,0.0150967,0.0127826,0.0107737,0.00904555,0.00756983,0.00631734,0.00525962,0.00437006,0.00362448,0.00300134,0.00248174,0.00204932,0.00169,0.0013918,0.00114456,0.000939702,0.000770042,0.000629565,0.000513261,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.43581,-0,-11.7988,-0,-0,-5.08434,-19.2851,-4.56736,-8.64984,-16.3829,-3.88102,-14.7445,-21.0795,-26.9047,-42.0636,-40.7004,-15.2415,-44.8196,-20.6477,-26.398,-32.3149,-35.5509,-39.0841,-21.4761,-28.3118,-25.9065,-20.0659,-17.3125,-17.9579,-14.9214,-11.6329,-12.0968,-12.5798,-26.158,-0,-4.70548,-0,-10.1289,-5.2477,-5.43298,-11.2401,-0,-5.99879,-0,-0,-0,-0,-0,-7.16907,-0,-0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,2,1,2,4,6,4,8,4,11,14,12,13,7,8,13,12,11,7,10,4,5,5,4,4,3,2,3,2,1,4,2,0,1,0,1,0,1,0,0,1,0,0,1,1
