# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 17:36:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24e0f27e5.json
# init = /tmp/RtmpC8O1hA/init-b41c2dc7d7f8_3.json
# random
#   seed = 952010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0089_rep009_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605291836-3-2cc909.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0089_rep009_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605291836-3-13b6a9.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.160452
# Diagonal elements of inverse mass matrix:
# 0.0712868, 0.0280193, 0.00704261, 0.00412931, 0.00924343, 0.00915832, 0.00876139
-554.236,0.995439,0.160452,5,31,0,556.475,-1.22273,-2.18934,-0.833963,-0.900353,4.10447,0.493201,-0.294364,5.47663,2.88295,0.000172191,0.000211802,0.000260755,0.000321379,0.000396643,0.00049038,0.000607585,0.000754867,0.000941108,0.00117846,0.00148385,0.00188104,0.00240334,0.0030961,0.0040184,0.00524267,0.00685157,0.00893104,0.0115595,0.0147934,0.0186524,0.0230714,0.027921,0.0330101,0.0380962,0.0429029,0.0471412,0.0505374,0.052867,0.0539932,0.0538919,0.0526449,0.0504101,0.0473911,0.043811,0.0398929,0.0358417,0.0318306,0.0279924,0.0244178,0.0211589,0.0182366,0.0156496,0.0133819,0.0114093,0.00970357,0.00823573,0.00697741,0.00590209,0.00498555,0.00420605,0.00354432,0.00298342,0.00250858,0.00210697,0.00176753,0.00148075,0.00123851,0.0010339,0.000861056,0.000715061,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.51312,-0,-12.0618,-0,-0,-5.25092,-19.9331,-4.71822,-8.9205,-16.8543,-3.98178,-15.0767,-21.4703,-27.2875,-42.4793,-40.9346,-15.273,-44.7756,-20.5798,-26.2701,-32.1285,-35.3302,-38.8383,-21.3453,-28.1508,-25.7724,-19.9719,-17.2366,-17.8791,-14.8498,-11.5671,-12.013,-12.4719,-25.8831,-0,-4.63526,-0,-9.93016,-5.13245,-5.30121,-10.9425,-0,-5.81468,-0,-0,-0,-0,-0,-6.87442,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,4,5,3,4,7,4,14,12,10,7,8,12,10,10,13,11,8,1,4,4,7,4,6,4,5,4,3,2,0,3,0,0,0,0,1,1,0,1,1,0,0,0,0
-553.178,0.987821,0.160452,4,15,0,556.762,-1.38254,-1.93571,-0.798841,-0.789635,4.3538,0.601762,-0.44793,5.4435,2.62972,6.80466e-05,8.57313e-05,0.000108126,0.000136556,0.000172758,0.000219044,0.000278531,0.000355507,0.000455997,0.000588708,0.000766548,0.001009,0.00134537,0.00181863,0.00248903,0.00343658,0.00476122,0.00657863,0.00901024,0.0121663,0.0161235,0.0208711,0.0263115,0.032253,0.0384171,0.044457,0.0499845,0.0546046,0.0579599,0.059789,0.059988,0.0586291,0.0559205,0.0521493,0.0476355,0.0426989,0.0376325,0.0326819,0.0280311,0.0237984,0.0200421,0.0167728,0.0139688,0.0115899,0.00958799,0.00791337,0.0065189,0.00536176,0.0044042,0.00361354,0.00296186,0.00242552,0.00198463,0.00162255,0.00132541,0.00108167,0.000881766,0.000717815,0.000583313,0.000472926,0.000382294,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.17361,-0,-13.2222,-0,-0,-5.67328,-21.389,-5.02393,-9.41879,-17.6363,-4.12747,-15.4776,-21.8265,-27.4732,-42.3703,-40.472,-14.9802,-43.6146,-19.936,-25.3524,-30.9497,-34.0383,-37.4897,-20.6755,-27.3976,-25.2287,-19.6793,-17.1047,-17.8722,-14.9526,-11.7298,-12.264,-12.8128,-26.7457,-0,-4.8392,-0,-10.4569,-5.4252,-5.62307,-11.6439,-0,-6.22232,-0,-0,-0,-0,-0,-7.44679,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,4,2,3,3,8,8,8,7,16,14,6,11,14,12,8,13,5,8,6,5,2,7,4,7,0,2,3,2,0,0,2,2,1,0,1,0,1,0,0,0,0,0
-553.221,0.998825,0.160452,4,31,0,554.953,-0.291064,-2.05249,-0.889164,-0.993688,4.18562,0.608399,-0.436869,5.28204,2.98632,0.000229041,0.000277374,0.000336359,0.000408564,0.000497283,0.000606793,0.000742744,0.000912726,0.00112715,0.00140062,0.00175398,0.00221718,0.00283222,0.00365475,0.00475289,0.00620312,0.00808359,0.0104655,0.0134029,0.0169213,0.021007,0.0255353,0.0303407,0.0352184,0.0399345,0.0442399,0.0478874,0.0506522,0.0523583,0.0529125,0.0523271,0.0507101,0.048232,0.0450944,0.041508,0.0376761,0.0337809,0.0299728,0.0263642,0.0230279,0.020002,0.0172977,0.0149072,0.0128117,0.0109863,0.00940365,0.00803665,0.00685936,0.00584783,0.00498037,0.00423757,0.00360227,0.00305934,0.00259555,0.00219934,0.00186073,0.00157112,0.00132321,0.0011108,0.000928706,0.000772584,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.34587,-0,-11.7334,-0,-0,-5.0827,-19.2717,-4.55967,-8.62456,-16.3167,-3.8629,-14.6708,-20.9716,-26.7695,-41.8667,-40.5357,-15.1945,-44.7416,-20.6475,-26.452,-32.4526,-35.7796,-39.4125,-21.693,-28.6368,-26.2298,-20.3272,-17.5373,-18.1787,-15.0842,-11.7358,-12.1716,-12.6177,-26.1444,-0,-4.66666,-0,-9.96428,-5.14168,-5.30225,-10.9275,-0,-5.78955,-0,-0,-0,-0,-0,-6.80267,-0,-0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,2,3,2,2,6,8,6,6,8,13,7,9,10,7,9,11,11,8,5,7,3,6,9,2,2,6,3,2,4,4,3,1,2,0,0,1,1,2,0,0,1,0,0,0,0
-557.798,0.980881,0.160452,5,31,0,562.916,-1.84367,-3.56649,-0.956094,-0.47235,4.4711,0.590339,-0.649092,5.28117,2.20586,4.94518e-05,6.7572e-05,9.23463e-05,0.000126231,0.000172598,0.000236089,0.000323103,0.000442483,0.000606461,0.000831913,0.00114185,0.00156692,0.00214648,0.00292917,0.00397251,0.00534124,0.00710342,0.00932374,0.0120537,0.0153196,0.0191108,0.0233692,0.0279888,0.0328199,0.0376773,0.0423501,0.0466129,0.0502404,0.0530247,0.0547967,0.0554491,0.0549549,0.0533687,0.050813,0.047458,0.0435025,0.0391567,0.0346281,0.0301093,0.0257664,0.0217298,0.0180875,0.0148848,0.0121296,0.009802,0.00786486,0.00627223,0.0049759,0.0039295,0.00309073,0.00242238,0.00189255,0.00147438,0.00114563,0.000888069,0.000686905,0.000530222,0.000408487,0.00031412,0.000241117,0.000184751,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.7751,-0,-12.2879,-0,-0,-5.2323,-19.7887,-4.67519,-8.83676,-16.7145,-3.9575,-15.0253,-21.4557,-27.3338,-42.6231,-41.1032,-15.3294,-44.864,-20.559,-26.1371,-31.8152,-34.8149,-38.0969,-20.8572,-27.4312,-25.0795,-19.4411,-16.8154,-17.5146,-14.6347,-11.4872,-12.0376,-12.6222,-26.4727,-0,-4.84535,-0,-10.6063,-5.53924,-5.77935,-12.046,-0,-6.51952,-0,-0,-0,-0,-0,-8.06574,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,2,2,3,3,3,7,8,7,5,8,6,8,14,15,13,9,14,8,12,9,8,5,6,2,2,4,2,2,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
-557.152,0.99842,0.160452,4,15,0,559.284,-1.62166,-3.38087,-0.993459,-0.519443,4.63185,0.699158,-0.648788,5.29746,2.24729,6.25034e-05,8.42086e-05,0.000113477,0.000152965,0.000206279,0.000278331,0.000375827,0.000507972,0.000687424,0.00093158,0.00126405,0.00171596,0.00232672,0.0031442,0.004224,0.00562764,0.00741864,0.0096561,0.0123854,0.0156267,0.0193641,0.0235352,0.0280333,0.0327124,0.0373962,0.0418873,0.0459772,0.0494577,0.052136,0.0538531,0.054505,0.0540621,0.0525739,0.0501549,0.0469642,0.043187,0.0390187,0.0346526,0.0302699,0.0260306,0.0220642,0.0184624,0.0152764,0.0125202,0.0101791,0.00822004,0.00660007,0.00527343,0.00419564,0.00332578,0.00262765,0.00207001,0.00162644,0.00127488,0.000997122,0.000778299,0.000606341,0.000471519,0.000366032,0.00028365,0.000219426,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.67344,-0,-12.1266,-0,-0,-5.18006,-19.615,-4.64017,-8.78247,-16.6351,-3.94434,-14.997,-21.4462,-27.36,-42.7204,-41.246,-15.398,-45.0996,-20.6773,-26.2935,-32.0041,-35.0115,-38.292,-20.9485,-27.5253,-25.1377,-19.4623,-16.8119,-17.488,-14.5939,-11.4414,-11.9761,-12.5443,-26.2825,-0,-4.80118,-0,-10.4901,-5.47371,-5.70605,-11.8833,-0,-6.42136,-0,-0,-0,-0,-0,-7.91279,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,3,3,4,6,5,10,5,12,9,7,9,14,14,11,9,8,9,8,5,5,6,4,5,4,5,3,5,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0
-553.367,0.999985,0.160452,4,15,0,557.899,-1.03615,-3.01455,-0.852923,-0.778143,4.17376,0.487775,-0.536589,5.1463,2.60062,0.000200189,0.000252292,0.000318097,0.000401291,0.000506605,0.000640133,0.000809783,0.00102587,0.00130197,0.00165602,0.00211176,0.00270029,0.00346117,0.00444245,0.00569917,0.00729,0.00927199,0.0116932,0.0145834,0.0179443,0.0217408,0.0258881,0.0302578,0.0346838,0.0389736,0.0429212,0.0463234,0.0489955,0.0507895,0.051612,0.0514368,0.050306,0.0483185,0.0456154,0.0423639,0.0387431,0.03493,0.0310861,0.0273473,0.023817,0.0205643,0.0176266,0.0150161,0.0127263,0.0107386,0.00902751,0.00756465,0.00632104,0.00526879,0.00438201,0.00363721,0.0030135,0.00249253,0.00205832,0.00169712,0.00139715,0.00114839,0.000942372,0.000771943,0.000631114,0.000514874,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.16023,-0,-11.3323,-0,-0,-4.92125,-18.723,-4.44875,-8.45575,-16.0819,-3.82857,-14.6159,-20.988,-26.8919,-42.1833,-40.9291,-15.3605,-45.2404,-20.8605,-26.676,-32.6414,-35.8756,-39.3892,-21.6126,-28.4531,-26.0064,-20.1265,-17.355,-17.9957,-14.9494,-11.6526,-12.115,-12.5959,-26.1845,-0,-4.70748,-0,-10.1277,-5.24595,-5.43025,-11.2331,-0,-5.99446,-0,-0,-0,-0,-0,-7.1666,-0,-0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,2,2,1,1,4,5,7,5,4,8,9,4,10,12,10,8,13,12,7,11,6,8,4,8,5,5,3,4,4,2,2,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0
