# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 17:40:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21ad9be99.json
# init = /tmp/RtmpC8O1hA/init-b41c2570a1d59_1.json
# random
#   seed = 952011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0090_rep009_manuscript_default/prior_sensitivity_obspair_FAST-202605291840-1-9e8dbe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0090_rep009_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605291840-1-55f70e.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.069106
# Diagonal elements of inverse mass matrix:
# 0.103696, 0.0820523, 0.151998, 0.0239268, 0.231478, 0.221225, 0.211404
-553.907,0.977225,0.069106,6,63,0,558.969,-2.39293,-2.63588,-1.36723,-0.525884,4.0685,0.678196,0.36592,5.31041,2.49662,5.90469e-05,7.93943e-05,0.000106775,0.000143638,0.000193298,0.000260258,0.000350652,0.000472873,0.000638463,0.000863341,0.0011694,0.0015862,0.00215228,0.00291573,0.00393398,0.00527255,0.00700208,0.00919322,0.0119104,0.0152078,0.0191393,0.0235676,0.0283519,0.0333225,0.0382824,0.0430142,0.0472858,0.0508552,0.0534836,0.0549727,0.0552296,0.054303,0.0523406,0.0495281,0.0460576,0.0421188,0.0378969,0.0335697,0.0293005,0.0252284,0.021459,0.0180591,0.0150588,0.0124584,0.0102375,0.00836323,0.00679724,0.00549959,0.00443183,0.00355855,0.00284806,0.00227267,0.00180861,0.0014357,0.00113702,0.000898509,0.000708554,0.000557645,0.000438025,0.000343404,0.000268696,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.75127,-0,-12.2825,-0,-0,-5.24524,-19.8462,-4.68929,-8.86069,-16.7438,-3.95601,-14.9915,-21.3784,-27.2122,-42.416,-40.9009,-15.2577,-44.6816,-20.4987,-26.1083,-31.8588,-34.9581,-38.3498,-21.0365,-27.7008,-25.3381,-19.6373,-16.9707,-17.6508,-14.7191,-11.5248,-12.0423,-12.5874,-26.3122,-0,-4.78391,-0,-10.4062,-5.41894,-5.6384,-11.7222,-0,-6.31519,-0,-0,-0,-0,-0,-7.73323,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1,5,8,8,9,10,10,7,9,8,13,12,3,8,12,9,6,7,7,9,5,3,4,6,1,3,1,2,1,3,2,0,0,0,0,0,2,0,0,0,0,0
-554.414,0.998635,0.069106,6,63,0,557.553,-1.24886,-1.89522,-0.373898,-1.17691,2.99491,1.19278,-0.702389,5.32187,3.28921,0.000175528,0.000206779,0.000244006,0.000288509,0.00034194,0.000406412,0.000484676,0.000580359,0.000698345,0.000845338,0.00103078,0.00126837,0.00157867,0.00199392,0.00256664,0.00338316,0.0045783,0.00634489,0.00892884,0.012595,0.0175515,0.0238225,0.0311704,0.039081,0.046824,0.0535661,0.0585398,0.0612717,0.0616922,0.060053,0.0568169,0.0525418,0.0477592,0.0428818,0.0381749,0.0337821,0.0297669,0.0261461,0.0229106,0.020038,0.0174997,0.0152647,0.0133021,0.0115824,0.010078,0.00876392,0.00761729,0.00661771,0.00574697,0.00498893,0.00432933,0.00375557,0.00325657,0.00282253,0.00244479,0.00211557,0.0018278,0.00157506,0.00135171,0.00115307,0.000975524,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.87744,-0,-12.9023,-0,-0,-5.68895,-21.5457,-5.06011,-9.43694,-17.4978,-4.04261,-14.9485,-20.8097,-25.9369,-39.7977,-38.0489,-14.1902,-41.8866,-19.4992,-25.3128,-31.5471,-35.3538,-39.5406,-22.0452,-29.3902,-27.1026,-21.0862,-18.2203,-18.8808,-15.6405,-12.1367,-12.5466,-12.9595,-26.7496,-0,-4.73711,-0,-10.036,-5.15908,-5.30053,-10.8847,-0,-5.72708,-0,-0,-0,-0,-0,-6.60638,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,2,4,3,13,6,14,8,11,12,16,11,7,10,12,5,5,6,9,2,4,6,6,1,1,4,1,1,2,2,1,0,1,0,1,0,2,0,2,0,1,0
-553.321,0.988102,0.069106,6,63,0,557.272,-1.495,-2.25182,-1.54212,0.0352673,3.63629,-0.649938,-1.55722,5.18623,2.34667,2.39173e-05,3.87247e-05,6.21619e-05,9.87782e-05,0.000155138,0.000240453,0.000367253,0.000552041,0.000815811,0.00118432,0.00168801,0.0023614,0.00324202,0.00436869,0.00577929,0.00750813,0.00958303,0.0120224,0.0148324,0.0180048,0.0215157,0.0252888,0.0292253,0.0332064,0.0370974,0.0407536,0.0440274,0.0467776,0.0488788,0.0502309,0.0507684,0.0504666,0.0493449,0.0474655,0.0449274,0.041857,0.0383959,0.0346895,0.030877,0.0270832,0.023414,0.0199537,0.0167643,0.0138868,0.0113425,0.00913568,0.00725702,0.0056863,0.00439589,0.00335372,0.00252584,0.00187866,0.0013805,0.0010027,0.000720241,0.000511897,0.000360185,0.000251046,0.000173425,0.000118807,8.07574e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.38421,-0,-11.4631,-0,-0,-4.89177,-18.591,-4.42099,-8.42189,-16.0685,-3.83897,-14.7096,-21.1963,-27.2401,-42.8247,-41.6028,-15.6147,-45.9353,-21.1289,-26.9201,-32.7853,-35.8373,-39.116,-21.3343,-27.9244,-25.388,-19.5588,-16.8066,-17.3887,-14.4354,-11.2633,-11.743,-12.2655,-25.6609,-0,-4.69557,-0,-10.3394,-5.42708,-5.69769,-11.9624,-0,-6.58531,-0,-0,-0,-0,-0,-8.65977,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,3,2,6,5,7,6,9,14,5,11,6,8,10,11,9,12,12,7,8,7,7,5,7,2,2,4,4,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
-554.452,0.99668,0.069106,5,31,0,556.494,-1.51675,-2.67345,-0.985497,-0.0480011,4.78378,-0.456027,-0.985237,5.41537,2.19634,1.5599e-05,2.48057e-05,3.92889e-05,6.19145e-05,9.69591e-05,0.000150683,0.000232045,0.000353546,0.000532133,0.000790056,0.00115552,0.00166294,0.00235254,0.00326916,0.00446011,0.00597195,0.00784648,0.0101159,0.0127979,0.0158909,0.0193702,0.023179,0.0272317,0.0314157,0.0355954,0.0396182,0.0433232,0.0465512,0.0491549,0.0510106,0.0520279,0.0521577,0.0513972,0.04979,0.0474222,0.0444139,0.0409084,0.0370605,0.033026,0.0289518,0.0249691,0.021187,0.0176901,0.0145365,0.0117587,0.0093663,0.00734953,0.00568384,0.00433467,0.0032619,0.00242371,0.00177949,0.00129192,0.000928183,0.000660406,0.000465683,0.000325672,0.000226036,0.000155796,0.000106704,7.26576e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.7632,-0,-12.1045,-0,-0,-5.12068,-19.3908,-4.59365,-8.71695,-16.568,-3.94402,-15.058,-21.6202,-27.6836,-43.362,-41.9701,-15.6953,-46.008,-21.0895,-26.7815,-32.5157,-35.4418,-38.5862,-20.9996,-27.438,-24.9136,-19.1785,-16.476,-17.0523,-14.1685,-11.0704,-11.5631,-12.1042,-25.3866,-0,-4.67064,-0,-10.3403,-5.44111,-5.72545,-12.0449,-0,-6.65162,-0,-0,-0,-0,-0,-8.76696,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,4,0,2,4,7,4,5,7,9,4,6,6,7,8,13,12,12,16,9,14,8,5,5,5,5,9,3,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
-552.904,0.997767,0.069106,6,63,0,557.633,-1.60404,-0.738476,-1.93333,-0.737842,1.75448,-0.48601,-0.321679,5.27573,3.12713,0.00012328,0.000156943,0.000199899,0.000254767,0.000324926,0.00041475,0.000529907,0.000677762,0.000867895,0.00111279,0.0014287,0.00183686,0.00236494,0.00304916,0.0039371,0.00509185,0.00659839,0.00857389,0.0111863,0.0146919,0.0195275,0.0251555,0.031135,0.0370695,0.042594,0.0473814,0.0511622,0.0537465,0.0550418,0.055059,0.0539029,0.0517498,0.0488175,0.0453358,0.0415228,0.0375685,0.0336274,0.0298166,0.0262189,0.0228869,0.0198493,0.0171163,0.0146843,0.0125405,0.010666,0.00903834,0.00763368,0.00642792,0.00539778,0.00452138,0.00377856,0.00315105,0.00262254,0.00217862,0.00180663,0.00149559,0.00123599,0.00101966,0.000839595,0.000689816,0.000565206,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.55099,-0,-12.094,-0,-0,-5.28011,-20.0837,-4.75903,-8.98613,-16.8818,-3.93593,-14.7307,-20.8165,-26.3597,-41.0286,-39.6438,-14.8638,-43.8522,-20.2976,-26.0942,-32.1263,-35.536,-39.2557,-21.6556,-28.6336,-26.2527,-20.3545,-17.5634,-18.2064,-15.1088,-11.7588,-12.2032,-12.6629,-26.2727,-0,-4.70628,-0,-10.0942,-5.22177,-5.39894,-11.1568,-0,-5.94361,-0,-0,-0,-0,-0,-7.08259,-0,-0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,1,2,1,0,3,5,3,5,10,9,9,5,9,10,6,15,8,12,13,9,9,9,7,6,2,3,6,4,0,0,2,2,3,0,1,0,1,1,1,0,0,0,2,0,0,0,0
-554.826,0.998201,0.069106,6,63,0,556.52,-3.35973,-1.97178,-1.43661,-0.241989,1.1461,-0.88068,-1.0605,4.91774,2.54771,5.326e-05,7.76231e-05,0.000112761,0.000163171,0.000235049,0.000336808,0.000479698,0.000678493,0.000952202,0.00132474,0.00182543,0.00248922,0.00335649,0.00447223,0.00588459,0.00764266,0.00979356,0.0123789,0.0154312,0.0189695,0.0229965,0.027385,0.03197,0.0365561,0.0409287,0.0448697,0.0481751,0.0506732,0.0522404,0.0528123,0.0523875,0.0510246,0.048833,0.0459586,0.0425681,0.0388337,0.0349198,0.0309736,0.0271186,0.0234521,0.0200447,0.0169421,0.0141683,0.0117294,0.00961714,0.00781328,0.00629264,0.0050261,0.003983,0.0031329,0.00244687,0.00189831,0.00146344,0.00112147,0.000854569,0.000647733,0.0004885,0.000366669,0.000273993,0.000203873,0.000151088,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.30594,-0,-11.3937,-0,-0,-4.87401,-18.5041,-4.39176,-8.34273,-15.8597,-3.77241,-14.391,-20.6577,-26.4713,-41.547,-40.3519,-15.1646,-44.7354,-20.6633,-26.4691,-32.44,-35.7054,-39.2515,-21.5601,-28.4098,-25.9877,-20.1282,-17.3731,-18.0377,-15.0112,-11.7294,-12.2339,-12.7702,-26.674,-0,-4.85193,-0,-10.5862,-5.52572,-5.7658,-12.0259,-0,-6.52696,-0,-0,-0,-0,-0,-8.20241,-0,-0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,7,4,3,6,6,12,11,8,8,5,11,13,7,6,8,13,8,12,2,6,7,3,7,3,2,3,3,2,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0
