# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 17:54:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27e2f2258.json
# init = /tmp/RtmpC8O1hA/init-b41c26f239ec9_4.json
# random
#   seed = 1052002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0091_rep010_accurate_weak/prior_sensitivity_obspair_FAST-202605291854-4-4cbed7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0091_rep010_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605291854-4-59d724.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0548464
# Diagonal elements of inverse mass matrix:
# 0.0804427, 0.107181, 0.167825, 0.0451893, 0.203541, 0.113373, 0.206088
-537.763,0.999326,0.0548464,6,63,0,540.629,-2.99889,-1.81927,-2.17791,-0.533687,2.46803,0.573877,-0.254585,4.66162,2.52354,6.79496e-05,9.11499e-05,0.000122293,0.000164117,0.000220314,0.000295882,0.000397599,0.000534695,0.000719799,0.000970279,0.00131013,0.00177255,0.002403,0.00326201,0.00442588,0.00598449,0.00803659,0.0106833,0.0140201,0.0181277,0.0230653,0.0286764,0.0347342,0.0409393,0.0469237,0.0522631,0.05651,0.0592711,0.0603216,0.0596721,0.0575259,0.0541877,0.0499936,0.0452708,0.0403144,0.0353715,0.0306323,0.0262282,0.0222369,0.0186923,0.015596,0.0129279,0.0106546,0.0087361,0.00713022,0.00579547,0.00469292,0.00378714,0.0030466,0.0024438,0.00195505,0.00156017,0.00124218,0.000986868,0.000782428,0.000619134,0.000488999,0.000385507,0.000303358,0.000238263,0.000186762,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.63763,-6.33534,-0,-11.4508,-5.42029,-10.2372,-14.4713,-4.53907,-21.3363,-16.0412,-11.3083,-10.655,-13.4401,-28.761,-27.5331,-44.272,-22.9867,-28.2563,-47.7371,-36.6456,-37.1218,-17.4918,-41.942,-30.9509,-19.2663,-36.7603,-17.4285,-7.28184,-19.03,-7.95929,-8.32148,-4.34837,-18.1671,-14.2209,-0,-0,-5.3617,-5.57615,-0,-12.0284,-0,-0,-0,-0,-7.15311,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,1,3,5,6,6,7,4,8,8,10,11,8,20,8,11,19,10,6,5,5,6,4,3,5,0,1,1,4,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0
-537.78,0.994889,0.0548464,6,63,0,541.723,-1.99796,-1.48774,-2.14232,-0.590425,3.06061,0.761552,-2.10303,4.83228,2.58074,7.30808e-05,9.65316e-05,0.000127559,0.000168649,0.000223134,0.000295497,0.000391816,0.00052039,0.000692668,0.000924638,0.00123888,0.00166747,0.00225528,0.00306222,0.00416255,0.00564202,0.0075937,0.0101124,0.0132863,0.0171867,0.0218558,0.0271622,0.0329108,0.0388458,0.0446573,0.0499896,0.0544552,0.0576672,0.0593204,0.059306,0.0577437,0.0548977,0.0510853,0.0466261,0.041818,0.0369222,0.0321522,0.0276659,0.0235643,0.0198985,0.0166807,0.0138962,0.0115144,0.00949616,0.00779933,0.00638214,0.00520522,0.00423265,0.00343244,0.00277658,0.00224088,0.00180468,0.00145051,0.00116367,0.000931905,0.000745029,0.000594638,0.000473818,0.000376907,0.00029928,0.000237178,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.69355,-6.39645,-0,-11.5772,-5.48163,-10.355,-14.6413,-4.594,-21.6051,-16.2545,-11.4699,-10.8178,-13.6558,-29.2334,-27.9786,-44.9391,-23.283,-28.5307,-48.0216,-36.7256,-37.0726,-17.4137,-41.6396,-30.6559,-19.0466,-36.2884,-17.1864,-7.17511,-18.7401,-7.83422,-8.18701,-4.27614,-17.8566,-13.9706,-0,-0,-5.25809,-5.46493,-0,-11.7731,-0,-0,-0,-0,-6.97828,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,4,2,4,4,5,7,7,12,8,10,9,10,6,10,17,6,10,9,9,5,6,2,8,2,2,3,5,7,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
-538.515,0.994466,0.0548464,4,15,0,538.764,-1.90304,-1.34435,-2.04909,-0.482986,2.82875,0.842373,-2.12863,4.38183,2.33125,4.22759e-05,5.76012e-05,7.85064e-05,0.000107044,0.00014604,0.000199399,0.000272549,0.000373087,0.00051175,0.000703901,0.00097185,0.00134847,0.00188233,0.00264334,0.00372517,0.00524286,0.00732751,0.0101185,0.0137521,0.0183444,0.0239712,0.0304481,0.0374901,0.0447156,0.0516574,0.0577774,0.0624962,0.0652793,0.0658229,0.0642035,0.0607886,0.0560563,0.0504883,0.0445243,0.0385379,0.0328195,0.0275674,0.022891,0.018827,0.0153615,0.0124497,0.0100317,0.00804298,0.00642022,0.0051049,0.00404488,0.00319486,0.00251623,0.00197655,0.00154887,0.00121103,0.000944911,0.000735848,0.000572,0.000443871,0.000343876,0.00026598,0.0002054,0.000158358,0.000121876,9.36182e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.93631,-6.60879,-0,-11.8714,-5.59264,-10.5018,-14.7484,-4.59339,-21.4328,-15.9937,-11.1927,-10.4752,-13.1347,-27.9669,-26.6681,-42.7674,-22.1812,-27.2908,-46.2534,-35.6941,-36.4046,-17.2884,-41.8042,-31.1172,-19.5367,-37.584,-17.9556,-7.55403,-19.8623,-8.35178,-8.77213,-4.60201,-19.2918,-15.1449,-0,-0,-5.74621,-5.98499,-0,-12.9405,-0,-0,-0,-0,-7.71998,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,2,1,2,3,2,6,10,11,7,9,13,10,18,10,14,9,11,11,9,6,4,4,5,3,3,4,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0
-538.477,0.999906,0.0548464,6,63,0,539.705,-1.49789,-2.37751,-0.394674,-0.629812,3.2813,-0.224925,-0.214165,4.95837,2.57458,0.000106682,0.000139394,0.000182192,0.000238219,0.000311624,0.000407884,0.000534253,0.000700359,0.000919,0.0012072,0.00158759,0.00209008,0.00275385,0.00362927,0.00477922,0.00627881,0.00821206,0.0106644,0.0137104,0.0173971,0.0217267,0.0266138,0.0318905,0.03731,0.0425644,0.0473176,0.0512479,0.0540931,0.0556844,0.055965,0.0549868,0.0528926,0.049888,0.046211,0.0421041,0.0377924,0.0334681,0.0292836,0.0253489,0.0217354,0.0184814,0.0155989,0.0130806,0.0109061,0.00904725,0.00747166,0.00614597,0.0050376,0.004116,0.0033534,0.00272501,0.00220916,0.00178707,0.00144273,0.00116255,0.000935096,0.000750838,0.000601844,0.00048156,0.000384598,0.000306543,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.44554,-6.17055,-0,-11.2374,-5.34348,-10.1412,-14.4065,-4.54084,-21.448,-16.2058,-11.4876,-10.879,-13.7818,-29.5964,-28.4106,-45.7631,-23.7686,-29.1705,-49.0969,-37.4794,-37.7086,-17.6369,-41.9716,-30.7454,-19.0057,-36.0321,-16.9858,-7.06146,-18.3751,-7.65762,-7.98198,-4.16055,-17.3465,-13.5553,-0,-0,-5.09196,-5.29083,-0,-11.3956,-0,-0,-0,-0,-6.75714,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,7,4,5,6,8,11,12,17,11,10,9,10,11,13,2,8,5,2,6,6,3,5,2,3,5,1,2,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0
-535.869,0.999986,0.0548464,6,63,0,539.683,-1.24515,-1.94045,-1.2963,-0.600409,3.30092,0.723555,-1.79689,4.44235,2.3382,8.83713e-05,0.000116402,0.000153383,0.000202215,0.000266771,0.000352248,0.000465658,0.000616535,0.00081797,0.00108815,0.00145262,0.00194761,0.00262408,0.00355116,0.00481642,0.00652182,0.00877598,0.0116826,0.0153239,0.019741,0.0249131,0.0306873,0.036819,0.0429856,0.0488097,0.0538883,0.0578268,0.06029,0.0610755,0.0601766,0.0577658,0.0541251,0.0495878,0.0444992,0.039188,0.0339395,0.0289747,0.0244402,0.0204122,0.016911,0.0139179,0.011392,0.00928186,0.00753315,0.00609337,0.0049143,0.00395311,0.00317254,0.00254079,0.00203097,0.00162063,0.00129112,0.00102707,0.000815869,0.000647224,0.00051276,0.000405691,0.000320537,0.000252884,0.000199185,0.000156601,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.53439,-6.24115,-0,-11.281,-5.33572,-10.0652,-14.2072,-4.44966,-20.8917,-15.7002,-11.0771,-10.4517,-13.207,-28.322,-27.1784,-43.8126,-22.8024,-28.0859,-47.5259,-36.5361,-37.0677,-17.4987,-42.0561,-31.1228,-19.4363,-37.2149,-17.7067,-7.42306,-19.4581,-8.15959,-8.54917,-4.47484,-18.7188,-14.6653,-0,-0,-5.53325,-5.75322,-0,-12.3985,-0,-0,-0,-0,-7.34282,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,2,1,3,6,8,5,8,8,5,15,12,13,9,16,7,14,12,12,8,5,4,5,1,4,2,3,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
-537.84,0.996819,0.0548464,6,63,0,539.159,-0.921713,-2.19486,-1.91454,-0.522087,3.38855,0.38311,0.0814605,4.40633,2.44745,9.42736e-05,0.000126947,0.000170999,0.000230435,0.000310705,0.000419248,0.000566251,0.00076571,0.00103688,0.00140612,0.00190894,0.00259156,0.00351082,0.00473191,0.00632418,0.00835637,0.0108919,0.0139846,0.0176771,0.0220016,0.0269934,0.0322486,0.0375025,0.042513,0.047046,0.050875,0.0537875,0.0556008,0.0561892,0.0555203,0.0536786,0.0508491,0.0472698,0.0431853,0.0388207,0.0343718,0.0300018,0.0258409,0.0219849,0.0184967,0.0154073,0.0127217,0.0104239,0.00848446,0.00686608,0.00552851,0.00443195,0.00353912,0.00281643,0.0022344,0.00176773,0.00139499,0.00109831,0.000862872,0.000676553,0.000529466,0.000413606,0.000322526,0.000251054,0.000195059,0.000151249,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.26121,-5.9555,-0,-10.7069,-5.06337,-9.56946,-13.5592,-4.2698,-20.1774,-15.2666,-10.8365,-10.3028,-13.1334,-28.4215,-27.5097,-44.6758,-23.3817,-28.8956,-48.9435,-37.5831,-38.0216,-17.8734,-42.7264,-31.4226,-19.4928,-37.0757,-17.5325,-7.3116,-19.087,-7.98033,-8.34582,-4.36445,-18.2546,-14.3086,-0,-0,-5.41892,-5.64388,-0,-12.2076,-0,-0,-0,-0,-7.2985,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,3,4,4,2,4,4,11,6,5,7,18,10,11,11,13,11,11,8,5,7,6,4,5,5,3,4,1,5,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
