# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 18:04:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24ee4e6de.json
# init = /tmp/RtmpC8O1hA/init-b41c28ca31b1_2.json
# random
#   seed = 1052003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0092_rep010_accurate_moderate/prior_sensitivity_obspair_FAST-202605291904-2-346c0b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0092_rep010_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605291904-2-951fc6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.123422
# Diagonal elements of inverse mass matrix:
# 0.0772115, 0.0548619, 0.0293227, 0.0104315, 0.0738563, 0.0258571, 0.0392401
-546.017,0.998786,0.123422,5,31,0,549.513,-1.0827,-0.810082,-1.85397,0.279079,3.11899,-0.564935,-0.736806,4.50635,2.17322,3.86007e-06,7.07696e-06,1.27952e-05,2.27607e-05,3.97471e-05,6.80143e-05,0.00011389,0.000186481,0.000298543,0.000467521,0.000716831,0.00107742,0.00158973,0.00230606,0.00329357,0.00463795,0.00644806,0.00886165,0.0120528,0.0162417,0.0217076,0.0280387,0.0348428,0.0417373,0.0483454,0.0542988,0.0592483,0.0628813,0.064948,0.0652908,0.0638728,0.060797,0.0563057,0.0507558,0.0445706,0.0381786,0.0319561,0.0261881,0.0210539,0.0166355,0.0129383,0.00991661,0.00749616,0.00559115,0.00411556,0.00298957,0.00214277,0.00151506,0.00105652,0.000726497,0.000492554,0.000329256,0.000217031,0.000141097,9.05042e-05,5.73023e-05,3.5831e-05,2.21407e-05,1.35286e-05,8.17977e-06,4.89726e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.24067,-6.83318,-0,-12.1444,-5.71578,-10.747,-15.1319,-4.72602,-22.0923,-16.4807,-11.4903,-10.7225,-13.4276,-28.5872,-27.2645,-43.6988,-22.6082,-27.6651,-46.4809,-35.4758,-35.7612,-16.8013,-40.2774,-29.8073,-18.6641,-35.9203,-17.217,-7.2849,-19.3033,-8.19244,-8.69513,-4.61354,-19.5735,-15.5597,-0,-0,-6.14566,-6.4923,-0,-14.4546,-0,-0,-0,-0,-9.31011,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,3,3,4,9,9,11,8,16,10,19,17,12,11,9,12,7,5,5,4,4,6,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-541.774,1,0.123422,5,31,0,547.834,-1.53128,-3.54183,-1.57734,0.0769124,4.04998,-0.193164,-0.939429,4.87615,2.07544,8.96592e-06,1.52875e-05,2.59867e-05,4.39805e-05,7.39732e-05,0.000123361,0.000203394,0.000330503,0.000527573,0.000824878,0.00126037,0.00187914,0.00273186,0.00387229,0.00535365,0.00722409,0.00952137,0.0122672,0.015462,0.0190805,0.02307,0.0273335,0.0317462,0.0361609,0.0404149,0.0443391,0.0477667,0.0505434,0.0525364,0.0536446,0.0538078,0.0530141,0.0513039,0.0487675,0.0455359,0.0417673,0.0376325,0.0333022,0.0289373,0.0246816,0.0206566,0.0169578,0.0136518,0.0107764,0.00834149,0.0063333,0.00471906,0.00345335,0.0024842,0.00175857,0.00122652,0.000843845,0.000573399,0.000385282,0.000256282,0.000168939,0.000110467,7.17125e-05,4.62544e-05,2.96619e-05,1.89229e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.67635,-6.27694,-0,-11.1078,-5.22998,-9.86067,-13.9627,-4.40083,-20.8469,-15.8364,-11.3077,-10.7989,-13.7999,-29.878,-28.877,-46.7383,-24.3314,-29.8492,-50.0862,-38.0299,-37.9904,-17.6232,-41.5798,-30.2069,-18.5355,-34.9321,-16.3994,-6.80426,-17.7131,-7.4034,-7.75944,-4.07703,-17.1755,-13.5912,-0,-0,-5.35614,-5.66841,-0,-12.6865,-0,-0,-0,-0,-8.26923,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4,6,2,3,5,7,5,5,7,8,12,10,11,16,10,9,13,8,6,8,8,8,10,3,1,2,1,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-541.687,0.974533,0.123422,3,7,0,543.804,-1.55858,-3.32465,-1.64336,0.0573924,3.94048,-0.251096,-0.968138,4.92336,2.12669,1.11294e-05,1.87461e-05,3.14626e-05,5.25416e-05,8.71427e-05,0.000143211,0.000232577,0.000372167,0.000585106,0.000901466,0.00135838,0.00199937,0.00287274,0.00402906,0.00551774,0.00738282,0.00965813,0.0123624,0.0154947,0.0190308,0.0229219,0.0270744,0.0313691,0.0356659,0.03981,0.0436402,0.0469971,0.0497319,0.0517162,0.0528512,0.0530767,0.0523783,0.0507914,0.0483992,0.0453244,0.041717,0.0377395,0.0335554,0.0293187,0.0251679,0.0212202,0.0175686,0.0142797,0.0113934,0.00892393,0.00686319,0.0051849,0.00384996,0.00281194,0.00202202,0.00143295,0.00100187,0.000691828,0.000472355,0.000319212,0.000213727,0.000141909,9.35176e-05,6.1213e-05,3.98248e-05,2.57683e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.60146,-6.21492,-0,-11.0284,-5.19979,-9.8172,-13.9199,-4.3931,-20.8363,-15.8468,-11.327,-10.8275,-13.8477,-30.0021,-29.0127,-46.9766,-24.4614,-30.0111,-50.3537,-38.2236,-38.1682,-17.6956,-41.7204,-30.2827,-18.5635,-34.9453,-16.3852,-6.78912,-17.6476,-7.36437,-7.70561,-4.04164,-16.9957,-13.4242,-0,-0,-5.26201,-5.55969,-0,-12.4073,-0,-0,-0,-0,-8.04966,-0,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,2,1,3,2,3,3,3,3,6,10,8,8,6,8,16,11,10,18,10,9,7,10,10,4,3,3,4,3,3,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0
-538.297,0.999315,0.123422,4,31,0,543.456,-1.81677,-2.90327,-1.43304,-0.0802047,3.34857,0.0440131,-0.959563,4.46975,1.96512,9.46529e-06,1.50122e-05,2.38057e-05,3.7739e-05,5.97974e-05,9.46685e-05,0.000149661,0.000236044,0.000370883,0.000579346,0.000897204,0.00137294,0.00206865,0.00305916,0.00442861,0.00626461,0.0086496,0.0116499,0.0153036,0.0196085,0.0245136,0.0298865,0.0355359,0.0412208,0.0466637,0.0515701,0.0556495,0.0586406,0.0603388,0.0606244,0.0594841,0.0570149,0.0534075,0.0489147,0.0438194,0.038407,0.0329444,0.027664,0.0227514,0.0183378,0.0144985,0.0112572,0.00859498,0.00646233,0.00479191,0.00350942,0.00254197,0.00182331,0.00129658,0.00091501,0.000641377,0.000446881,0.0003097,0.000213602,0.000146687,0.000100341,6.83945e-05,4.64674e-05,3.14757e-05,2.12616e-05,1.43248e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.01623,-6.5908,-0,-11.5792,-5.41967,-10.1457,-14.2507,-4.45246,-20.8983,-15.7272,-11.1256,-10.531,-13.3488,-28.6993,-27.5831,-44.4722,-23.1095,-28.3633,-47.7323,-36.4397,-36.6866,-17.1867,-41.0173,-30.1768,-18.7661,-35.8547,-17.0647,-7.17525,-18.9156,-7.99759,-8.46742,-4.48675,-19.0263,-15.1253,-0,-0,-5.97482,-6.3071,-0,-13.9932,-0,-0,-0,-0,-8.82721,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,5,4,2,5,7,6,11,8,10,7,12,13,13,15,7,6,10,8,10,11,8,5,2,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-540.479,0.996523,0.123422,5,31,0,542.9,-1.7101,-2.84394,-1.93799,-0.498816,2.16974,0.294056,-1.01771,4.24365,2.3914,8.92277e-05,0.000120905,0.000163838,0.000222035,0.000300937,0.000407936,0.000553074,0.000750002,0.00101726,0.00137999,0.00187204,0.00253842,0.0034375,0.00464174,0.00623537,0.008308,0.0109443,0.0142117,0.018147,0.0227453,0.0279518,0.033557,0.0392878,0.0448216,0.0498078,0.0538991,0.0567946,0.0582887,0.0583105,0.0569302,0.0543305,0.0507645,0.0465149,0.0418631,0.0370653,0.032336,0.0278399,0.0236896,0.0199509,0.0166504,0.0137856,0.0113338,0.00926049,0.00752493,0.00608468,0.00489846,0.00392785,0.00313822,0.00249911,0.00198417,0.00157098,0.00124066,0.000977464,0.000768398,0.000602792,0.000471944,0.000368802,0.000287672,0.000223982,0.000174075,0.000135033,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28073,-5.97621,-0,-10.7453,-5.07752,-9.58107,-13.5448,-4.25369,-20.0462,-15.1336,-10.7318,-10.1835,-12.9474,-27.9456,-26.9963,-43.8096,-22.9465,-28.4235,-48.3135,-37.2571,-37.8647,-17.8834,-42.9518,-31.7335,-19.7705,-37.7473,-17.9064,-7.48543,-19.5724,-8.19064,-8.56827,-4.47997,-18.728,-14.6686,-0,-0,-5.53966,-5.7641,-0,-12.4451,-0,-0,-0,-0,-7.41394,-0,-0,-0,-0,-0,-0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,2,1,4,4,2,9,6,9,9,8,7,11,13,8,8,9,3,7,11,8,9,8,4,8,7,3,2,3,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-538.707,0.991429,0.123422,5,31,0,542.74,-0.0558855,-2.48985,-1.05537,-0.480475,3.7638,-0.102894,-1.03677,4.23979,2.32622,0.000110512,0.0001507,0.000205551,0.000280444,0.000382735,0.000522472,0.000713339,0.000973838,0.0013287,0.00181033,0.00245994,0.00332776,0.00447154,0.00595301,0.00783213,0.0101599,0.0129704,0.0162739,0.0200503,0.0242463,0.028774,0.0334567,0.0380946,0.0424755,0.0463873,0.0496314,0.0520377,0.0534794,0.0538853,0.0532484,0.0516272,0.0491379,0.0459395,0.0422159,0.0381579,0.0339486,0.0297517,0.0257041,0.0219112,0.0184463,0.0153514,0.0126422,0.0103126,0.00834066,0.00669463,0.00533723,0.00422965,0.00333421,0.00261604,0.00204404,0.0015912,0.00123459,0.00095504,0.000736786,0.00056699,0.000435307,0.000333465,0.000254896,0.000194416,0.000147956,0.000112331,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.00762,-5.70546,-0,-10.2477,-4.84952,-9.17862,-13.0353,-4.11819,-19.5476,-14.878,-10.6448,-10.1925,-13.0707,-28.4294,-27.6366,-45.047,-23.6463,-29.2846,-49.6553,-38.1262,-38.5282,-18.0787,-43.126,-31.6496,-19.5961,-37.212,-17.5743,-7.32221,-19.1038,-7.98579,-8.35309,-4.37071,-18.2976,-14.3598,-0,-0,-5.46564,-5.70352,-0,-12.3857,-0,-0,-0,-0,-7.47517,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,3,2,3,6,9,9,18,7,10,8,10,11,9,11,10,8,6,5,4,5,3,6,7,3,2,3,6,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0
