# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 18:15:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c255afbfed.json
# init = /tmp/RtmpC8O1hA/init-b41c25793a615_2.json
# random
#   seed = 1052005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0094_rep010_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605291915-2-50b574.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0094_rep010_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605291915-2-1d2d34.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0643715
# Diagonal elements of inverse mass matrix:
# 0.0882731, 0.0598757, 0.142019, 0.0229571, 0.157415, 0.185913, 0.210875
-537.045,0.997025,0.0643715,6,63,0,538.758,-2.03844,-1.47161,-2.09399,-0.465261,2.80917,0.202585,-0.391916,4.74778,2.45658,4.85641e-05,6.65388e-05,9.1196e-05,0.000125045,0.000171555,0.000235542,0.000323704,0.00044539,0.000613662,0.000846731,0.00116976,0.00161684,0.00223276,0.00307399,0.00420856,0.00571487,0.00767961,0.0101951,0.0133565,0.0172599,0.0220034,0.0274099,0.0332583,0.0392784,0.045152,0.050521,0.0550083,0.0582575,0.0599942,0.060093,0.058614,0.0557799,0.0519084,0.0473421,0.0424002,0.0373549,0.0324223,0.0277626,0.0234836,0.0196475,0.0162781,0.0133703,0.0108984,0.00882391,0.00710204,0.00568624,0.00453148,0.00359621,0.00284328,0.00224039,0.0017599,0.00137856,0.00107705,0.000839463,0.000652818,0.0005066,0.000392342,0.000303264,0.000233961,0.000180146,0.000138427,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.75096,-6.42728,-0,-11.5696,-5.47063,-10.3294,-14.6076,-4.58585,-21.5788,-16.2375,-11.4497,-10.7906,-13.6138,-29.1337,-27.8795,-44.7805,-23.2022,-28.4288,-47.8296,-36.5542,-36.8782,-17.318,-41.4158,-30.5036,-18.9636,-36.1602,-17.1445,-7.16813,-18.7573,-7.85961,-8.23587,-4.31472,-18.0766,-14.1909,-0,-0,-5.39671,-5.62788,-0,-12.2022,-0,-0,-0,-0,-7.33421,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,4,0,2,6,6,12,6,3,15,13,13,12,9,7,12,9,7,8,7,11,2,4,3,5,2,3,2,1,1,1,1,0,4,0,0,0,1,0,0,1,0,0,0
-537.379,0.999215,0.0643715,6,63,0,539.544,-2.13612,-2.3498,-2.128,-0.394125,1.98283,0.00697591,-0.783578,4.41154,2.35524,5.37822e-05,7.53569e-05,0.00010559,0.000147959,0.000207333,0.000290528,0.000407067,0.000570208,0.000798293,0.00111644,0.00155845,0.00216865,0.00300303,0.00412893,0.00562242,0.00756333,0.0100281,0.0130812,0.0167665,0.0210991,0.0260595,0.0314641,0.0370744,0.0426054,0.0477405,0.0521546,0.0555472,0.0576812,0.0584208,0.0577545,0.0557914,0.0527337,0.0488387,0.0443809,0.0396243,0.0348027,0.0301083,0.0256864,0.0216363,0.0180147,0.0148428,0.0121144,0.00980402,0.00787418,0.00628124,0.00497999,0.00392665,0.00308077,0.00240627,0.00187179,0.00145062,0.00112039,0.000862625,0.000662246,0.000507049,0.00038725,0.000295058,0.000224311,0.00017016,0.000128811,9.73051e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.46407,-6.13365,-0,-10.9795,-5.18099,-9.76889,-13.8071,-4.33658,-20.4419,-15.4341,-10.9421,-10.3767,-13.1793,-28.402,-27.3778,-44.3031,-23.1242,-28.5282,-48.2814,-37.0702,-37.5198,-17.655,-42.2693,-31.1495,-19.3699,-36.9387,-17.5148,-7.32358,-19.1669,-8.03313,-8.42048,-4.41336,-18.4999,-14.5325,-0,-0,-5.53997,-5.78258,-0,-12.5617,-0,-0,-0,-0,-7.5869,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,2,3,1,5,4,5,4,7,10,24,13,7,11,8,11,10,8,10,9,6,4,2,7,5,4,1,8,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-539.978,0.990439,0.0643715,6,63,0,542.059,-1.86179,-2.34322,-1.60413,-0.0532833,3.91193,0.226975,0.386323,4.60832,2.03719,7.30216e-06,1.17314e-05,1.88467e-05,3.02748e-05,4.86208e-05,7.80416e-05,0.000125123,0.000200157,0.000318866,0.000504426,0.000789419,0.00121726,0.00184286,0.00273247,0.00396244,0.00561633,0.00777988,0.0105339,0.0139483,0.0180894,0.0230889,0.0285734,0.0343228,0.0400978,0.0456414,0.0506891,0.0549759,0.0582442,0.0602602,0.0608463,0.0599317,0.0575959,0.0540658,0.0496536,0.0446799,0.0394278,0.0341309,0.0289783,0.0241214,0.0196774,0.015729,0.0123229,0.0094692,0.00714493,0.00530169,0.00387515,0.00279491,0.00199236,0.00140586,0.000983257,0.000682399,0.000470412,0.000322361,0.00021975,0.000149104,0.000100748,6.7818e-05,4.54958e-05,3.04257e-05,2.0289e-05,1.34932e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.14421,-6.71115,-0,-11.8051,-5.5309,-10.3642,-14.5686,-4.55315,-21.362,-16.0497,-11.3052,-10.6658,-13.4878,-28.9479,-27.7825,-44.7307,-23.2069,-28.4311,-47.7544,-36.3922,-36.5891,-17.1258,-40.8457,-30.0268,-18.6494,-35.5661,-16.8878,-7.08242,-18.6233,-7.85657,-8.30449,-4.39629,-18.6388,-14.8241,-0,-0,-5.87995,-6.21843,-0,-13.8493,-0,-0,-0,-0,-8.81087,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,2,2,5,5,7,5,5,10,7,7,15,8,11,12,18,8,14,9,7,7,8,7,3,4,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-538.944,0.964057,0.0643715,5,63,0,545.484,-2.37142,-2.21325,-1.3479,-0.327,3.08078,0.727182,-0.196221,4.34359,2.06576,2.076e-05,2.97791e-05,4.27209e-05,6.12961e-05,8.79665e-05,0.00012628,0.00018136,0.000260626,0.000374871,0.000539868,0.000778797,0.00112582,0.00163086,0.00236463,0.00342154,0.00491916,0.00699367,0.00978988,0.0134434,0.0180543,0.0236562,0.030112,0.0371603,0.0444273,0.0514521,0.057716,0.0626802,0.065855,0.0669261,0.0658665,0.0629087,0.0584302,0.0528678,0.0466701,0.0402629,0.0340152,0.0282085,0.0230213,0.0185345,0.0147524,0.011629,0.00909174,0.0070578,0.00544514,0.00417819,0.00319058,0.0024259,0.00183731,0.00138661,0.0010431,0.000782368,0.000585209,0.000436632,0.000325013,0.000241398,0.000178925,0.00013236,9.77294e-05,7.20272e-05,5.29876e-05,3.89083e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.15776,-6.78925,-0,-12.0943,-5.67766,-10.6292,-14.8883,-4.62641,-21.5463,-16.0575,-11.2324,-10.5085,-13.1701,-28.0251,-26.7039,-42.7833,-22.1577,-27.203,-45.9708,-35.3616,-35.9589,-17.0395,-41.1595,-30.6465,-19.2739,-37.1904,-17.8407,-7.54267,-19.9406,-8.4327,-8.9085,-4.70039,-19.8145,-15.6391,-0,-0,-6.02155,-6.29945,-0,-13.7311,-0,-0,-0,-0,-8.32906,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,3,5,4,4,5,6,9,11,11,11,9,7,14,7,13,11,15,9,4,12,4,3,3,3,1,6,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-539.586,0.999257,0.0643715,6,63,0,541.667,-2.22215,-2.57053,-1.09774,-0.350055,3.40777,-0.243091,0.16398,5.06654,2.38997,3.83433e-05,5.45195e-05,7.75048e-05,0.000110148,0.000156467,0.000222111,0.00031497,0.000445977,0.000630097,0.000887492,0.00124476,0.00173607,0.00240391,0.00329908,0.00447961,0.00600829,0.00794883,0.0103609,0.0132945,0.0167852,0.020852,0.0253924,0.0302648,0.0352848,0.0402303,0.0448534,0.0488985,0.0521273,0.0543457,0.0554287,0.0553363,0.0541148,0.0518848,0.0488193,0.0451205,0.0409984,0.0366547,0.0322702,0.0279976,0.0239566,0.0202332,0.0168811,0.0139252,0.0113667,0.00918905,0.00736314,0.00585264,0.00461802,0.00361969,0.00282012,0.0021852,0.00168485,0.00129322,0.000988556,0.000752834,0.000571349,0.000432238,0.000326033,0.000245245,0.000183994,0.000137694,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.68881,-6.35613,-0,-11.4282,-5.40822,-10.2292,-14.5042,-4.56972,-21.602,-16.349,-11.6109,-11.0199,-13.9911,-30.0987,-28.9182,-46.5653,-24.1441,-29.5407,-49.5106,-37.6046,-37.6262,-17.4999,-41.4222,-30.1963,-18.5905,-35.1364,-16.5311,-6.86722,-17.8782,-7.46302,-7.80086,-4.08156,-17.0962,-13.4312,-0,-0,-5.14086,-5.37779,-0,-11.7419,-0,-0,-0,-0,-7.19167,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,4,4,3,7,5,8,5,15,7,15,8,12,10,11,11,11,10,10,6,7,3,5,4,1,4,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
-538.838,1,0.0643715,6,63,0,542.28,-1.62001,-1.64761,-1.14099,-0.41147,2.97614,0.279326,0.129618,4.27688,2.21992,3.30237e-05,4.6022e-05,6.41503e-05,8.94461e-05,0.000124767,0.000174133,0.000243214,0.00034004,0.000476032,0.000667495,0.000937755,0.00132007,0.00186126,0.00262573,0.00369894,0.00518982,0.00723095,0.00997565,0.0135933,0.0182749,0.024293,0.0312729,0.0388384,0.0465213,0.0537574,0.0599258,0.0644283,0.0668134,0.0669049,0.0648506,0.0610437,0.0559848,0.0501706,0.0440369,0.0379373,0.0321376,0.0268193,0.0220871,0.0179811,0.0144932,0.0115819,0.00918745,0.00724179,0.00567678,0.00442861,0.00344027,0.00266246,0.0020536,0.00157917,0.00121102,0.000926367,0.00070699,0.000538418,0.000409228,0.000310459,0.000235114,0.000177752,0.000134161,0.00010109,7.60351e-05,5.70773e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.97202,-6.63007,-0,-11.8848,-5.59971,-10.5221,-14.7882,-4.60761,-21.4909,-16.0089,-11.1527,-10.395,-12.9934,-27.6106,-26.3095,-42.2197,-21.9376,-27.0585,-45.9762,-35.5637,-36.3501,-17.2961,-41.8926,-31.2273,-19.6309,-37.815,-18.0932,-7.62553,-20.0922,-8.46816,-8.91662,-4.68992,-19.7115,-15.5141,-0,-0,-5.9285,-6.18816,-0,-13.4326,-0,-0,-0,-0,-8.07746,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,8,5,6,8,9,12,5,13,16,15,9,13,15,6,9,6,8,7,1,6,4,2,2,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
