# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 18:28:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c215581bf.json
# init = /tmp/RtmpC8O1hA/init-b41c24880cc0_4.json
# random
#   seed = 1052006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0095_rep010_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605291928-4-84b870.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0095_rep010_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605291928-4-5ab2a3.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.111334
# Diagonal elements of inverse mass matrix:
# 0.0709089, 0.0567514, 0.0435883, 0.0146216, 0.0311738, 0.0358402, 0.0400376
-537.681,0.997646,0.111334,5,31,0,539.836,-2.36441,-1.95261,-1.24512,-0.528741,3.13835,0.398731,-0.917083,4.96262,2.45793,5.35846e-05,7.20047e-05,9.67832e-05,0.000130136,0.000175069,0.000235672,0.000317531,0.000428322,0.000578649,0.000783266,0.0010628,0.00144608,0.00197301,0.00269737,0.00368846,0.00503073,0.00682029,0.00915775,0.0121367,0.0158283,0.0202635,0.025379,0.03103,0.0369865,0.0429403,0.0485224,0.0533331,0.0569913,0.0592035,0.0598284,0.0588944,0.05657,0.0531144,0.0488329,0.0440405,0.039032,0.034059,0.0293156,0.0249345,0.0209919,0.0175178,0.0145083,0.0119374,0.00976633,0.00795022,0.00644324,0.00520133,0.00418392,0.00335471,0.00268198,0.00213841,0.00170079,0.00134964,0.0010687,0.000844534,0.000666118,0.000524429,0.000412136,0.000323307,0.00025316,0.000197854,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.84685,-6.5389,-0,-11.831,-5.60255,-10.5844,-14.9636,-4.69315,-22.0576,-16.5838,-11.6968,-11.0215,-13.8912,-29.6748,-28.3315,-45.3859,-23.4496,-28.6486,-48.0552,-36.6116,-36.8161,-17.2337,-41.0943,-30.1935,-18.7359,-35.6771,-16.8983,-7.05927,-18.4575,-7.72724,-8.08908,-4.23303,-17.7123,-13.8864,-0,-0,-5.25884,-5.47651,-0,-11.8424,-0,-0,-0,-0,-7.07673,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,2,1,5,4,4,5,10,12,7,8,11,8,8,11,14,11,7,7,9,11,9,5,9,1,2,3,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-537.917,0.989716,0.111334,5,31,0,539.893,-0.659691,-2.79383,-0.876161,-0.473836,3.49444,0.345813,-0.814857,4.1003,2.09573,7.30592e-05,9.98002e-05,0.000136358,0.000186362,0.000254802,0.00034856,0.000477147,0.000653758,0.000896742,0.00123165,0.00169392,0.002332,0.00321009,0.00440879,0.00602198,0.00814895,0.0108822,0.0142917,0.018407,0.0232008,0.0285762,0.0343377,0.0402181,0.0458976,0.0510321,0.0552851,0.0583624,0.0600473,0.0602316,0.0589335,0.056291,0.0525347,0.0479521,0.0428532,0.0375407,0.0322837,0.0272985,0.022738,0.0186912,0.0151912,0.0122277,0.00976201,0.00773966,0.00610022,0.00478389,0.00373532,0.00290558,0.00225265,0.00174131,0.00134251,0.00103259,0.000792509,0.000607052,0.000464147,0.000354276,0.000269971,0.000205398,0.000156017,0.000118309,8.95532e-05,6.76522e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.38071,-6.06103,-0,-10.8483,-5.11234,-9.61973,-13.5619,-4.24808,-19.9751,-15.0543,-10.6655,-10.1145,-12.8538,-27.7321,-26.7777,-43.4288,-22.7287,-28.1262,-47.7625,-36.8075,-37.4039,-17.6777,-42.5257,-31.4997,-19.694,-37.7651,-18.0046,-7.56744,-19.8985,-8.37408,-8.8081,-4.62926,-19.4456,-15.2983,-0,-0,-5.84112,-6.09565,-0,-13.2264,-0,-0,-0,-0,-7.94543,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,4,4,3,8,4,10,8,10,8,9,15,11,11,11,10,8,7,11,3,1,7,8,3,5,6,1,0,1,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
-537.767,0.999373,0.111334,4,31,0,539.634,-0.489325,-2.77096,-1.06783,-0.471265,3.646,0.403567,-0.791018,4.10915,2.12886,7.93037e-05,0.000108422,0.000148266,0.000202817,0.000277556,0.000380053,0.000520788,0.000714321,0.000980915,0.00134874,0.00185659,0.00255659,0.0035155,0.00481295,0.0065357,0.00876874,0.011584,0.0150277,0.0191071,0.0237788,0.0289416,0.0344,0.0399062,0.0451775,0.0499185,0.0538453,0.0567096,0.0583233,0.0585833,0.057491,0.0551535,0.0517631,0.047565,0.0428282,0.0378205,0.0327884,0.0279416,0.02344,0.0193893,0.0158424,0.012808,0.0102617,0.00815903,0.00644527,0.00506344,0.00395905,0.00308285,0.00239198,0.00185007,0.0014269,0.00109775,0.0008426,0.000645404,0.000493406,0.000376524,0.000286836,0.000218146,0.000165626,0.000125534,9.49712e-05,7.17052e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28901,-5.96908,-0,-10.6729,-5.03048,-9.47312,-13.3744,-4.19786,-19.7885,-14.9559,-10.6274,-10.1091,-12.8849,-27.8744,-26.9763,-43.8246,-22.9585,-28.4175,-48.2342,-37.1296,-37.6692,-17.7665,-42.6392,-31.5056,-19.6494,-37.5945,-17.8882,-7.50663,-19.7152,-8.29013,-8.71538,-4.57934,-19.2345,-15.1332,-0,-0,-5.7819,-6.03563,-0,-13.1045,-0,-0,-0,-0,-7.88453,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,3,3,2,5,8,10,7,9,6,15,17,15,18,11,11,6,9,10,5,5,4,2,2,1,2,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-537.915,0.996897,0.111334,4,31,0,541.844,-0.549676,-2.31163,-0.676737,-0.828833,3.79779,0.561726,-0.832589,4.76536,2.59462,0.000159658,0.000199328,0.000249079,0.000311602,0.000390379,0.000489957,0.000616348,0.000777606,0.00098471,0.0012529,0.00160374,0.00206818,0.00269056,0.00353253,0.0046748,0.00621458,0.00825807,0.0109077,0.0142446,0.0183076,0.0230723,0.028414,0.0341185,0.039894,0.0453962,0.0502616,0.0541475,0.0567729,0.0579616,0.0576722,0.0559984,0.05314,0.0493656,0.0449749,0.0402661,0.0355059,0.0309078,0.0266221,0.0227369,0.0192889,0.0162778,0.0136796,0.0114579,0.00957112,0.00797722,0.0066363,0.00551193,0.00457168,0.00378713,0.00313374,0.00259043,0.00213924,0.00176498,0.00145477,0.00119779,0.000984949,0.000808653,0.000662588,0.000541538,0.000441207,0.000358075,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.43542,-6.18109,-0,-11.2915,-5.36557,-10.1617,-14.3897,-4.51828,-21.2569,-16.0018,-11.3074,-10.6826,-13.5117,-28.9938,-27.831,-44.8577,-23.3284,-28.687,-48.4156,-37.0887,-37.4716,-17.6089,-42.119,-31.0165,-19.2735,-36.7186,-17.3837,-7.25203,-18.9188,-7.89645,-8.23591,-4.29185,-17.8763,-13.947,-0,-0,-5.20084,-5.38788,-0,-11.5311,-0,-0,-0,-0,-6.72728,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,4,3,1,3,8,7,10,10,10,7,7,12,9,14,10,9,13,7,7,6,7,3,6,2,2,3,3,1,0,2,2,1,0,0,1,0,0,0,1,1,0,0,1,0
-536.643,0.996036,0.111334,5,31,0,540.39,-0.650441,-1.71492,-1.15061,-0.594519,4.18417,0.43471,-1.18758,4.64877,2.34306,5.73273e-05,7.58096e-05,0.000100365,0.000133076,0.000176802,0.000235527,0.000314872,0.000422924,0.000571527,0.000778281,0.00106942,0.00148328,0.00207334,0.00290943,0.00407626,0.0056691,0.00778655,0.0105207,0.0139447,0.0180996,0.0229807,0.0284507,0.0343016,0.0402633,0.0460194,0.0512297,0.0555568,0.0586956,0.0604078,0.0605628,0.0591731,0.0563988,0.0525091,0.0478247,0.0426714,0.0373503,0.0321187,0.0271791,0.0226729,0.018682,0.0152349,0.0123188,0.00989308,0.00790199,0.00628444,0.00498077,0.00393653,0.00310406,0.00244292,0.00191943,0.00150595,0.00118003,0.000923559,0.000722027,0.000563851,0.000439823,0.000342644,0.000266546,0.000206982,0.000160376,0.00012392,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.84064,-6.5135,-0,-11.6796,-5.50258,-10.3455,-14.5661,-4.55441,-21.3633,-16.0475,-11.3193,-10.6787,-13.4902,-28.9108,-27.7082,-44.5715,-23.1228,-28.3539,-47.7128,-36.453,-36.7548,-17.2518,-41.2548,-30.4021,-18.9254,-36.1616,-17.1916,-7.21062,-18.9329,-7.96039,-8.36834,-4.39663,-18.4637,-14.5219,-0,-0,-5.53746,-5.77504,-0,-12.5115,-0,-0,-0,-0,-7.48072,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,1,2,1,7,8,6,14,10,9,12,12,10,10,18,10,9,7,7,7,5,6,7,3,3,1,2,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
-536.382,0.982451,0.111334,4,31,0,540.552,-1.07705,-2.0313,-1.01342,-0.678751,3.85466,0.463061,-0.619593,4.8175,2.46469,9.73915e-05,0.000125797,0.000162598,0.00021035,0.000272437,0.000353375,0.000459249,0.000598355,0.000782158,0.00102673,0.00135484,0.00179879,0.00240359,0.00322943,0.00435218,0.00586088,0.00785189,0.0104189,0.0136393,0.017558,0.0221712,0.0273669,0.0329574,0.0386861,0.0442439,0.0492933,0.0534973,0.0565543,0.0582412,0.0584563,0.057241,0.05476,0.0512582,0.047018,0.0423282,0.0374595,0.0326453,0.0280688,0.0238566,0.020081,0.0167685,0.0139112,0.0114793,0.00943116,0.00772031,0.00630052,0.00512846,0.00416504,0.00337592,0.00273152,0.00220664,0.00178004,0.001434,0.00115376,0.000927146,0.000744108,0.000596422,0.00047736,0.000381443,0.000304219,0.000242082,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.60408,-6.32064,-0,-11.4709,-5.43708,-10.2789,-14.541,-4.56413,-21.474,-16.169,-11.4269,-10.7953,-13.6502,-29.2705,-28.0623,-45.1495,-23.425,-28.7255,-48.3338,-36.9132,-37.1863,-17.4288,-41.5923,-30.5722,-18.9738,-36.1295,-17.1103,-7.1462,-18.6785,-7.81596,-8.17651,-4.27506,-17.8688,-13.9912,-0,-0,-5.27295,-5.48103,-0,-11.8058,-0,-0,-0,-0,-6.9834,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,4,3,4,4,10,9,13,14,9,10,11,12,10,10,8,10,12,10,5,3,3,2,6,4,2,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
