# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 18:34:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21cb1be42.json
# init = /tmp/RtmpC8O1hA/init-b41c27fe1377f_3.json
# random
#   seed = 1052007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0096_rep010_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605291934-3-20cf3b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0096_rep010_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605291934-3-9733f1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.213303
# Diagonal elements of inverse mass matrix:
# 0.0646699, 0.0468593, 0.00673885, 0.00488353, 0.00506498, 0.00462104, 0.00644232
-541.692,0.99368,0.213303,4,15,0,544.769,-1.42892,-3.66152,-1.23378,-0.335786,3.57345,0.301912,-0.656103,4.47074,2.09599,3.85107e-05,5.50618e-05,7.87302e-05,0.00011258,0.000160994,0.000230246,0.000329304,0.00047096,0.000673364,0.000962001,0.00137193,0.00194979,0.00275468,0.00385698,0.00533482,0.00726798,0.00972927,0.0127735,0.0164249,0.0206653,0.0254256,0.0305665,0.0358953,0.041177,0.0461509,0.0505493,0.0541179,0.0566377,0.0579484,0.0579714,0.0567227,0.0543092,0.0509081,0.046743,0.0420605,0.0371101,0.0321265,0.0273131,0.0228301,0.0187873,0.015244,0.0122148,0.00968048,0.00759874,0.00591519,0.00457144,0.00351075,0.00268132,0.00203791,0.00154224,0.00116265,0.000873468,0.000654171,0.000488544,0.000363906,0.000270419,0.000200502,0.000148352,0.000109549,8.07406e-05,5.9397e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.59154,-6.24003,-0,-11.1157,-5.2335,-9.84855,-13.8979,-4.36039,-20.5448,-15.5172,-11.016,-10.4636,-13.3086,-28.7089,-27.6825,-44.7721,-23.3327,-28.7108,-48.4194,-37.0215,-37.3045,-17.4784,-41.6883,-30.6309,-19.0119,-36.2325,-17.1904,-7.20078,-18.8984,-7.94914,-8.36714,-4.40511,-18.5506,-14.6393,-0,-0,-5.65193,-5.92145,-0,-12.949,-0,-0,-0,-0,-7.91861,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,1,2,8,5,5,6,9,9,9,15,5,7,15,14,9,8,8,8,10,3,6,4,6,6,4,3,0,2,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0
-536.284,0.989085,0.213303,4,15,0,543.638,-0.613888,-2.08911,-1.11451,-0.590649,3.79305,0.188161,-0.884225,4.48467,2.3652,0.000102451,0.00013542,0.000179111,0.000237095,0.000314187,0.000416924,0.000554231,0.000738381,0.000986326,0.0013215,0.00177606,0.0023931,0.00322822,0.0043491,0.00583231,0.0077572,0.0101972,0.0132095,0.016824,0.0210333,0.0257855,0.0309183,0.0362176,0.0414289,0.0462742,0.0504728,0.0537658,0.0559421,0.0568653,0.056495,0.0548943,0.0522169,0.0486783,0.0445243,0.0400037,0.0353479,0.0307565,0.0263882,0.0223563,0.0187302,0.0155404,0.0127864,0.0104457,0.00848195,0.0068521,0.0055113,0.00441632,0.00352749,0.00280964,0.00223235,0.00176978,0.00140029,0.00110594,0.000871994,0.000686444,0.000539536,0.000423402,0.00033172,0.000259429,0.000202489,0.000157685,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.33336,-6.03517,-0,-10.8756,-5.14434,-9.71827,-13.7569,-4.32682,-20.4247,-15.4466,-10.9738,-10.4292,-13.2728,-28.654,-27.6585,-44.7948,-23.3849,-28.8344,-48.7402,-37.3568,-37.7305,-17.7141,-42.3153,-31.1172,-19.3127,-36.7677,-17.4083,-7.26968,-19.0032,-7.95524,-8.32863,-4.35937,-18.2463,-14.3094,-0,-0,-5.42245,-5.64717,-0,-12.2094,-0,-0,-0,-0,-7.28399,-0,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,3,4,3,6,5,2,4,9,5,12,12,5,10,10,8,8,12,13,6,6,4,8,5,5,3,7,3,5,1,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
-536.869,0.989755,0.213303,3,15,0,537.812,-0.346713,-2.06299,-1.10378,-0.529417,3.88007,0.291584,-0.785822,4.31324,2.26729,7.81926e-05,0.000105162,0.000141522,0.000190615,0.000257025,0.000347085,0.00046961,0.000636963,0.000866619,0.00118332,0.00162187,0.00222993,0.00306986,0.00421781,0.00575944,0.00778236,0.0103661,0.0135708,0.0174253,0.0219166,0.0269824,0.0324259,0.0380035,0.0434359,0.0484261,0.0526804,0.0559315,0.0579638,0.0586417,0.0579334,0.0559227,0.0527935,0.0487951,0.0442037,0.0392922,0.0343095,0.029466,0.0249245,0.0207965,0.0171442,0.0139864,0.0113093,0.00907632,0.00723862,0.00574269,0.00453575,0.00356901,0.00279926,0.00218939,0.00170819,0.00132983,0.00103325,0.000801371,0.000620492,0.000479676,0.00037024,0.000285319,0.00021951,0.00016857,0.000129183,9.87589e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.42418,-6.10578,-0,-10.9369,-5.15691,-9.71179,-13.7076,-4.29983,-20.2492,-15.282,-10.8377,-10.2864,-13.0803,-28.2282,-27.2494,-44.1527,-23.069,-28.4794,-48.2173,-37.03,-37.4892,-17.6482,-42.2817,-31.1895,-19.4204,-37.0957,-17.6226,-7.38381,-19.3648,-8.1322,-8.53933,-4.48213,-18.8083,-14.785,-0,-0,-5.63547,-5.8784,-0,-12.7446,-0,-0,-0,-0,-7.6424,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,2,3,1,4,7,3,6,6,4,14,10,20,12,17,7,11,7,10,9,5,5,5,5,5,1,6,3,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-539.421,0.985919,0.213303,4,23,0,541.966,-1.0478,-2.29219,-1.22348,-0.705964,3.51794,0.493416,-0.833715,4.66907,2.52921,0.000162106,0.000207807,0.000266509,0.000341984,0.00043915,0.000564446,0.000726352,0.000936121,0.0012088,0.00156466,0.00203111,0.00264506,0.00345496,0.00452149,0.00591552,0.00771307,0.0099878,0.012801,0.0161902,0.0201568,0.0246571,0.0295533,0.0346511,0.0397105,0.0444623,0.0486281,0.051944,0.054189,0.0552186,0.0549942,0.0535862,0.0511493,0.0478904,0.0440401,0.0398322,0.0354853,0.031188,0.0270883,0.0232892,0.019851,0.0167982,0.0141288,0.011823,0.00985052,0.00817665,0.00676535,0.00558186,0.0045939,0.00377238,0.00309154,0.00252894,0.00206523,0.00168391,0.00137097,0.00111458,0.000904865,0.000733554,0.000593783,0.000479868,0.000387119,0.000311675,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.19917,-5.93506,-0,-10.7978,-5.13018,-9.72968,-13.8192,-4.35823,-20.6168,-15.6168,-11.1081,-10.5647,-13.4497,-29.0353,-28.018,-45.3533,-23.6607,-29.1528,-49.2397,-37.7068,-38.044,-17.838,-42.5438,-31.2266,-19.3385,-36.725,-17.3386,-7.21731,-18.7988,-7.839,-8.17296,-4.25954,-17.7508,-13.8607,-0,-0,-5.18823,-5.38303,-0,-11.5582,-0,-0,-0,-0,-6.79928,-0,-0,-0,-0,-0,-0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,2,4,5,1,7,8,3,10,8,12,11,11,12,16,8,9,4,12,6,6,7,3,5,3,4,5,0,2,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0
-540.045,0.986489,0.213303,5,31,0,543.847,-0.782122,-3.14283,-1.15577,-0.363847,4.15403,0.10186,-0.894515,4.55679,2.17091,5.71764e-05,8.09654e-05,0.000114664,0.000162406,0.000230044,0.00032585,0.000461459,0.000653095,0.000923033,0.0013011,0.00182577,0.00254433,0.00351153,0.00478663,0.00642891,0.00849189,0.0110165,0.0140237,0.0175078,0.0214306,0.0257188,0.0302478,0.0348603,0.0393745,0.0435956,0.0473279,0.0503888,0.0526215,0.0539079,0.05418,0.0534292,0.051708,0.0491243,0.0458281,0.041995,0.0378114,0.0334613,0.0291149,0.0249199,0.0209946,0.0174239,0.0142588,0.0115186,0.00919628,0.00726531,0.00568645,0.00441426,0.00340208,0.0026055,0.00198444,0.00150411,0.00113516,0.000853472,0.000639512,0.000477733,0.000355894,0.000264458,0.000196053,0.00014502,0.000107043,7.88471e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.30575,-5.97389,-0,-10.6839,-5.04695,-9.53729,-13.5251,-4.26701,-20.2255,-15.3717,-10.9816,-10.495,-13.4256,-29.1117,-28.1952,-45.7598,-23.9039,-29.4463,-49.6481,-37.9008,-38.0822,-17.7729,-42.1876,-30.8286,-19.0212,-36.0266,-16.9868,-7.07301,-18.4604,-7.72698,-8.09982,-4.25038,-17.8552,-14.0669,-0,-0,-5.42292,-5.68337,-0,-12.4448,-0,-0,-0,-0,-7.64646,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,2,1,2,1,8,4,4,9,9,6,4,10,13,11,9,6,10,12,8,8,5,9,6,5,2,4,6,2,0,2,4,2,7,0,0,1,0,1,0,1,1,0,0,0,0,0,0
-537.502,0.998804,0.213303,4,15,0,541.762,-1.12306,-1.55115,-1.07036,-0.496345,3.84069,0.230002,-0.874598,4.64395,2.25042,3.25106e-05,4.41784e-05,6.00827e-05,8.18027e-05,0.00011154,0.000152393,0.000208765,0.000287008,0.000396401,0.000550692,0.000770405,0.00108606,0.00154216,0.00220113,0.00314604,0.00448084,0.00632656,0.00881291,0.0120647,0.0161837,0.0212286,0.0271024,0.0336062,0.0404375,0.0472028,0.0534454,0.0586872,0.062487,0.0645091,0.0645934,0.0627934,0.0593593,0.0546704,0.0491561,0.0432336,0.0372671,0.0315452,0.026273,0.0215741,0.0175013,0.0140524,0.0111873,0.00884399,0.00695142,0.00543816,0.00423783,0.00329177,0.00254996,0.00197073,0.00152,0.00117028,0.000899593,0.000690524,0.000529342,0.000405275,0.000309909,0.000236691,0.000180533,0.000137497,0.000104537,7.93094e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.16859,-6.82519,-0,-12.2376,-5.76161,-10.8159,-15.189,-4.73154,-22.0874,-16.495,-11.5572,-10.8244,-13.5722,-28.872,-27.4797,-43.9364,-22.6843,-27.728,-46.5961,-35.6154,-35.9828,-16.9449,-40.6901,-30.1275,-18.8468,-36.1861,-17.2817,-7.27843,-19.1813,-8.09096,-8.52992,-4.49298,-18.9121,-14.9064,-0,-0,-5.71633,-5.97168,-0,-12.9781,-0,-0,-0,-0,-7.81094,-0,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,5,2,5,6,12,11,6,10,12,10,17,10,9,15,7,10,11,5,5,6,4,5,2,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
