# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 18:37:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24b4df994.json
# init = /tmp/RtmpC8O1hA/init-b41c26e6d9bc_2.json
# random
#   seed = 1052008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0097_rep010_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605291937-2-604712.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0097_rep010_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605291937-2-3d9be0.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0359552
# Diagonal elements of inverse mass matrix:
# 0.113702, 0.0596888, 0.113501, 0.0125114, 0.128399, 0.24294, 0.227169
-543.013,0.999674,0.0359552,7,127,0,547.646,-0.697558,-4.63273,-0.337495,-0.511682,3.8439,1.47453,0.456988,4.51557,2.01256,5.52113e-05,7.45288e-05,0.000100615,0.000135849,0.000183456,0.000247805,0.000334838,0.000452648,0.000612299,0.000829005,0.00112385,0.00152637,0.00207844,0.00283807,0.00388079,0.00530047,0.00720942,0.00973439,0.0130046,0.0171256,0.0221349,0.0279552,0.0343949,0.04117,0.0479129,0.0541711,0.0594247,0.0631481,0.06493,0.0646137,0.0623423,0.0584669,0.0534289,0.0476734,0.0416064,0.0355834,0.0298996,0.024763,0.0202752,0.0164502,0.0132485,0.0106046,0.00844428,0.00669413,0.00528614,0.00416007,0.00326396,0.00255395,0.0019935,0.00155259,0.00120676,0.000936212,0.00072507,0.00056064,0.00043283,0.000333653,0.000256811,0.000197353,0.0001514,0.000115919,8.85523e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.791,-6.48486,-0,-11.7293,-5.55172,-10.4799,-14.7971,-4.63209,-21.7123,-16.2687,-11.4318,-10.7315,-13.4794,-28.7104,-27.3453,-43.7341,-22.5844,-27.6227,-46.4856,-35.6113,-36.0765,-17.0358,-41.0116,-30.4338,-19.077,-36.6946,-17.5495,-7.39681,-19.4918,-8.21483,-8.64774,-4.54647,-19.0971,-15.0196,-0,-0,-5.72481,-5.97012,-0,-12.9357,-0,-0,-0,-0,-7.74517,-0,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,3,3,3,0,1,2,4,7,4,11,7,11,10,14,10,10,14,10,12,12,11,10,6,2,4,3,1,2,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-540.85,0.999777,0.0359552,5,31,0,543.813,-0.666483,-4.44459,-0.543908,-0.606353,3.92038,1.07727,0.342461,4.65991,2.23838,0.000105039,0.000138023,0.000181389,0.000238422,0.000313461,0.000412244,0.000542381,0.000713993,0.0009406,0.00124036,0.00163786,0.00216647,0.00287117,0.00380979,0.00505222,0.00667836,0.00877458,0.0114262,0.0147043,0.0186451,0.0232261,0.0283426,0.0338157,0.0394037,0.0448166,0.049732,0.0538169,0.056763,0.0583361,0.0584296,0.0570872,0.0544777,0.0508492,0.0464873,0.0416829,0.0367111,0.0318155,0.0271908,0.0229685,0.0192165,0.015951,0.0131537,0.010787,0.0088044,0.00715671,0.00579649,0.00467989,0.00376766,0.00302553,0.00242396,0.00193792,0.00154633,0.00123166,0.000979357,0.000777475,0.000616226,0.000487638,0.00038524,0.000303803,0.000239112,0.000187784,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.41437,-6.13465,-0,-11.1404,-5.28793,-10.0178,-14.2077,-4.47184,-21.0981,-15.9287,-11.2874,-10.6902,-13.5473,-29.1051,-27.9466,-45.0166,-23.3773,-28.6887,-48.3061,-36.9191,-37.2213,-17.4598,-41.7045,-30.6858,-19.066,-36.3514,-17.239,-7.20976,-18.8682,-7.90397,-8.27647,-4.33105,-18.1176,-14.1975,-0,-0,-5.36448,-5.5813,-0,-12.0447,-0,-0,-0,-0,-7.15946,-0,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,3,3,6,2,5,3,6,5,9,12,11,9,12,23,13,11,9,7,6,4,4,5,6,2,3,2,2,0,3,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0
-538.435,0.999654,0.0359552,7,127,0,544.206,-0.389831,-1.08495,-1.19832,-0.692188,3.8763,-0.00551255,-0.168135,4.76228,2.66091,7.42166e-05,9.57597e-05,0.000123717,0.000160102,0.000207626,0.00026998,0.000352246,0.00046151,0.000607771,0.000805255,0.00107426,0.00144355,0.00195325,0.00265786,0.00362942,0.00496065,0.00676827,0.00919674,0.0124237,0.0166748,0.0222691,0.0285064,0.0349825,0.0413624,0.0473226,0.0525338,0.056671,0.0594451,0.0606516,0.0602232,0.0582576,0.0550028,0.0507993,0.0460103,0.0409662,0.0359351,0.0311148,0.0266377,0.0225812,0.0189796,0.0158355,0.0131291,0.0108268,0.00888747,0.00726737,0.00592316,0.00481417,0.00390354,0.00315871,0.00255148,0.00205777,0.0016573,0.00133307,0.00107099,0.000859419,0.000688797,0.000551281,0.000440468,0.000351127,0.000278991,0.000220558,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.83612,-6.54065,-0,-11.8605,-5.61868,-10.6124,-14.9865,-4.68891,-21.9407,-16.3754,-11.4137,-10.6729,-13.4116,-28.6684,-27.4569,-44.1945,-22.9639,-28.227,-47.6443,-36.5261,-36.9574,-17.4022,-41.7182,-30.7889,-19.17,-36.5864,-17.3504,-7.25086,-18.9532,-7.92878,-8.291,-4.33293,-18.1029,-14.1693,-0,-0,-5.33619,-5.54587,-0,-11.9422,-0,-0,-0,-0,-7.05925,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,3,3,5,4,9,5,7,16,11,16,16,11,18,15,6,8,7,2,6,6,4,4,2,2,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
-539.588,0.992304,0.0359552,7,127,0,543.945,-2.23565,-4.25913,-0.783723,-0.538715,3.12272,0.980492,-1.67324,4.69063,2.2899,7.37779e-05,9.8779e-05,0.000132256,0.000177084,0.000237118,0.000317523,0.00042523,0.000569536,0.000762926,0.00102219,0.00136991,0.00183653,0.00246299,0.0033039,0.00443021,0.00592996,0.00790605,0.0104692,0.0137226,0.0177364,0.0225149,0.0279657,0.0338916,0.0400019,0.0459349,0.0512861,0.055648,0.0586682,0.0601224,0.0599522,0.0582511,0.0552291,0.0511781,0.0464351,0.041343,0.0362076,0.031267,0.0266807,0.0225384,0.0188758,0.0156914,0.0129603,0.010644,0.008698,0.00707605,0.0057335,0.00462887,0.00372479,0.0029883,0.00239085,0.001908,0.00151909,0.00120682,0.000956792,0.000757108,0.000598007,0.000471513,0.000371141,0.00029164,0.000228776,0.000179146,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.59301,-6.29988,-0,-11.4253,-5.41931,-10.2555,-14.5204,-4.55932,-21.4436,-16.1286,-11.3807,-10.7303,-13.5384,-28.9695,-27.7248,-44.555,-23.1097,-28.3586,-47.7933,-36.5847,-36.9589,-17.3776,-41.6142,-30.697,-19.1151,-36.5033,-17.326,-7.24763,-18.9627,-7.93975,-8.30928,-4.34586,-18.171,-14.234,-0,-0,-5.37544,-5.59274,-0,-12.0722,-0,-0,-0,-0,-7.186,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,4,0,3,3,1,2,5,5,2,9,8,11,10,12,14,16,11,15,6,12,13,6,2,4,4,4,0,2,5,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0
-537.52,0.999572,0.0359552,6,127,0,544.054,-1.43418,-1.50457,-0.832112,-0.336209,2.92736,-0.37374,-0.793181,4.54645,2.2631,2.92948e-05,4.18553e-05,5.97917e-05,8.53962e-05,0.00012193,0.000174025,0.000248245,0.000353861,0.000503912,0.000716615,0.0010172,0.00144017,0.00203185,0.00285296,0.00398041,0.00550745,0.00754087,0.010194,0.0135753,0.0177726,0.0228349,0.0286516,0.0350031,0.0415617,0.0479125,0.0535956,0.0581658,0.0612598,0.0626532,0.0622922,0.0602916,0.0569011,0.0524555,0.0473198,0.0418443,0.036333,0.031026,0.0260951,0.0216475,0.0177351,0.0143669,0.0115205,0.00915376,0.00721349,0.00564245,0.00438419,0.00338608,0.00260105,0.00198825,0.00151309,0.00114686,0.000866084,0.000651864,0.000489126,0.000365979,0.000273122,0.000203326,0.000151018,0.000111917,8.27604e-05,6.10652e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.8907,-6.54299,-0,-11.7188,-5.52637,-10.4033,-14.6623,-4.58596,-21.4975,-16.1204,-11.3384,-10.6576,-13.4093,-28.6252,-27.3454,-43.8943,-22.7557,-27.9263,-47.0924,-36.0869,-36.5113,-17.1986,-41.2691,-30.5083,-19.0428,-36.4653,-17.3647,-7.29201,-19.1643,-8.06441,-8.48566,-4.46363,-18.7744,-14.7954,-0,-0,-5.68808,-5.95184,-0,-12.9872,-0,-0,-0,-0,-7.91293,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,5,0,4,6,7,11,4,7,10,11,10,14,16,8,11,11,11,8,5,3,9,6,2,4,2,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
-536.757,0.995522,0.0359552,7,127,0,538.407,-1.51302,-2.48696,-1.51087,-0.575623,3.40245,1.48509,-0.572238,4.47273,2.3615,9.17146e-05,0.000121559,0.000161144,0.00021367,0.000283405,0.000376056,0.000499274,0.000663356,0.000882238,0.00117491,0.00156749,0.00209634,0.00281257,0.00378613,0.00510309,0.00685898,0.00915271,0.0120779,0.0157092,0.020081,0.0251599,0.0307723,0.0366596,0.042513,0.0480002,0.0527811,0.0565179,0.0588952,0.0596883,0.0589022,0.0567173,0.0533804,0.0491692,0.0443771,0.0393009,0.0342235,0.0293807,0.0249313,0.0209556,0.0174761,0.0144782,0.011927,0.00977744,0.007981,0.00648998,0.00525968,0.00424965,0.00342413,0.00275204,0.00220678,0.0017658,0.00141017,0.0011241,0.000894514,0.000710655,0.000563694,0.000446433,0.000353018,0.000278709,0.000219677,0.000172842,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.45828,-6.16756,-0,-11.1528,-5.27791,-9.96439,-14.0811,-4.41638,-20.7675,-15.6319,-11.0475,-10.4434,-13.2243,-28.4215,-27.3289,-44.124,-22.9856,-28.32,-47.9165,-36.8144,-37.3058,-17.5819,-42.1748,-31.1503,-19.419,-37.1233,-17.6371,-7.38327,-19.3267,-8.09385,-8.47022,-4.42895,-18.5107,-14.4921,-0,-0,-5.46092,-5.67691,-0,-12.2324,-0,-0,-0,-0,-7.24932,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,6,2,1,7,8,4,8,17,5,12,8,11,13,14,6,10,5,9,7,5,7,6,7,2,1,3,1,1,1,1,0,2,1,0,2,1,0,0,0,0,0,0,0,0
