# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 18:50:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c266432e31.json
# init = /tmp/RtmpC8O1hA/init-b41c22b085ac5_1.json
# random
#   seed = 1052009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0098_rep010_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605291950-1-92d9a1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0098_rep010_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605291950-1-55ce15.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.104445
# Diagonal elements of inverse mass matrix:
# 0.0754938, 0.0580394, 0.0392684, 0.00939776, 0.0355316, 0.0439155, 0.0500512
-538.003,0.996576,0.104445,5,31,0,539.966,0.0155123,-2.56139,-0.671875,-0.601346,4.0576,0.568974,-0.841035,4.47691,2.27152,8.09984e-05,0.000106747,0.000140772,0.000185798,0.000245501,0.000324874,0.000430763,0.000572677,0.000764014,0.00102395,0.00138026,0.00187303,0.0025583,0.00350951,0.00481498,0.00657187,0.00887741,0.0118172,0.0154504,0.0197916,0.0247935,0.0303131,0.0361304,0.0419598,0.0474734,0.0523297,0.0562058,0.0588302,0.0600163,0.0596937,0.0579223,0.0548769,0.0508137,0.0460333,0.0408494,0.0355591,0.030419,0.0256258,0.0213082,0.0175284,0.0142943,0.0115763,0.00932336,0.00747546,0.00597202,0.00475651,0.00377868,0.00299524,0.00236964,0.00187147,0.00147574,0.00116201,0.000913752,0.000717589,0.000562788,0.000440754,0.000344634,0.000268979,0.000209471,0.000162696,0.000125963,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.58548,-6.2802,-0,-11.3046,-5.33602,-10.0499,-14.1727,-4.4382,-20.8506,-15.69,-11.0915,-10.4885,-13.2825,-28.5394,-27.4283,-44.2529,-23.0299,-28.331,-47.8234,-36.6409,-37.0325,-17.416,-41.7143,-30.7839,-19.1872,-36.7021,-17.4634,-7.32831,-19.2433,-8.08787,-8.49579,-4.4588,-18.7009,-14.6884,-0,-0,-5.57838,-5.81073,-0,-12.5621,-0,-0,-0,-0,-7.48261,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,8,2,4,7,9,10,8,7,11,15,11,9,10,8,7,13,10,15,6,6,4,4,4,1,2,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-539.911,0.998097,0.104445,5,31,0,541.345,-0.598342,-2.16494,-0.708337,-0.485965,4.18413,-0.159688,-0.672964,4.74645,2.32198,5.50661e-05,7.50433e-05,0.000102332,0.000139656,0.000190789,0.000260975,0.000357536,0.000490722,0.000674902,0.000930157,0.0012843,0.00177512,0.00245248,0.00337927,0.00463038,0.00628857,0.00843697,0.0111485,0.0144734,0.0184269,0.0229783,0.0280108,0.0333459,0.0387513,0.0439552,0.0486678,0.0526074,0.0555287,0.05725,0.0576752,0.0568049,0.0547343,0.0516371,0.0477405,0.0432973,0.0385597,0.0337583,0.0290874,0.0246964,0.0206879,0.0171201,0.0140139,0.0113607,0.00913166,0.00728541,0.00577477,0.00455156,0.00356985,0.00278791,0.00216911,0.0016821,0.00130065,0.00100308,0.000771772,0.000592523,0.000453985,0.000347159,0.00026495,0.000201798,0.000153362,0.000116266,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.65754,-6.33389,-0,-11.3802,-5.37512,-10.138,-14.3254,-4.49645,-21.1772,-15.9758,-11.3196,-10.7255,-13.6033,-29.2553,-28.1213,-45.3411,-23.5592,-28.9086,-48.6256,-37.0881,-37.2857,-17.4316,-41.4892,-30.4197,-18.838,-35.811,-16.9426,-7.0749,-18.5055,-7.75642,-8.135,-4.26771,-17.9104,-14.088,-0,-0,-5.39229,-5.63523,-0,-12.2669,-0,-0,-0,-0,-7.43112,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,4,5,2,1,4,5,5,4,8,6,15,11,13,18,10,4,14,12,10,6,4,6,7,2,3,3,3,2,2,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0
-537.812,1,0.104445,5,31,0,540.843,-1.28142,-2.35074,-0.897945,-0.43724,3.71883,0.324668,-0.467768,4.53167,2.13842,4.01534e-05,5.55029e-05,7.67437e-05,0.000106159,0.000146933,0.00020353,0.00028223,0.000391917,0.000545242,0.000760297,0.00106299,0.00149011,0.00209274,0.00293895,0.00411455,0.00572038,0.00786528,0.0106539,0.0141696,0.0184543,0.0234893,0.0291499,0.0352234,0.0414175,0.0473816,0.0527358,0.0571074,0.0601721,0.0616999,0.0615956,0.0599146,0.0568446,0.0526639,0.0476982,0.0422837,0.0367365,0.0313279,0.0262677,0.0216963,0.0176871,0.0142578,0.0113844,0.0090175,0.00709454,0.00554979,0.00432025,0.00334901,0.00258665,0.00199143,0.00152882,0.00117068,0.00089438,0.000681861,0.000518839,0.000394086,0.000298825,0.000226225,0.000170991,0.000129035,9.7212e-05,7.31062e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.84667,-6.5089,-0,-11.6594,-5.49323,-10.3274,-14.5359,-4.54183,-21.2833,-15.9698,-11.2536,-10.6059,-13.3842,-28.6565,-27.4457,-44.1369,-22.9026,-28.1055,-47.353,-36.2331,-36.5929,-17.2046,-41.2135,-30.4286,-18.9801,-36.3438,-17.3162,-7.27883,-19.1531,-8.06984,-8.50091,-4.47551,-18.8344,-14.8453,-0,-0,-5.69909,-5.95739,-0,-12.9665,-0,-0,-0,-0,-7.83894,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,4,2,8,5,7,10,7,8,23,14,15,10,11,9,9,13,8,3,4,4,1,2,4,2,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-539.844,0.997766,0.104445,5,31,0,541.221,-0.57849,-2.66022,-1.41398,-0.385449,4.53447,0.942144,-0.789719,4.4458,2.10868,4.9418e-05,6.94886e-05,9.77414e-05,0.000137542,0.000193672,0.000272949,0.000385156,0.000544428,0.00077132,0.00109564,0.00155915,0.00221549,0.00312652,0.00435787,0.00597511,0.00803961,0.0106033,0.0137015,0.0173434,0.0215014,0.0261019,0.0309887,0.0359686,0.0408289,0.0453539,0.049336,0.0525838,0.0549279,0.0562295,0.0563919,0.0553829,0.053266,0.0501992,0.0463907,0.0420596,0.0374189,0.0326668,0.0279827,0.0235229,0.0194165,0.0157574,0.0125975,0.00994443,0.00776883,0.00601796,0.0046294,0.00354071,0.00269485,0.00204249,0.00154241,0.00116104,0.000871474,0.000652447,0.000487331,0.000363224,0.000270186,0.000200603,0.000148673,0.000109992,8.12304e-05,5.98786e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.46361,-6.11228,-0,-10.8715,-5.12015,-9.64675,-13.6398,-4.29025,-20.2727,-15.3586,-10.9372,-10.4224,-13.3004,-28.7853,-27.8393,-45.1365,-23.5628,-29.0173,-48.9313,-37.3806,-37.6153,-17.5947,-41.8846,-30.7066,-19.012,-36.1414,-17.107,-7.15234,-18.7489,-7.88327,-8.3009,-4.37426,-18.443,-14.5729,-0,-0,-5.64343,-5.91641,-0,-12.9488,-0,-0,-0,-0,-7.92049,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,6,6,3,9,5,7,18,12,6,8,14,12,13,11,16,8,8,10,7,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-540.822,0.989876,0.104445,5,31,0,547.238,-1.49431,-3.9466,-1.14857,-0.297626,4.26177,0.483738,-0.761171,4.78775,2.02589,2.75314e-05,3.99156e-05,5.78741e-05,8.39196e-05,0.0001217,0.000176514,0.000256049,0.000371441,0.000538717,0.000780612,0.0011285,0.00162382,0.00231857,0.00327449,0.00456099,0.00625124,0.0084158,0.0111134,0.0143794,0.0182134,0.0225693,0.0273451,0.0323898,0.0375116,0.0424903,0.0470908,0.051077,0.0542279,0.056355,0.0573234,0.0570718,0.0556261,0.0530946,0.0496482,0.045497,0.0408686,0.0359919,0.0310831,0.026334,0.021902,0.0179016,0.0144001,0.0114193,0.00894308,0.00692863,0.00531852,0.00405038,0.00306369,0.00230379,0.00172352,0.00128362,0.00095221,0.000703865,0.000518638,0.000381057,0.000279239,0.000204134,0.000148897,0.00010838,7.87316e-05,5.70846e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.78687,-6.42297,-0,-11.4432,-5.39021,-10.1499,-14.3329,-4.4996,-21.2098,-16.0224,-11.3735,-10.7977,-13.7196,-29.548,-28.4263,-45.8352,-23.7954,-29.1456,-48.8934,-37.1676,-37.2248,-17.3346,-41.0995,-30.0279,-18.5407,-35.1713,-16.6223,-6.94218,-18.1845,-7.64235,-8.04573,-4.24052,-17.8898,-14.1506,-0,-0,-5.50895,-5.78813,-0,-12.7268,-0,-0,-0,-0,-7.87256,-0,-0,-0,-0,-0,-0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,4,2,3,6,5,10,6,8,9,14,12,13,7,13,12,9,6,5,5,9,10,6,5,2,5,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-539.341,0.998349,0.104445,5,31,0,543.79,-0.849368,-3.0947,-1.18998,-0.39734,4.50842,1.07087,-0.519328,4.58783,2.06685,4.44569e-05,6.22477e-05,8.71773e-05,0.000122129,0.000171168,0.000240045,0.000336931,0.000473497,0.000666542,0.000940349,0.0013296,0.00188113,0.00265254,0.00370949,0.00512289,0.00696523,0.00930533,0.0122001,0.0156827,0.0197472,0.0243336,0.0293065,0.0344788,0.0396326,0.0445364,0.0489576,0.052671,0.0554686,0.057173,0.0576569,0.0568722,0.0548819,0.0518491,0.0479898,0.043538,0.0387266,0.0337756,0.0288859,0.0242336,0.0199639,0.0161795,0.0129307,0.0102164,0.00799711,0.00621251,0.00479585,0.00368263,0.002815,0.00214331,0.00162626,0.00123016,0.000927983,0.000698299,0.000524279,0.000392808,0.000293737,0.000219253,0.00016337,0.000121522,9.0237e-05,6.68866e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.62287,-6.27588,-0,-11.1937,-5.27404,-9.93365,-14.0315,-4.40631,-20.776,-15.699,-11.1477,-10.5898,-13.4696,-29.0529,-28.003,-45.252,-23.5495,-28.9194,-48.6484,-37.0922,-37.2703,-17.4154,-41.4318,-30.3677,-18.8047,-35.7635,-16.9401,-7.08881,-18.6001,-7.82766,-8.24803,-4.34815,-18.335,-14.486,-0,-0,-5.60413,-5.87279,-0,-12.8429,-0,-0,-0,-0,-7.84219,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,4,2,0,3,1,9,3,9,5,6,9,10,16,11,9,9,15,10,7,5,10,4,7,9,4,5,2,2,1,1,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0
