# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 19:00:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22783c461.json
# init = /tmp/RtmpC8O1hA/init-b41c257414884_4.json
# random
#   seed = 1052011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0100_rep010_manuscript_default/prior_sensitivity_obspair_FAST-202605292000-4-785f9e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0100_rep010_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605292000-4-0ef1d2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0598497
# Diagonal elements of inverse mass matrix:
# 0.172061, 0.109144, 0.12404, 0.0314866, 0.532782, 0.304249, 0.233605
-537.269,0.989955,0.0598497,6,63,0,541.748,-2.67343,-1.9595,-1.34609,-0.260492,1.76916,-0.357255,-0.603218,4.33284,2.24153,2.75823e-05,4.05098e-05,5.94731e-05,8.72659e-05,0.00012795,0.000187404,0.000274087,0.000400073,0.000582399,0.000844764,0.0012195,0.00174964,0.00249069,0.00351154,0.00489382,0.00672887,0.00911211,0.0121346,0.0158723,0.020375,0.0256548,0.0315354,0.037752,0.0439611,0.0497645,0.0547491,0.0585403,0.0608557,0.0615487,0.0606261,0.0582363,0.0546345,0.0501364,0.0450733,0.0397561,0.0344517,0.02937,0.0246613,0.0204197,0.0166908,0.0134819,0.0107719,0.00852121,0.00667951,0.00519238,0.00400576,0.00306894,0.00233637,0.00176841,0.00133147,0.000997652,0.00074422,0.000552911,0.000409243,0.000301859,0.000221939,0.000162691,0.000118927,8.67061e-05,6.30553e-05,4.57433e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.70931,-6.34834,-0,-11.3034,-5.31978,-10.0027,-14.0945,-4.4117,-20.7159,-15.5738,-10.9891,-10.3699,-13.1069,-28.12,-27.0041,-43.5749,-22.7043,-27.9925,-47.3948,-36.4394,-36.9622,-17.4425,-41.9021,-30.9947,-19.3499,-37.0502,-17.6389,-7.40504,-19.4563,-8.18579,-8.61281,-4.53081,-19.0608,-15.0261,-0,-0,-5.78642,-6.05916,-0,-13.2429,-0,-0,-0,-0,-8.10555,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,5,2,5,5,11,11,9,8,12,15,11,10,11,10,12,8,6,7,4,5,11,3,4,2,3,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
-537.324,0.99862,0.0598497,6,63,0,540.077,-0.894875,-1.36769,-1.83319,-0.771368,3.28552,0.561665,-2.11668,4.61273,2.67999,0.000145045,0.000183456,0.000232268,0.000294434,0.000373831,0.000475596,0.000606617,0.00077626,0.000997456,0.00128835,0.00167466,0.00219289,0.00289349,0.00384247,0.00512003,0.00681626,0.00902521,0.0118376,0.0153325,0.0195679,0.0245721,0.0301248,0.0359547,0.0417479,0.0471606,0.051837,0.0554344,0.0576635,0.0583494,0.0574897,0.0552593,0.0519453,0.0478707,0.0433455,0.0386415,0.0339813,0.0295338,0.0254142,0.0216892,0.0183849,0.0154981,0.0130057,0.0108736,0.00906316,0.00753455,0.00624991,0.00517439,0.00427677,0.0035296,0.00290906,0.0023947,0.00196905,0.00161734,0.00132707,0.00108775,0.000890613,0.000728316,0.000594759,0.000484879,0.000394482,0.000320104,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.39214,-6.12253,-0,-11.1233,-5.27459,-9.97689,-14.1232,-4.43647,-20.8889,-15.7355,-11.1184,-10.5072,-13.302,-28.585,-27.4878,-44.3948,-23.1404,-28.5313,-48.3022,-37.1299,-37.6443,-17.7454,-42.5495,-31.3855,-19.5206,-37.2014,-17.6111,-7.34489,-19.1547,-7.99245,-8.33408,-4.34237,-18.0857,-14.1106,-0,-0,-5.26403,-5.45456,-0,-11.6798,-0,-0,-0,-0,-6.82364,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,6,3,6,7,6,10,9,15,6,8,13,6,8,11,10,9,9,4,11,11,3,7,3,2,2,2,0,1,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0
-536.955,0.999365,0.0598497,4,15,0,538.072,-0.909434,-1.21276,-2.00622,-0.652547,3.47558,0.533687,-2.05186,4.54524,2.51794,8.2841e-05,0.000107851,0.00014056,0.000183438,0.000239822,0.000314269,0.00041308,0.00054511,0.000723011,0.000965133,0.00129822,0.00176069,0.00240534,0.00330014,0.0045267,0.00617718,0.00835024,0.0111458,0.0146587,0.0189711,0.0241449,0.0299348,0.0360559,0.0421888,0.0479882,0.0530938,0.0571478,0.0598238,0.0608783,0.0602235,0.0579794,0.0544432,0.0499937,0.0450058,0.0398061,0.0346573,0.0297571,0.0252406,0.0211874,0.0176299,0.0145639,0.0119603,0.00977504,0.00795771,0.00645728,0.00522559,0.00421912,0.00339976,0.00273478,0.00219649,0.00176171,0.00141121,0.00112912,0.000902412,0.000720434,0.000574514,0.000457609,0.000364012,0.000289111,0.000229188,0.000181247,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.64676,-6.34205,-0,-11.4276,-5.39776,-10.1738,-14.3564,-4.49669,-21.1136,-15.8594,-11.171,-10.5262,-13.2907,-28.4904,-27.3312,-44.0354,-22.8969,-28.1635,-47.5809,-36.526,-37.0197,-17.4636,-41.942,-31.0096,-19.3424,-36.9847,-17.5734,-7.3586,-19.2717,-8.07632,-8.45841,-4.42616,-18.5117,-14.5008,-0,-0,-5.46813,-5.68405,-0,-12.2418,-0,-0,-0,-0,-7.23566,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,3,6,1,6,8,3,7,9,6,13,14,5,17,13,11,12,13,9,5,7,8,3,2,3,0,1,4,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
-536.407,0.976552,0.0598497,6,63,0,541.388,-1.74915,-2.11032,-1.11789,-0.220304,2.9353,-0.169599,-0.706768,4.43142,2.10665,1.9012e-05,2.83869e-05,4.23781e-05,6.32499e-05,9.43657e-05,0.000140707,0.000209621,0.000311864,0.000463039,0.000685448,0.00101033,0.00148027,0.00215125,0.00309371,0.00439151,0.00613817,0.00842969,0.0113542,0.014979,0.019337,0.0244136,0.0300785,0.0361212,0.042255,0.0481328,0.0533749,0.0576082,0.0605146,0.0618779,0.0616187,0.0598039,0.0566278,0.0523739,0.0473699,0.0419473,0.0364096,0.0310124,0.0259513,0.0213598,0.017313,0.0138359,0.0109151,0.0085102,0.00656503,0.00501619,0.00379993,0.00285644,0.00213241,0.00158205,0.00116721,0.000856832,0.000626141,0.000455684,0.000330395,0.000238737,0.000171968,0.000123515,8.84767e-05,6.32187e-05,4.50637e-05,3.20488e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.89748,-6.51553,-0,-11.5568,-5.42808,-10.1865,-14.328,-4.47817,-21.0055,-15.7829,-11.1378,-10.5118,-13.2835,-28.4763,-27.3041,-43.9562,-22.8327,-28.0487,-47.3041,-36.2283,-36.6169,-17.2275,-41.2909,-30.4977,-19.0281,-36.4421,-17.3668,-7.30307,-19.2312,-8.1126,-8.56098,-4.51761,-19.066,-15.078,-0,-0,-5.85818,-6.1505,-0,-13.5063,-0,-0,-0,-0,-8.34015,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,2,1,5,11,8,8,10,15,16,10,11,13,14,11,9,11,3,5,2,9,4,2,4,3,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-536.671,0.995045,0.0598497,5,63,0,538.909,-0.360961,-1.74363,-1.05986,-0.644856,3.71935,0.279673,-1.63962,4.34691,2.38634,9.05233e-05,0.000118094,0.000154225,0.000201689,0.000264235,0.000346988,0.000457041,0.00060435,0.000803101,0.00107376,0.00144598,0.0019624,0.00268229,0.00368359,0.00506113,0.00692021,0.00936581,0.0124888,0.0163503,0.0209668,0.0262976,0.0321409,0.0382196,0.0441979,0.0497069,0.0543779,0.0578789,0.0599542,0.0604633,0.0594081,0.0569336,0.0532945,0.0488066,0.0437995,0.0385824,0.0334198,0.0285178,0.024019,0.0200056,0.0165078,0.0135172,0.0109992,0.00890496,0.00717979,0.00576942,0.00462327,0.00369624,0.00294931,0.00234934,0.00186866,0.00148436,0.00117768,0.000933303,0.000738828,0.000584219,0.0004614,0.000363889,0.0002865,0.000225096,0.000176384,0.000137751,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.53896,-6.23359,-0,-11.2077,-5.28616,-9.94662,-14.0121,-4.38293,-20.5675,-15.4593,-10.9148,-10.3129,-13.0576,-28.0717,-27.0145,-43.677,-22.7952,-28.1417,-47.6972,-36.7032,-37.2563,-17.5915,-42.2785,-31.2813,-19.5297,-37.3847,-17.7861,-7.45782,-19.5587,-8.20784,-8.60758,-4.50993,-18.8846,-14.8095,-0,-0,-5.60044,-5.82618,-0,-12.5651,-0,-0,-0,-0,-7.44524,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,3,2,6,6,9,9,14,10,17,12,15,9,9,14,13,9,8,5,7,2,5,3,0,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-539.408,0.97733,0.0598497,6,63,0,540.562,-2.91792,-3.01302,-1.89061,-0.527688,2.54738,0.203884,-0.100656,4.89347,2.57497,8.77065e-05,0.000117828,0.000158308,0.000212717,0.000285862,0.000384219,0.000516509,0.000694474,0.000933886,0.00125583,0.00168819,0.0022672,0.00303847,0.00405694,0.00538501,0.00708866,0.00923169,0.0118686,0.0150367,0.0187483,0.0229846,0.027631,0.0325252,0.0374621,0.042202,0.0464854,0.0500537,0.0526787,0.0541971,0.0545371,0.053726,0.0518743,0.0491507,0.0457554,0.0418993,0.0377862,0.0335999,0.0294947,0.02559,0.0219695,0.0186841,0.0157566,0.0131883,0.0109647,0.00906146,0.0074483,0.00609264,0.00496185,0.0040248,0.00325282,0.00262012,0.002104,0.00168472,0.00134543,0.0010718,0.000851835,0.000675509,0.000534542,0.000422117,0.000332657,0.000261618,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.3841,-6.08921,-0,-11.0147,-5.22414,-9.89852,-14.0553,-4.43386,-20.9863,-15.9066,-11.3188,-10.7665,-13.703,-29.5598,-28.4876,-46.0293,-23.9573,-29.4354,-49.5572,-37.8154,-38.0102,-17.7536,-42.1801,-30.8444,-19.0349,-36.0339,-16.9662,-7.04709,-18.3278,-7.6362,-7.96017,-4.1505,-17.3137,-13.5392,-0,-0,-5.10067,-5.30598,-0,-11.4565,-0,-0,-0,-0,-6.83841,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,2,5,1,2,11,3,12,12,13,10,9,14,13,11,15,10,10,11,9,5,4,4,1,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
