# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 19:19:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27133f8ec.json
# init = /tmp/RtmpC8O1hA/init-b41c210acef3f_3.json
# random
#   seed = 1152003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0102_rep011_accurate_moderate/prior_sensitivity_obspair_FAST-202605292019-3-2b6054.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0102_rep011_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605292019-3-9a3b22.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.171009
# Diagonal elements of inverse mass matrix:
# 0.0843625, 0.0549187, 0.0293031, 0.0129968, 0.0332825, 0.0210955, 0.0475533
-550.582,0.997894,0.171009,4,31,0,552.166,-2.42323,-3.7013,-1.0685,-0.336158,3.93302,-0.0812394,-1.09773,5.45677,2.29777,3.3426e-05,4.77716e-05,6.82654e-05,9.75307e-05,0.000139294,0.00019883,0.000283555,0.00040381,0.000573811,0.00081274,0.00114583,0.00160526,0.00223051,0.00306799,0.00416951,0.0055894,0.00738017,0.00958663,0.012239,0.0153461,0.0188886,0.0228115,0.0270248,0.031405,0.0358,0.0400372,0.0439339,0.0473085,0.0499947,0.0518555,0.0527964,0.0527758,0.0518076,0.0499584,0.0473385,0.0440905,0.0403776,0.0363711,0.0322383,0.0281328,0.0241851,0.0204975,0.0171411,0.0141567,0.0115583,0.0093381,0.00747268,0.00592852,0.00466702,0.00364835,0.00283415,0.00218924,0.00168247,0.00128705,0.000980453,0.000744045,0.000562668,0.000424138,0.00031876,0.000238896,0.000178572,-0,-0,-0,-0,-8.87892,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.47996,-10.3738,-0,-4.64739,-8.80625,-20.8845,-27.7844,-15.122,-14.444,-17.3039,-9.98943,-28.9615,-25.0006,-36.6128,-23.9667,-29.593,-38.2371,-41.1838,-32.5624,-38.9553,-21.353,-15.6076,-19.2569,-29.8258,-34.346,-14.2833,-22.3321,-11.6624,-0,-21.2878,-8.92071,-4.67365,-14.6895,-5.12798,-5.36724,-16.8404,-0,-0,-0,-0,-0,-0,-7.48282,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,3,8,3,8,6,3,7,6,6,7,9,11,14,14,9,13,9,4,10,9,6,6,5,6,4,2,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-550.809,0.98544,0.171009,5,31,0,552.126,-1.90754,-3.46964,-1.15809,-0.338535,3.829,-0.0886065,-1.13815,5.1555,2.27643,4.06492e-05,5.80446e-05,8.28727e-05,0.000118293,0.000168787,0.000240682,0.000342851,0.00048761,0.000691788,0.000977897,0.0013752,0.00192038,0.00265751,0.00363693,0.00491288,0.00653965,0.00856638,0.0110306,0.0139515,0.0173231,0.0211097,0.0252352,0.029589,0.0340289,0.0383881,0.0424843,0.0461315,0.0491524,0.051393,0.0527368,0.0531169,0.0525235,0.0510035,0.0486534,0.0456079,0.0420269,0.0380825,0.0339472,0.0297823,0.0257294,0.0219032,0.0183879,0.0152364,0.0124731,0.010098,0.00809274,0.00642653,0.00506144,0.00395691,0.00307295,0.00237233,0.0018217,0.00139219,0.00105935,0.000802938,0.000606427,0.000456522,0.000342644,0.00025646,0.000191456,0.000142579,-0,-0,-0,-0,-8.68687,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.3159,-10.0597,-0,-4.50708,-8.54433,-20.2786,-27.0062,-14.7181,-14.0814,-16.9027,-9.78003,-28.4276,-24.6101,-36.154,-23.746,-29.4244,-38.1584,-41.2509,-32.7345,-39.2994,-21.6137,-15.8472,-19.608,-30.4466,-35.1384,-14.6405,-22.9267,-11.9882,-0,-21.9209,-9.19084,-4.81679,-15.142,-5.2861,-5.53229,-17.3553,-0,-0,-0,-0,-0,-0,-7.69187,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,1,0,1,2,2,1,3,1,1,5,1,4,5,7,9,5,6,7,8,11,9,14,9,6,10,12,10,6,7,8,8,2,1,4,1,5,1,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0
-549.651,0.989536,0.171009,4,31,0,553.523,-2.1343,-2.26152,-1.50673,-0.454011,3.66741,-0.280827,-0.988725,5.64488,2.62679,6.87382e-05,9.44095e-05,0.000129643,0.00017797,0.000244188,0.000334784,0.00045845,0.000626702,0.000854555,0.0011612,0.00157051,0.00211134,0.00281725,0.00372575,0.0048768,0.00631056,0.00806454,0.0101702,0.0126492,0.0155102,0.0187453,0.0223035,0.0261075,0.0300542,0.0340172,0.0378507,0.0413974,0.0444977,0.0470023,0.0487855,0.0497589,0.0498819,0.0491651,0.0476678,0.0454884,0.042752,0.0395977,0.036167,0.0325947,0.0290027,0.0254945,0.0221534,0.0190414,0.0161997,0.0136507,0.0114007,0.0094435,0.00776315,0.00633753,0.00514084,0.00414591,0.00332581,0.00265502,0.00211014,0.00167028,0.00131719,0.00103516,0.000810923,0.000633365,0.000493292,0.000383168,-0,-0,-0,-0,-8.31757,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.32327,-10.1311,-0,-4.5883,-8.74032,-20.8313,-27.8377,-15.2121,-14.5821,-17.5238,-10.1427,-29.467,-25.4763,-37.3478,-24.4605,-30.2032,-39.0073,-41.9734,-33.1383,-39.5655,-21.6321,-15.7617,-19.3739,-29.8765,-34.236,-14.1615,-22.0158,-11.4293,-0,-20.6138,-8.58794,-4.47408,-13.9873,-4.85837,-5.06127,-15.8116,-0,-0,-0,-0,-0,-0,-6.8732,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,3,3,1,4,4,3,4,8,12,8,12,10,10,8,11,9,16,9,5,9,9,5,9,6,1,2,2,0,1,4,2,0,0,0,1,1,1,1,0,0,0,0,0,0
-552.683,0.991553,0.171009,4,15,0,554.091,-2.83329,-1.78719,-1.03289,-0.354967,3.47314,-0.557175,-1.74233,5.83024,2.57685,3.50517e-05,4.9604e-05,7.01314e-05,9.90352e-05,0.000139643,0.000196536,0.000275977,0.000386445,0.000539292,0.00074951,0.00103656,0.0014252,0.00194616,0.00263644,0.00353912,0.00470227,0.00617691,0.00801387,0.0102596,0.0129511,0.0161105,0.0197193,0.0237245,0.0280351,0.0325199,0.0370103,0.0413088,0.0452021,0.0484802,0.0509579,0.0524961,0.0530174,0.0525141,0.0510457,0.0487284,0.0457183,0.0421938,0.0383377,0.0343232,0.0303036,0.0264056,0.0227265,0.0193347,0.0162716,0.0135556,0.0111868,0.00915099,0.00742476,0.00597865,0.00478046,0.0037976,0.00299868,0.00235465,0.0018394,0.00143004,0.00110684,0.000853146,0.000655063,0.000501151,0.000382091,0.000290369,-0,-0,-0,-0,-8.87642,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.64388,-10.7194,-0,-4.82658,-9.15908,-21.7329,-28.898,-15.7046,-14.965,-17.8715,-10.2777,-29.669,-25.4934,-37.1593,-24.2128,-29.7675,-38.3112,-41.1199,-32.4134,-38.6754,-21.1505,-15.4263,-18.9929,-29.3519,-33.7193,-13.986,-21.8051,-11.3527,-0,-20.5917,-8.60191,-4.49303,-14.0817,-4.90293,-5.11956,-16.0297,-0,-0,-0,-0,-0,-0,-7.06658,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2,5,4,4,6,5,7,11,12,6,13,11,5,15,7,11,6,10,8,6,12,5,3,2,7,3,4,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0
-552.288,0.997962,0.171009,5,31,0,554.991,-2.69379,-2.78536,-1.84166,-0.564584,3.75635,0.282408,-0.600619,5.69351,2.69687,9.13359e-05,0.000121439,0.000161493,0.000214806,0.000285801,0.00038039,0.000506481,0.000674625,0.000898824,0.00119742,0.00159393,0.00211748,0.00280267,0.00368873,0.0048179,0.00623316,0.00797501,0.0100774,0.0125632,0.0154389,0.0186911,0.0222649,0.0260781,0.0300237,0.0339738,0.0377848,0.0413031,0.0443727,0.046844,0.0485886,0.049516,0.0495893,0.0488289,0.0473037,0.0451165,0.0423908,0.0392609,0.0358634,0.0323307,0.0287844,0.0253294,0.0220497,0.0190062,0.0162375,0.0137615,0.01158,0.00968227,0.00804948,0.0066579,0.0054816,0.00449439,0.00367105,0.0029882,0.00242465,0.00196161,0.00158266,0.00127365,0.00102249,0.000818962,0.000654477,0.000521884,-0,-0,-0,-0,-8.16022,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.33542,-10.1557,-0,-4.59746,-8.75397,-20.8543,-27.8579,-15.219,-14.5866,-17.5288,-10.1465,-29.4826,-25.4945,-37.3816,-24.4875,-30.2437,-39.071,-42.0557,-33.2138,-39.6652,-21.6896,-15.8041,-19.4252,-29.9523,-34.3174,-14.1917,-22.0547,-11.4434,-0,-20.6022,-8.57176,-4.45848,-13.9124,-4.82215,-5.01195,-15.6191,-0,-0,-0,-0,-0,-0,-6.66587,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,3,0,1,1,5,5,3,4,3,5,7,9,5,10,13,10,10,12,11,13,9,6,7,4,4,7,5,5,5,3,1,3,1,0,2,1,1,0,1,0,1,0,0,0,0,0
-551.95,0.991384,0.171009,5,31,0,556.023,-2.91069,-1.3412,-1.53139,-0.536765,3.64069,0.425813,-1.6003,5.52644,2.57506,2.92845e-05,3.93052e-05,5.27904e-05,7.0967e-05,9.55189e-05,0.000128776,0.000173997,0.000235789,0.00032077,0.000438566,0.000603318,0.00083574,0.00116558,0.00163402,0.00229567,0.00321972,0.0044899,0.00620251,0.00846172,0.0113714,0.0150238,0.019427,0.0245315,0.0302166,0.0362821,0.0424448,0.0483423,0.0535504,0.0576267,0.0601943,0.0610442,0.0601864,0.0578169,0.0542405,0.0498032,0.0448464,0.0396785,0.0345573,0.0296804,0.0251836,0.0211452,0.0175958,0.0145305,0.0119209,0.00972506,0.00789503,0.006382,0.00513945,0.00412487,0.00330053,0.00263367,0.00209626,0.00166465,0.00131907,0.00104313,0.000823344,0.000648671,0.00051013,0.000400445,0.000313743,0.000245307,-0,-0,-0,-0,-9.25619,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.07673,-11.4769,-0,-5.0828,-9.54441,-22.3833,-29.3868,-15.7644,-14.8312,-17.4968,-9.94929,-28.436,-24.2356,-35.1256,-22.8302,-28.1018,-36.35,-39.3443,-31.3552,-37.8863,-20.9977,-15.5226,-19.3617,-30.2862,-35.1727,-14.7262,-23.1381,-12.1203,-0,-22.1473,-9.2661,-4.84152,-15.1628,-5.27081,-5.49072,-17.141,-0,-0,-0,-0,-0,-0,-7.34058,-0,-0,-0,-0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,4,5,6,1,2,8,10,18,14,11,10,7,6,13,10,7,6,7,13,7,6,6,0,2,4,2,2,2,0,0,2,1,0,0,0,0,0,1,0,0,1,0
