# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 19:25:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c227a707f9.json
# init = /tmp/RtmpC8O1hA/init-b41c2e7b8c8c_1.json
# random
#   seed = 1152004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0103_rep011_accurate_strong/prior_sensitivity_obspair_FAST-202605292025-1-53f7ff.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0103_rep011_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605292025-1-636892.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.157015
# Diagonal elements of inverse mass matrix:
# 0.0601027, 0.0340572, 0.00557241, 0.00394635, 0.0106405, 0.00515976, 0.00642069
-549.362,0.998145,0.157015,5,31,0,552.854,-2.14762,-2.52181,-1.17099,-0.553148,3.43564,0.00245031,-1.08863,5.33976,2.58114,8.35814e-05,0.000111506,0.000148789,0.00019859,0.000265141,0.000354125,0.00047317,0.000632507,0.000845814,0.00113126,0.00151268,0.00202075,0.00269376,0.00357773,0.00472529,0.00619305,0.0080373,0.0103081,0.0130419,0.0162542,0.0199321,0.0240141,0.0283966,0.032935,0.0374487,0.0417309,0.0455627,0.0487323,0.0510579,0.05241,0.0527286,0.0520264,0.0503826,0.0479273,0.0448242,0.0412543,0.0373994,0.03343,0.0294944,0.0257124,0.0221727,0.0189334,0.0160257,0.0134583,0.0112234,0.0093015,0.00766603,0.00628686,0.00513294,0.00417408,0.00338208,0.00273136,0.00219921,0.00176586,0.00141427,0.00112998,0.000900806,0.000716573,0.00056884,0.00045065,0.000356297,-0,-0,-0,-0,-8.23525,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.35483,-10.1687,-0,-4.57483,-8.67918,-20.597,-27.408,-14.9165,-14.2459,-17.0661,-9.85435,-28.5886,-24.7093,-36.257,-23.7984,-29.4866,-38.2538,-41.384,-32.8692,-39.4949,-21.735,-15.94,-19.7166,-30.5847,-35.2356,-14.6431,-22.8534,-11.9005,-0,-21.5408,-8.97951,-4.67758,-14.6129,-5.06929,-5.27208,-16.4366,-0,-0,-0,-0,-0,-0,-7.01222,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,2,2,6,6,1,6,3,7,6,17,13,8,15,8,6,5,14,11,9,6,6,7,7,2,1,0,3,1,3,1,3,0,1,2,0,2,1,0,0,0,0,0,0,1
-549.499,0.987483,0.157015,5,31,0,551.389,-2.29725,-2.15163,-1.4337,-0.537086,3.6827,-0.0183236,-0.91206,5.6071,2.63956,7.08187e-05,9.49558e-05,0.000127359,0.000170887,0.0002294,0.000308118,0.000414097,0.000556859,0.000749186,0.00100806,0.00135567,0.0018203,0.00243687,0.00324678,0.00429696,0.00563782,0.00732008,0.00939045,0.0118865,0.014831,0.0182265,0.022027,0.0261516,0.0304837,0.0348735,0.0391431,0.0430953,0.0465275,0.0492493,0.0511047,0.0519929,0.0518827,0.0508132,0.0488832,0.0462332,0.0430273,0.0394376,0.0356311,0.0317602,0.0279551,0.0243203,0.0209324,0.0178412,0.0150725,0.0126325,0.0105122,0.00869207,0.00714618,0.00584527,0.00475929,0.00385909,0.00311748,0.00250984,0.00201437,0.00161209,0.00128672,0.00102448,0.000813769,0.000644944,0.000510028,0.000402466,-0,-0,-0,-0,-8.38004,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.44985,-10.3565,-0,-4.66806,-8.8647,-21.0552,-28.0341,-15.2619,-14.5754,-17.4528,-10.0681,-29.1648,-25.1547,-36.8126,-24.0869,-29.7388,-38.4364,-41.4228,-32.7756,-39.2382,-21.5184,-15.7296,-19.3982,-30.0108,-34.4954,-14.3086,-22.2987,-11.5994,-0,-20.9744,-8.74297,-4.55522,-14.236,-4.94118,-5.14212,-16.043,-0,-0,-0,-0,-0,-0,-6.88357,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,1,2,1,4,3,2,5,6,7,8,2,13,7,10,11,8,12,13,12,5,8,4,5,7,3,6,8,2,3,4,2,1,0,1,2,1,1,1,1,1,0,0,0,0,0,0
-550.002,0.99861,0.157015,5,31,0,553.037,-2.31959,-1.58803,-1.42169,-0.527704,3.55802,-0.213851,-1.07717,5.70773,2.7011,5.38245e-05,7.24085e-05,9.74527e-05,0.000131231,0.000176836,0.000238471,0.000321864,0.000434805,0.000587852,0.000795215,0.00107579,0.00145426,0.00196211,0.00263833,0.00352956,0.00468933,0.00617635,0.00805155,0.0103739,0.0131956,0.0165557,0.0204251,0.024735,0.0293723,0.0341778,0.0389495,0.043452,0.0474332,0.0506499,0.052898,0.0540415,0.0540326,0.0529154,0.0508124,0.0479013,0.0443879,0.0404823,0.0363809,0.0322544,0.0282416,0.0244473,0.0209435,0.0177728,0.0149535,0.0124845,0.0103509,0.0085284,0.00698742,0.00569602,0.0046222,0.00373544,0.00300759,0.00241337,0.00193055,0.00153993,0.0012251,0.000972216,0.000769715,0.000608008,0.000479199,0.000376828,-0,-0,-0,-0,-8.64029,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.64658,-10.7249,-0,-4.82189,-9.13691,-21.6394,-28.7072,-15.564,-14.7981,-17.6385,-10.1285,-29.2094,-25.0888,-36.5812,-23.8625,-29.3939,-37.934,-40.8543,-32.3297,-38.735,-21.2703,-15.5739,-19.2413,-29.8234,-34.341,-14.2678,-22.2674,-11.5978,-0,-21.0141,-8.76654,-4.57068,-14.2931,-4.96364,-5.16799,-16.1307,-0,-0,-0,-0,-0,-0,-6.93593,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,2,2,5,8,6,9,6,8,15,8,8,9,3,9,11,15,8,13,7,4,5,4,4,5,3,5,3,1,2,0,0,0,2,2,0,1,0,0,0,0,0,1
-549.953,0.989605,0.157015,5,31,0,555.136,-2.55752,-2.79958,-1.22587,-0.539263,3.64015,0.243985,-1.00771,5.48098,2.54398,7.00297e-05,9.37861e-05,0.000125622,0.000168302,0.000225546,0.000302368,0.000405535,0.000544188,0.000730663,0.000981549,0.00131894,0.00177175,0.00237672,0.00317883,0.00423052,0.00558968,0.00731574,0.0094639,0.0120774,0.0151788,0.0187611,0.0227725,0.0271185,0.0316633,0.0362353,0.0406359,0.0446519,0.04807,0.0506973,0.0523838,0.0530438,0.0526652,0.0513044,0.049073,0.0461223,0.0426283,0.0387768,0.0347492,0.0307101,0.0267969,0.0231142,0.0197329,0.0166924,0.0140063,0.0116684,0.00965924,0.00795115,0.00651233,0.00530994,0.00431204,0.00348885,0.00281338,0.00226175,0.00181315,0.00144972,0.0011563,0.00092014,0.000730604,0.000578883,0.000457723,0.000361183,-0,-0,-0,-0,-8.39699,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.46543,-10.3737,-0,-4.66027,-8.83284,-20.9393,-27.8318,-15.1288,-14.4302,-17.263,-9.95316,-28.8279,-24.8709,-36.4212,-23.8551,-29.4916,-38.1763,-41.2132,-32.6698,-39.1878,-21.5352,-15.7762,-19.4996,-30.2364,-34.8316,-14.4779,-22.6038,-11.7764,-0,-21.3413,-8.90174,-4.63984,-14.5033,-5.03406,-5.23817,-16.339,-0,-0,-0,-0,-0,-0,-6.99098,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,3,4,2,4,3,7,6,7,11,9,5,12,14,8,14,13,7,11,4,4,3,7,6,4,8,4,2,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0
-551.305,0.992807,0.157015,5,31,0,554.687,-3.0555,-3.6384,-1.32902,-0.366236,3.45658,-0.0974758,-1.11207,5.4477,2.40881,4.07838e-05,5.76719e-05,8.15427e-05,0.00011527,0.00016289,0.000230058,0.000324641,0.000457488,0.000643369,0.000902012,0.00125912,0.0017471,0.0024053,0.00327935,0.00441945,0.00587741,0.00770237,0.00993533,0.012603,0.0157116,0.0192413,0.0231347,0.0273009,0.0316168,0.0359322,0.0400768,0.0438698,0.0471316,0.0496985,0.0514374,0.0522608,0.0521357,0.0510862,0.0491878,0.0465569,0.0433385,0.0396935,0.0357874,0.0317785,0.0278095,0.0239999,0.0204416,0.017198,0.0143047,0.0117736,0.00959738,0.00775505,0.00621663,0.00494753,0.00391184,0.00307468,0.00240371,0.00187001,0.00144833,0.00111718,0.000858522,0.000657475,0.000501897,0.000381989,0.000289911,0.000219442,-0,-0,-0,-0,-8.72243,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.42174,-10.2733,-0,-4.61166,-8.74764,-20.7668,-27.6549,-15.0657,-14.4033,-17.2703,-9.97836,-28.9526,-25.0122,-36.6577,-24.0142,-29.6739,-38.3696,-41.3547,-32.7166,-39.1574,-21.4696,-15.6936,-19.3594,-29.9714,-34.4897,-14.3295,-22.3782,-11.6705,-0,-21.2358,-8.8838,-4.64627,-14.5782,-5.08053,-5.30887,-16.6312,-0,-0,-0,-0,-0,-0,-7.3271,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,3,5,2,8,4,8,3,13,7,12,11,8,6,7,7,9,14,9,6,10,3,7,6,4,4,2,3,4,3,0,1,1,0,2,0,1,0,0,0,0,0,0
-550.201,0.998132,0.157015,5,31,0,554.306,-2.89438,-1.50833,-1.17486,-0.572225,3.63253,0.108625,-1.07481,5.75313,2.66569,3.54447e-05,4.70972e-05,6.26231e-05,8.33418e-05,0.000111046,0.000148186,0.000198143,0.000265621,0.000357233,0.000482354,0.000654347,0.000892222,0.00122271,0.00168255,0.00232062,0.00319933,0.00439483,0.00599506,0.00809519,0.0107899,0.0141625,0.0182378,0.0229871,0.0283121,0.0340351,0.0398949,0.0455557,0.0506321,0.0547366,0.0575442,0.0588563,0.0586329,0.056984,0.0541297,0.0503524,0.0459539,0.0412224,0.03641,0.0317194,0.0272994,0.0232468,0.0196135,0.016416,0.0136448,0.0112733,0.0092653,0.00758009,0.00617635,0.00501451,0.00405814,0.00327466,0.00263548,0.00211595,0.00169505,0.00135504,0.00108111,0.000860917,0.000684297,0.000542892,0.000429869,0.000339669,-0,-0,-0,-0,-9.10557,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.06592,-11.4896,-0,-5.11682,-9.63297,-22.6457,-29.8001,-16.017,-15.0913,-17.8223,-10.1411,-28.9936,-24.7106,-35.798,-23.2418,-28.552,-36.8245,-39.7104,-31.5148,-37.9128,-20.921,-15.4006,-19.1326,-29.8162,-34.5083,-14.4036,-22.5695,-11.7946,-0,-21.472,-8.97064,-4.68148,-14.6467,-5.08703,-5.29542,-16.5211,-0,-0,-0,-0,-0,-0,-7.05751,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,2,2,0,2,4,4,8,7,10,5,8,10,13,8,5,10,13,11,14,5,12,7,4,4,6,4,3,4,4,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0
