# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 19:30:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26d4cbfe3.json
# init = /tmp/RtmpC8O1hA/init-b41c2d0b2dda_1.json
# random
#   seed = 1152005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0104_rep011_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605292030-1-562c2b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0104_rep011_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605292030-1-33620a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0932091
# Diagonal elements of inverse mass matrix:
# 0.0839513, 0.0771653, 0.0830351, 0.0275877, 0.0968185, 0.161039, 0.1865
-550.132,0.993982,0.0932091,6,63,0,552.733,-2.36172,-2.66577,-1.80646,-0.608382,3.48102,0.371674,-1.36242,5.4551,2.71366,0.000111762,0.000146798,0.000192851,0.00025341,0.000333083,0.000437967,0.000576144,0.000758327,0.00099871,0.00131599,0.00173449,0.00228501,0.00300505,0.00393802,0.00513137,0.00663381,0.00849139,0.0107427,0.0134129,0.0165082,0.0200103,0.0238508,0.0279288,0.0321144,0.0362536,0.0401756,0.0437008,0.0466513,0.0488658,0.0502211,0.050653,0.0501658,0.0488239,0.0467348,0.0440332,0.0408686,0.0373946,0.0337604,0.0301019,0.0265344,0.0231486,0.0200079,0.0171509,0.0145944,0.0123386,0.0103715,0.00867322,0.00721972,0.00598494,0.00494275,0.00406812,0.00333779,0.0027307,0.00222807,0.00181343,0.00147251,0.00119303,0.000964541,0.000778206,0.000626598,0.000503507,-0,-0,-0,-0,-8.00712,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.27238,-10.0312,-0,-4.53353,-8.62307,-20.5195,-27.3806,-14.9438,-14.3124,-17.1923,-9.95165,-28.9305,-25.0431,-36.7807,-24.1494,-29.9132,-38.7758,-41.8939,-33.2149,-39.8225,-21.8597,-15.987,-19.7174,-30.4962,-35.0317,-14.5172,-22.5949,-11.7349,-0,-21.1356,-8.79004,-4.5687,-14.2425,-4.93094,-5.11851,-15.9295,-0,-0,-0,-0,-0,-0,-6.73126,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,2,2,2,1,4,5,5,8,8,11,2,16,11,6,12,8,6,15,9,10,9,6,6,7,3,4,0,6,4,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
-553.295,0.984437,0.0932091,5,31,0,555.517,-1.77563,-3.81468,-2.24441,-0.35739,3.64105,0.13331,-1.09599,5.10731,2.40732,5.89407e-05,8.36155e-05,0.000118609,0.000168217,0.000238488,0.000337893,0.000478168,0.0006753,0.000950502,0.00133088,0.00184949,0.00254445,0.00345734,0.00463085,0.00610596,0.00791862,0.010096,0.0126526,0.0155865,0.0188764,0.0224801,0.0263089,0.0302535,0.0341886,0.0379784,0.0414828,0.0445637,0.047091,0.04895,0.0500501,0.0503344,0.0497898,0.0484514,0.0463979,0.0437404,0.0406083,0.0371382,0.0334654,0.0297182,0.0260131,0.0224509,0.0191128,0.0160589,0.0133265,0.0109318,0.00887263,0.00713197,0.00568299,0.00449312,0.00352762,0.00275236,0.00213551,0.00164864,0.00126705,0.00096983,0.000739589,0.000562106,0.000425889,0.000321755,0.00024243,0.000182199,-0,-0,-0,-0,-8.34119,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.09849,-9.67708,-0,-4.36989,-8.3227,-19.8492,-26.5659,-14.5514,-13.9926,-16.8793,-9.81221,-28.6423,-24.8867,-36.6681,-24.1356,-29.9473,-38.8579,-41.9992,-33.2991,-39.9165,-21.9064,-16.0189,-19.7586,-30.5752,-35.1599,-14.5966,-22.7786,-11.8722,-0,-21.59,-9.03215,-4.72478,-14.8295,-5.17028,-5.40521,-16.9414,-0,-0,-0,-0,-0,-0,-7.48382,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,4,5,5,6,8,8,9,6,6,5,8,16,9,7,10,9,10,8,9,6,4,4,1,4,4,6,2,0,3,0,1,0,1,1,0,1,0,0,0,0,0,0
-553.64,0.994784,0.0932091,4,31,0,555.629,-1.62188,-3.65714,-2.05599,-0.445369,3.68258,-0.00525108,-1.76559,5.2524,2.53539,9.40532e-05,0.000129541,0.000178391,0.000245591,0.000337938,0.000464619,0.00063791,0.000873921,0.00119325,0.00162136,0.00218839,0.00292831,0.00387738,0.00507202,0.00654622,0.00832862,0.0104393,0.0128868,0.0156653,0.0187526,0.0221095,0.0256577,0.0293016,0.0329319,0.0364298,0.0396723,0.0425378,0.044912,0.0466943,0.0478057,0.0481966,0.0478528,0.0467989,0.0450949,0.0428287,0.0401063,0.0370425,0.0337541,0.0303537,0.0269454,0.0236209,0.0204565,0.0175111,0.0148255,0.0124228,0.0103103,0.00848199,0.00692214,0.00560822,0.00451398,0.00361184,0.00287466,0.00227699,0.00179579,0.00141074,0.00110429,0.00086159,0.000670206,0.000519878,0.000402214,0.000310409,-0,-0,-0,-0,-7.99265,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.02887,-9.57612,-0,-4.35155,-8.31261,-19.8821,-26.6822,-14.6516,-14.1205,-17.0666,-9.93711,-29.0439,-25.2589,-37.2366,-24.5131,-30.4061,-39.4221,-42.5548,-33.6809,-40.2868,-22.0538,-16.0811,-19.7741,-30.4979,-34.9484,-14.4558,-22.4737,-11.6684,-0,-21.057,-8.77644,-4.57461,-14.3094,-4.97303,-5.18352,-16.2017,-0,-0,-0,-0,-0,-0,-7.05673,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,1,1,2,2,1,1,6,4,5,11,11,12,9,8,4,7,12,10,7,11,6,4,10,7,2,8,3,6,3,5,3,0,1,1,0,1,4,0,0,1,0,1,2,0,0,0
-553.48,0.942852,0.0932091,5,31,0,558.539,-2.75323,-2.86536,-1.43952,-0.1365,3.42627,-0.0918718,-1.81705,5.04133,2.12268,1.24119e-05,1.91868e-05,2.9649e-05,4.57895e-05,7.06531e-05,0.000108866,0.000167389,0.000256552,0.000391377,0.000593131,0.000890907,0.00132291,0.00193701,0.00279029,0.00394701,0.00547503,0.00744026,0.00989956,0.0128923,0.0164319,0.0204984,0.0250179,0.0298715,0.034898,0.0399002,0.044655,0.0489269,0.0524842,0.0551183,0.0566661,0.0570313,0.056199,0.0542374,0.0512862,0.0475351,0.0432025,0.0385146,0.0336898,0.0289249,0.0243851,0.0201972,0.0164463,0.013177,0.010398,0.00808973,0.00621223,0.00471387,0.00353835,0.0026301,0.00193781,0.00141646,0.00102801,0.000741307,0.000531477,0.000379049,0.000269055,0.000190155,0.000133862,9.3892e-05,6.56358e-05,4.57398e-05,-0,-0,-0,-0,-9.55773,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.5348,-10.4151,-0,-4.61526,-8.70225,-20.5427,-27.2118,-14.7527,-14.0434,-16.7766,-9.66412,-27.9791,-24.1394,-35.3669,-23.1862,-28.7058,-37.234,-40.304,-32.0582,-38.6143,-21.324,-15.7093,-19.5403,-30.515,-35.4305,-14.8551,-23.4133,-12.323,-0,-22.8307,-9.63432,-5.08124,-16.0717,-5.64409,-5.94073,-18.7386,-0,-0,-0,-0,-0,-0,-8.56767,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,4,4,3,10,2,6,5,14,11,10,10,10,10,15,9,15,10,10,3,10,6,3,4,0,2,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-548.9,0.998282,0.0932091,5,31,0,554.666,-1.95786,-2.3263,-1.37178,-0.258723,4.19328,-0.238685,-1.28331,5.51127,2.34539,2.85285e-05,4.19091e-05,6.15235e-05,9.0228e-05,0.000132134,0.000193103,0.000281386,0.000408393,0.000589556,0.000845194,0.00120121,0.00168946,0.00234757,0.00321811,0.00434682,0.00578005,0.00756128,0.00972686,0.0123014,0.0152933,0.0186906,0.0224429,0.0264707,0.0306661,0.0348954,0.0390047,0.0428267,0.0461905,0.048933,0.0509126,0.0520227,0.0522048,0.0514559,0.049829,0.0474256,0.0443827,0.0408571,0.0370128,0.0330084,0.0289894,0.0250815,0.0213867,0.0179808,0.0149136,0.0122105,0.0098755,0.0078956,0.00624529,0.00489114,0.00379582,0.00292131,0.00223126,0.00169248,0.00127579,0.000956247,0.000713059,0.000529237,0.000391132,0.000287942,0.000211217,0.000154423,-0,-0,-0,-0,-8.93169,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.43831,-10.3067,-0,-4.63286,-8.79608,-20.9017,-27.8581,-15.1871,-14.5269,-17.423,-10.0662,-29.1966,-25.2047,-36.8998,-24.1384,-29.7765,-38.429,-41.3361,-32.6373,-38.9891,-21.3401,-15.5745,-19.186,-29.6684,-34.1099,-14.1633,-22.1138,-11.535,-0,-21.0274,-8.81092,-4.6177,-14.5243,-5.07593,-5.32033,-16.7216,-0,-0,-0,-0,-0,-0,-7.54407,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,4,1,1,5,3,4,5,7,10,5,3,5,10,10,10,14,11,7,6,9,12,10,6,2,9,4,2,6,2,5,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0
-548.13,0.999263,0.0932091,4,31,0,550.438,-2.39528,-2.04062,-1.47491,-0.461264,4.10008,0.243716,-0.957402,5.6048,2.4633,3.9801e-05,5.46144e-05,7.49721e-05,0.000102975,0.000141541,0.000194733,0.000268231,0.000369987,0.000511116,0.000707033,0.000978735,0.00135402,0.00186836,0.0025652,0.00349546,0.00471605,0.00628708,0.00826737,0.0107085,0.0136474,0.0170988,0.0210276,0.025359,0.0299778,0.03473,0.0394287,0.0438615,0.0478013,0.0510212,0.0533169,0.0545371,0.0546125,0.0535686,0.0515136,0.0486113,0.0450555,0.0410493,0.0367912,0.0324642,0.0282274,0.0242088,0.0205018,0.017165,0.0142252,0.0116827,0.0095186,0.00770151,0.0061933,0.00495369,0.00394335,0.00312578,0.00246831,0.00194244,0.00152383,0.00119202,0.000929985,0.000723764,0.000561962,0.000435364,0.000336562,0.000259633,-0,-0,-0,-0,-8.86292,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.65629,-10.7136,-0,-4.79544,-9.07344,-21.471,-28.4812,-15.4477,-14.6985,-17.5365,-10.0805,-29.0994,-25.0137,-36.4884,-23.8041,-29.315,-37.8154,-40.7049,-32.1947,-38.5568,-21.1673,-15.4993,-19.1579,-29.7225,-34.2762,-14.2698,-22.3262,-11.6617,-0,-21.2637,-8.8993,-4.65451,-14.599,-5.08429,-5.30762,-16.6072,-0,-0,-0,-0,-0,-0,-7.23104,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,5,1,3,6,7,9,7,11,10,8,15,12,13,15,11,4,9,10,5,6,3,2,6,3,1,3,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
