# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 19:30:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26d4cbfe3.json
# init = /tmp/RtmpC8O1hA/init-b41c2d0b2dda_2.json
# random
#   seed = 1152005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0104_rep011_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605292030-2-562c2b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0104_rep011_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605292030-2-33620a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0586506
# Diagonal elements of inverse mass matrix:
# 0.0885333, 0.0669692, 0.159957, 0.0259683, 0.0928626, 0.165401, 0.214711
-549.222,0.998493,0.0586506,6,63,0,553.971,-1.42599,-1.40938,-1.49188,-0.843749,3.76597,0.355916,-0.6839,5.47226,2.98902,0.000124202,0.00015473,0.000192987,0.000241054,0.000301647,0.000378345,0.000475929,0.000600882,0.000762133,0.000972156,0.00124853,0.00161593,0.00210837,0.00277105,0.00366147,0.00484935,0.00641515,0.0084469,0.0110351,0.0142658,0.0182127,0.0227867,0.0278455,0.033191,0.0385727,0.0436959,0.0482382,0.0518782,0.0543419,0.0554589,0.0552062,0.0537037,0.0511688,0.0478603,0.0440381,0.0399388,0.0357637,0.0316731,0.0277851,0.0241788,0.0208986,0.017962,0.0153659,0.0130939,0.0111215,0.00942025,0.00796051,0.00671332,0.00565149,0.00475011,0.00398685,0.0033419,0.0027979,0.00233975,0.00195439,0.00163057,0.00135869,0.00113053,0.000939123,0.000778558,0.000643841,-0,-0,-0,-0,-8.10625,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.60989,-10.6578,-0,-4.77396,-9.01335,-21.2494,-28.0394,-15.1263,-14.3243,-17.0274,-9.76563,-28.1745,-24.2528,-35.5063,-23.2997,-28.9211,-37.6568,-40.9398,-32.6989,-39.5131,-21.8589,-16.102,-19.9849,-31.0706,-35.8325,-14.8891,-23.2084,-12.0585,-0,-21.6781,-8.99775,-4.66489,-14.4998,-5.00366,-5.17584,-16.0488,-0,-0,-0,-0,-0,-0,-6.60124,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,1,1,2,7,2,9,13,5,4,8,16,15,9,13,9,14,10,9,13,5,6,2,2,1,5,2,1,2,0,0,2,0,2,0,2,1,1,0,0,0,0,0,0
-550.628,0.997968,0.0586506,6,127,0,551.746,-1.57767,-1.64588,-1.50275,-0.892991,3.35692,0.453493,-0.543168,5.46823,3.13804,0.000200672,0.000247096,0.000304499,0.000375603,0.000463871,0.000573745,0.000710977,0.000883098,0.0011001,0.00137539,0.00172723,0.00218051,0.00276896,0.00353697,0.00454039,0.00584564,0.00752722,0.00966329,0.0123294,0.0155908,0.019494,0.0239411,0.0287803,0.0338066,0.0387664,0.0433704,0.0473145,0.050317,0.052171,0.052793,0.0522319,0.0506354,0.0482037,0.0451545,0.0416997,0.0380316,0.0343127,0.0306718,0.0272025,0.0239661,0.0209973,0.0183098,0.0159025,0.0137644,0.0118784,0.0102243,0.00878029,0.00752483,0.00643699,0.00549718,0.00468733,0.00399106,0.0033936,0.00288181,0.00244405,0.00207007,0.00175089,0.00147871,0.00124675,0.00104914,0.000880851,-0,-0,-0,-0,-7.67591,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.39474,-10.2841,-0,-4.63942,-8.79153,-20.8054,-27.5635,-14.9286,-14.1923,-16.9355,-9.7506,-28.2418,-24.4075,-35.8729,-23.6258,-29.4138,-38.3768,-41.7635,-33.3555,-40.2697,-22.2408,-16.3467,-20.2334,-31.3597,-36.0445,-14.9245,-23.1802,-12.001,-0,-21.4284,-8.86607,-4.58299,-14.2057,-4.88955,-5.04569,-15.6106,-0,-0,-0,-0,-0,-0,-6.34763,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,2,5,1,1,3,3,10,8,10,11,8,12,12,9,6,9,3,10,15,4,7,6,4,7,3,2,1,4,4,1,2,2,3,1,1,2,0,1,0,0,0,0,0,0
-548.623,0.999092,0.0586506,6,63,0,552.809,-2.21649,-2.22302,-1.06827,-0.632037,3.45131,0.178377,-0.615184,5.38021,2.66487,8.86988e-05,0.000115836,0.00015133,0.00019779,0.000258667,0.00033854,0.000443507,0.000581733,0.000764191,0.00100568,0.00132618,0.00175245,0.00231983,0.00307364,0.00406979,0.0053737,0.00705712,0.00919231,0.0118435,0.015056,0.0188449,0.0231632,0.0279073,0.0329135,0.0379634,0.0427948,0.0471226,0.0506686,0.053199,0.0545608,0.0547034,0.0536763,0.0516101,0.0486909,0.0451343,0.0411638,0.0369907,0.0327994,0.0287385,0.0249168,0.0214051,0.0182411,0.0154364,0.0129836,0.0108625,0.00904542,0.00750118,0.00619768,0.0051038,0.00419047,0.00343126,0.00280264,0.00228394,0.00185729,0.00150733,0.00122098,0.000987228,0.000796794,0.000641943,0.000516243,0.000414369,-0,-0,-0,-0,-8.25997,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.50416,-10.4525,-0,-4.68939,-8.87196,-20.9799,-27.8006,-15.0608,-14.3155,-17.0694,-9.8134,-28.3621,-24.44,-35.7894,-23.4697,-29.0844,-37.7758,-40.947,-32.6044,-39.2894,-21.6868,-15.951,-19.7825,-30.7561,-35.4952,-14.7688,-23.0648,-12.0122,-0,-21.7203,-9.04488,-4.7055,-14.6781,-5.08358,-5.27777,-16.4248,-0,-0,-0,-0,-0,-0,-6.92061,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,1,1,2,9,4,8,10,7,4,7,10,8,5,7,7,6,9,8,9,10,12,8,4,5,5,10,3,2,2,3,0,3,1,0,0,0,2,1,0,0,0,0,1,0
-549.268,0.998288,0.0586506,6,63,0,550.767,-2.90729,-1.9492,-1.16809,-0.275608,3.59779,-0.373593,-0.784554,5.60186,2.39639,2.23878e-05,3.26636e-05,4.76235e-05,6.93711e-05,0.000100924,0.000146583,0.000212428,0.000306956,0.000441881,0.000633073,0.000901587,0.00127466,0.00178649,0.00247863,0.00339959,0.0046036,0.00614807,0.00808988,0.0104805,0.0133602,0.0167517,0.0206316,0.0249383,0.0295679,0.034372,0.0391613,0.0437138,0.0477895,0.051152,0.0535937,0.0549627,0.0551833,0.0542644,0.0522957,0.0494308,0.0458647,0.0418103,0.0374784,0.0330619,0.0287256,0.0246006,0.0207821,0.0173316,0.01428,0.011633,0.00937701,0.0074846,0.00592,0.0046433,0.00361388,0.00279275,0.00214416,0.00163636,0.00124198,0.000937906,0.000704996,0.000527663,0.000393376,0.000292188,0.000216285,0.000159582,-0,-0,-0,-0,-9.20114,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.6841,-10.7618,-0,-4.81714,-9.11647,-21.5774,-28.6248,-15.5237,-14.7654,-17.6053,-10.1115,-29.1606,-25.0407,-36.4914,-23.7836,-29.2632,-37.7143,-40.5593,-32.0528,-38.3609,-21.0503,-15.4103,-19.0477,-29.5559,-34.0937,-14.1999,-22.2299,-11.621,-0,-21.2445,-8.90781,-4.66949,-14.6847,-5.12942,-5.37233,-16.8689,-0,-0,-0,-0,-0,-0,-7.54705,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,2,2,2,6,3,8,1,7,7,8,9,9,8,7,14,10,13,8,11,11,9,7,6,4,5,3,4,4,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
-551.434,0.997613,0.0586506,6,63,0,554.054,-1.31852,-0.648921,-0.839867,-0.805825,2.88638,-0.609265,-1.40804,5.67981,3.17074,6.72607e-05,8.46949e-05,0.000106827,0.000135019,0.000171082,0.000217444,0.000277407,0.000355506,0.00045806,0.000593968,0.000775898,0.001022,0.00135833,0.00182208,0.00246565,0.00336113,0.00460429,0.00631662,0.00864353,0.0117469,0.0157911,0.0207023,0.0263033,0.0323154,0.0383788,0.0440914,0.049059,0.052949,0.0555329,0.0567096,0.0565052,0.0550534,0.0525625,0.0492803,0.0454609,0.0413407,0.0371225,0.0329679,0.0289968,0.0252906,0.0218976,0.0188402,0.0161211,0.0137291,0.0116441,0.00984049,0.00829051,0.00696577,0.00583882,0.00488396,0.00407766,0.00339882,0.00282872,0.00235096,0.00195131,0.00161747,0.00133892,0.00110663,0.000912948,0.000751393,0.000616501,-0,-0,-0,-0,-8.67337,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.0053,-11.391,-0,-5.06457,-9.50189,-22.2208,-29.0382,-15.51,-14.5522,-17.1611,-9.78075,-28.0934,-24.1179,-35.2611,-23.1262,-28.6981,-37.3545,-40.5923,-32.4033,-39.133,-21.6363,-15.9295,-19.7612,-30.71,-35.4057,-14.7093,-22.9283,-11.9153,-0,-21.4412,-8.90592,-4.62125,-14.3779,-4.96675,-5.14323,-15.9654,-0,-0,-0,-0,-0,-0,-6.6159,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,6,2,7,2,2,6,12,16,14,12,13,12,6,6,13,6,8,6,13,8,3,4,3,4,3,1,2,1,1,2,0,1,0,0,0,0,1,0,0,0,0
-552.857,0.991946,0.0586506,6,127,0,554.436,-1.19474,-0.745917,-0.923827,-0.462526,2.31716,-0.879863,-1.7,5.18071,2.76205,7.36528e-05,0.00010009,0.000135825,0.000184027,0.000248895,0.000335979,0.00045258,0.000608272,0.000815564,0.00109073,0.00145481,0.00193487,0.00256529,0.00338923,0.00445977,0.00584058,0.00760544,0.0098362,0.0126186,0.0160359,0.02016,0.0248663,0.0299643,0.0352077,0.0403127,0.0449844,0.0489464,0.0519703,0.0538985,0.054658,0.054262,0.0528008,0.0504246,0.0473213,0.0436952,0.0397473,0.0356603,0.03159,0.0276599,0.0239609,0.0205538,0.017473,0.0147316,0.0123262,0.0102417,0.00845503,0.00693864,0.00566298,0.00459836,0.00371628,0.00299023,0.00239619,0.00191283,0.00152151,0.00120618,0.000953173,0.000750965,0.000589945,0.00046215,0.000361034,0.00028125,-0,-0,-0,-0,-8.29848,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.41266,-10.2859,-0,-4.62169,-8.74517,-20.6646,-27.3284,-14.777,-14.031,-16.7325,-9.63326,-27.913,-24.1362,-35.485,-23.3652,-29.0666,-37.8811,-41.1772,-32.86,-39.6603,-21.9136,-16.1261,-20.0023,-31.0942,-35.8777,-14.9253,-23.3083,-12.1413,-0,-21.9801,-9.16257,-4.77299,-14.9119,-5.1738,-5.38205,-16.7851,-0,-0,-0,-0,-0,-0,-7.19415,-0,-0,-0,-0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,2,1,1,1,2,5,8,6,4,5,11,5,5,12,10,13,5,7,7,10,13,11,10,5,8,4,5,2,4,0,2,1,3,0,3,0,1,1,0,0,0,0,0,0,0,0,1
