# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 19:45:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24320bb4f.json
# init = /tmp/RtmpC8O1hA/init-b41c21efbd367_1.json
# random
#   seed = 1152007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0106_rep011_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605292045-1-379510.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0106_rep011_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605292045-1-752bb6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.112761
# Diagonal elements of inverse mass matrix:
# 0.0355466, 0.0467036, 0.00827438, 0.00474636, 0.00905942, 0.00579521, 0.0101996
-550.619,0.997957,0.112761,5,31,0,559.081,-1.25433,-1.42377,-1.24585,-0.754795,4.01682,0.0740434,-0.880085,5.35616,2.77345,7.80621e-05,9.9293e-05,0.000126485,0.000161427,0.000206511,0.000264983,0.000341299,0.00044167,0.000574872,0.000753421,0.000995217,0.00132566,0.00178004,0.00240582,0.00326411,0.00442984,0.00598979,0.00803828,0.0106702,0.0139715,0.0180085,0.0227132,0.0279531,0.033529,0.0391791,0.0445917,0.0494285,0.0533572,0.0560947,0.0574531,0.0573735,0.0559347,0.0533277,0.0498131,0.0456754,0.0411887,0.0365931,0.0320838,0.027806,0.0238576,0.0202942,0.0171373,0.014383,0.0120097,0.0099855,0.00827318,0.00683435,0.00563186,0.00463129,0.00380172,0.00311593,0.00255038,0.00208492,0.00170247,0.00138863,0.00113138,0.000920663,0.000748153,0.000606956,0.000491391,0.000396786,-0,-0,-0,-0,-8.48516,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.72477,-10.8388,-0,-4.82354,-9.08061,-21.3537,-28.1184,-15.1392,-14.3089,-16.9767,-9.71884,-27.9919,-24.0578,-35.169,-23.0457,-28.5679,-37.1562,-40.37,-32.2443,-38.9932,-21.6034,-15.948,-19.8474,-30.9546,-35.825,-14.9426,-23.3845,-12.1995,-0,-22.1102,-9.21324,-4.79474,-14.9574,-5.17932,-5.37492,-16.7169,-0,-0,-0,-0,-0,-0,-6.99042,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,1,2,2,7,5,6,5,6,10,11,13,8,10,12,13,13,9,10,9,5,4,3,6,3,4,1,4,0,2,2,1,0,0,2,0,1,1,0,0,0,0,0,0
-552.002,0.99389,0.112761,5,31,0,554.911,-1.40894,-2.17334,-0.839585,-0.746775,4.05259,0.041758,-1.04265,5.36184,2.66247,0.000118441,0.000150608,0.000191679,0.000244224,0.00031161,0.000398294,0.000510214,0.000655364,0.00084459,0.0010927,0.00141992,0.00185368,0.00243043,0.00319709,0.00421134,0.00554008,0.00725544,0.00942796,0.0121172,0.0153605,0.0191617,0.0234666,0.0281654,0.0330913,0.0380277,0.0427217,0.0469064,0.0503272,0.0527724,0.0541,0.0542556,0.0532748,0.0512716,0.0484178,0.0449197,0.0409955,0.0368551,0.0326846,0.0286358,0.0248217,0.0213167,0.0181612,0.0153681,0.01293,0.0108259,0.00902706,0.0075009,0.00621422,0.00513507,0.00423388,0.00348401,0.00286194,0.00234722,0.00192226,0.00157204,0.00128388,0.00104708,0.0008527,0.000693291,0.00056267,0.000455722,-0,-0,-0,-0,-8.07376,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.46997,-10.3915,-0,-4.66408,-8.82626,-20.8798,-27.6839,-15.0087,-14.2786,-17.0424,-9.80832,-28.3774,-24.4768,-35.8705,-23.5341,-29.1692,-37.8826,-41.0521,-32.6768,-39.3625,-21.7201,-15.9715,-19.8046,-30.7877,-35.531,-14.7841,-23.0896,-12.0254,-0,-21.741,-9.05163,-4.70753,-14.6782,-5.08091,-5.27166,-16.3939,-0,-0,-0,-0,-0,-0,-6.86175,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,2,2,4,5,1,1,6,3,7,4,10,7,9,11,11,17,14,12,7,10,3,8,11,5,3,4,0,3,3,1,1,2,0,1,1,2,1,0,0,0,0,1,0,0,0
-549.315,0.998136,0.112761,5,31,0,554.269,-2.13654,-2.73437,-1.00812,-0.632271,4.02879,0.408754,-0.749324,5.55451,2.56904,8.85917e-05,0.00011567,0.000151071,0.000197386,0.000258035,0.000337551,0.000441959,0.000579317,0.000760443,0.000999916,0.00131736,0.00173892,0.00229871,0.00303974,0.004014,0.00528127,0.00690598,0.00895164,0.0114724,0.0145025,0.018045,0.0220566,0.0264463,0.031076,0.0357672,0.0403114,0.0444835,0.048058,0.0508289,0.0526343,0.0533796,0.0530491,0.0516999,0.0494478,0.0464514,0.0428959,0.0389781,0.0348904,0.0308061,0.0268675,0.0231802,0.0198117,0.016796,0.0141405,0.0118338,0.00985224,0.00816557,0.00674091,0.00554534,0.00454755,0.0037188,0.00303331,0.00246838,0.00200432,0.00162422,0.0013137,0.00106061,0.000854768,0.000687673,0.000552275,0.000442743,-0,-0,-0,-0,-8.26241,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.51797,-10.4872,-0,-4.71592,-8.93562,-21.1672,-28.1042,-15.2566,-14.5306,-17.3566,-9.99217,-28.9001,-24.9011,-36.4242,-23.8343,-29.4439,-38.0942,-41.1115,-32.5853,-39.0889,-21.4854,-15.7449,-19.4685,-30.1999,-34.8004,-14.4673,-22.5867,-11.7645,-0,-21.2936,-8.87359,-4.62006,-14.4235,-4.99956,-5.1948,-16.1795,-0,-0,-0,-0,-0,-0,-6.84891,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,4,2,2,5,7,3,8,8,9,6,8,11,9,19,8,6,11,6,10,9,6,9,3,6,2,3,0,4,2,1,1,2,2,0,0,0,1,0,1,1,0,0,0,0
-549.466,0.996513,0.112761,5,31,0,552.39,-1.86067,-2.84543,-1.02725,-0.666646,4.09973,0.365843,-0.793939,5.49572,2.59184,0.00011596,0.000150065,0.000194264,0.000251586,0.000325999,0.000422715,0.00054861,0.00071279,0.000927361,0.00120844,0.00157735,0.00206198,0.00269774,0.00352799,0.00460337,0.00597978,0.00771456,0.00986061,0.0124584,0.0155267,0.0190538,0.0229846,0.0272225,0.0316312,0.0360415,0.040262,0.0440907,0.0473301,0.0498034,0.0513748,0.0519675,0.0515723,0.0502433,0.0480857,0.045242,0.0418784,0.0381715,0.0342945,0.0304054,0.0266363,0.0230877,0.0198265,0.0168894,0.0142879,0.0120152,0.0100521,0.00837213,0.00694571,0.00574248,0.00473315,0.0038905,0.00318993,0.00260958,0.00213035,0.00173574,0.00141162,0.001146,0.000928768,0.000751434,0.000606917,0.00048933,-0,-0,-0,-0,-8.02862,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.38097,-10.2387,-0,-4.61921,-8.77072,-20.826,-27.7234,-15.0917,-14.4148,-17.2681,-9.96925,-28.9111,-24.972,-36.6073,-23.9974,-29.6861,-38.4428,-41.5068,-32.8997,-39.452,-21.6701,-15.8649,-19.594,-30.3549,-34.9314,-14.5019,-22.6107,-11.7622,-0,-21.2417,-8.84316,-4.59998,-14.3485,-4.96963,-5.15986,-16.0595,-0,-0,-0,-0,-0,-0,-6.77148,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2,2,1,10,4,3,9,10,13,3,10,4,6,6,13,10,16,5,5,10,6,8,7,6,5,2,4,6,4,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0
-549.903,0.989631,0.112761,5,63,0,552.697,-1.77186,-2.32097,-1.23667,-0.640473,3.83092,0.117817,-0.943904,5.42335,2.65601,0.00010985,0.000143181,0.000186706,0.000243597,0.000318044,0.000415605,0.000543672,0.000712107,0.000934062,0.00122703,0.001614,0.00212462,0.00279595,0.00367238,0.00480454,0.00624666,0.0080526,0.0102703,0.012935,0.0160622,0.0196412,0.0236112,0.0278724,0.0322865,0.0366828,0.0408658,0.044629,0.0477702,0.0501119,0.0515233,0.0519382,0.0513623,0.0498668,0.0475736,0.0446374,0.0412293,0.0375232,0.0336832,0.0298543,0.0261556,0.0226767,0.0194781,0.0165932,0.0140335,0.0117937,0.00985648,0.00819755,0.00678874,0.00560083,0.00460528,0.0037753,0.00308651,0.00251715,0.00204816,0.00166305,0.00134767,0.00109005,0.000880061,0.000709249,0.000570556,0.000458134,-0,-0,-0,-0,-8.05332,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.33819,-10.1514,-0,-4.5785,-8.69564,-20.6564,-27.5109,-14.9841,-14.3205,-17.1655,-9.91635,-28.7771,-24.875,-36.4962,-23.948,-29.6572,-38.4501,-41.5639,-32.9824,-39.5912,-21.7643,-15.943,-19.6968,-30.5168,-35.1143,-14.5748,-22.7185,-11.8154,-0,-21.3315,-8.88039,-4.61963,-14.4118,-4.99249,-5.18484,-16.1417,-0,-0,-0,-0,-0,-0,-6.82153,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,6,2,4,5,9,9,7,6,8,13,18,18,12,16,6,10,6,5,7,3,2,6,3,2,2,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-550.628,0.996113,0.112761,5,31,0,554.576,-2.02221,-2.07054,-1.14744,-0.611788,4.4614,0.179132,-0.830255,5.84322,2.61199,5.95284e-05,7.82619e-05,0.000102968,0.000135604,0.000178811,0.000236167,0.000312563,0.000414728,0.00055197,0.000737161,0.000987962,0.00132816,0.00178892,0.00240964,0.00323821,0.00433013,0.0057463,0.00754903,0.00979605,0.0125329,0.0157843,0.019532,0.0237169,0.0282357,0.0329414,0.0376486,0.0421424,0.0461922,0.0495688,0.0520681,0.053538,0.0539022,0.0531708,0.0514315,0.0488296,0.0455458,0.0417764,0.0377177,0.0335528,0.0294413,0.0255121,0.0218595,0.0185437,0.015594,0.0130147,0.0107916,0.00889846,0.00730235,0.00596782,0.00485972,0.00394496,0.0031935,0.00257876,0.00207768,0.00167052,0.00134057,0.00107383,0.000858657,0.000685406,0.000546153,0.000434402,-0,-0,-0,-0,-8.62918,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.73273,-10.8843,-0,-4.88634,-9.25155,-21.897,-29.0412,-15.7428,-14.9663,-17.8358,-10.2391,-29.5151,-25.3336,-36.8993,-24.0351,-29.552,-38.0557,-40.8882,-32.2767,-38.5776,-21.1359,-15.4452,-19.0525,-29.4986,-33.9463,-14.1014,-22.0116,-11.4694,-0,-20.8043,-8.68335,-4.52899,-14.1656,-4.91956,-5.12137,-15.9803,-0,-0,-0,-0,-0,-0,-6.83652,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,3,1,4,3,5,2,6,7,11,9,8,14,10,13,10,14,9,10,13,9,5,5,5,4,4,0,3,1,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0
