# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 19:45:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24320bb4f.json
# init = /tmp/RtmpC8O1hA/init-b41c21efbd367_2.json
# random
#   seed = 1152007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0106_rep011_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605292045-2-379510.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0106_rep011_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605292045-2-752bb6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.149783
# Diagonal elements of inverse mass matrix:
# 0.0386244, 0.040748, 0.00737773, 0.00464456, 0.010917, 0.0062719, 0.00881886
-550.67,0.997764,0.149783,5,31,0,554.319,-1.93853,-2.56976,-1.28388,-0.567485,3.77876,0.251427,-1.05289,5.30933,2.52722,8.51306e-05,0.000113124,0.000150363,0.000199929,0.000265952,0.000353981,0.00047148,0.000628519,0.00083867,0.00112016,0.00149718,0.00200116,0.00267159,0.00355586,0.00470803,0.00618595,0.00804686,0.0103412,0.013105,0.0163513,0.0200634,0.0241747,0.0285774,0.0331248,0.0376378,0.0419153,0.0457458,0.0489232,0.051266,0.0526394,0.0529758,0.052283,0.0506365,0.0481637,0.0450258,0.0414028,0.037479,0.0334305,0.0294136,0.025557,0.0219563,0.0186738,0.0157415,0.0131666,0.010938,0.00903267,0.00742027,0.00606761,0.00494123,0.00400926,0.00324237,0.00261436,0.00210227,0.00168627,0.00134946,0.00107759,0.000858726,0.000682978,0.000542166,0.00042958,0.000339733,-0,-0,-0,-0,-8.23219,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.35849,-10.1709,-0,-4.57162,-8.66953,-20.5672,-27.362,-14.8898,-14.2206,-17.0374,-9.83924,-28.5489,-24.6772,-36.21,-23.7658,-29.4429,-38.193,-41.3152,-32.8139,-39.4309,-21.7036,-15.922,-19.7038,-30.5846,-35.263,-14.6674,-22.9122,-11.9419,-0,-21.6504,-9.03102,-4.70691,-14.7106,-5.10479,-5.31014,-16.5574,-0,-0,-0,-0,-0,-0,-7.06006,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,3,4,4,1,1,3,5,7,7,5,16,4,18,8,13,6,8,16,7,6,8,10,7,6,5,1,3,2,3,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-551.531,0.998414,0.149783,5,31,0,554.212,-2.97798,-3.12802,-1.20949,-0.497592,4.07733,0.505239,-0.882297,5.71515,2.45231,4.91259e-05,6.66032e-05,9.03103e-05,0.000122477,0.000166141,0.000225442,0.000306036,0.000415655,0.000564888,0.000768187,0.00104512,0.00142166,0.00193133,0.00261578,0.00352484,0.00471545,0.00624907,0.00818668,0.0105811,0.013467,0.0168501,0.0206949,0.024923,0.0294143,0.0340137,0.0385392,0.0427914,0.0465644,0.049659,0.0519003,0.0531626,0.0533882,0.0525919,0.0508491,0.0482817,0.045045,0.0413152,0.0372777,0.0331147,0.0289917,0.0250462,0.0213801,0.0180578,0.01511,0.0125403,0.0103332,0.00846069,0.00688875,0.00558085,0.00450099,0.00361536,0.0028933,0.00230765,0.00183485,0.00145474,0.0011503,0.000907297,0.000713937,0.000560517,0.000439107,0.000343263,-0,-0,-0,-0,-8.70267,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.64792,-10.7138,-0,-4.80525,-9.09737,-21.5376,-28.5838,-15.5115,-14.7679,-17.6314,-10.143,-29.3047,-25.2114,-36.803,-24.0206,-29.5843,-38.1472,-41.0223,-32.3971,-38.7256,-21.2149,-15.5005,-19.1192,-29.6042,-34.0778,-14.163,-22.1222,-11.5359,-0,-20.962,-8.75761,-4.5724,-14.317,-4.97787,-5.18841,-16.2104,-0,-0,-0,-0,-0,-0,-7.00504,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,4,1,1,6,3,0,6,6,7,9,5,6,17,8,10,15,14,7,10,10,3,8,9,6,8,2,2,4,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
-554.715,0.996843,0.149783,5,31,0,556.15,-1.96409,-4.38235,-0.909973,-0.535759,3.75185,0.0878864,-1.03175,5.24444,2.42823,9.08606e-05,0.00012176,0.000163171,0.00021867,0.000293051,0.000392726,0.000526267,0.000705092,0.000944324,0.00126381,0.0016892,0.00225288,0.00299448,0.00396053,0.00520281,0.00677522,0.00872888,0.0111055,0.0139295,0.0172002,0.0208852,0.0249131,0.0291748,0.0335269,0.0377992,0.0418053,0.045355,0.0482698,0.0503985,0.0516327,0.0519177,0.0512568,0.0497079,0.0473755,0.044399,0.0409401,0.0371692,0.0332528,0.0293413,0.0255609,0.0220083,0.0187492,0.0158211,0.0132369,0.0109913,0.00906542,0.00743248,0.00606141,0.0049199,0.00397647,0.00320172,0.00256905,0.00205495,0.00163904,0.00130387,0.00103471,0.000819246,0.000647255,0.000510323,0.000401562,0.000315366,-0,-0,-0,-0,-8.13516,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.25856,-9.98897,-0,-4.50032,-8.5475,-20.3142,-27.081,-14.7694,-14.1378,-16.977,-9.8264,-28.5726,-24.7459,-36.3714,-23.9023,-29.636,-38.4552,-41.5927,-33.0175,-39.6454,-21.8018,-15.9782,-19.7536,-30.6326,-35.2876,-14.6668,-22.898,-11.9298,-0,-21.6237,-9.02131,-4.70329,-14.7057,-5.10581,-5.31447,-16.5821,-0,-0,-0,-0,-0,-0,-7.10713,-0,-0,-0,-0,0,1,0,0,0,0,2,0,0,0,1,1,0,1,1,0,4,1,2,2,4,0,5,7,10,4,6,11,10,18,12,10,11,11,9,5,9,2,5,6,8,3,5,4,4,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-551.533,0.99651,0.149783,5,31,0,557.641,-2.37287,-3.17293,-0.995724,-0.667377,3.59288,0.226054,-0.75521,5.59911,2.7301,0.000127167,0.000164449,0.000212696,0.000275155,0.000356049,0.00046088,0.000596821,0.000773245,0.0010024,0.00130025,0.00168756,0.00219095,0.00284386,0.00368702,0.0047679,0.00613882,0.00785333,0.00996068,0.0124984,0.0154837,0.0189056,0.022713,0.0268147,0.031081,0.0353489,0.0394317,0.043132,0.0462573,0.0486396,0.0501552,0.0507387,0.0503869,0.0491539,0.047141,0.0444843,0.0413414,0.0378773,0.0342509,0.0306039,0.0270526,0.0236853,0.0205617,0.0177167,0.0151647,0.0129047,0.0109248,0.00920611,0.00772583,0.00645952,0.00538264,0.00447157,0.00370432,0.00306079,0.002523,0.00207504,0.00170301,0.00139485,0.00114023,0.000930305,0.000757591,0.000615765,-0,-0,-0,-0,-7.94044,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.34585,-10.1862,-0,-4.60911,-8.76431,-20.8398,-27.7781,-15.1393,-14.4752,-17.3558,-10.0275,-29.0987,-25.1479,-36.8824,-24.1865,-29.9263,-38.7539,-41.8323,-33.1408,-39.71,-21.7883,-15.9295,-19.6404,-30.3664,-34.8663,-14.4399,-22.4574,-11.653,-0,-20.9439,-8.70032,-4.51672,-14.0637,-4.86319,-5.0422,-15.6737,-0,-0,-0,-0,-0,-0,-6.57497,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,4,0,1,3,1,6,4,1,6,5,9,13,11,10,15,7,6,10,7,9,12,12,5,6,4,3,4,3,3,0,5,3,2,1,1,1,0,0,0,1,0,0,0,0,0
-551.232,0.994946,0.149783,5,31,0,555.636,-2.83474,-1.83478,-1.18458,-0.585308,3.50047,0.41855,-0.894063,5.48733,2.60982,5.06044e-05,6.69381e-05,8.85801e-05,0.000117283,0.000155397,0.000206093,0.000273672,0.000364012,0.000485221,0.000648596,0.000870001,0.00117178,0.0015851,0.00215244,0.00292949,0.00398596,0.00540452,0.00727708,0.00969722,0.0127484,0.016489,0.0209112,0.0259414,0.0314311,0.0371547,0.0428168,0.0480675,0.052532,0.0558623,0.0578068,0.0582629,0.05728,0.0550243,0.0517361,0.047693,0.0431796,0.0384616,0.0337665,0.0292707,0.0250963,0.0213151,0.0179578,0.0150245,0.012495,0.0103373,0.00851299,0.00698217,0.00570586,0.00464761,0.00377441,0.00305698,0.00246976,0.00199074,0.00160119,0.00128527,0.0010297,0.000823421,0.000657265,0.000523679,0.00041646,0.000330541,-0,-0,-0,-0,-8.76953,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.83293,-11.05,-0,-4.92303,-9.27183,-21.8117,-28.7354,-15.4699,-14.6077,-17.2998,-9.878,-28.3574,-24.2812,-35.356,-23.0789,-28.5065,-36.9563,-40.0373,-31.8998,-38.5008,-21.3008,-15.7119,-19.5486,-30.4946,-35.3117,-14.7401,-23.09,-12.0592,-0,-21.9121,-9.14399,-4.76616,-14.8932,-5.16626,-5.3714,-16.7385,-0,-0,-0,-0,-0,-0,-7.10204,-0,-0,-0,-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,7,1,2,8,9,3,5,8,8,6,13,11,10,11,9,12,9,12,3,5,9,1,6,5,5,4,2,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0
-553.641,0.992339,0.149783,5,31,0,556.571,-0.351978,-1.86373,-1.01868,-0.753212,4.42486,0.132228,-0.823787,5.05657,2.68171,0.000110905,0.000141172,0.000179986,0.000229934,0.000294497,0.000378412,0.000488219,0.000633073,0.000825928,0.00108519,0.00143681,0.00191651,0.00257144,0.00346037,0.00465174,0.00621924,0.00823529,0.010763,0.0138471,0.0175057,0.0217226,0.0263725,0.0312886,0.0362684,0.0410832,0.0454916,0.0492551,0.0521581,0.0540283,0.054759,0.0543261,0.0527936,0.0503013,0.0470415,0.0432313,0.0390891,0.0348171,0.0305894,0.0265446,0.022783,0.019368,0.0163299,0.0136729,0.0113819,0.00942936,0.00778086,0.00639961,0.00524934,0.0042961,0.00350925,0.0028618,0.00233041,0.00189517,0.00153925,0.00124855,0.00101133,0.000817855,0.000660113,0.000531529,0.00042673,0.000341336,-0,-0,-0,-0,-8.13024,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.37051,-10.1602,-0,-4.53165,-8.55936,-20.2261,-26.8058,-14.5417,-13.858,-16.584,-9.57647,-27.8121,-24.0859,-35.4417,-23.346,-29.0481,-37.8657,-41.1791,-32.887,-39.7374,-21.9883,-16.2096,-20.1459,-31.3839,-36.2893,-15.127,-23.6648,-12.3443,-0,-22.3787,-9.32786,-4.85609,-15.1546,-5.24965,-5.45005,-16.9571,-0,-0,-0,-0,-0,-0,-7.10883,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,2,3,6,9,9,8,9,5,13,9,16,4,8,10,6,9,7,8,6,11,2,5,2,1,9,4,2,5,1,0,1,0,2,0,0,0,1,0,0,0,1,1,0
