# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 19:59:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2213a0fdb.json
# init = /tmp/RtmpC8O1hA/init-b41c222d5eb80_1.json
# random
#   seed = 1152009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0108_rep011_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605292059-1-7b69d3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0108_rep011_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605292059-1-67ed45.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.173317
# Diagonal elements of inverse mass matrix:
# 0.0817328, 0.0495842, 0.0325591, 0.0104973, 0.0171921, 0.0330823, 0.0569176
-552.507,0.970905,0.173317,5,31,0,557.868,-2.81872,-2.48531,-0.488813,-0.580091,4.02005,0.151132,-0.275914,5.75005,2.49125,3.77557e-05,5.00083e-05,6.62613e-05,8.78387e-05,0.000116516,0.000154686,0.000205585,0.000273623,0.000364857,0.00048767,0.000653772,0.000879625,0.00118843,0.00161271,0.00219739,0.0030029,0.00410742,0.0056067,0.00760962,0.0102274,0.0135556,0.0176471,0.0224874,0.0279737,0.0339042,0.0399838,0.0458447,0.0510851,0.0553206,0.0582407,0.0596556,0.0595173,0.057913,0.0550407,0.0511744,0.0466253,0.0417044,0.0366911,0.0318127,0.0272347,0.0230618,0.0193469,0.0161019,0.0133111,0.0109408,0.00894823,0.00728735,0.00591265,0.00478155,0.00385555,0.00310075,0.00248781,0.00199171,0.00159134,0.00126908,0.00101029,0.000802899,0.00063701,0.000504542,0.000398928,0.000314846,-0,-0,-0,-0,-9.05748,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.12048,-11.6164,-0,-5.18379,-9.75668,-22.9134,-30.1067,-16.1487,-15.1792,-17.8825,-10.1526,-28.9735,-24.66,-35.6911,-23.1569,-28.4317,-36.6492,-39.5008,-31.3369,-37.6959,-20.8076,-15.3281,-19.0629,-29.747,-34.4789,-14.4131,-22.6175,-11.8357,-0,-21.5958,-9.03051,-4.7163,-14.7648,-5.13066,-5.34299,-16.6747,-0,-0,-0,-0,-0,-0,-7.12728,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,0,3,5,4,8,5,7,7,14,6,18,9,9,13,10,6,15,10,3,6,8,2,4,2,3,2,6,4,0,2,0,0,1,0,0,1,0,0,0,0,0
-553.081,0.981348,0.173317,4,15,0,556.99,-1.83726,-2.57465,-1.50736,-0.654586,4.24238,1.01811,-0.036096,5.38188,2.65541,0.000109763,0.000142485,0.000185022,0.000240361,0.000312426,0.000406398,0.00052915,0.000689872,0.000900962,0.00117931,0.00154804,0.00203819,0.00268917,0.00354783,0.0046672,0.00610475,0.00791948,0.0101672,0.0128933,0.0161229,0.0198507,0.023981,0.0283827,0.0328974,0.0373505,0.0415578,0.0453304,0.0484774,0.0508126,0.0521743,0.0524728,0.0517351,0.050074,0.0476373,0.044584,0.0410765,0.0372771,0.0333443,0.0294278,0.0256584,0.0221375,0.01893,0.0160662,0.0135496,0.0113657,0.00948936,0.00789053,0.00653747,0.00539904,0.00444595,0.00365151,0.00299182,0.00244588,0.00199544,0.00162479,0.00132055,0.00107136,0.00086768,0.000701498,0.000566138,0.000456053,-0,-0,-0,-0,-8.07114,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.3672,-10.1974,-0,-4.58859,-8.70209,-20.6376,-27.4366,-14.922,-14.2479,-17.0718,-9.86223,-28.626,-24.7502,-36.3199,-23.8369,-29.5317,-38.317,-41.4627,-32.9368,-39.5738,-21.7727,-15.9616,-19.7363,-30.6078,-35.2582,-14.6515,-22.8629,-11.901,-0,-21.507,-8.95431,-4.65758,-14.5263,-5.0302,-5.22154,-16.2473,-0,-0,-0,-0,-0,-0,-6.83882,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,1,0,3,7,4,6,6,11,8,13,15,6,7,14,11,8,12,10,5,4,8,5,3,6,2,2,1,2,3,1,1,2,0,0,0,0,0,1,0,0,1,0,0
-551.183,0.997691,0.173317,4,31,0,555.131,-2.94655,-2.99482,-0.802095,-0.544716,4.16909,0.76198,-0.179546,5.69531,2.40302,4.1878e-05,5.59987e-05,7.4895e-05,0.000100193,0.000134083,0.00017952,0.000240506,0.000322484,0.000432904,0.000582031,0.000784116,0.00105899,0.00143408,0.00194654,0.00264554,0.00359406,0.00486953,0.0065616,0.00876481,0.0115646,0.0150172,0.0191253,0.0238257,0.0289863,0.0344128,0.0398601,0.0450464,0.0496699,0.0534327,0.0560774,0.0574338,0.057446,0.056165,0.0537258,0.0503263,0.046206,0.0416255,0.0368445,0.0320981,0.0275759,0.0234096,0.0196733,0.0163935,0.0135627,0.0111519,0.00912092,0.00742521,0.00601994,0.00486272,0.003915,0.00314255,0.00251561,0.00200869,0.00160018,0.00127198,0.00100903,0.000798869,0.000631291,0.000497947,0.000392047,0.000308096,-0,-0,-0,-0,-8.91705,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.93488,-11.2569,-0,-5.02652,-9.47402,-22.299,-29.3899,-15.827,-14.948,-17.7047,-10.108,-29.0014,-24.8005,-36.0283,-23.4347,-28.8102,-37.1426,-39.9967,-31.6741,-38.0102,-20.9246,-15.3732,-19.0743,-29.7094,-34.3896,-14.3633,-22.5277,-11.7855,-0,-21.5022,-8.9923,-4.69718,-14.7086,-5.11268,-5.32616,-16.6288,-0,-0,-0,-0,-0,-0,-7.13231,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,2,5,4,2,7,8,5,5,4,13,16,15,10,10,9,13,6,10,5,8,3,4,3,7,3,1,2,2,3,4,0,1,2,1,1,0,0,0,0,0,0,0
-549.937,0.997775,0.173317,5,31,0,551.905,-1.01017,-2.04339,-0.849,-0.873949,4.95491,0.452465,-1.00762,5.80888,2.79402,6.55574e-05,8.147e-05,0.00010146,0.000126696,0.000158747,0.000199775,0.000252816,0.000322257,0.000414605,0.000539731,0.000712713,0.000956214,0.00130298,0.00179792,0.00249906,0.00347704,0.00481238,0.00659013,0.00889152,0.0117827,0.0153019,0.0194314,0.0240971,0.0291631,0.0344355,0.039673,0.0446051,0.0489524,0.0524519,0.0548825,0.0560939,0.0560317,0.0547453,0.0523733,0.0491152,0.0452044,0.0408844,0.0363883,0.0319221,0.0276518,0.0236967,0.0201287,0.0169779,0.014242,0.0118971,0.00990662,0.00822925,0.0068232,0.0056492,0.0046718,0.00385982,0.00318633,0.00262834,0.00216636,0.00178398,0.00146746,0.00120537,0.000988207,0.000808141,0.000658735,0.000534718,-0,-0,-0,-0,-8.7482,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.99184,-11.3232,-0,-5.02218,-9.44532,-22.2056,-29.2585,-15.7635,-14.9027,-17.6743,-10.106,-29.0438,-24.8793,-36.2029,-23.5829,-29.0256,-37.4495,-40.3457,-31.9557,-38.3417,-21.0951,-15.4828,-19.182,-29.8216,-34.4446,-14.3523,-22.4545,-11.7168,-0,-21.2578,-8.86293,-4.61455,-14.4002,-4.98743,-5.17624,-16.0986,-0,-0,-0,-0,-0,-0,-6.72097,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,7,1,7,3,10,5,13,12,8,14,10,8,16,14,10,6,2,9,2,5,5,3,4,2,5,1,2,1,0,2,1,0,1,0,0,0,2,0,1,1,0
-550.777,0.991236,0.173317,5,31,0,553.913,-2.41027,-2.24069,-1.07047,-0.5393,4.03758,0.0968292,-0.262234,5.67108,2.55538,5.24136e-05,7.02387e-05,9.4161e-05,0.000126292,0.000169494,0.000227657,0.000306083,0.000412022,0.000555395,0.000749755,0.00101348,0.00137114,0.00185487,0.0025054,0.00337254,0.00451454,0.00599595,0.00788351,0.01024,0.0131159,0.016541,0.0204924,0.0249014,0.0296487,0.0345654,0.0394389,0.044024,0.0480618,0.0513042,0.0535456,0.0546545,0.0545919,0.0534105,0.0512368,0.0482464,0.0446406,0.0406277,0.0364074,0.0321586,0.0280305,0.0241379,0.0205598,0.0173418,0.0145014,0.012034,0.00991971,0.0081288,0.0066267,0.00537741,0.00434585,0.00349937,0.00280851,0.00224734,0.00179339,0.00142755,0.00113369,0.000898335,0.000710351,0.000560565,0.000441479,0.000346995,-0,-0,-0,-0,-8.68269,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.69209,-10.8009,-0,-4.84298,-9.16292,-21.6696,-28.7134,-15.5508,-14.7713,-17.5917,-10.0947,-29.097,-24.9842,-36.4232,-23.7599,-29.2722,-37.7874,-40.7102,-32.2272,-38.6269,-21.22,-15.5456,-19.2198,-29.8168,-34.3708,-14.2978,-22.3438,-11.6533,-0,-21.1676,-8.84003,-4.61323,-14.437,-5.01665,-5.22555,-16.3156,-0,-0,-0,-0,-0,-0,-7.01497,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,5,9,5,11,7,15,10,9,9,7,10,10,6,4,10,3,12,9,9,5,6,3,8,3,1,2,1,0,0,1,0,1,1,0,0,0,1,0,0,0
-549.701,0.999183,0.173317,5,31,0,552.67,-1.33211,-2.07321,-1.03821,-0.908058,4.18492,0.89599,-0.440333,5.54991,2.91017,0.000169208,0.000207831,0.000255503,0.000314464,0.000387574,0.000478523,0.000592122,0.000734741,0.000914974,0.00114466,0.00144049,0.00182631,0.00233576,0.00301421,0.00391946,0.00512097,0.00669734,0.00873071,0.0112975,0.0144549,0.0182252,0.0225473,0.027298,0.0322972,0.0373198,0.0421107,0.0463996,0.049918,0.0524236,0.0537437,0.0538287,0.0527549,0.0506772,0.04779,0.0443059,0.0404407,0.0364003,0.0323676,0.0284893,0.0248687,0.0215656,0.018604,0.0159825,0.0136843,0.0116842,0.00995334,0.00846214,0.00718207,0.00608648,0.00515112,0.00435421,0.00367646,0.00310089,0.00261269,0.00219898,0.00184863,0.00155208,0.00130114,0.00108883,0.000909226,0.000757294,-0,-0,-0,-0,-7.8556,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.5418,-10.5488,-0,-4.74091,-8.96635,-21.1836,-28.0346,-15.1686,-14.4038,-17.1639,-9.86469,-28.5071,-24.5637,-35.9685,-23.5872,-29.2353,-37.9853,-41.1894,-32.8051,-39.5322,-21.8165,-16.0396,-19.8791,-30.8754,-35.5823,-14.7766,-23.0199,-11.9531,-0,-21.4575,-8.89903,-4.60985,-14.3165,-4.93617,-5.10169,-15.8056,-0,-0,-0,-0,-0,-0,-6.46816,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,4,5,5,6,7,8,8,8,10,12,7,10,10,6,12,5,5,8,8,4,7,1,4,8,5,1,3,1,0,2,1,0,1,2,0,0,2,2,1,0,1,0,3
